	kallisto_quant_sample140	kallisto_quant_sample145	kallisto_quant_sample150	kallisto_quant_sample173	kallisto_quant_sample178
XR_006394398.1	30.9842	0	0	0	27.4117
XR_006395016.1	29	36	31	30	30
XR_003826422.2	0	0	0	11	0
XM_029343939.2	0	0	0	46.284	85.9259
XR_006395613.1	0.729897	0.0773038	0.105818	0.141695	0
XM_029335999.2	286	154.744	59.5528	345	362
XM_029333152.2	1154.29	976.838	535.871	1128.11	1146.17
XM_029352202.2	0	0	0	0	0
XM_029355837.2	0	0	0	0	0
XM_029355054.2	1546	1989	944	1798	1863
XM_029344866.2	1065.3	5.91232	51.794	975.963	836.606
XM_029343967.2	526.35	475.725	406.465	496.125	572.171
XM_044323987.1	0	0	100.145	43.7514	48.319
XM_044315519.1	7	21	11	1	32
XM_029342077.2	2975	2216	2042	2370	2518
XM_044307102.1	22.3311	0	8.21719	16.2543	0.183492
XR_006395946.1	122	174	60	196	218
XM_044315604.1	0	0	11	6.25696	6.87817
XM_044323305.1	0	0	48.1344	12.7769	3.54567
XR_003826735.2	0	48.6631	6.37818	7.21781	44.9686
XM_044325033.1	1	0	0	16	62
XM_029336633.2	0	0	0	0	2
XM_029336281.2	23	45	20	25	48
XM_029323909.2	237.024	188.675	165	302	318.719
XR_006398114.1	0	0	0	0	0
XR_006391937.1	0	0	0	0	0
XM_029358162.2	0	0	0	0	0
XR_003823818.2	7.16866	244.386	0	290.773	227.751
XM_029345537.2	0	0	0	0	0
XM_029338097.2	94.0918	248.963	118.003	198.083	568.623
XR_006394940.1	200.411	305.399	36.588	113.916	49.1262
XR_006396212.1	0	20.1384	0	0	43.9617
XM_029357554.2	0	0	0	0	0
XM_029348136.2	0	0	0	0	0
XM_044309909.1	1	30	1	0	73
XM_029327543.2	1766	1336	1051	1514	1414
XM_044306790.1	0	0	0	0	15.2272
XM_044321089.1	162.144	47	14.0613	66	68.6044
XM_029340878.2	2169.72	1668.2	1170.72	1481.34	1898.92
XM_044319484.1	377.957	148.435	77.6619	395.361	207.411
XM_044322902.1	297.297	108.394	12.7151	78.1681	116.905
XM_029357240.2	54	72	37	47	63
XM_044315479.1	0	1	0	212.766	0
XR_006396999.1	13	0	0	0	64.1255
XM_044307257.1	7.95421	0	0.763633	0	4.39564
XM_044306952.1	0	0	0	1.11093	0
XM_029343147.2	689.558	339.609	206.65	622.872	509.569
XR_006395940.1	7	0	6	0	6
XM_044316452.1	26	38	12	25	47
XR_006391851.1	0	0	0	0	0
XM_029355267.2	0	0	0	0	42.1029
XM_044308431.1	225	89	171	617	257
XM_029334039.2	209	153	90	227	146
XM_029324263.2	326.435	261.321	232.878	419.165	372.87
XM_029338586.2	280.991	136.526	33.8081	466.146	274.819
XM_029350046.2	358.955	329.549	22.9383	170.948	94.8606
XM_029343511.2	62.6218	51.0633	34.9248	21.4209	64.0794
XM_044314119.1	295	256	180	318	387
XM_044329275.1	0	7	0	0	0
XM_044315046.1	0	0	0	0	0
XR_006392816.1	71.9105	225.06	335.07	291.148	872.844
XM_044325012.1	11	0	0	15.3679	0
XR_006391612.1	3438	2678	1397	3701	3726
XM_029333778.2	0.000117476	54.0247	0	323.941	643.379
XM_044328523.1	15.1091	0	10.9943	8.23634	29.3972
XM_044321912.1	0	0	0	0	80.6928
XM_029330246.2	827.999	271.167	14.432	179.183	533.528
XM_044309764.1	1.13236	12.0482	2.3275	5.82108	23.5313
XR_006397249.1	89.6902	527.187	31.1361	49.0619	56.0643
XM_044323555.1	0	0	0	0	0
XM_044313764.1	121.854	136.93	171.084	116.124	188.392
XM_044323945.1	546.202	620.435	281.767	359.686	217.553
XR_006395204.1	27	2.52069	50	11.6561	49
XM_044327495.1	0	1417.13	464.886	156.649	1772.47
XR_003825616.2	72	47	31	33	52
XM_044310719.1	0	0	0	9	0
XM_044314312.1	0	0	0	0	0
XM_044319485.1	4234	1371	1882	4466	6834
XR_006394462.1	329.296	173.451	127.149	337.693	441.332
XM_044317088.1	216.406	8.80734	256.141	217.324	203.046
XM_044327930.1	1155.27	1004.54	892.666	1276.25	2548.16
XM_044317641.1	86.1308	167.188	19.3117	317.905	399.123
XM_029325474.2	510.711	371.262	224.159	370.112	346.623
XM_044310696.1	123.357	0	39.1761	311.288	0
XM_044324299.1	392	543	350	469	657.58
XM_029328619.2	221	88.9984	99.9998	111.269	169
XR_003825487.2	12	40	9	7.04775	42
XM_029341045.2	175	154	76	145	122
XM_044308381.1	0	0	0	0	20.4494
XM_044329003.1	0	0	58.4041	0	344.664
XM_044308415.1	66.2569	59.7207	56.895	87.4009	204.633
XM_044326832.1	0	0	3.03304	0	0
XM_029347061.2	0	0	0	0	186.408
XM_044310648.1	0	0	0	0	0
XM_044318000.1	231	212	165	208	244
XR_003824368.2	53.2786	50.2037	74.47	65.8546	51.2392
XR_006396213.1	0	11.5828	17.3474	2.48908	1
XM_044315939.1	0	0	0	0	0
XM_044318798.1	50.0222	2.23421	21.4368	55.4318	60.8109
XR_006393083.1	41.4353	1.7713	24.8023	4.91995	150.901
XM_044323908.1	0	2.77987	3.6806	26.9684	6.34707
XR_003826787.2	108	181	59	117	48
XR_006396763.1	2.5367	0	8.74887	53.7809	27.5591
XM_044329281.1	0	0	0	0	0
XM_029334524.2	0	0	0	0	0
XM_044327860.1	3	0	48	21	8
XM_029337315.2	789.826	83.928	265.072	168.17	289.583
XM_029336653.2	0	0	0	0	0
XM_044317792.1	39.1118	11	51.6523	32.2865	24.3808
XM_044315749.1	9.58316	0	3.10379	1.83352	0
XM_044323927.1	28.8792	18.6032	10.6117	9.11395	12.178
XM_044315205.1	0	0	0	0	0
XM_044320281.1	100	831.429	503.898	875.972	867.871
XM_044318094.1	0	1.12456	2	0	0
XM_044328478.1	906	565	622	1121	1216
XR_006396327.1	0	0	1.90845	2.82781	0
XM_029337689.2	0	73.0538	36.4761	60.6935	133.924
XR_006396299.1	9.50886e-08	0	0	79.9876	48.3178
XM_044318286.1	71	2	42	2	361
XM_044327846.1	5.1852	0	18	6	67.4214
XM_029335791.2	59.7907	224.479	0	116.318	0
XR_003824987.2	0	0	11.898	2.22857	50.0442
XM_044309553.1	2206	1469	1271.84	2152.95	2115
XR_006395165.1	16	6	16	52	25
XR_006392040.1	0	0	0	0	0
XM_029336772.2	0	219.218	101.757	115.865	0
XR_003827968.2	0	0	0	2.73593	0
XM_029328245.2	19	1	6	0	33
XM_029345059.2	217.075	0	61.0402	43.7792	11.9064
XM_029353391.2	0	0	0	0	0
XM_029328159.2	1869.37	1080.11	1080.82	1268.63	1408.55
XM_044314976.1	535.83	405.479	499.381	524.598	493.826
XM_044317266.1	0	0	0	0	0
XM_044309949.1	508.131	295.572	279.915	417.581	522.167
XR_003825761.2	0	0	0	0	0
XM_029329042.2	0.000115641	0	3.78538e-05	76.4213	0
XM_044322797.1	530	344.972	727	463	877
XM_029331564.2	1988	1303	1499	1620	2283
XM_029347251.2	3572.99	3394.21	4741	12694	6544.02
XR_006397911.1	28	82.1171	23	88.4751	69
XR_006397063.1	46.5897	39.3011	0	0	0
XR_006391409.1	0.0933165	0.0019586	4.46739	1.87853	0
XM_029353477.2	774	456	463	586.961	341.526
XM_044312539.1	0	4.83407	6.78361	3.90248	27.3183
XM_044312463.1	0	0	0	0	0
XM_044310557.1	4.85632	15.3492	41.617	6.07655	174.247
XM_044324061.1	106.414	165.569	38.6575	91.2199	31.2697
XR_006397156.1	0	0	6	0	5
XM_044309445.1	211	224	198	227.301	282.675
XM_044317756.1	525.688	192.342	423	527.193	265.991
XM_044307705.1	193.766	59.1128	63	170.047	207.513
XM_044315186.1	45.575	1.51927e-07	120.528	460.052	1.30449e-06
XM_044306846.1	0	0	0.0011514	78.7609	15.2328
XM_029341309.2	946	374.325	319.514	188.588	707.742
XR_006393159.1	21.2138	1	7	3	16.1902
XM_044314901.1	33.2408	2.00726	5.58294	17.3951	22.296
XM_029348025.2	785	1928	876	1373	961
XM_029358620.2	1157	340	311	1004	653
XM_044311128.1	116.533	0	22.2934	5.37083	27.9542
XM_044328705.1	635.736	397.065	415.641	248.201	882.448
XM_044314219.1	0	9	0	0	0
XM_029353192.2	26.7693	4.11045	0	36.5098	115.803
XM_044328100.1	136.227	1.79384e-05	0	4.09702	2.49271e-06
XR_006392762.1	16	7	18.2775	4.01498	0
XM_044324279.1	34.6275	42.9569	43.3673	37.1026	78.5223
XM_044313788.1	9	2	1	0	0
XR_006396170.1	56	1	34	16	146
XM_029323852.2	69.5026	46.6857	62.2691	69.9491	119.824
XM_044328549.1	7	17	19	19	18
XM_029348073.2	4050	2952.88	1897.71	3312.97	4416.34
XM_044325984.1	0.00048268	0	26	13	185.81
XM_044317578.1	1.90879	0	0	0	0
XM_044323312.1	910.129	470.548	457.171	512.74	1147.43
XR_003825476.2	3	0	3	2	3
XM_029339528.2	16	0.493149	0.0283014	0.538152	0.123323
XM_029331594.2	0	15.7409	0	0	0
XM_029349351.2	4	2	22	7	10
XM_029329585.2	3.67323e-06	4.59624e-05	0	1.67836e-06	1.00426e-05
XM_044316605.1	22.4516	7.79795	7.84113	21.2194	25.0081
XR_006397657.1	0	0	6	0	0
XM_029357315.2	19555	25531	9658	12795	8733
XR_003825650.2	1319.91	1638.95	534.832	520.574	992.847
XM_029341464.2	44.3142	1.60404e-08	56.612	0	127.751
XM_029356840.2	0	0	2	0	0
XM_044324444.1	0	0	0	0	0
XM_029327844.2	527	445	316	498	662
XR_006394047.1	246	145	151	83.6111	220.408
XM_044316871.1	4.41596	19.668	7.78177	13.0724	8.56827
XM_029357624.2	762	394	525	801	731
XM_029348653.2	0	0	0	0	4
XM_044322918.1	16.7976	56.336	18.1244	0	198.577
XM_029337601.2	510.816	9.58302e-06	501.839	1232.22	765.571
XM_044312926.1	0	0	14.1232	66.1284	0
XM_029334421.2	0	0	0.40929	83.8672	0
XM_029358617.2	6460	5236	3963	6553	4090
XM_044324913.1	0	0	6.74482e-07	0	9.1321e-05
XM_029337152.2	21380.4	8993.84	6820	12488	10169.4
XM_044306918.1	8	0	4.82387	0	0
XM_044321415.1	19	37	27.0286	34.2879	26.0359
XR_006395327.1	0	0	0	171.762	96.9137
XM_029324638.2	542	375	287	415	439
XR_003824997.2	0	0	0	0	0
XM_044316762.1	1	1	1	0	3
XM_044318456.1	49.9387	21.1754	56.6119	26.1359	55.334
XR_006396061.1	23.6397	13	0	21	27
XM_044319277.1	13.0966	6.43181	18.0892	20.2311	68.4435
XM_029351137.2	473	354	413	461	647
XM_029338728.2	41	16	61	48	83
XM_029333143.2	1526	1535	985	1209	1325
XM_029327569.2	73	75	27	71	31
XR_003823594.2	33.7758	209.378	0	0.237846	7.72092e-07
XM_029358621.2	18299	13780	11287	17671	17734
XM_044326433.1	64.6783	0	43.7884	4.55928	161.516
XM_044308974.1	263	124	33	117	189
XR_006392502.1	84	6	27.2071	105.862	66.6811
XM_029331314.2	395.435	361	202.568	204.153	41.2157
XR_003825171.2	253.735	209.218	156.472	255.011	335.603
XM_029332334.2	0	7.32288	0	0	0
XR_006394732.1	19.8231	0	19.0801	16.6575	21.8762
XM_029348312.2	0	0	10	0	17
XM_029333132.2	299	127	266	257	400
XM_029333206.2	33.5723	0	0	0	60.9636
XR_006394358.1	7.07761	5	39.3526	2.00293	11
XR_006393388.1	1	0	9.50834	6	0
XM_029331304.2	1120.51	676	563.972	730	496.974
XM_044316169.1	0	0	0	7	0
XM_044314310.1	2.51392	0	0	0	5.02661
XR_003825160.2	0	0	150.054	48.0933	449.175
XM_044315796.1	0	0	0	18	8
XM_044313657.1	0	0	0	4.46807	0
XM_029338035.2	22	12	11	21	55
XM_044308173.1	233.325	230.846	169.171	97.0256	145.004
XM_044316859.1	0	0	0	0	0
XM_044321437.1	79.8494	6.06925	34.5576	63.2602	48.9245
XM_029357339.2	2.31347	0	0	172.567	0
XR_003822978.2	0	13	11	2	14
XM_029358464.2	0	0	0	40.2368	0
XM_044326723.1	2.14644	16	7	1	8.59454
XM_029346207.2	24	37	16	48	39
XR_006396298.1	81.2555	75.8751	43.4102	96.152	7.73148
XM_044308815.1	0	40.9261	282.255	129.872	481.652
XM_029358210.2	4.0076	5.06487	13.17	0	56.573
XM_029337715.2	2593	1860	1643	2690	2064
XM_029352307.2	1	255	1	1	115
XM_044309042.1	10.7414	51.8135	3.83029	55.887	73.9416
XM_044313637.1	129.483	0	37.572	0	139.089
XM_029333518.2	9.28235	51.0851	29	5.13996	69.6056
XM_044321271.1	98.9055	19.3417	39.8012	211.162	127.857
XM_044307071.1	8.92035	45.7294	0	2.0437	4.97726
XR_003825559.2	0	0	0	0	6
XM_044306805.1	733.642	460.191	242.169	416.173	373.983
XM_029343296.2	77.6756	0	0	0	0
XM_029357052.2	601.184	703.429	238.706	307.564	358.817
XM_044319251.1	0.000697767	322.859	0	274.092	1147.36
XR_006396647.1	53.8979	107.258	54.6584	45.4744	91.062
XM_029341672.2	48.4085	19.8764	86.683	0	36.2951
XR_006393012.1	2.10159	1.00731	0	0	0
XM_044314372.1	0	0	0	0	0
XM_029358145.2	0	0	215.745	95.6568	53.5226
XM_044316336.1	122.609	31.9911	47.0914	39.5225	126.951
XM_029357538.2	524	605	257	593	387
XM_029349813.2	2758.76	2583.32	1949.59	2439.65	1892.7
XM_029332005.2	756.247	789.12	512.976	989.234	1212.24
XR_006397205.1	10	18	3	2	23.8473
XM_029331126.2	51.2363	17	5.14516	39.1626	0
XM_029352751.2	1079	530	486	591	572
XR_006394729.1	0	0	0	7.43286e-08	0
XM_029351153.2	118.346	85.1325	109.357	546.196	109.452
XM_044323022.1	3263.52	658.753	308.173	3685.27	2395.84
XR_006394434.1	152.722	67.9476	2.00834	96.1503	21.0812
XM_044306854.1	4	7	0	0	0
XM_044316022.1	45.0121	286.937	45.3485	173.268	77.9778
XM_044321186.1	1100	1854	706	683	2239
XM_044309739.1	0	0	0	0	0
XR_003826282.2	0	0	0	0	0
XM_029351873.2	39.3484	0	25.4093	3.76093	2.17887
XM_029349319.2	907.915	412.965	518.265	818.809	793.713
XM_029325360.2	9.48418	0	0	0	0
XM_029346527.2	325.06	286.379	29.4367	20.8593	0
XM_044310535.1	297.192	222.817	30.9633	38.1069	179.234
XM_044316843.1	0	0	0	0	18.6774
XM_044317877.1	1312	546	517	582	884
XM_044312994.1	0	38.998	239.54	0.000908314	304.233
XM_044316867.1	111	139	13	145	69
XM_029332072.2	0	147.871	0.110201	192.777	0.00428726
XM_029350050.2	0	0	3.47522e-08	0	85.5971
XR_006391500.1	0	8.0611	6.67747	4.10422	5.67186
XM_029338456.2	1961.3	1499	1110	1357	871.697
XM_044318706.1	22.0808	19.3497	22.159	57.0043	21.5495
XM_029355757.2	299.523	332.755	188.641	135.626	149.317
XM_029337882.2	307.396	244.941	225.713	339.491	182.633
XM_029337316.2	4983	4177	1887	4462	3845
XM_044315061.1	0.115305	27.4885	58.1402	0	0
XR_006394819.1	0	0	0	10.1194	0
XM_044319412.1	0	0	0	0	0
XM_029342864.2	202.679	133.615	179.074	283.854	339.159
XM_044309962.1	1.01939	0	0	6.08078	0
XM_029336981.2	1298	1777	1071	855	580
XM_029350322.2	72.3993	10.7465	0	92.1305	34.686
XM_044318237.1	150.511	55.8456	53.1198	157.263	115.137
XM_044314400.1	327.513	60.4301	103.671	292.796	231.578
XM_044325363.1	535.321	321.482	207.911	315.063	483.995
XR_006395690.1	3332	2353	2202	3454	2292
XM_044313244.1	314.426	105.305	171.819	92.5399	404.868
XM_029334052.2	0	1	0	0	5
XM_029353825.2	25	38	18	26	10
XM_029356963.2	2940.06	4580.26	2299.85	2987.82	2688.5
XM_029324740.2	637	444	486	621	651
XM_029333823.2	229	195	124	182	180
XR_006393382.1	0.254904	0.230358	0.310461	0.468226	0.182574
XM_044322814.1	4.79167e-06	23.9569	275.442	0.00170918	23.6031
XM_029356837.2	29	3	24	30	27
XM_029352314.2	1118	1225	560	1164.18	1058
XR_006393273.1	4.40183	40.8537	20	23.8413	26.3281
XM_044323784.1	24	17	14	14	68
XM_044310581.1	16.3992	0	1.1894	0	2.93387
XM_029323484.2	748.148	371.481	430.657	656.258	850.897
XM_044322546.1	0	4.46002	0	1.07599	0
XM_044321338.1	11.2986	27.4786	207.745	31.9459	381.043
XM_029346318.2	0	0	0	0	0
XR_003825508.2	0.21588	1.13567	2.96705	5.88308	5.25991
XR_006398167.1	0.000794039	12.6562	8	8	18.5423
XM_029353822.2	772.163	463.842	386.272	463.594	770.188
XM_029329966.2	28.0562	5.00995	10.0138	12.0418	24.0588
XM_044311720.1	0	0	5.34905	0	2.73826
XM_029337701.2	1900.24	1295.32	629.576	1191.35	597.186
XM_044318098.1	0	0	0	0	0
XR_006392610.1	6	0	0	14	2
XR_006391703.1	0	0	6.29364	5.41455	0
XM_029346089.2	0	0	0	0	0
XR_006397072.1	225.924	154.533	137.811	134.11	319.307
XM_029338154.2	1079	605	626	951	893
XM_044312237.1	0	0	11	6	27
XM_029349956.2	1114	971	493	1111	1281
XM_029325132.2	43.0267	53.8834	20.8266	35.0575	14.2099
XR_006392466.1	10	19.4416	5.83381	18.6713	0
XM_044316816.1	18.6572	7.7962	0	31.1298	1.84642
XM_044312885.1	48	16	4	145	49
XM_029343312.2	0	0	0	8.20278	13.6133
XM_044317804.1	144.725	109.171	93.5066	337.458	259.167
XM_044328246.1	0	0	1	5	4
XM_044308586.1	447.495	196.732	198.189	152.394	278.519
XM_029338148.2	258.048	301.539	0	172.053	43.0757
XM_044317115.1	0	0	9.18002	0	4.91188
XM_044313962.1	0	0	0	0	0
XR_006396863.1	560.559	138.234	151.342	231.263	160
XR_006393269.1	1	0	0	0	0
XM_044328147.1	317.22	110.788	150.201	451.345	846.828
XM_029341160.2	0	9.92216	0	2.89247e-05	0
XM_044309203.1	0	0	0	0	0
XM_029333543.2	961	1012	719	1395	1053
XM_029334512.2	826.017	220.19	225.406	389.418	175.643
XM_029352558.2	30.797	60.9932	16.2769	60.5679	8.50849
XM_044313159.1	5.34465	19.1942	2.01102	0	18.4503
XR_006396373.1	0	0	0	0	0
XM_044316585.1	435.607	195.782	274.976	396.768	409.943
XM_044329217.1	57.2077	0	16.8151	1	2.11484
XR_006397258.1	7.50645	60.1176	12.0315	14.6865	24.2013
XM_044325063.1	0	0	0	0	0
XM_029329245.2	89	57	51	107	94
XM_044328029.1	7.17274	11.8375	13.7724	20.3233	15.2531
XM_044308020.1	6.65848	13.3078	4.95694	11.3287	16.2793
XM_029329212.2	2664.2	2376.35	984.987	2948.59	2119.54
XR_006393437.1	53.0785	15.6373	67.4996	50.8638	17.222
XM_029336968.2	445	418	363	303	437
XM_044321857.1	0	0	0	0	38.6751
XM_029351606.2	21	21	6	6	40
XM_029336409.2	206.485	51.2504	42.7051	180.696	78.7526
XM_044321630.1	206.694	0.000286368	122.756	66.2661	87.578
XM_044328666.1	0	0	0	0	0
XR_006394942.1	605	503	184	388	257
XM_044326454.1	18	6	13	4.83963	41.8126
XM_029340374.2	112	249.536	0.00184441	6.1044	64.845
XR_006393338.1	0	0	0	0	0
XR_006392744.1	26.3526	5.12309	11.3143	21.6743	17.3269
XM_029333234.2	1698	478	822	1788	1337
XM_044309808.1	0	0	0	0.00014671	0
XM_029346118.2	2522.22	3208.36	1765.65	3553.72	1171.78
XM_044316406.1	0	24	3	5	28.4708
XM_044320084.1	0	1.19499	0	0	1.63233
XM_044312711.1	0	0	0	0	0
XM_029353631.2	65	63	34	63	49
XM_029356799.2	153.207	368.179	95	221.541	395.929
XM_029349976.2	44	31	41	18.0637	8
XM_044325964.1	27.3151	15.0818	0	0	52.8361
XM_044325159.1	7	1	1	0	10.5052
XM_044326448.1	25	22	23	34	57
XM_044324714.1	13576	9672.07	7574.07	12294.4	6528.13
XM_044316820.1	122.615	0	2.37448	79.442	3.7001
XM_044324234.1	0	0	0	0	0
XM_044327117.1	163	102	191	149	855
XM_029335632.2	8556	6864	5500	6402	4548
XM_029344542.2	0	0	0	0	36.8204
XM_044314396.1	98.2261	177.734	7.98951	84.145	19.1277
XM_029329680.2	436	263	225	214	338
XM_044322735.1	0	0.00016988	0	0	0
XM_044317054.1	0	0	0	0	93.4356
XM_029327291.2	543.426	701.521	445.412	426.184	573.864
XM_044315869.1	0	0	0	0	4
XM_029327224.2	1117.21	905.985	504.218	750	653.404
XM_044324908.1	156.422	332.73	0	73.7377	344.16
XM_029356535.2	638.175	43	70.6346	7.05881	62.3529
XM_044311982.1	0	0	0	0	0
XM_029325903.2	678	285	397	878	575
XM_044314980.1	10.1562	2	0	0	12.6649
XM_044329237.1	0	34.3008	0	157.696	0
XM_044315714.1	327.785	174.175	246.139	422.081	230.551
XM_044322494.1	18420.8	22379.6	6602.41	10812	3297.84
XR_006397933.1	0	5.51091	0	0	5.54598
XM_029346588.2	955	676	421	1027	574
XM_044307349.1	30	3	32	10	147
XM_029350432.2	117	60	71	93	139
XM_044327216.1	718	442	825	786	908
XM_029335409.2	3444	3314	1660	2950	2157
XM_044316159.1	13.9042	0	0	0	0
XM_029339613.2	376	601	261	493	323
XM_044310085.1	15.8985	12.0121	7	25.782	25.1983
XR_006391938.1	14	5	5.34996	14.1184	21
XM_029343952.2	19	2	17	19	30
XM_044320053.1	0	0	0	3	53
XM_044315655.1	0	0	0	0	0
XM_029345895.2	0.0106731	66.1732	0	0	223.11
XR_003828355.2	135.984	121	41	53	170.68
XM_029349274.2	196	151	145	196	325
XM_029330085.2	323	317	306	308	474
XM_044308620.1	45.791	6.24389	0	0	0
XM_044324840.1	0	5.45255	0	1	10.5754
XM_044324540.1	0	0	0	0	0
XM_044324762.1	2298.14	1292.16	921.748	1902.11	1472.59
XM_029348151.2	124.835	50.6451	38.0175	96.0026	90.4372
XR_006394521.1	46.8633	16.9581	7.04318	41.7511	61.0368
XM_029358594.2	145	162	142	126	74
XM_029340156.2	318.15	122.907	152.223	58.2911	48.218
XM_044326074.1	36	9	31	7	19
XM_029342262.2	4.98872e-07	355.78	0.00709786	5.99295	1582.32
XM_044319513.1	439.801	372.705	410.658	524.536	803.361
XM_029336661.2	8.154	52.1215	0	0	22.7192
XM_044306813.1	1828	429	485	1894	376
XM_029347394.2	9	2	13	12	44
XM_029349202.2	21	55	33	20	46
XR_006392076.1	99.8886	157.294	446.324	575.207	535.356
XM_044312799.1	57.0066	89.7522	57.034	419.228	1.9845e-07
XM_044313597.1	96.1509	169.028	87.1777	399.276	235.805
XM_044307650.1	2.99667e-07	0	143.588	67.507	36.9903
XM_029339686.2	862	511	389	769	648
XM_029329466.2	838.221	323.719	222.658	300.54	318.981
XM_044314610.1	0	0	0	0	2.45752
XR_003823487.2	64.7385	8.83239	69.3693	21.4984	133.222
XM_044315590.1	0	0	0	0	0
XM_029333903.2	153	109	159	96	312
XR_006393655.1	0	0	12	0	12
XM_044317751.1	29.5213	44.718	4.88826	80.3794	19.8737
XM_044310166.1	0	4	0	2	13.2591
XM_044325399.1	15.4761	36.4456	20	17.2308	61
XM_029335577.2	573.399	349.533	254.144	396.188	413.755
XM_029343123.2	456	415	211	479	575
XM_029342438.2	206.116	110.609	56.7238	251.075	143.661
XM_044326126.1	0	0	0	0	1
XR_006395379.1	0	0	7	0	0
XM_029350395.2	1557.77	930.583	619.281	1069.37	1136.97
XM_044322712.1	3.61684	0	8.78637	0	14.4122
XM_029332647.2	34	27	9	17	38
XM_044316794.1	0	2.0048	7.01976	4.01447	41.0624
XM_044314545.1	0	0	0	0	0
XM_044327814.1	40.8545	0.310225	8.14491e-06	41.7493	47.3597
XR_006396867.1	34.8567	15.3285	4.19932	22.887	26.1314
XM_044312268.1	91.6667	3.1083	81.081	28.1219	121.356
XM_029340612.2	103.568	0.395194	443.092	2.07856	1093.1
XR_006396236.1	3048	2716	1588	2781	4075
XM_029346328.2	0	1	1	0	11.1599
XM_044328098.1	50.2647	91.1391	112.375	72.5768	129.555
XR_006396421.1	0	0	0	0	0
XM_044308309.1	250	513	664	248	188
XM_029349328.2	170.674	177.205	0	189.666	92.0017
XM_044306839.1	120.874	29.0749	41.7437	438.85	140.592
XM_029356247.2	691	453	335	556	710
XM_044317500.1	6.78463	0	0	0	0
XM_029344596.2	6000	12075	9936	2928	4683
XM_029342854.2	224.134	111.736	45.9436	206.071	313.468
XM_029350186.2	824	869	431	583	534
XM_044308028.1	261.16	34.3485	58.6546	176.924	70.5783
XM_044319125.1	205.379	322.895	0	412.153	489.167
XM_029328237.2	52.532	0	0	21.1663	0
XM_029330629.2	39.0401	33	69.7962	60.783	45.4473
XM_044327792.1	0	0	0	0	0
XM_044322795.1	0	7.08364	5.63291	0	0.613278
XM_044314510.1	2	303	35	1	455
XM_029355017.2	0	0	0	0	3
XM_029323569.2	0	0.433922	81.1924	283.637	446.256
XM_044325290.1	0.075485	67.4731	84.0084	42.902	93.9518
XM_044316103.1	29.9546	94.9601	59.7114	82.8017	194.914
XM_029350708.2	1741.93	2449.72	1251.63	3308.37	2779.44
XM_029338254.2	1298	421.008	1605.97	923.23	1129.65
XM_029350400.2	1743.64	1645.95	925.941	2253.61	1907.67
XM_029331077.2	1225	755	609	1005	1059
XM_044315928.1	22.7391	3	6.39883	6.18075	6.5104
XM_029348143.2	3422	3307	1840	2936	3060
XM_029348245.2	1443	1996	541	96	730
XR_006394651.1	3	0	0	8	4
XM_044317675.1	358.411	150.419	177.289	153.905	143.911
XM_044325926.1	2891.92	1842.56	1730.76	2677.18	2767.06
XM_029356852.2	18.9416	0	0	23.4137	18.9393
XM_029355693.2	138.458	0.000136048	1.78489e-07	0.000185706	65.3995
XR_006394948.1	287.94	216.405	237.534	151.362	351
XM_029350399.2	1062.36	1437.05	935.059	1327.67	1787.96
XM_044314509.1	0	0	8.90249	0	14.2072
XM_044310314.1	0	5.16357	0	2.15847	7.4589
XM_044315313.1	1130.06	515.725	423.162	233.139	787.387
XR_006396364.1	0	0	0	21.4062	0
XR_006393486.1	44	56	18	65	48.6164
XM_029343501.2	0	0	0	2.58024	0
XM_044313585.1	0	5	5	6.94996	0
XM_029326899.2	656.923	884.536	339.636	606.94	656.728
XM_029341907.2	69.6436	34.9219	25.4363	3	0.0515356
XR_006397602.1	0	0	0	0	0
XM_029348924.2	0	0	0	0	0
XM_044313254.1	147	86	40	56	200
XM_044314834.1	0	166.927	156.365	67.5066	0
XM_029330320.2	7505	4734	4462	5605	5954
XR_006397528.1	0	0	0	58.7657	119.897
XM_029333038.2	159	122	64	142	175
XR_006392887.1	41.4353	1.7713	24.8023	4.91995	150.901
XR_003826782.2	7.75722e-08	0	9.1857e-07	0	0
XM_044312312.1	21.1868	14	0	11	1
XR_003826221.2	55.5953	19.6993	38.8582	0	19.6813
XM_029358741.2	842	829	582	610	500
XM_044328019.1	1727	881	505	1088	1144
XM_044310888.1	3.29214	0	6.01122	1.01471	5.02379
XM_044316921.1	585	1061	231	366	330
XM_029356675.2	1519.36	1945.63	731.453	1725.29	979.541
XR_003825913.2	5	10	4	7	26
XM_044323475.1	0	0	0	0	0
XM_029327370.2	8047	9996	6060	7554	5621
XM_044322758.1	782.905	854.347	0	413.403	601.595
XM_029356456.2	960	407	333	746	871
XR_006393298.1	12.8333	1	0	0	0
XM_044311824.1	1029.02	522	469	488	700
XM_044309278.1	0	0	0	0	30.3791
XM_044325198.1	882.592	710.236	720.569	1879.85	1098.43
XM_044320839.1	22.1282	29.8841	0	0	15.8324
XM_044321400.1	139	79	185	165	142
XM_029334853.2	1002	633	493	1188	876
XM_044321980.1	89.17	129.519	85.9961	284.623	11.6505
XM_044316123.1	0	0	0	0	0
XM_044316201.1	0	0	0	0	0
XR_006396460.1	8	2	0	2	6
XM_029352673.2	47	0	49.5228	67.5671	23
XM_044319984.1	181.002	18	28.4717	66.5483	22.0504
XM_044321175.1	501.285	892.848	723.214	357.763	966.778
