"Species","Protein_ID","Protein_of_interest","Protein_of_interest_simplified"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20883.t1","JAK2","JAK2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20910.t1","INTS2","INTS2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20942.t1","EIF3H","EIF3H"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g20958.t1","PPP1R8","PPP1R8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2096.t1","CNOT2","CNOT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21015.t1","EYA1; EYA2; EYA3; EYA4","EYA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2111.t1","WEE1","WEE1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21270.t1","EWSR1; FUS","FET family"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21322.t1","ESCO1; ESCO2","ESCO"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21496.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21497.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21498.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21499.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21500.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21501.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21504.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21506.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21513.t1","MDC1","MDC1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21574.t1","MAPK1; MAPK3","MAPK"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21656.t1","COPS5","COPS5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21746.t2","KDM2A; KDM2B","KDM2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g21765.t1","HNRNPA1; HNRNPA2B1","HNRNPA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22092.t1","HIRA","HIRA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22181.t1","SIRT4","SIRT4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22296.t1","TRIM37","TRIM37"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22322.t1","KMT5A—SETD8","KMT5A—SETD8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22371.t1","PRPF8","PRPF8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22603.t1","USP14","USP14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22610.t1","RAN","RAN"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22614.t1","RAN","RAN"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22617.t1","PPM1D","PPM1D"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22626.t1","SETD6","SETD6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22632.t1","SMYD4","SMYD4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22731.t1","DGCR8","DGCR8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22756.t1","PPP4C","PPP4C"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22778.t1","USP30","USP30"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22781.t1","PPP1CA; PPP1CC","PPP1C"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22798.t1","RPUSD4","RPUSD4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22810.t1","H2AX; HDAC; HDAC1; HDAC2","FLAG: H2AX+HDAC1/2 (review)"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22813.t2","KAT9-ELP3","KAT9-ELP3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22821.t1","USP32; USP6","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22891.t1","PARP12; PARP13-ZC3HAV1","PARP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2290.t1","UBE2D2; UBE2D3","UBE2D"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2291.t1","UBE2D1","UBE2D1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22939.t1","YBX1","YBX1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22958.t1","TARDBP","TARDBP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22970.t1","PPP1R7","PPP1R7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22986.t1","NSUN6","NSUN6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g22996.t1","USP13; USP5","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23056.t1","OTUD3","OTUD3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23171.t1","HDAC; HDAC8","HDAC8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23278.t2","KDM1A","KDM1A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23332.t1","ACAT2","ACAT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23358.t1a","PARP4","PARP4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23377.t1","ACAT1","ACAT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23383.t1","INTS15","INTS15"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23400.t1","ZC3H12A","ZC3H12A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23511.t1","ATM","ATM"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23522.t2","ARID1A; ARID1B","ARID1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23590.t1","LIN28A","LIN28A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23723.t1","SENP6; SENP7","SENP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23736.t1","NSUN4","NSUN4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23862.t1","RBBP4","RBBP4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23882.t1","USP16; USP45","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g23964.t1","PRDM13","PRDM13"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24000.t1","EED","EED"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24243.t1","H2AZ1; H2AZ2","H2AZ"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24275.t1","YTHDF1; YTHDF2; YTHDF3","YTHDF"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24281.t1","DLAT","DLAT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24501.t1","H1-2; H2AJ; H2AW; MACROH2A1","Histone variants"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24581.t1","YWHAQ","YWHAQ"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24618.t1","ATR","ATR"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24660.t1","GTF3C2","GTF3C2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24666.t1","EXOSC6","EXOSC6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g24969.t3","SRRT","SRRT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25259.t1","EZH1; EZH2; KMT6-EZH2","EZH"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25340.t1","PPP1R9A; PPP1R9B","PPP1R9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25349.t2","UBA5","UBA5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25501.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25528.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25529.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25607.t1","SETD5","SETD5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25660.t1","NAA10","NAA10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25661.t1","SUV39H1-KMT1A; SUV39H2-KMT1B","SUV39H"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25665.t2","DCP1; DCP1B","DCP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g25842.t2","PRKDC","PRKDC"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26024.t1","PRMT6; PRMT8","PRMT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26117.t1","NAT10","NAT10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26141.t1","DDB1","DDB1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2618.t1","TARBP1","TARBP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26255.t1","POP7","POP7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26435.t1","CNOT; CNOT3","CNOT3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26495.t1","JOSD1; JOSD2","JOSD"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26548.t1","TOM1","TOM1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26549.t1","USP22; USP27X; USP51","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26550.t1","SUZ12","SUZ12"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26592.t1","KMT5B; KMT5C","KMT5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26677.t1","PHAX","PHAX"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26710.t1","CNOT11","CNOT11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26711.t1","CNOT11","CNOT11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26779.t1","CNOT4","CNOT4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26787.t1","METTL14","METTL14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g26788.t1","PARG","PARG"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27056.t1","RPUSD2","RPUSD2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27144.t1","CNOT1","CNOT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27186.t1","VIRMA","VIRMA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27238.t2","OTUD6A; OTUD6B","OTUD6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27354.t1","JARID2","JARID2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27357.t1","PARP2; PARP3","PARP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27723.t1","PRMT7","PRMT7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27830.t1","INTS8","INTS8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g27964.t1b","CNOT10","CNOT10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28024.t1","UBE2V1","UBE2V1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28144.t1","PPP1R12A; PPP1R12B; PPP1R16A; PPP1R16B","PPP1R1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28146.t1","EXOSC7","EXOSC7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28186.t1","SMG1","SMG1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28277.t1","NAA60","NAA60"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28714.t1","USP7","USP7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28916.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g28947.t1","PKM","PKM"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2906.t1","BLOC1S1","BLOC1S1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29144.t1","PRMT3","PRMT3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29221.t1","USP50; USP8","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2924.t1","ATF2","ATF2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29333.t1","KAT6A; KAT6B","KAT6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29387.t1","PPP1R12C","PPP1R12C"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29390.t1","ZFC3H1","ZFC3H1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29392.t1","SETD3","SETD3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29445.t1","AEBP2","AEBP2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29550.t1","USP47","USP47"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2960.t2","DNMT1; DNMT3A; DNMT3B","DNMT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29707.t1","ZC3H12A; ZC3H12B; ZC3H12C; ZC3H12D","ZC3H12"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g2974.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29785.t1","PSMD14","PSMD14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29787.t1","STK4","STK4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29804.t1","USP53; USP54","USP5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29819.t1","TET1; TET2; TET3","TET"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29863.t1","SETD4","SETD4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29873.t1","PABPC1","PABPC1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29883.t1","AGO2","AGO2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29941.t1","AGO1; AGO2","AGO"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g29995.t1","RPS6KA4; RPS6KA5","RPS6KA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g30183.t1","DICER1; DICER2","DICER"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3024.t1","SENP1; SENP2; SENP3","SENP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g30294.t1","PRMT2","PRMT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3032.t1","HDAC; HDAC4; HDAC5; HDAC7; HDAC9","HDAC class IIa"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g310.t1","PPP1R13B","PPP1R13B"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3155.t1","EXOSC4","EXOSC4"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3222.t1","PRDM15","PRDM15"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3225.t1","CTCF","CTCF"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3227.t1","PRDM5","PRDM5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g335.t1","MAP3K12","MAP3K12"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3591.t2","TRMT1","TRMT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3607.t1","PAN2","PAN2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3752.t1","NOP56","NOP56"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3873.t1","ZRANB1","ZRANB1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g388.t3","TYW5","TYW5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g3962.t1","PARP15","PARP15"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g401.t2","MAP3K22","MAP3K22"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4088.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4089.t1","RDRP","RDRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4104.t1","KAT2A; KAT2B","KAT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4296.t1","KAT1-HAT1","KAT1-HAT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4384.t1","KMT2C; KMT2D","KMT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4513.t1","SMARCC2","SMARCC2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g461.t1","PSMD7","PSMD7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g471.t1","MPND","MPND"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g4951.t1","JMJD7","JMJD7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5074.t2","PNPT1","PNPT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5297.t1","SIRT2","SIRT2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5313.t1","PPP1CB","PPP1CB"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5357.t1","PUS10","PUS10"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5380.t1","INTS7","INTS7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5606.t1","ALKBH1","ALKBH1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g5861.t1","USP34","USP34"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6000.t1","UBR2","UBR2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6176.t1","CNOT9","CNOT9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6534.t1","SIRT6","SIRT6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6540.t1","NCBP1","NCBP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6541.t1","DAPK3","DAPK3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6554.t1","INTS3","INTS3"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6627.t2","HYL1","HYL1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g680.t1","HASPIN","HASPIN"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g6837.t1","PKN1","PKN1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7104.t1","USP20; USP33","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7105.t1","DROSHA","DROSHA"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7106.t1","UCHL5","UCHL5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7234.t1","HENMT1","HENMT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7264.t1","BRD3; BRD4","BRD"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7280.t1","KDM8","KDM8"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7373.t1","EXOSC2","EXOSC2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7374.t1","PRDM12","PRDM12"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7765.t1","DCP2","DCP2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7781.t1","INTS14","INTS14"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7847.t2","DHX9","DHX9"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7872.t2","KHSRP","KHSRP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7900.t1","KMT1C-EHMT2; KMT1D-EHMT1","EHMT"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g795.t1","USP31; USP43","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g7969.t1","CSNK2B","CSNK2B"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8004.t1","INTS5","INTS5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g815.t1","ARH1-ADPRH","ARH1-ADPRH"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8175.t1","SMG5","SMG5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8225.t1","HNRNPK","HNRNPK"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8258.t1","MAP2K1","MAP2K1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8267.t1","USP3; USP44; USP49","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8293.t1","YTHDC2","YTHDC2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8348.t1","UPF1","UPF1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8351.t1","OTUD7A; OTUD7B","OTUD7"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8435.t1","PARP7-TIPARP","PARP7-TIPARP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8448.t1","PARP11","PARP11"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8494.t1","ATAT1","ATAT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8634.t1","PARP16","PARP16"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8807.t1","DIS3L","DIS3L"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8814.t1","UBA6","UBA6"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g8948.t1","DNMT1","DNMT1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g902.t1","ALKBH5","ALKBH5"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9313.t2","TRMT61A","TRMT61A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9373.t1","HSPBAP1","HSPBAP1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9632.t1","KMT2H-ASH1L; KMT3A-SETD2","H3K36 KMT (ASH1L/SETD2)"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9675.t1","DIS3L2","DIS3L2"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9711.t1","USP26; USP37","USP"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9720.t1","NOP58","NOP58"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9730.t1","UBE4A","UBE4A"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9750.t1","XRN; XRN1","XRN1"
"Ptuh","Pocillopora_meandrina_HIv1___RNAseq.g9850.t1","PRDM4; PRDM7; PRDM9","PRDM"
"Ptuh","Pocillopora_meandrina_HIv1___TS.15901_t","WDR5","WDR5"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g10511.t2","INTS10","INTS10"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g10998.t1","USP25; USP28","USP2"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g12783.t1","MAPK8; MAPK8B; MAPK9","MAPK8/9 (JNK)"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g13145.t5b","CHUK","CHUK"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g13502.t1","ADAR","ADAR"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g13787.t1","METTL2A; METTL2B; METTL8","METTL"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g14409.t1","NSUN2","NSUN2"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g16227.t2","WTAP","WTAP"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g16639.t1","NONO; PSPC1; SFPQ","DBHS family"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g17121.t2","KMT3B-NSD1; WHSC1-NSD2; WHSC1L-NSD3","NSD"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g17921.t4","NFX1","NFX1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g18832.t1","USP36; USP42","USP"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g19376.t1","KMT1E-SETDB1","KMT1E-SETDB1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g2094.t1","NOP2","NOP2"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g20979.t1","DICER1","DICER1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g24094.t1","XPO1","XPO1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g24628.t2","XPO5","XPO5"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g25030.t1","KDM1B","KDM1B"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g25350.t1","SMC3","SMC3"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g25955.t1","KAT8","KAT8"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g2626.t1","CDK8","CDK8"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g26409.t1","MCPH1","MCPH1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g26730.t1","RNF20; RNF40","RNF"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g26974.t1","METTL16","METTL16"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g27739.t1a","NSUN5","NSUN5"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g280.t1","MBD2; MBD3","MBD"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g28157.t1","INTS13","INTS13"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g29561.t3a","HDAC; HDAC10; HDAC6","HDAC class IIb"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g29715.t2","JKAMP","JKAMP"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g3565.t1","PARP14; PARP9","PARP"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g4051.t1","HUWE1","HUWE1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g4804.t1","CDK1","CDK1"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g4883.t1","MBD4","MBD4"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g5371.t2","PRKCB","PRKCB"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g5633.t1","DUS1L","DUS1L"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g6709.t1","PPP6C","PPP6C"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g8173.t1","SIRT3","SIRT3"
"Ptuh","Pocillopora_meandrina_HIv1___TS.g9740.t1","ZCCHC4","ZCCHC4"
