mRNA	GO
FUN_022327	GO:0000398; GO:0003924; GO:0005525; GO:0005634; GO:0030623; GO:0046540; GO:0071005; GO:0071007; GO:1990904
FUN_022328	GO:0000462; GO:0003723; GO:0003724; GO:0005524; GO:0005654; GO:0005730; GO:0005737; GO:0007420; GO:0016887; GO:0031965; GO:0034511; GO:0042254; GO:0042255; GO:2000020
FUN_022346	GO:0003735; GO:0006412; GO:0022625; GO:0070180
FUN_022357	GO:0006884; GO:0008511; GO:0008519; GO:0015377; GO:0015379; GO:0016323; GO:0016324; GO:0035725; GO:0042472; GO:0042802; GO:0043583; GO:0048798; GO:0055064; GO:0055075; GO:0055078; GO:1902476; GO:1990573
FUN_022358	GO:0006813; GO:0006814; GO:0015377; GO:0016323; GO:0046873; GO:0071944; GO:0098659
FUN_022363	GO:0016020
FUN_022364	GO:0000122; GO:0001525; GO:0001657; GO:0001701; GO:0001837; GO:0002053; GO:0003148; GO:0003149; GO:0004714; GO:0005007; GO:0005524; GO:0005576; GO:0005634; GO:0005737; GO:0005794; GO:0005886; GO:0005938; GO:0006915; GO:0007169; GO:0007267; GO:0007409; GO:0007528; GO:0008201; GO:0008283; GO:0008284; GO:0008543; GO:0008589; GO:0009791; GO:0009880; GO:0009887; GO:0009986; GO:0010463; GO:0010518; GO:0010628; GO:0010839; GO:0016331; GO:0017134; GO:0018108; GO:0021769; GO:0021847; GO:0021860; GO:0022612; GO:0030177; GO:0030282; GO:0030324; GO:0030855; GO:0030901; GO:0030916; GO:0031069; GO:0031410; GO:0032808; GO:0033674; GO:0033688; GO:0035265; GO:0035602; GO:0035603; GO:0035604; GO:0035607; GO:0042472; GO:0042476; GO:0042802; GO:0042803; GO:0043235; GO:0043410; GO:0045165; GO:0045787; GO:0045839; GO:0045944; GO:0046777; GO:0048103; GO:0048286; GO:0048489; GO:0048557; GO:0048562; GO:0048565; GO:0048568; GO:0048608; GO:0048661; GO:0048701; GO:0048730; GO:0048755; GO:0048762; GO:0048863; GO:0050673; GO:0050674; GO:0050677; GO:0050678; GO:0050679; GO:0050680; GO:0051150; GO:0051301; GO:0055010; GO:0060038; GO:0060045; GO:0060070; GO:0060076; GO:0060174; GO:0060348; GO:0060349; GO:0060365; GO:0060441; GO:0060442; GO:0060445; GO:0060449; GO:0060463; GO:0060484; GO:0060501; GO:0060512; GO:0060523; GO:0060527; GO:0060529; GO:0060595; GO:0060601; GO:0060615; GO:0060664; GO:0060667; GO:0060670; GO:0060688; GO:0060915; GO:0060916; GO:0060979; GO:0061031; GO:0062023; GO:0070307; GO:0070371; GO:0070372; GO:0070374; GO:0072089; GO:0090263; GO:0140014; GO:1904677; GO:2000648
FUN_022367	GO:0005542; GO:0005794; GO:0005814; GO:0005829; GO:0006548; GO:0019556; GO:0019557; GO:0030409; GO:0030412
FUN_022368	GO:0003697; GO:0003723; GO:0005657; GO:0006282; GO:0016607; GO:2000042
FUN_022369	GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0018242; GO:0018243; GO:0030145; GO:0030246; GO:0048471
FUN_022370	GO:0001696; GO:0001697; GO:0001698; GO:0003382; GO:0004969; GO:0004993; GO:0005886; GO:0007187; GO:0007268; GO:0007613; GO:0008542; GO:0016020; GO:0030425; GO:0030594; GO:0045202; GO:0045907; GO:0048167; GO:0048565; GO:0048732; GO:1900139; GO:1901363; GO:1901998
FUN_022371	GO:0000139; GO:0004653; GO:0005794; GO:0006493; GO:0018243; GO:0030246; GO:0046872
FUN_022381	GO:0005509; GO:0005737; GO:0005829; GO:0005884; GO:0005886; GO:0031594; GO:0032420; GO:0032432; GO:0051015; GO:0051017; GO:0051639; GO:0060348; GO:0098693; GO:0098699
FUN_022385	GO:0004252; GO:0005615; GO:0006508; GO:0007586; GO:0046872
FUN_022386	GO:0004252; GO:0005615; GO:0006508; GO:0007586; GO:0046872
FUN_022389	GO:0003341; GO:0005524; GO:0007018; GO:0008569; GO:0030286; GO:0030317; GO:0036126; GO:0036156; GO:0045505; GO:0051959; GO:0070062; GO:0120316
FUN_022395	GO:0003730; GO:0005524; GO:0005813; GO:0005832; GO:0005874; GO:0007339; GO:0009615; GO:0016887; GO:0031681; GO:0032212; GO:0044297; GO:0048027; GO:0048487; GO:0050821; GO:0051082; GO:0061077; GO:0140662; GO:1901998; GO:1904851
FUN_022398	GO:0016791; GO:0046872
FUN_022424	GO:0004081; GO:0004820; GO:0005524; GO:0005739; GO:0005829; GO:0006418; GO:0006426; GO:0015966; GO:0016740; GO:0030141; GO:0030424; GO:0042802; GO:0046983; GO:0070062
FUN_022443	GO:0005200; GO:0005525; GO:0005737; GO:0005874; GO:0007017; GO:0016787; GO:0046872
FUN_022444	GO:0002933; GO:0004497; GO:0005496; GO:0005506; GO:0005737; GO:0005789; GO:0008202; GO:0008210; GO:0008395; GO:0008401; GO:0009822; GO:0010628; GO:0016491; GO:0019899; GO:0020037; GO:0030343; GO:0034875; GO:0042178; GO:0042573; GO:0050649; GO:0062181; GO:0070330; GO:0070576; GO:0070989; GO:0101020; GO:0101021
FUN_022445	GO:0004497; GO:0005506; GO:0005789; GO:0020037; GO:0070330
FUN_022446	GO:0004497; GO:0005506; GO:0005789; GO:0020037; GO:0070330
FUN_022479	GO:0004850; GO:0005654; GO:0005829; GO:0006218; GO:0006220; GO:0006248; GO:0006249; GO:0009032; GO:0042149; GO:0042802; GO:0044206; GO:0046050; GO:0046074; GO:0046079; GO:0046108; GO:0047847
FUN_022484	GO:0004112; GO:0004114; GO:0004115; GO:0004118; GO:0005829; GO:0007165; GO:0008152; GO:0010754; GO:0030553; GO:0043204; GO:0043951; GO:0046872; GO:0047555
FUN_022487	GO:0005516; GO:0010506; GO:0014066; GO:0016020; GO:0016567; GO:0019005; GO:0031146; GO:0050727; GO:1900226; GO:1990756
FUN_022491	GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001707; GO:0001708; GO:0001756; GO:0001889; GO:0001947; GO:0003007; GO:0003140; GO:0003143; GO:0003677; GO:0005634; GO:0006357; GO:0007368; GO:0007498; GO:0010159; GO:0014028; GO:0016055; GO:0030903; GO:0031016; GO:0035462; GO:0035775; GO:0036342; GO:0042663; GO:0043565; GO:0045893; GO:0048565; GO:0060028; GO:0060034; GO:0061053; GO:0061371; GO:0070121; GO:0072045; GO:2000223
FUN_022501	GO:0004888; GO:0004965; GO:0005737; GO:0005886; GO:0007193; GO:0007214; GO:0016020; GO:0030425; GO:0038039; GO:0042734; GO:0043005; GO:0043204; GO:0045211; GO:0046982; GO:0051932; GO:0098978; GO:0098982; GO:0150099; GO:1902710; GO:1902712
FUN_022507	GO:0000724; GO:0003697; GO:0004386; GO:0005524; GO:0005634; GO:0006974; GO:0016887; GO:0032508; GO:0042555; GO:0097362
FUN_022509	GO:0003723; GO:0003724; GO:0005524; GO:0005634; GO:0005737; GO:0008104; GO:0016887; GO:0042981
FUN_022516	GO:0000165; GO:0002221; GO:0002227; GO:0002253; GO:0002606; GO:0002710; GO:0002720; GO:0002732; GO:0002815; GO:0002830; GO:0002862; GO:0002925; GO:0003779; GO:0005524; GO:0005737; GO:0005794; GO:0005829; GO:0005856; GO:0005886; GO:0006909; GO:0006952; GO:0006954; GO:0006963; GO:0006965; GO:0007165; GO:0007249; GO:0007254; GO:0007584; GO:0008284; GO:0009595; GO:0009986; GO:0010936; GO:0016045; GO:0016323; GO:0018108; GO:0019899; GO:0019901; GO:0030277; GO:0030544; GO:0031398; GO:0031982; GO:0032088; GO:0032494; GO:0032495; GO:0032496; GO:0032498; GO:0032500; GO:0032689; GO:0032695; GO:0032701; GO:0032703; GO:0032720; GO:0032731; GO:0032733; GO:0032735; GO:0032740; GO:0032755; GO:0032757; GO:0032760; GO:0032874; GO:0032991; GO:0034134; GO:0034136; GO:0035556; GO:0038061; GO:0038187; GO:0042742; GO:0042834; GO:0043123; GO:0043330; GO:0043406; GO:0043410; GO:0043552; GO:0044877; GO:0045087; GO:0045089; GO:0045335; GO:0045747; GO:0045944; GO:0046330; GO:0050679; GO:0050700; GO:0050727; GO:0050731; GO:0050766; GO:0050830; GO:0050871; GO:0051092; GO:0051353; GO:0051403; GO:0051649; GO:0051770; GO:0051879; GO:0060585; GO:0060907; GO:0070371; GO:0070374; GO:0070431; GO:0071222; GO:0071224; GO:0071225; GO:0071407; GO:0071639; GO:0090022; GO:0098792; GO:1900017; GO:1901224; GO:1902523; GO:1904417; GO:2000110; GO:2000363
FUN_022529	GO:0005525
FUN_022534	GO:0016020
FUN_022535	GO:0005576
FUN_022536	GO:0005576
FUN_022557	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022561	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022568	GO:0000209; GO:0005634; GO:0006511; GO:0016607; GO:0032436; GO:0043161; GO:0046872; GO:0048856; GO:0061630; GO:0070373; GO:0070534
FUN_022572	GO:0003015; GO:0005886; GO:0005919; GO:0007391; GO:0008039; GO:0008104; GO:0008366; GO:0019991; GO:0021682; GO:0035151; GO:0045202; GO:0045216; GO:0048786; GO:0060857; GO:0061343; GO:0072553; GO:0097105
FUN_022574	GO:0002175; GO:0005886; GO:0007005; GO:0007010; GO:0007155; GO:0007165; GO:0007409; GO:0016020; GO:0017124; GO:0019227; GO:0022010; GO:0022011; GO:0030913; GO:0033010; GO:0033270; GO:0038023; GO:0048786; GO:0048812; GO:0050884; GO:0050885; GO:0071205; GO:0090128; GO:0097106; GO:0098529; GO:0098978; GO:1990227
FUN_022575	GO:0002175; GO:0005886; GO:0007005; GO:0007010; GO:0007155; GO:0007165; GO:0007409; GO:0016020; GO:0017124; GO:0019227; GO:0022010; GO:0022011; GO:0030913; GO:0033010; GO:0033270; GO:0038023; GO:0048786; GO:0048812; GO:0050884; GO:0050885; GO:0071205; GO:0090128; GO:0097106; GO:0098529; GO:0098978; GO:1990227
FUN_022577	GO:0003015; GO:0005886; GO:0005919; GO:0007391; GO:0008039; GO:0008104; GO:0008366; GO:0019991; GO:0021682; GO:0035151; GO:0045202; GO:0045216; GO:0048786; GO:0060857; GO:0061343; GO:0072553; GO:0097105
FUN_022578	GO:0001669; GO:0002177; GO:0003341; GO:0003351; GO:0003356; GO:0005576; GO:0005829; GO:0005874; GO:0005930; GO:0006931; GO:0007283; GO:0007288; GO:0008017; GO:0008104; GO:0010761; GO:0015630; GO:0021591; GO:0030317; GO:0031410; GO:0043149; GO:0043583; GO:0044458; GO:0045198; GO:0046847; GO:0051301; GO:0051649; GO:0090175; GO:0090660; GO:0097228; GO:0120197; GO:0120249; GO:1905515; GO:1990138; GO:1990716
FUN_022580	GO:0005783; GO:0006695; GO:0008142; GO:0016126; GO:0032869; GO:0032933; GO:0032937; GO:0036316
FUN_022591	GO:0004579; GO:0006516; GO:0006986; GO:0018279; GO:0030433; GO:0034998; GO:0034999; GO:0043686; GO:0043687; GO:0046872
FUN_022596	GO:0004930; GO:0005886; GO:0065008
FUN_022598	GO:0002032; GO:0004941; GO:0005769; GO:0005794; GO:0005886; GO:0006898; GO:0006940; GO:0007189; GO:0007190; GO:0042803; GO:0043235; GO:0043410; GO:0051380; GO:0097746; GO:1901098; GO:1904504
FUN_022602	GO:0003676; GO:0005654; GO:0005730; GO:0005794; GO:0005829; GO:0008270; GO:0008631; GO:0030687; GO:0033674; GO:0042273; GO:0043065; GO:0043410; GO:0046330; GO:1990275
FUN_022606	GO:0003677; GO:0003723; GO:0003887; GO:0003964; GO:0004190; GO:0004519; GO:0005634; GO:0005737; GO:0006310; GO:0006508; GO:0015074; GO:0046872
FUN_022610	GO:0000082; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010586; GO:0021915; GO:0035198; GO:0035278; GO:0051865; GO:0060964; GO:0072089; GO:2000177
FUN_022611	GO:0000082; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010586; GO:0021915; GO:0035198; GO:0035278; GO:0051865; GO:0060964; GO:0072089; GO:2000177
FUN_022613	GO:0003824
FUN_022615	GO:0000139; GO:0001501; GO:0001503; GO:0001569; GO:0001649; GO:0001701; GO:0001708; GO:0001763; GO:0001944; GO:0001947; GO:0002053; GO:0002062; GO:0003382; GO:0003406; GO:0003413; GO:0005113; GO:0005509; GO:0005576; GO:0005615; GO:0005789; GO:0005886; GO:0006029; GO:0007224; GO:0007267; GO:0007389; GO:0008233; GO:0008283; GO:0008284; GO:0009612; GO:0009880; GO:0010468; GO:0016539; GO:0016540; GO:0030704; GO:0031012; GO:0031016; GO:0032331; GO:0032355; GO:0032967; GO:0033085; GO:0033088; GO:0033089; GO:0034189; GO:0035264; GO:0035988; GO:0040008; GO:0042733; GO:0043010; GO:0043066; GO:0045453; GO:0045880; GO:0045944; GO:0046638; GO:0046639; GO:0048074; GO:0048469; GO:0048557; GO:0048596; GO:0048666; GO:0048745; GO:0050679; GO:0051216; GO:0060135; GO:0060220; GO:0060323; GO:0060350; GO:0061053; GO:0072498; GO:0090136; GO:0097264; GO:0097421; GO:0140853
FUN_022627	GO:0000122; GO:0000785; GO:0000976; GO:0000978; GO:0000981; GO:0001223; GO:0001228; GO:0001541; GO:0001649; GO:0001658; GO:0001666; GO:0001701; GO:0001702; GO:0001837; GO:0003148; GO:0003161; GO:0003190; GO:0003198; GO:0003220; GO:0003251; GO:0003360; GO:0003682; GO:0005518; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005813; GO:0005829; GO:0006351; GO:0006366; GO:0006879; GO:0007179; GO:0007183; GO:0007283; GO:0007338; GO:0007411; GO:0007492; GO:0007498; GO:0007568; GO:0008283; GO:0008285; GO:0009653; GO:0010614; GO:0010631; GO:0010666; GO:0010718; GO:0010862; GO:0014033; GO:0017015; GO:0030154; GO:0030308; GO:0030325; GO:0030509; GO:0030511; GO:0030513; GO:0031005; GO:0032444; GO:0032525; GO:0032909; GO:0032924; GO:0033686; GO:0035556; GO:0036302; GO:0042060; GO:0042118; GO:0042177; GO:0042733; GO:0042802; GO:0042803; GO:0043199; GO:0045892; GO:0045893; GO:0045944; GO:0046872; GO:0046881; GO:0048589; GO:0048663; GO:0048733; GO:0048859; GO:0051098; GO:0051571; GO:0051797; GO:0060065; GO:0060391; GO:0060395; GO:0060412; GO:0060548; GO:0060956; GO:0061040; GO:0061629; GO:0062009; GO:0070102; GO:0070371; GO:0070373; GO:0070411; GO:0070412; GO:0071141; GO:0071144; GO:0071333; GO:0071559; GO:0071773; GO:0072133; GO:0072134; GO:0072520; GO:1901522; GO:1902895; GO:1905305; GO:2000617
FUN_022628	GO:0000122; GO:0000785; GO:0000976; GO:0000977; GO:0000978; GO:0000981; GO:0001223; GO:0001228; GO:0001541; GO:0001649; GO:0001658; GO:0001666; GO:0001701; GO:0001702; GO:0001822; GO:0001837; GO:0003148; GO:0003190; GO:0003198; GO:0003220; GO:0003251; GO:0003279; GO:0003360; GO:0003677; GO:0003682; GO:0003700; GO:0005518; GO:0005634; GO:0005654; GO:0005667; GO:0005737; GO:0005813; GO:0005829; GO:0006351; GO:0006355; GO:0006357; GO:0006366; GO:0006879; GO:0007179; GO:0007183; GO:0007283; GO:0007338; GO:0007369; GO:0007411; GO:0007492; GO:0007498; GO:0007568; GO:0008283; GO:0008285; GO:0008584; GO:0008585; GO:0009653; GO:0009952; GO:0010614; GO:0010631; GO:0010666; GO:0010718; GO:0010862; GO:0014033; GO:0017015; GO:0030154; GO:0030308; GO:0030325; GO:0030509; GO:0030511; GO:0030513; GO:0031005; GO:0032444; GO:0032525; GO:0032909; GO:0032991; GO:0033686; GO:0035556; GO:0036302; GO:0042060; GO:0042118; GO:0042127; GO:0042177; GO:0042733; GO:0042802; GO:0042803; GO:0043199; GO:0045892; GO:0045893; GO:0045944; GO:0046332; GO:0046872; GO:0046881; GO:0048382; GO:0048589; GO:0048663; GO:0048729; GO:0048733; GO:0048859; GO:0051098; GO:0051571; GO:0051797; GO:0060065; GO:0060391; GO:0060395; GO:0060412; GO:0060548; GO:0060956; GO:0061040; GO:0061629; GO:0062009; GO:0070102; GO:0070371; GO:0070373; GO:0070411; GO:0070412; GO:0071141; GO:0071144; GO:0071333; GO:0071559; GO:0072133; GO:0072134; GO:0072520; GO:0090575; GO:0140537; GO:1902895; GO:1905305; GO:2000617
FUN_022629	GO:0003677; GO:0003713; GO:0003723; GO:0005634; GO:0005654; GO:0006325; GO:0016746; GO:0035097; GO:0042054; GO:0042393; GO:0042800; GO:0044666; GO:0045944; GO:0046872; GO:0051568; GO:0097692; GO:0140945
FUN_022631	GO:0001653; GO:0004983; GO:0005886; GO:0007186; GO:0007218; GO:0008188; GO:0016020
FUN_022633	GO:0016020; GO:0035556; GO:0055085
FUN_022634	GO:0030991
FUN_022637	GO:0004605; GO:0005743; GO:0016024; GO:0019898; GO:0031314; GO:0032049
FUN_022640	GO:0004660; GO:0005829; GO:0005875; GO:0005965; GO:0006629; GO:0008270; GO:0018342; GO:0018343
FUN_022650	GO:0016020
FUN_022654	GO:0005789; GO:0006629; GO:0015020
FUN_022661	GO:0000082; GO:0000209; GO:0000932; GO:0004842; GO:0008270; GO:0008543; GO:0010172; GO:0010586; GO:0017148; GO:0021915; GO:0030371; GO:0035198; GO:0035278; GO:0043161; GO:0051865; GO:0060964; GO:0061630; GO:0072089; GO:2000177
FUN_022663	GO:0000176; GO:0000177; GO:0000178; GO:0000460; GO:0000791; GO:0000956; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005829; GO:0006396; GO:0006401; GO:0016075; GO:0030307; GO:0034427; GO:0034475; GO:0035925; GO:0043231; GO:0045006; GO:0051607; GO:0071028; GO:0071044; GO:0071051; GO:0101019
FUN_022665	
FUN_022667	GO:0004111; GO:0005524; GO:0005743; GO:0016310; GO:0046314
FUN_022669	GO:0001822; GO:0005929; GO:0016020
FUN_022675	GO:0000776; GO:0000922; GO:0005737; GO:0005868; GO:0005874; GO:0007018; GO:0010970; GO:0031982; GO:0045503; GO:0045504
FUN_022676	GO:0001501; GO:0001503; GO:0001568; GO:0001649; GO:0001957; GO:0001958; GO:0002020; GO:0005201; GO:0005576; GO:0005581; GO:0005584; GO:0005615; GO:0005737; GO:0005783; GO:0005794; GO:0007601; GO:0007605; GO:0009410; GO:0009612; GO:0010718; GO:0010812; GO:0015031; GO:0030141; GO:0030198; GO:0030199; GO:0030335; GO:0031012; GO:0031960; GO:0032355; GO:0032868; GO:0032964; GO:0034504; GO:0034505; GO:0038063; GO:0042060; GO:0042542; GO:0042802; GO:0043588; GO:0043589; GO:0044344; GO:0044691; GO:0045893; GO:0046872; GO:0048407; GO:0048705; GO:0048706; GO:0051591; GO:0055093; GO:0060325; GO:0060346; GO:0060351; GO:0062023; GO:0071230; GO:0071260; GO:0071300; GO:0071306; GO:0071356; GO:0071364; GO:0071560; GO:0090263; GO:1902618
FUN_022677	GO:0005743; GO:0006839; GO:0022857
FUN_022678	GO:0001696; GO:0004969; GO:0005886; GO:0045907
FUN_022682	GO:0005737; GO:0006915; GO:0007249; GO:0050769; GO:1902042
FUN_022691	GO:0005739; GO:0006508; GO:0046872; GO:0070006; GO:0070084
FUN_022700	GO:0004364; GO:0005737; GO:0005886; GO:0005975; GO:0008270; GO:0017124; GO:0031179; GO:0043295; GO:0043523; GO:0050750; GO:1903203
FUN_022702	GO:0000307; GO:0002944; GO:0004672; GO:0004693; GO:0005524; GO:0005634; GO:0006366; GO:0006368; GO:0006397; GO:0006468; GO:0008024; GO:0008353; GO:0008380; GO:0016607; GO:0019901; GO:0019908; GO:0030332; GO:0032968; GO:0043405; GO:0043484; GO:0046777; GO:0070816; GO:0106310; GO:2000737
FUN_022703	GO:0001843; GO:0003924; GO:0003925; GO:0005525; GO:0005739; GO:0005886; GO:0005925; GO:0006887; GO:0006935; GO:0007049; GO:0007165; GO:0007265; GO:0009986; GO:0017022; GO:0017157; GO:0019003; GO:0030659; GO:0031532; GO:0031623; GO:0031625; GO:0031755; GO:0032154; GO:0045742; GO:0051117; GO:0051301; GO:0051491; GO:0051665; GO:0070062; GO:0072655; GO:0090141; GO:0090543; GO:0097060; GO:0098685; GO:0099149
FUN_022704	NA
FUN_022708	GO:0000977; GO:0000981; GO:0005634; GO:0006357; GO:0019827; GO:0030154; GO:0032502; GO:0045944; GO:0046983; GO:0070888; GO:1902037; GO:2000738
FUN_022718	GO:0004252; GO:0005576; GO:0005886; GO:0006508; GO:0009986; GO:0033561
FUN_022724	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022725	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022726	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022727	GO:0005201; GO:0005509; GO:0005615; GO:0005635; GO:0009986; GO:1903118
FUN_022728	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022729	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022730	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022731	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022732	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022733	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022734	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022735	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022736	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022737	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022738	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022739	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022740	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022741	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022742	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022743	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022744	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022745	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022746	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022747	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022748	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022749	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022750	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022751	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022752	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022753	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022754	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022755	GO:0002412; GO:0005201; GO:0005615; GO:0005768; GO:0009897; GO:0009986; GO:0016324; GO:0042589; GO:0045087; GO:0045121; GO:1990266
FUN_022765	GO:0003677; GO:0005634; GO:0014029; GO:0046983
FUN_022767	GO:0005765; GO:0006914; GO:0032008
FUN_022770	GO:0005615; GO:0005634; GO:0005654; GO:0005737; GO:0005829; GO:0005886; GO:0006334; GO:0031072; GO:0032781; GO:0042393; GO:0051087; GO:0101031
FUN_022771	GO:0004441; GO:0046854; GO:0046855; GO:0046872; GO:0052829
FUN_022772	GO:0000930; GO:0005525; GO:0005737; GO:0005813; GO:0005827; GO:0007020; GO:0031122; GO:1990498
FUN_022775	GO:0005739; GO:0005743; GO:0006843; GO:0015297; GO:0071913
FUN_022779	GO:0003677; GO:0005634; GO:0006284; GO:0017065
FUN_022780	GO:0003723; GO:0003727; GO:0003729; GO:0005634; GO:0005737; GO:0005844; GO:0006417; GO:0007417; GO:0008266; GO:0009725; GO:0030855; GO:0042802
FUN_022789	GO:0000070; GO:0000278; GO:0000776; GO:0000794; GO:0000922; GO:0001824; GO:0004672; GO:0004674; GO:0005524; GO:0005634; GO:0005654; GO:0005730; GO:0005737; GO:0005813; GO:0005829; GO:0005874; GO:0006468; GO:0007059; GO:0007088; GO:0019903; GO:0030496; GO:0032212; GO:0032991; GO:0043392; GO:0046602; GO:0046777; GO:0046872; GO:0051225; GO:0051299; GO:0051301; GO:0051321; GO:0051973; GO:0051988; GO:0090307; GO:0106310; GO:1903126; GO:1904355
FUN_022797	GO:0000159; GO:0005829; GO:0006470; GO:0019888
FUN_022798	GO:0005615; GO:0005829; GO:0006955; GO:0007605; GO:0016020; GO:0032426; GO:0038023; GO:0120234
FUN_022800	GO:0007605; GO:0016020; GO:0032426; GO:0120234
FUN_022806	GO:0001972; GO:0004497; GO:0005506; GO:0005739; GO:0006629; GO:0016020; GO:0020037; GO:0061896; GO:0061897; GO:0061898; GO:1904768
