HOG	OG	Gene Tree Parent Clade	Apulchra-genome.pep	Pocillopora_meandrina_HIv1.genes.pep	Porites_evermanni_v1.annot.pep
N1.HOG0005161	OG0004813	n0	FUN_001109-T1, FUN_001109-T2	Pocillopora_meandrina_HIv1___RNAseq.g29364.t1	
N1.HOG0005162	OG0004814	n0	FUN_014152-T1, FUN_003178-T1, FUN_003780-T1, FUN_001127-T1		
N1.HOG0005163	OG0004815	n0	FUN_001131-T1, FUN_044399-T1, FUN_044399-T2, FUN_001132-T1		
N1.HOG0005164	OG0004816	n0	FUN_001140-T2, FUN_001140-T1	Pocillopora_meandrina_HIv1___RNAseq.g29334.t1	
N1.HOG0005165	OG0004817	n0	FUN_001147-T1	Pocillopora_meandrina_HIv1___RNAseq.g29328.t1, Pocillopora_meandrina_HIv1___TS.g6522.t1	
N1.HOG0005166	OG0004818	n0	FUN_001164-T2, FUN_001164-T1	Pocillopora_meandrina_HIv1___RNAseq.g29216.t1	
N1.HOG0005167	OG0004819	n0	FUN_001177-T1, FUN_001177-T2	Pocillopora_meandrina_HIv1___TS.g6731.t1	
N1.HOG0005168	OG0004820	n0	FUN_001179-T1	Pocillopora_meandrina_HIv1___RNAseq.g29545.t1	
N1.HOG0005169	OG0004821	n0	FUN_001180-T2, FUN_001180-T1	Pocillopora_meandrina_HIv1___RNAseq.g29544.t1	
N1.HOG0005170	OG0004822	n0	FUN_001185-T1, FUN_016181-T1	Pocillopora_meandrina_HIv1___RNAseq.g29540.t1	
N1.HOG0005171	OG0004823	n0	FUN_001189-T1	Pocillopora_meandrina_HIv1___RNAseq.g29537.t1	
N1.HOG0005172	OG0004824	n0	FUN_001232-T1	Pocillopora_meandrina_HIv1___RNAseq.g29248.t1, Pocillopora_meandrina_HIv1___RNAseq.g29247.t1	
N1.HOG0005173	OG0004825	n0	FUN_001234-T2, FUN_001234-T1	Pocillopora_meandrina_HIv1___RNAseq.g29021.t1	
N1.HOG0005174	OG0004826	n0	FUN_001236-T1, FUN_001236-T2	Pocillopora_meandrina_HIv1___RNAseq.g2513.t1	
N1.HOG0005175	OG0004827	n0	FUN_001237-T2, FUN_001237-T1	Pocillopora_meandrina_HIv1___RNAseq.g2514.t1	
N1.HOG0005176	OG0004828	n0	FUN_001244-T1	Pocillopora_meandrina_HIv1___RNAseq.g2296.t1	
N1.HOG0005177	OG0004829	n0	FUN_001250-T1	Pocillopora_meandrina_HIv1___RNAseq.g2326.t1, Pocillopora_meandrina_HIv1___RNAseq.g2308.t1	
N1.HOG0005178	OG0004830	n0	FUN_001251-T1	Pocillopora_meandrina_HIv1___RNAseq.g2309.t1	
N1.HOG0005179	OG0004831	n0	FUN_001260-T1, FUN_001261-T1, FUN_001259-T1, FUN_001262-T1		
N1.HOG0005180	OG0004832	n0	FUN_001301-T2, FUN_001301-T1	Pocillopora_meandrina_HIv1___RNAseq.g2235.t1	
N1.HOG0005181	OG0004833	n0	FUN_001311-T1, FUN_001311-T2	Pocillopora_meandrina_HIv1___RNAseq.g2260.t1	
N1.HOG0005182	OG0004834	n0	FUN_001323-T2, FUN_001323-T1	Pocillopora_meandrina_HIv1___RNAseq.g2265.t1	
N1.HOG0005183	OG0004835	n0	FUN_001332-T1	Pocillopora_meandrina_HIv1___TS.g4787.t1, Pocillopora_meandrina_HIv1___RNAseq.g2281.t1	
N1.HOG0005184	OG0004836	n0	FUN_001333-T1	Pocillopora_meandrina_HIv1___RNAseq.g2283.t1, Pocillopora_meandrina_HIv1___RNAseq.g2280.t1	
N1.HOG0005185	OG0004837	n0	FUN_001338-T1, FUN_001338-T2	Pocillopora_meandrina_HIv1___TS.g4798.t2	
N1.HOG0005186	OG0004838	n0	FUN_001350-T1, FUN_001350-T2	Pocillopora_meandrina_HIv1___RNAseq.g1875.t1	
N1.HOG0005187	OG0004839	n0	FUN_001366-T1	Pocillopora_meandrina_HIv1___RNAseq.g2145.t1	
N1.HOG0005188	OG0004840	n0	FUN_001370-T2, FUN_001370-T1	Pocillopora_meandrina_HIv1___RNAseq.g2140.t1	
N1.HOG0005189	OG0004841	n0	FUN_001376-T1	Pocillopora_meandrina_HIv1___RNAseq.g2137.t1	
N1.HOG0005190	OG0004842	n0	FUN_001381-T1, FUN_001381-T2	Pocillopora_meandrina_HIv1___RNAseq.g2133.t1	
N1.HOG0005191	OG0004843	n0	FUN_001400-T1		
N1.HOG0005192	OG0004844	n0	FUN_001413-T1	Pocillopora_meandrina_HIv1___RNAseq.g2101.t1	
N1.HOG0005193	OG0004845	n0	FUN_001425-T1, FUN_001425-T2	Pocillopora_meandrina_HIv1___RNAseq.g1950.t1	
N1.HOG0005194	OG0004846	n0	FUN_001518-T1	Pocillopora_meandrina_HIv1___RNAseq.g1881.t1	
N1.HOG0005195	OG0004847	n0	FUN_001529-T2, FUN_001529-T3	Pocillopora_meandrina_HIv1___RNAseq.g2044.t1	
N1.HOG0005196	OG0004848	n0	FUN_001532-T1, FUN_001532-T2	Pocillopora_meandrina_HIv1___RNAseq.g2048.t1	
N1.HOG0005197	OG0004849	n0	FUN_001547-T1	Pocillopora_meandrina_HIv1___RNAseq.g2064.t1	
N1.HOG0005198	OG0004850	n0	FUN_001577-T1	Pocillopora_meandrina_HIv1___RNAseq.g2029.t1	
N1.HOG0005199	OG0004851	n0	FUN_001578-T2, FUN_001578-T1	Pocillopora_meandrina_HIv1___RNAseq.g2030.t1	
N1.HOG0005200	OG0004852	n0	FUN_001582-T1	Pocillopora_meandrina_HIv1___RNAseq.12901_t	
N1.HOG0005201	OG0004853	n0	FUN_001587-T1, FUN_001587-T2	Pocillopora_meandrina_HIv1___RNAseq.g2036.t2	
N1.HOG0005202	OG0004854	n0	FUN_001596-T1	Pocillopora_meandrina_HIv1___RNAseq.g1984.t1	
N1.HOG0005203	OG0004855	n0	FUN_001610-T1	Pocillopora_meandrina_HIv1___RNAseq.g1920.t1, Pocillopora_meandrina_HIv1___RNAseq.g1975.t1	
N1.HOG0005204	OG0004856	n0	FUN_001612-T1	Pocillopora_meandrina_HIv1___RNAseq.g1976.t1	
N1.HOG0005205	OG0004857	n0	FUN_001619-T1	Pocillopora_meandrina_HIv1___RNAseq.g1947.t1	
N1.HOG0005206	OG0004858	n0	FUN_001621-T1	Pocillopora_meandrina_HIv1___RNAseq.g1948.t1	
N1.HOG0005207	OG0004859	n0	FUN_001638-T1	Pocillopora_meandrina_HIv1___TS.g14306.t1	
N1.HOG0005208	OG0004860	n0	FUN_001640-T1	Pocillopora_meandrina_HIv1___RNAseq.g29421.t1	
N1.HOG0005209	OG0004861	n0	FUN_001648-T2, FUN_001648-T1	Pocillopora_meandrina_HIv1___RNAseq.g29417.t1	
N1.HOG0005210	OG0004862	n0	FUN_001663-T1	Pocillopora_meandrina_HIv1___TS.g6589.t1b, Pocillopora_meandrina_HIv1___RNAseq.g29393.t1	
N1.HOG0005211	OG0004863	n0	FUN_001665-T1	Pocillopora_meandrina_HIv1___RNAseq.g29391.t1	
N1.HOG0005212	OG0004864	n0	FUN_021989-T1, FUN_001670-T1, FUN_025452-T1		
N1.HOG0005213	OG0004865	n0	FUN_001683-T1	Pocillopora_meandrina_HIv1___RNAseq.g26990.t1, Pocillopora_meandrina_HIv1___RNAseq.g2705.t1	
N1.HOG0005214	OG0004866	n0	FUN_001723-T1, FUN_001724-T1	Pocillopora_meandrina_HIv1___TS.g5211.t1	
N1.HOG0005215	OG0004867	n0	FUN_001727-T1	Pocillopora_meandrina_HIv1___RNAseq.g2700.t1	
N1.HOG0005216	OG0004868	n0	FUN_001733-T1	Pocillopora_meandrina_HIv1___RNAseq.g2642.t1	
N1.HOG0005217	OG0004869	n0	FUN_001739-T1	Pocillopora_meandrina_HIv1___TS.g5157.t1, Pocillopora_meandrina_HIv1___RNAseq.g2646.t1	
N1.HOG0005218	OG0004870	n0	FUN_018837-T1, FUN_035585-T1, FUN_001759-T1		
N1.HOG0005219	OG0004871	n0	FUN_001764-T1	Pocillopora_meandrina_HIv1___RNAseq.g2672.t1	
N1.HOG0005220	OG0004872	n0	FUN_001783-T1	Pocillopora_meandrina_HIv1___RNAseq.g2641.t1	
N1.HOG0005221	OG0004873	n0	FUN_001793-T1, FUN_001791-T1	Pocillopora_meandrina_HIv1___RNAseq.g2635.t1a	
N1.HOG0005222	OG0004874	n1	FUN_045052-T1		
N1.HOG0005223	OG0004874	n2	FUN_001825-T1		
N1.HOG0005224	OG0004875	n0	FUN_001841-T1, FUN_001841-T2	Pocillopora_meandrina_HIv1___TS.g5135.t1	
N1.HOG0005225	OG0004876	n0	FUN_038102-T1, FUN_001857-T1	Pocillopora_meandrina_HIv1___TS.g9153.t1	
N1.HOG0005226	OG0004877	n0	FUN_001874-T1, FUN_008535-T1	Pocillopora_meandrina_HIv1___RNAseq.g14739.t1	
N1.HOG0005227	OG0004878	n0	FUN_013685-T1, FUN_001875-T1, FUN_003570-T1		
N1.HOG0005228	OG0004879	n0	FUN_001882-T1	Pocillopora_meandrina_HIv1___TS.g5105.t1	
N1.HOG0005229	OG0004880	n0	FUN_001890-T1, FUN_024645-T1	Pocillopora_meandrina_HIv1___TS.g14196.t1, Pocillopora_meandrina_HIv1___RNAseq.g21875.t1	
N1.HOG0005230	OG0004881	n0	FUN_027171-T1, FUN_024647-T1, FUN_001892-T1, FUN_035993-T1		
N1.HOG0005231	OG0004882	n0	FUN_001900-T2, FUN_001900-T1	Pocillopora_meandrina_HIv1___RNAseq.g2573.t1	
N1.HOG0005232	OG0004883	n0	FUN_001902-T1, FUN_001902-T2	Pocillopora_meandrina_HIv1___RNAseq.g2571.t1	
N1.HOG0005233	OG0004884	n0	FUN_001903-T1	Pocillopora_meandrina_HIv1___TS.13577_t	
N1.HOG0005234	OG0004885	n0	FUN_001906-T1	Pocillopora_meandrina_HIv1___RNAseq.g2565.t1	
N1.HOG0005235	OG0004886	n0	FUN_001909-T1	Pocillopora_meandrina_HIv1___RNAseq.g2561.t1	
N1.HOG0005236	OG0004887	n0	FUN_001913-T1	Pocillopora_meandrina_HIv1___TS.g17631.t1	
N1.HOG0005237	OG0004888	n0	FUN_001917-T1	Pocillopora_meandrina_HIv1___TS.g5073.t1	
N1.HOG0005238	OG0004889	n0	FUN_040910-T1, FUN_001925-T1		
N1.HOG0005239	OG0004890	n0	FUN_001944-T1	Pocillopora_meandrina_HIv1___RNAseq.g29312.t1	
N1.HOG0005240	OG0004891	n0	FUN_001947-T1, FUN_001947-T3, FUN_001947-T2	Pocillopora_meandrina_HIv1___RNAseq.g29221.t1	
N1.HOG0005241	OG0004892	n0	FUN_001951-T1	Pocillopora_meandrina_HIv1___RNAseq.g24755.t1	
N1.HOG0005242	OG0004893	n0	FUN_001952-T1, FUN_001952-T2	Pocillopora_meandrina_HIv1___RNAseq.g29226.t1	
N1.HOG0005243	OG0004894	n0	FUN_015209-T1, FUN_002011-T1	Pocillopora_meandrina_HIv1___RNAseq.g20880.t1	
N1.HOG0005244	OG0004895	n0	FUN_044359-T1, FUN_002022-T1, FUN_028296-T2, FUN_028296-T1		
N1.HOG0005245	OG0004896	n0	FUN_002028-T1		
N1.HOG0005246	OG0004897	n0	FUN_014231-T1, FUN_003524-T1, FUN_028146-T1, FUN_002031-T1		
N1.HOG0005247	OG0004898	n0	FUN_003522-T1, FUN_013990-T1, FUN_002039-T1, FUN_021173-T1		
N1.HOG0005248	OG0004899	n0	FUN_006835-T1, FUN_041333-T1, FUN_041331-T1, FUN_002045-T1		
N1.HOG0005249	OG0004900	n0	FUN_036676-T1, FUN_036714-T1, FUN_036636-T1, FUN_002050-T1		
N1.HOG0005250	OG0004901	n0	FUN_002096-T1	Pocillopora_meandrina_HIv1___RNAseq.g14829.t1, Pocillopora_meandrina_HIv1___TS.g27893.t1	
N1.HOG0005251	OG0004902	n0	FUN_002105-T1	Pocillopora_meandrina_HIv1___RNAseq.g1739.t1	
N1.HOG0005252	OG0004903	n0	FUN_002111-T1		
N1.HOG0005253	OG0004904	n0	FUN_002119-T1, FUN_033228-T1, FUN_039109-T1, FUN_021110-T1		
N1.HOG0005254	OG0004905	n0	FUN_020827-T1, FUN_036862-T1, FUN_002133-T1, FUN_036863-T1		
N1.HOG0005255	OG0004906	n0	FUN_002167-T1, FUN_021143-T1, FUN_040409-T1, FUN_039464-T1		
N1.HOG0005256	OG0004907	n0	FUN_007227-T1, FUN_002201-T1	Pocillopora_meandrina_HIv1___RNAseq.g30300.t1	
N1.HOG0005257	OG0004908	n0	FUN_002248-T1	Pocillopora_meandrina_HIv1___RNAseq.g12921.t1	
N1.HOG0005258	OG0004909	n0	FUN_002354-T2, FUN_002354-T1	Pocillopora_meandrina_HIv1___RNAseq.g36.t1	
N1.HOG0005259	OG0004910	n0	FUN_002355-T1	Pocillopora_meandrina_HIv1___RNAseq.g38.t1	
N1.HOG0005260	OG0004911	n0	FUN_002356-T2	Pocillopora_meandrina_HIv1___RNAseq.g40.t1	
N1.HOG0005261	OG0004912	n0	FUN_002362-T1	Pocillopora_meandrina_HIv1___RNAseq.g52.t1	
N1.HOG0005262	OG0004913	n0	FUN_003622-T1, FUN_015512-T1, FUN_002372-T1, FUN_044569-T1		
N1.HOG0005263	OG0004914	n0	FUN_039666-T1, FUN_018977-T1, FUN_002385-T1, FUN_040411-T1		
N1.HOG0005264	OG0004915	n0	FUN_002432-T1, FUN_002432-T2	Pocillopora_meandrina_HIv1___RNAseq.g14853.t1	
N1.HOG0005265	OG0004916	n0	FUN_002468-T1, FUN_002468-T2	Pocillopora_meandrina_HIv1___RNAseq.g14904.t1	
N1.HOG0005266	OG0004917	n0	FUN_032210-T1, FUN_002509-T1		
N1.HOG0005267	OG0004918	n0	FUN_002576-T1	Pocillopora_meandrina_HIv1___RNAseq.g20715.t1	
N1.HOG0005268	OG0004919	n0	FUN_002577-T1	Pocillopora_meandrina_HIv1___RNAseq.g25716.t1	
N1.HOG0005269	OG0004920	n0	FUN_002580-T1	Pocillopora_meandrina_HIv1___TS.g9163.t1	
N1.HOG0005270	OG0004921	n0	FUN_021789-T1, FUN_002630-T1, FUN_002602-T1	Pocillopora_meandrina_HIv1___RNAseq.g12482.t1	
N1.HOG0005271	OG0004922	n0	FUN_002667-T1	Pocillopora_meandrina_HIv1___TS.g27716.t1	
N1.HOG0005272	OG0004923	n0	FUN_002670-T1	Pocillopora_meandrina_HIv1___TS.g27719.t1	
N1.HOG0005273	OG0004924	n0	FUN_020900-T1, FUN_027204-T1, FUN_033353-T1, FUN_002676-T1		
N1.HOG0005274	OG0004925	n0	FUN_002705-T1, FUN_002702-T1, FUN_002712-T1, FUN_002707-T1		
N1.HOG0005275	OG0004926	n0	FUN_002714-T1, FUN_002715-T1	Pocillopora_meandrina_HIv1___TS.g27685.t1	
N1.HOG0005276	OG0004927	n0	FUN_002716-T1	Pocillopora_meandrina_HIv1___RNAseq.g20658.t1	
N1.HOG0005277	OG0004928	n0	FUN_002718-T1	Pocillopora_meandrina_HIv1___RNAseq.g20657.t1	
N1.HOG0005278	OG0004929	n0	FUN_002726-T1	Pocillopora_meandrina_HIv1___RNAseq.g14946.t1	
N1.HOG0005279	OG0004930	n0	FUN_002766-T1	Pocillopora_meandrina_HIv1___TS.g12811.t1, Pocillopora_meandrina_HIv1___RNAseq.g20607.t1	
N1.HOG0005280	OG0004931	n0	FUN_002773-T1	Pocillopora_meandrina_HIv1___RNAseq.g14954.t1	
N1.HOG0005281	OG0004932	n0	FUN_036475-T1, FUN_017682-T1, FUN_002799-T1		
N1.HOG0005282	OG0004933	n0	FUN_002805-T1	Pocillopora_meandrina_HIv1___RNAseq.g14957.t1	
N1.HOG0005283	OG0004934	n0	FUN_002812-T1	Pocillopora_meandrina_HIv1___RNAseq.g14960.t1	
N1.HOG0005284	OG0004935	n0	FUN_002821-T1, FUN_002821-T2	Pocillopora_meandrina_HIv1___RNAseq.g18984.t1a	
N1.HOG0005285	OG0004936	n0	FUN_007571-T1, FUN_002828-T1, FUN_016883-T1, FUN_016882-T1		
N1.HOG0005286	OG0004937	n0	FUN_044668-T1, FUN_045122-T1, FUN_002849-T1		
N1.HOG0005287	OG0004938	n0	FUN_012802-T1, FUN_043755-T1, FUN_039663-T1, FUN_002864-T1		
N1.HOG0005288	OG0004939	n0	FUN_008021-T1, FUN_002869-T1	Pocillopora_meandrina_HIv1___RNAseq.g30342.t1	
N1.HOG0005289	OG0004940	n0	FUN_002871-T1	Pocillopora_meandrina_HIv1___TS.g15581.t1	
N1.HOG0005290	OG0004941	n0	FUN_016896-T1, FUN_002887-T1, FUN_029839-T1, FUN_039279-T1		
N1.HOG0005291	OG0004942	n0	FUN_003163-T1, FUN_003163-T2	Pocillopora_meandrina_HIv1___RNAseq.g6226.t1	
N1.HOG0005292	OG0004943	n0	FUN_003164-T1	Pocillopora_meandrina_HIv1___RNAseq.g6225.t1	
N1.HOG0005293	OG0004944	n0	FUN_003220-T1, FUN_003211-T1	Pocillopora_meandrina_HIv1___RNAseq.g9246.t1, Pocillopora_meandrina_HIv1___RNAseq.g14080.t1	
N1.HOG0005294	OG0004945	n0	FUN_030598-T1, FUN_025181-T1, FUN_003360-T1, FUN_036694-T1		
N1.HOG0005295	OG0004946	n0	FUN_003384-T2, FUN_003384-T1	Pocillopora_meandrina_HIv1___TS.g15574.t2	
N1.HOG0005296	OG0004947	n0	FUN_003387-T3, FUN_003387-T1, FUN_003387-T2	Pocillopora_meandrina_HIv1___RNAseq.g20740.t1	
N1.HOG0005297	OG0004948	n0	FUN_003394-T1, FUN_040190-T1, FUN_013128-T1	Pocillopora_meandrina_HIv1___RNAseq.g2785.t1	
N1.HOG0005298	OG0004949	n0	FUN_003406-T1, FUN_013341-T1, FUN_030853-T1		
N1.HOG0005299	OG0004950	n0	FUN_045048-T1, FUN_021979-T1, FUN_014059-T1, FUN_003410-T1		
N1.HOG0005300	OG0004951	n0	FUN_003417-T1		
N1.HOG0005301	OG0004952	n0	FUN_003418-T1, FUN_040554-T1, FUN_017305-T1, FUN_017307-T1		
N1.HOG0005302	OG0004953	n0	FUN_003425-T1, FUN_027023-T1, FUN_011377-T1, FUN_003424-T1		
N1.HOG0005303	OG0004954	n0	FUN_027519-T1, FUN_004734-T1, FUN_026291-T1, FUN_003473-T1		
N1.HOG0005304	OG0004955	n0	FUN_023539-T1, FUN_003482-T1	Pocillopora_meandrina_HIv1___RNAseq.g25875.t1	
N1.HOG0005305	OG0004956	n0	FUN_020978-T1, FUN_003493-T1, FUN_028631-T1, FUN_028781-T1		
N1.HOG0005306	OG0004957	n0	FUN_020783-T1, FUN_005485-T1, FUN_003501-T1, FUN_020594-T1		
N1.HOG0005307	OG0004958	n0	FUN_003506-T1, FUN_012726-T1	Pocillopora_meandrina_HIv1___RNAseq.g9012.t1	
N1.HOG0005308	OG0004959	n0	FUN_003519-T1, FUN_033515-T1, FUN_020906-T1, FUN_003518-T1		
N1.HOG0005309	OG0004960	n0	FUN_030027-T1, FUN_003531-T1, FUN_020869-T1, FUN_003525-T1		
N1.HOG0005310	OG0004961	n0	FUN_020885-T1, FUN_003528-T1, FUN_039345-T1, FUN_017218-T1		
N1.HOG0005311	OG0004962	n0	FUN_003537-T1, FUN_003563-T1	Pocillopora_meandrina_HIv1___RNAseq.g22048.t1a	
N1.HOG0005312	OG0004963	n0	FUN_028202-T1, FUN_003548-T1	Pocillopora_meandrina_HIv1___RNAseq.g28798.t1a	
N1.HOG0005313	OG0004964	n0	FUN_007826-T1, FUN_003562-T1, FUN_014224-T1	Pocillopora_meandrina_HIv1___TS.g16090.t1	
N1.HOG0005314	OG0004965	n0	FUN_025907-T1, FUN_003566-T1, FUN_031082-T1, FUN_017643-T1		
N1.HOG0005315	OG0004966	n0	FUN_021967-T1, FUN_045524-T1, FUN_013655-T1, FUN_003567-T1		
N1.HOG0005316	OG0004967	n0	FUN_039212-T1, FUN_036629-T1, FUN_036667-T1, FUN_003584-T1		
N1.HOG0005317	OG0004968	n0	FUN_003621-T1, FUN_003585-T2, FUN_003585-T1	Pocillopora_meandrina_HIv1___RNAseq.g17186.t1	
N1.HOG0005318	OG0004969	n0	FUN_003634-T1, FUN_003636-T1, FUN_017230-T1		
N1.HOG0005319	OG0004970	n0	FUN_003676-T1		
N1.HOG0005320	OG0004971	n0	FUN_042224-T1, FUN_018678-T1, FUN_018132-T1, FUN_003680-T1		
N1.HOG0005321	OG0004972	n0	FUN_027272-T1, FUN_003692-T1		
N1.HOG0005322	OG0004973	n0	FUN_003709-T1	Pocillopora_meandrina_HIv1___RNAseq.g17368.t1	
N1.HOG0005323	OG0004974	n0	FUN_027177-T1, FUN_003739-T1, FUN_010121-T1, FUN_019454-T1		
N1.HOG0005324	OG0004975	n0	FUN_011369-T1, FUN_006136-T1, FUN_003750-T1, FUN_010173-T1		
N1.HOG0005325	OG0004976	n0	FUN_027484-T1, FUN_018997-T1, FUN_003758-T1		
N1.HOG0005326	OG0004977	n0	FUN_005499-T1, FUN_018999-T1, FUN_003759-T1		
N1.HOG0005327	OG0004978	n0	FUN_011353-T1, FUN_005949-T1, FUN_003789-T1, FUN_003790-T1		
N1.HOG0005328	OG0004979	n0	FUN_003829-T1, FUN_003965-T1, FUN_003962-T1		
N1.HOG0005329	OG0004980	n0	FUN_004270-T1, FUN_003837-T1	Pocillopora_meandrina_HIv1___RNAseq.g11363.t1	
N1.HOG0005330	OG0004981	n0	FUN_003846-T1, FUN_003846-T2	Pocillopora_meandrina_HIv1___RNAseq.g11166.t3	
N1.HOG0005331	OG0004982	n0	FUN_003852-T2, FUN_003852-T1	Pocillopora_meandrina_HIv1___RNAseq.g11582.t1	
N1.HOG0005332	OG0004983	n0	FUN_003886-T1, FUN_003886-T2	Pocillopora_meandrina_HIv1___RNAseq.g11576.t1	
N1.HOG0005333	OG0004984	n0	FUN_003888-T1, FUN_003889-T1, FUN_003892-T1, FUN_003891-T1		
N1.HOG0005334	OG0004985	n0	FUN_003898-T1	Pocillopora_meandrina_HIv1___RNAseq.g11571.t1, Pocillopora_meandrina_HIv1___RNAseq.g11572.t1	
N1.HOG0005335	OG0004986	n0	FUN_003935-T1	Pocillopora_meandrina_HIv1___RNAseq.g11752.t1	
N1.HOG0005336	OG0004987	n0	FUN_003936-T1	Pocillopora_meandrina_HIv1___RNAseq.g11753.t1	
N1.HOG0005337	OG0004988	n0	FUN_003940-T1	Pocillopora_meandrina_HIv1___RNAseq.g11757.t1	
N1.HOG0005338	OG0004989	n0	FUN_023517-T1, FUN_033485-T1, FUN_027742-T1, FUN_003953-T1		
N1.HOG0005339	OG0004990	n0	FUN_003989-T1	Pocillopora_meandrina_HIv1___RNAseq.g17197.t1, Pocillopora_meandrina_HIv1___RNAseq.g17196.t1	
N1.HOG0005340	OG0004991	n0	FUN_003993-T1, FUN_003996-T1	Pocillopora_meandrina_HIv1___RNAseq.g17200.t1	
N1.HOG0005341	OG0004992	n0	FUN_004005-T1	Pocillopora_meandrina_HIv1___RNAseq.g11703.t1a	
N1.HOG0005342	OG0004993	n0	FUN_004016-T1	Pocillopora_meandrina_HIv1___RNAseq.g11205.t1	
N1.HOG0005343	OG0004994	n0	FUN_004060-T2, FUN_004060-T1	Pocillopora_meandrina_HIv1___RNAseq.g17246.t2	
N1.HOG0005344	OG0004995	n0	FUN_004079-T2, FUN_004079-T1	Pocillopora_meandrina_HIv1___RNAseq.g17243.t1	
N1.HOG0005345	OG0004996	n0	FUN_004082-T1	Pocillopora_meandrina_HIv1___RNAseq.g12627.t1, Pocillopora_meandrina_HIv1___RNAseq.g12626.t1	
N1.HOG0005346	OG0004997	n0	FUN_004085-T2, FUN_004085-T1	Pocillopora_meandrina_HIv1___RNAseq.g12610.t1	
N1.HOG0005347	OG0004998	n0	FUN_004097-T2, FUN_004097-T1	Pocillopora_meandrina_HIv1___RNAseq.g11566.t1	
N1.HOG0005348	OG0004999	n0	FUN_004109-T1	Pocillopora_meandrina_HIv1___RNAseq.g11657.t1	
N1.HOG0005349	OG0005000	n0	FUN_004115-T1	Pocillopora_meandrina_HIv1___RNAseq.g11666.t1	
N1.HOG0005350	OG0005001	n0	FUN_004121-T2, FUN_004121-T1	Pocillopora_meandrina_HIv1___RNAseq.g11680.t2	
N1.HOG0005351	OG0005002	n0	FUN_004122-T3, FUN_004122-T2	Pocillopora_meandrina_HIv1___RNAseq.g11570.t2	
N1.HOG0005352	OG0005003	n0	FUN_004155-T1	Pocillopora_meandrina_HIv1___RNAseq.g16778.t1	
N1.HOG0005353	OG0005004	n0	FUN_004157-T1	Pocillopora_meandrina_HIv1___RNAseq.g16774.t1	
N1.HOG0005354	OG0005005	n0	FUN_004160-T1	Pocillopora_meandrina_HIv1___RNAseq.g16770.t1	
N1.HOG0005355	OG0005006	n0	FUN_004162-T2, FUN_004162-T1	Pocillopora_meandrina_HIv1___RNAseq.24438_t	
N1.HOG0005356	OG0005007	n0	FUN_024181-T1, FUN_024177-T1, FUN_004166-T1, FUN_004167-T1		
N1.HOG0005357	OG0005008	n0	FUN_014523-T1, FUN_004169-T1	Pocillopora_meandrina_HIv1___RNAseq.g22620.t2	
N1.HOG0005358	OG0005009	n0	FUN_028854-T1, FUN_004190-T1, FUN_019415-T1, FUN_032928-T1		
N1.HOG0005359	OG0005010	n0	FUN_004193-T1	Pocillopora_meandrina_HIv1___RNAseq.g17004.t1, Pocillopora_meandrina_HIv1___RNAseq.g17003.t1	
N1.HOG0005360	OG0005011	n0	FUN_021919-T1, FUN_004217-T1, FUN_004221-T1, FUN_004219-T1		
N1.HOG0005361	OG0005012	n0	FUN_004226-T1	Pocillopora_meandrina_HIv1___RNAseq.g11228.t1	
N1.HOG0005362	OG0005013	n0	FUN_004231-T1, FUN_004232-T1	Pocillopora_meandrina_HIv1___RNAseq.g12557.t1	
N1.HOG0005363	OG0005014	n0	FUN_004238-T1	Pocillopora_meandrina_HIv1___RNAseq.g11533.t1	
N1.HOG0005364	OG0005015	n0	FUN_004252-T1	Pocillopora_meandrina_HIv1___RNAseq.g11419.t1	
N1.HOG0005365	OG0005016	n0	FUN_004254-T1, FUN_004254-T2	Pocillopora_meandrina_HIv1___RNAseq.g11417.t1	
N1.HOG0005366	OG0005017	n0	FUN_004277-T2, FUN_004277-T1	Pocillopora_meandrina_HIv1___RNAseq.g12518.t1	
N1.HOG0005367	OG0005018	n0	FUN_004279-T1	Pocillopora_meandrina_HIv1___RNAseq.g17105.t1	
N1.HOG0005368	OG0005019	n0	FUN_004280-T1	Pocillopora_meandrina_HIv1___RNAseq.g12516.t1	
N1.HOG0005369	OG0005020	n0	FUN_004283-T1	Pocillopora_meandrina_HIv1___RNAseq.g12513.t1	
N1.HOG0005370	OG0005021	n0	FUN_004286-T1	Pocillopora_meandrina_HIv1___RNAseq.g11765.t1	
N1.HOG0005371	OG0005022	n0	FUN_004289-T1	Pocillopora_meandrina_HIv1___TS.g7879.t1	
N1.HOG0005372	OG0005023	n0	FUN_004292-T1	Pocillopora_meandrina_HIv1___RNAseq.g11770.t1	
N1.HOG0005373	OG0005024	n0	FUN_004313-T2, FUN_004313-T1	Pocillopora_meandrina_HIv1___RNAseq.g16987.t1	
N1.HOG0005374	OG0005025	n0	FUN_004323-T1	Pocillopora_meandrina_HIv1___RNAseq.g11211.t1	
N1.HOG0005375	OG0005026	n0	FUN_004336-T2, FUN_004336-T1	Pocillopora_meandrina_HIv1___RNAseq.g12536.t1	
N1.HOG0005376	OG0005027	n0	FUN_004341-T4, FUN_004341-T2, FUN_004341-T1, FUN_004341-T3		
N1.HOG0005377	OG0005028	n0	FUN_004343-T1, FUN_004343-T2	Pocillopora_meandrina_HIv1___RNAseq.g12544.t1	
