"","X","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar"
"1952",713692,"Cluster_11135","Peve_00011883",0.70520700419677,0.501708110760817,0.978262075707395,147,-21.68,"2 17","255 281",20,"65.00%","75.00%"
"1954",714338,"Cluster_2882","Peve_00013432",-0.436706448193914,0.712289693016804,0.979496192350513,162,-20.19,"2 21","784 808",22,"72.73%","81.82%"
"1955",714572,"Cluster_6904","Peve_00012678",-0.81859045406599,0.389511769925826,0.978262075707395,146,-20.21,"2 17","873 896",17,"76.47%","76.47%"
"1956",715113,"Cluster_6905","Peve_00039583",0.891832586576559,0.298839556542654,0.978262075707395,150,-21.03,"2 16","586 608",15,"80.00%","80.00%"
"1957",715249,"Cluster_6906","Peve_00045262",-0.724953865374852,0.48372210987314,0.978262075707395,142,-20.99,"2 17","803 829",20,"65.00%","75.00%"
"1958",715755,"Cluster_9149","Peve_00019501",-0.450726568124074,0.702329895919414,0.978262075707395,141,-21.04,"2 10","764 785",8,"87.50%","100.00%"
"1959",716452,"Cluster_2854","Peve_00004509",0.482104738253558,0.679744930618126,0.978262075707395,166,-26.08,"2 15","353 374",13,"92.31%","100.00%"
"1960",716585,"Cluster_1167","Peve_00002830",-0.450568413619538,0.702442681917752,0.978262075707395,152,-21.9,"2 20","810 829",18,"66.67%","83.33%"
"1961",716694,"Cluster_7855","Peve_00002832",-0.075674557486116,0.951777980527359,0.999448381576871,188,-23.29,"2 21","399 420",19,"89.47%","94.74%"
"1962",716868,"Cluster_6905","Peve_00002837",-0.929945104908788,0.239708228175045,0.978262075707395,155,-22.47,"2 18","731 751",16,"81.25%","81.25%"
"1963",717087,"Cluster_4629","Peve_00043837",-0.448355559535223,0.704019697647163,0.978262075707395,146,-21.6,"2 21","61 81",19,"63.16%","73.68%"
"1964",717290,"Cluster_10965","Peve_00043838",-0.861501692342471,0.33904874167394,0.978262075707395,162,-20.42,"2 20","785 809",21,"76.19%","76.19%"
"1965",717393,"Cluster_796","Peve_00015331",0.490834294769647,0.673384087672509,0.978262075707395,163,-23.44,"2 20","88 109",18,"77.78%","77.78%"
"1966",717731,"Cluster_8884","Peve_00042123",0.51337602643252,0.656789244620732,0.978262075707395,165,-23.62,"2 18","744 764",16,"81.25%","87.50%"
"1967",717732,"Cluster_8887","Peve_00042123",0.730127100426989,0.478921662347167,0.978262075707395,165,-23.62,"2 18","744 764",16,"81.25%","87.50%"
"1968",718985,"Cluster_6914","Peve_00000998",0.958454729110168,0.184149725973742,0.978262075707395,159,-20.12,"2 19","771 789",17,"82.35%","82.35%"
"1969",719046,"Cluster_11134","Peve_00000995",0.850223079221909,0.352933988879336,0.978262075707395,152,-21.46,"2 21","9 30",19,"57.89%","78.95%"
"1970",719157,"Cluster_4629","Peve_00030299",0.951162899474742,0.199780719005777,0.978262075707395,168,-27.12,"2 21","880 901",19,"73.68%","84.21%"
"1971",720780,"Cluster_5882","Peve_00007075",0.193724048589327,0.875886714454834,0.997736388472058,172,-21.26,"2 21","337 358",19,"78.95%","84.21%"
"1972",722942,"Cluster_6904","Peve_00019263",-0.951310992493219,0.199475076059675,0.978262075707395,151,-20.53,"2 21","120 143",21,"61.90%","76.19%"
"1973",722944,"Cluster_6906","Peve_00019263",-0.686063329690759,0.518674561276582,0.978262075707395,151,-21.27,"2 21","120 143",21,"61.90%","76.19%"
"1974",723144,"Cluster_13502","Peve_00019267",0.919004795220497,0.257988658647054,0.978262075707395,196,-37.19,"2 21","409 430",19,"94.74%","100.00%"
"1975",723225,"Cluster_9149","Peve_00019269",-0.637745444128505,0.559734359468861,0.978262075707395,148,-21.68,"2 18","331 354",18,"72.22%","72.22%"
"1976",723337,"Cluster_2854","Peve_00029644",-0.656218036723363,0.544310304449957,0.978262075707395,169,-28.3,"2 21","924 943",19,"78.95%","89.47%"
"1977",723822,"Cluster_15726","Peve_00022611",-0.9269079096159,0.244912968432719,0.978262075707395,171,-21.41,"2 20","205 226",18,"77.78%","88.89%"
"1978",724012,"Cluster_2854","Peve_00024755",-0.995463600609732,0.0606617698463826,0.978262075707395,147,-20.22,"2 21","392 416",22,"59.09%","72.73%"
"1979",724056,"Cluster_2787","Peve_00024757",0.867933894665659,0.330895275232091,0.978262075707395,158,-22.77,"2 15","167 188",13,"84.62%","92.31%"
"1980",724292,"Cluster_6904","Peve_00038835",0.820047249746893,0.387894178746288,0.978262075707395,158,-21.95,"2 19","393 414",17,"70.59%","82.35%"
"1981",724316,"Cluster_14999","Peve_00038835",0.361396023080245,0.764600496049147,0.989508063027969,162,-23.07,"2 21","323 346",21,"76.19%","80.95%"
"1982",725007,"Cluster_4629","Peve_00025489",0.997938030915672,0.0408894104551393,0.909359886114279,143,-20.34,"2 12","908 929",10,"80.00%","90.00%"
"1983",726230,"Cluster_6914","Peve_00025156",0.785903576337605,0.424396384214392,0.978262075707395,153,-20.29,"2 20","824 846",20,"70.00%","80.00%"
"1984",726767,"Cluster_6904","Peve_00020500",0.397520956849851,0.739741192011838,0.986697151420032,147,-20.12,"2 17","303 327",18,"72.22%","72.22%"
"1985",727302,"Cluster_4629","Peve_00021670",-0.254728945523392,0.836027505567368,0.995934364227446,159,-22.01,"2 17","427 449",16,"81.25%","87.50%"
"1986",727511,"Cluster_14999","Peve_00021676",0.999075146741859,0.0273819903750951,0.894692732264905,167,-25.85,"2 16","820 841",14,"85.71%","100.00%"
"1987",727667,"Cluster_6904","Peve_00006062",0.740109681533494,0.469547115649012,0.978262075707395,142,-24.37,"2 21","218 247",27,"59.26%","66.67%"
"1988",728290,"Cluster_4080","Peve_00039973",0.959498247432244,0.1818062644036,0.978262075707395,179,-24.5,"2 20","472 493",18,"88.89%","88.89%"
"1989",728763,"Cluster_10061","Peve_00007333",-0.635883330703932,0.561271885724667,0.978262075707395,166,-20.22,"2 15","776 797",13,"92.31%","100.00%"
"1990",728777,"Cluster_589","Peve_00007338",0.775072695353894,0.435426401668339,0.978262075707395,154,-20.71,"2 19","380 401",17,"64.71%","82.35%"
"1991",728849,"Cluster_8988","Peve_00044956",0.917258131990139,0.260794722933018,0.978262075707395,154,-21.83,"2 21","267 291",22,"63.64%","81.82%"
"1992",729296,"Cluster_8884","Peve_00027146",0.195666758587174,0.874625817801006,0.997476741937264,153,-21.41,"2 20","84 103",18,"66.67%","83.33%"
"1993",729297,"Cluster_8887","Peve_00027146",-0.0823630340017489,0.947506599925429,0.999448381576871,153,-21.04,"2 20","84 103",18,"66.67%","83.33%"
"1994",729625,"Cluster_14500","Peve_00011297",0.409296274095264,0.731548494390394,0.984904317662596,168,-20.39,"2 19","636 656",17,"82.35%","94.12%"
"1995",730054,"Cluster_6906","Peve_00017925",-0.506766881859655,0.661680974297832,0.978262075707395,165,-23.64,"2 20","976 996",18,"83.33%","83.33%"
"1996",730680,"Cluster_5882","Peve_00034621",-0.286613124287243,0.814941145203436,0.995934364227446,160,-20.09,"2 21","222 241",19,"73.68%","89.47%"
"1997",730725,"Cluster_5882","Peve_00034622",-0.216717506974581,0.860929897846958,0.996382113043354,160,-20.09,"2 21","228 247",19,"73.68%","89.47%"
"1999",731567,"Cluster_589","Peve_00002201",0.692749046994668,0.512798715030707,0.978262075707395,159,-24.18,"2 16","748 769",14,"85.71%","85.71%"
"2000",731599,"Cluster_10934","Peve_00002201",-0.640366088556982,0.557565297556141,0.978262075707395,174,-21.26,"2 20","174 196",19,"84.21%","89.47%"
"2001",731640,"Cluster_9149","Peve_00012722",1,0,0,152,-25.13,"2 15","768 788",13,"84.62%","92.31%"
"2002",731977,"Cluster_2854","Peve_00020269",-0.56332494844659,0.619043850983386,0.978262075707395,160,-22.29,"2 21","194 215",19,"73.68%","73.68%"
"2003",731977,"Cluster_2854","Peve_00020269",-0.56332494844659,0.619043850983386,0.978262075707395,192,-30.77,"2 21","354 375",19,"94.74%","94.74%"
"2004",732922,"Cluster_2854","Peve_00003154",-0.481797400454618,0.67996823321869,0.978262075707395,154,-21.28,"2 21","433 459",24,"66.67%","75.00%"
"2006",733534,"Cluster_10934","Peve_00035998",-0.784404677989838,0.425937202962567,0.978262075707395,151,-20.73,"2 19","415 434",17,"64.71%","88.24%"
"2007",733862,"Cluster_589","Peve_00016724",-0.966514079005266,0.165213545069559,0.978262075707395,170,-31.44,"2 15","623 644",13,"100.00%","100.00%"
"2008",734041,"Cluster_29","Peve_00014766",-0.876818282166452,0.319323282234185,0.978262075707395,152,-20.57,"2 20","299 323",21,"71.43%","80.95%"
"2009",734394,"Cluster_13502","Peve_00001793",-0.44209200413486,0.708472937844906,0.978262075707395,151,-20.06,"2 21","822 844",20,"60.00%","80.00%"
"2010",735083,"Cluster_2882","Peve_00016896",0.0688372031480257,0.956142191637655,0.999448381576871,172,-23.67,"2 21","952 973",19,"78.95%","84.21%"
"2011",735126,"Cluster_2787","Peve_00016898",0.8341545900412,0.37191210348585,0.978262075707395,154,-20.83,"2 21","648 671",21,"71.43%","76.19%"
"2012",735446,"Cluster_4115","Peve_00014496",-0.757284035040816,0.45305171204491,0.978262075707395,169,-22.8,"2 19","696 719",19,"78.95%","89.47%"
"2013",735502,"Cluster_7657","Peve_00014491",0.67975039820707,0.524176207143376,0.978262075707395,167,-22.5,"2 21","16 38",20,"75.00%","85.00%"
"2014",735503,"Cluster_7658","Peve_00014491",-0.999687209109476,0.0159233151265928,0.762215157405503,167,-22.5,"2 21","16 38",20,"75.00%","85.00%"
"2015",735696,"Cluster_11134","Peve_00038359",0.875640822838247,0.320878802775509,0.978262075707395,148,-20.05,"2 13","932 953",11,"72.73%","100.00%"
"2016",736116,"Cluster_2787","Peve_00004317",0.884315829541892,0.309250618976593,0.978262075707395,146,-20.67,"2 21","254 270",19,"68.42%","73.68%"
"2017",736146,"Cluster_11134","Peve_00004317",0.014435314307299,0.990809874302326,0.999448381576871,159,-21.34,"2 21","596 619",21,"66.67%","80.95%"
"2018",736196,"Cluster_14999","Peve_00004315",0.47443735243041,0.685303084188443,0.978262075707395,179,-24.56,"2 21","399 422",21,"80.95%","90.48%"
"2019",736605,"Cluster_16738","Peve_00019660",-0.506209111557797,0.662092790877516,0.978262075707395,152,-20.61,"2 15","447 467",13,"84.62%","92.31%"
"2020",736731,"Cluster_11134","Peve_00018313",-0.990883040211503,0.086030143460633,0.978262075707395,159,-22.58,"2 21","256 278",20,"65.00%","85.00%"
"2021",736804,"Cluster_6906","Peve_00000545",-0.686063329690759,0.518674561276582,0.978262075707395,154,-20.22,"2 19","55 76",17,"64.71%","82.35%"
"2022",737331,"Cluster_2787","Peve_00040693",-0.0375566256566296,0.976085085276776,0.999448381576871,149,-20.39,"2 21","210 231",20,"70.00%","75.00%"
"2023",737991,"Cluster_11134","Peve_00006266",-0.954326300947892,0.193150224940171,0.978262075707395,164,-20.39,"2 17","779 800",15,"80.00%","93.33%"
"2024",738276,"Cluster_2787","Peve_00030462",-0.995128589607497,0.0628635553841154,0.978262075707395,158,-20.92,"2 21","95 120",23,"73.91%","73.91%"
"2025",738463,"Cluster_4735","Peve_00030466",0.0768299115485453,0.951040311566434,0.999448381576871,159,-22.58,"2 21","104 126",20,"70.00%","80.00%"
"2026",739041,"Cluster_2787","Peve_00044869",0.867933894665659,0.330895275232091,0.978262075707395,161,-20.62,"2 21","180 201",20,"75.00%","85.00%"
"2027",739397,"Cluster_589","Peve_00004152",-0.879398090270499,0.315890661706851,0.978262075707395,155,-22.2,"2 12","39 60",10,"100.00%","100.00%"
"2028",739827,"Cluster_8887","Peve_00006889",-0.653594358869095,0.546520527333501,0.978262075707395,168,-20.7,"2 17","180 200",15,"86.67%","93.33%"
"2029",739828,"Cluster_8888","Peve_00006889",-0.993361100827683,0.0733979144627711,0.978262075707395,168,-20.94,"2 17","180 200",15,"86.67%","93.33%"
"2031",740531,"Cluster_4115","Peve_00037164",-0.991571656890649,0.0827126106499989,0.978262075707395,161,-21.76,"2 20","721 744",20,"75.00%","85.00%"
"2033",742204,"Cluster_6906","Peve_00037782",-0.98544865254169,0.108736354237794,0.978262075707395,158,-20.37,"2 20","654 676",19,"68.42%","84.21%"
"2034",742332,"Cluster_4629","Peve_00037787",-0.443383362280846,0.707556077121805,0.978262075707395,161,-21.31,"2 20","162 182",18,"77.78%","83.33%"
"2035",742547,"Cluster_589","Peve_00022401",0.961347172070704,0.177580252835034,0.978262075707395,155,-23.55,"2 12","326 347",10,"100.00%","100.00%"
"2036",742708,"Cluster_8888","Peve_00023326",-0.651292471598752,0.548454225357659,0.978262075707395,144,-20.8,"2 20","869 890",20,"65.00%","75.00%"
"2037",742715,"Cluster_10965","Peve_00023326",-0.523109346337314,0.649543862594915,0.978262075707395,149,-22.06,"2 18","271 292",16,"68.75%","75.00%"
"2040",743592,"Cluster_4629","Peve_00024129",-0.99650927856604,0.0532082691278197,0.968387579406125,151,-20.04,"2 20","37 58",18,"66.67%","72.22%"
"2041",743633,"Cluster_2882","Peve_00024122",-0.565821683003127,0.617118112037854,0.978262075707395,160,-22.85,"2 17","91 112",15,"80.00%","86.67%"
"2042",744841,"Cluster_29","Peve_00031250",-0.786495899421841,0.42378618765931,0.978262075707395,145,-20.04,"2 21","178 205",25,"64.00%","72.00%"
"2043",744846,"Cluster_2787","Peve_00031250",-0.722893503614552,0.485623410122497,0.978262075707395,164,-24.27,"2 21","952 973",19,"68.42%","84.21%"
"2044",744921,"Cluster_11134","Peve_00029184",0.875640822838247,0.320878802775509,0.978262075707395,165,-24.58,"2 21","554 576",21,"76.19%","85.71%"
"2045",746082,"Cluster_8887","Peve_00006743",-0.821901473199095,0.385826733407904,0.978262075707395,168,-20.39,"2 20","925 945",19,"84.21%","89.47%"
"2046",746083,"Cluster_8888","Peve_00006743",-0.219753560508399,0.858949346278634,0.995934364227446,168,-20.63,"2 20","925 945",19,"84.21%","89.47%"
"2047",746085,"Cluster_9149","Peve_00006743",-0.5,0.666666666666667,0.978262075707395,145,-20.86,"2 14","796 817",12,"66.67%","91.67%"
"2048",746466,"Cluster_2787","Peve_00009821",0.979726400401929,0.128409460636302,0.978262075707395,160,-21.32,"2 17","508 529",15,"80.00%","86.67%"
"2049",746868,"Cluster_796","Peve_00039839",0.612151483134259,0.580608529895556,0.978262075707395,141,-22.22,"2 20","76 103",24,"58.33%","70.83%"
"2050",747132,"Cluster_15726","Peve_00039834",-0.129531312799106,0.917305449730477,0.999448381576871,153,-23.79,"2 21","225 244",19,"73.68%","73.68%"
"2051",747517,"Cluster_7657","Peve_00043408",-0.446225285623867,0.705536012580961,0.978262075707395,169,-21.84,"2 21","182 203",20,"80.00%","90.00%"
"2052",747518,"Cluster_7658","Peve_00043408",0.952366632304808,0.19728312056417,0.978262075707395,169,-21.84,"2 21","182 203",20,"80.00%","90.00%"
"2053",747865,"Cluster_4080","Peve_00039783",0.0835681848874033,0.946736722775132,0.999448381576871,168,-23.1,"2 19","190 210",17,"88.24%","88.24%"
"2054",748619,"Cluster_16498","Peve_00011733",0.99999477106698,0.00205874164373314,0.362847063101065,169,-20.57,"2 21","10 31",20,"80.00%","90.00%"
"2055",748799,"Cluster_16498","Peve_00011735",0.987103861089021,0.102351168762727,0.978262075707395,169,-20.57,"2 21","469 490",20,"80.00%","90.00%"
"2056",748809,"Cluster_4079","Peve_00011734",-0.961235306403477,0.177838717616369,0.978262075707395,162,-21.4,"2 17","803 826",17,"88.24%","88.24%"
"2057",749070,"Cluster_16738","Peve_00024820",-0.71948210764391,0.488758457499588,0.978262075707395,164,-24.22,"2 21","919 937",19,"78.95%","84.21%"
"2058",749154,"Cluster_13502","Peve_00024826",0.973203144541087,0.147710595198457,0.978262075707395,196,-37.19,"2 21","161 182",19,"94.74%","100.00%"
"2059",749568,"Cluster_796","Peve_00023753",0.840512020202321,0.364508586148618,0.978262075707395,146,-20.78,"2 12","80 102",11,"90.91%","90.91%"
"2060",749865,"Cluster_9149","Peve_00017884",-0.888304861204295,0.303766628917056,0.978262075707395,155,-20.64,"2 12","651 672",10,"100.00%","100.00%"
"2061",750356,"Cluster_8884","Peve_00035787",-0.279365177958851,0.819751997678577,0.995934364227446,158,-20.24,"2 19","451 471",17,"70.59%","82.35%"
"2062",750612,"Cluster_4629","Peve_00034782",-0.653234227815997,0.54682338916145,0.978262075707395,157,-20.11,"2 19","228 251",19,"73.68%","78.95%"
"2063",751110,"Cluster_5882","Peve_00001967",0.424250967726828,0.72107487422675,0.981802834997821,157,-23.33,"2 14","242 263",12,"83.33%","100.00%"
"2064",752841,"Cluster_11134","Peve_00032333",0.700781286811111,0.50566977324547,0.978262075707395,174,-23.81,"2 20","362 384",19,"84.21%","89.47%"
"2065",753018,"Cluster_10061","Peve_00002435",-0.142655809088433,0.908871602725513,0.999448381576871,170,-20.23,"2 21","409 434",23,"78.26%","82.61%"
"2066",753362,"Cluster_6904","Peve_00012111",-0.950273700713649,0.201606476953246,0.978262075707395,159,-21,"2 21","401 423",20,"70.00%","80.00%"
"2067",753362,"Cluster_6904","Peve_00012111",-0.950273700713649,0.201606476953246,0.978262075707395,159,-21,"2 21","701 723",20,"70.00%","80.00%"
"2068",753364,"Cluster_6906","Peve_00012111",-0.683623681548398,0.520805962170153,0.978262075707395,159,-20.6,"2 21","401 423",20,"70.00%","80.00%"
"2069",753364,"Cluster_6906","Peve_00012111",-0.683623681548398,0.520805962170153,0.978262075707395,159,-20.6,"2 21","701 723",20,"70.00%","80.00%"
"2070",753825,"Cluster_9149","Peve_00004871",1,0,0,147,-21.53,"2 12","622 643",10,"80.00%","100.00%"
"2071",754146,"Cluster_11134","Peve_00038667",-0.981287815343826,0.123349365516123,0.978262075707395,148,-26.58,"2 18","248 277",24,"66.67%","66.67%"
"2072",754167,"Cluster_4629","Peve_00000367",0.13620361632204,0.913019722874695,0.999448381576871,148,-21.02,"2 18","275 298",18,"66.67%","77.78%"
"2073",754506,"Cluster_11134","Peve_00040816",0.993029415393417,0.0752111655705937,0.978262075707395,147,-20.09,"2 21","206 231",23,"56.52%","73.91%"
"2074",755629,"Cluster_10934","Peve_00042411",0.715782576200444,0.492140323556193,0.978262075707395,164,-21.53,"2 19","682 705",19,"84.21%","84.21%"
"2075",755742,"Cluster_4629","Peve_00016916",-0.454418896320921,0.699693875239276,0.978262075707395,145,-21.27,"2 20","457 481",21,"61.90%","76.19%"
"2076",755787,"Cluster_4629","Peve_00016917",-0.652201715493459,0.547691019930977,0.978262075707395,145,-21.27,"2 20","457 481",21,"61.90%","76.19%"
"2077",755830,"Cluster_4080","Peve_00016914",-0.0413839109778582,0.973646658114663,0.999448381576871,161,-20.6,"2 21","476 500",23,"73.91%","78.26%"
"2078",756017,"Cluster_6904","Peve_00019694",0.492370837277007,0.672260785557662,0.978262075707395,160,-22.48,"2 19","114 134",17,"70.59%","94.12%"
"2079",756019,"Cluster_6906","Peve_00019694",0.850117788039287,0.353061300340755,0.978262075707395,160,-22.48,"2 19","114 134",17,"70.59%","94.12%"
"2080",756042,"Cluster_15726","Peve_00019694",-0.748449278146849,0.461597471715996,0.978262075707395,159,-22.12,"2 16","769 790",14,"85.71%","85.71%"
"2081",756087,"Cluster_15726","Peve_00019695",-0.837783732540583,0.367701978378439,0.978262075707395,163,-22.81,"2 21","318 342",22,"72.73%","77.27%"
"2082",757232,"Cluster_6904","Peve_00036548",0.299593633561026,0.806297806044947,0.995934364227446,168,-22.64,"2 21","231 252",19,"78.95%","78.95%"
"2083",757234,"Cluster_6906","Peve_00036548",-0.195856396255873,0.874502708738146,0.997476741937264,164,-20.59,"2 21","231 252",19,"73.68%","78.95%"
"2084",757277,"Cluster_6904","Peve_00036547",-0.804786783920383,0.404559234420025,0.978262075707395,159,-22.21,"2 18","960 980",16,"81.25%","87.50%"
"2085",757279,"Cluster_6906","Peve_00036547",-0.420429636923846,0.723758719636932,0.982650334327478,155,-20.77,"2 18","960 980",16,"75.00%","87.50%"
"2086",757549,"Cluster_6906","Peve_00001188",0.973101367926095,0.147992105390085,0.978262075707395,169,-20.49,"2 18","722 743",16,"87.50%","87.50%"
"2087",757630,"Cluster_4080","Peve_00019969",0.717187776142076,0.490857961563753,0.978262075707395,169,-23.58,"2 20","698 722",21,"80.95%","85.71%"
"2088",758165,"Cluster_1167","Peve_00028817",0.580406959884863,0.60578698754176,0.978262075707395,158,-22.63,"2 21","921 941",19,"73.68%","78.95%"
"2089",758387,"Cluster_589","Peve_00028810",-0.999776252592975,0.0134673523968407,0.710997774681485,155,-22.76,"2 12","405 426",10,"100.00%","100.00%"
"2090",758658,"Cluster_796","Peve_00014512",-0.250041052875115,0.839111761155604,0.995934364227446,154,-21.86,"2 21","522 542",19,"73.68%","73.68%"
"2091",759142,"Cluster_11135","Peve_00031012",0.462137181880512,0.694165531613618,0.978262075707395,159,-21.09,"2 17","117 140",17,"82.35%","82.35%"
"2092",760050,"Cluster_16738","Peve_00005457",0.996766620824908,0.0512083200549036,0.958916893458089,152,-21.35,"2 20","627 654",24,"70.83%","75.00%"
"2093",760638,"Cluster_796","Peve_00005986",0.638713399452029,0.558933914386987,0.978262075707395,163,-25.76,"2 21","198 221",21,"71.43%","80.95%"
"2094",761194,"Cluster_6906","Peve_00007588",-0.617605065120396,0.576206068994977,0.978262075707395,158,-22.5,"2 17","413 433",15,"80.00%","93.33%"
"2095",761237,"Cluster_6904","Peve_00007585",-0.951310992493219,0.199475076059675,0.978262075707395,160,-20.39,"2 21","106 127",19,"68.42%","78.95%"
"2096",761239,"Cluster_6906","Peve_00007585",-0.686063329690759,0.518674561276582,0.978262075707395,168,-23.85,"2 21","106 127",19,"73.68%","84.21%"
"2097",761457,"Cluster_4629","Peve_00006183",-0.25713343631052,0.83444402075251,0.995934364227446,154,-25.21,"2 21","234 259",23,"65.22%","78.26%"
"2100",762741,"Cluster_11134","Peve_00037082",0.895657756527525,0.293410645313133,0.978262075707395,173,-26.2,"2 18","772 793",16,"87.50%","93.75%"
"2101",762832,"Cluster_11135","Peve_00026998",-0.314507608292154,0.796321209745628,0.995934364227446,153,-20.98,"2 21","384 403",19,"68.42%","78.95%"
"2102",763292,"Cluster_589","Peve_00037339",-0.93126344607766,0.23741525097946,0.978262075707395,159,-28.97,"2 21","136 163",25,"68.00%","72.00%"
"2103",764119,"Cluster_6906","Peve_00024596",-0.288511176668282,0.813679518670254,0.995934364227446,160,-21.36,"2 18","41 63",17,"76.47%","88.24%"
"2104",765804,"Cluster_13502","Peve_00025643",-0.258468637896986,0.833564267545269,0.995934364227446,175,-25.11,"2 21","573 595",20,"85.00%","85.00%"
"2105",766994,"Cluster_5563","Peve_00029875",0.732207585173565,0.476980173636768,0.978262075707395,159,-20.49,"2 22","78 103",23,"69.57%","78.26%"
"2106",767331,"Cluster_11134","Peve_00018991",-0.996414691696678,0.0539247594263064,0.971515329401449,163,-20.69,"2 20","689 710",18,"72.22%","83.33%"
"2107",767443,"Cluster_4735","Peve_00042656",-0.500943642233887,0.665972771890438,0.978262075707395,156,-25.48,"2 21","74 95",19,"68.42%","73.68%"
"2108",767469,"Cluster_13502","Peve_00042656",-0.44209200413486,0.708472937844906,0.978262075707395,172,-22.15,"2 17","418 439",15,"93.33%","93.33%"
"2109",767531,"Cluster_4115","Peve_00042651",-0.840735564077921,0.364245832555248,0.978262075707395,168,-24.07,"2 21","712 733",19,"68.42%","89.47%"
"2110",767676,"Cluster_7053","Peve_00013987",0.992895983108058,0.0759284530899831,0.978262075707395,152,-20.61,"2 21","303 324",19,"57.89%","78.95%"
"2111",767999,"Cluster_8988","Peve_00045155",-0.938249571468832,0.224892861800015,0.978262075707395,164,-21.32,"2 17","775 796",15,"73.33%","100.00%"
"2112",768062,"Cluster_589","Peve_00045153",0.735459033097804,0.473933132849018,0.978262075707395,150,-21.08,"2 11","630 651",9,"100.00%","100.00%"
"2113",768474,"Cluster_4079","Peve_00026520",0.114286207468651,0.927083818752212,0.999448381576871,153,-24.04,"2 15","887 909",14,"85.71%","85.71%"
"2114",768477,"Cluster_4629","Peve_00026520",0.984482355521989,0.112297794381702,0.978262075707395,146,-20.24,"2 21","618 645",25,"64.00%","68.00%"
"2115",769407,"Cluster_15726","Peve_00014068",-0.5,0.666666666666667,0.978262075707395,154,-23.14,"2 20","321 348",24,"66.67%","70.83%"
"2116",769452,"Cluster_15726","Peve_00014069",1,9.48637384723993e-09,6.86838308108347e-06,154,-23.14,"2 20","861 888",24,"66.67%","70.83%"
"2117",769706,"Cluster_8884","Peve_00014063",-0.444404269730391,0.706830773165912,0.978262075707395,158,-22.05,"2 20","457 480",21,"71.43%","76.19%"
"2118",769707,"Cluster_8887","Peve_00014063",-0.674216195421122,0.528963190892348,0.978262075707395,158,-22.41,"2 20","457 480",21,"71.43%","76.19%"
"2119",770712,"Cluster_15726","Peve_00010367",-0.404756912692515,0.734712278463461,0.985790467738525,160,-21.8,"2 21","570 591",21,"76.19%","80.95%"
"2120",770772,"Cluster_4629","Peve_00010364",-0.331709373097701,0.784749329334719,0.994686890083175,142,-21.25,"2 21","419 448",27,"59.26%","66.67%"
"2121",770897,"Cluster_589","Peve_00000919",-0.934753615028442,0.231240264998328,0.978262075707395,172,-25.5,"2 21","71 92",19,"78.95%","84.21%"
"2123",772359,"Cluster_7855","Peve_00041841",-0.109443892976159,0.930186006234899,0.999448381576871,168,-24.04,"2 17","746 767",15,"86.67%","93.33%"
"2124",772404,"Cluster_7855","Peve_00041842",-0.964200894011073,0.170858037010867,0.978262075707395,168,-24.04,"2 17","629 650",15,"86.67%","93.33%"
"2125",773915,"Cluster_1167","Peve_00002665",0.761250837005636,0.449171185059158,0.978262075707395,152,-21.14,"2 13","8 29",11,"90.91%","90.91%"
"2126",773915,"Cluster_1167","Peve_00002665",0.761250837005636,0.449171185059158,0.978262075707395,158,-21.76,"2 21","330 353",21,"76.19%","76.19%"
"2127",774075,"Cluster_9149","Peve_00002661",-0.998403640393818,0.0359764475202205,0.909359886114279,149,-25.07,"2 18","337 356",16,"75.00%","87.50%"
"2128",774525,"Cluster_9149","Peve_00016033",-0.965190386071459,0.168466147234797,0.978262075707395,160,-23.44,"2 18","936 958",17,"82.35%","82.35%"
"2129",774973,"Cluster_8888","Peve_00000285",-0.526156989791448,0.647264845113537,0.978262075707395,165,-20.12,"2 20","554 573",18,"83.33%","83.33%"
"2130",775546,"Cluster_6255","Peve_00003533",0.386261149092905,0.747532708005932,0.98800640813601,171,-20.16,"2 21","916 938",20,"80.00%","85.00%"
"2131",775573,"Cluster_15890","Peve_00003533",0.760646111066547,0.449764547041249,0.978262075707395,151,-21.13,"2 17","823 849",20,"70.00%","75.00%"
"2132",775846,"Cluster_29","Peve_00004627",-0.62077240343352,0.573638206347232,0.978262075707395,157,-20.28,"2 19","149 173",20,"75.00%","75.00%"
"2133",775937,"Cluster_589","Peve_00004624",-0.782003710334288,0.42839554331706,0.978262075707395,175,-29.11,"2 20","574 595",18,"77.78%","94.44%"
"2134",776106,"Cluster_11134","Peve_00004621",-0.486166661370526,0.676789586704249,0.978262075707395,151,-22.66,"2 20","142 163",18,"66.67%","72.22%"
"2135",776206,"Cluster_29","Peve_00004628",-0.602533862437288,0.588315682890332,0.978262075707395,157,-20.28,"2 19","149 173",20,"75.00%","75.00%"
"2136",776570,"Cluster_1167","Peve_00004388",0.983185909213826,0.116907459120533,0.978262075707395,170,-25.99,"2 20","717 740",20,"80.00%","85.00%"
"2137",776574,"Cluster_4079","Peve_00004388",-0.662411675743584,0.539065985760856,0.978262075707395,162,-20.6,"2 15","320 341",13,"84.62%","100.00%"
"2138",776952,"Cluster_8887","Peve_00036667",-0.0823630340017489,0.947506599925429,0.999448381576871,143,-20.97,"2 16","473 493",14,"64.29%","78.57%"
