,source,target,region,Alignment,energy,total_bp_shared,query_similar,subject_similar,PCC.cor,PCC_magnitude,PCC_direction,p_value
1270,apul-mir-novel-23,FUN_018315,CDS,FUN_018315;2 21;3790 3811,-20.15,19,63.16%,78.95%,0.966441069133482,0.966441069133482,1,0.00734256357231626
1271,apul-mir-novel-23,FUN_022013,CDS,FUN_022013;2 21;3539 3558,-21.23,20,75.00%,80.00%,0.927872268514762,0.927872268514762,1,0.0230002170483082
1272,apul-mir-novel-23,FUN_023046,CDS,FUN_023046;2 21;149 169,-24.1,19,78.95%,84.21%,0.938059051319961,0.938059051319961,1,0.0183325923305836
1273,apul-mir-novel-23,FUN_023414,CDS,FUN_023414;2 20;309 329,-22.71,18,88.89%,88.89%,0.991901152648979,0.991901152648979,1,0.00087385702405177
1274,apul-mir-novel-23,FUN_024907,CDS,FUN_024907;2 19;3196 3220,-20.23,20,65.00%,70.00%,0.919731010207787,0.919731010207787,1,0.0269684646811701
1275,apul-mir-novel-23,FUN_024907,CDS,FUN_024907;2 21;1497 1518,-22.35,20,70.00%,85.00%,0.919731010207787,0.919731010207787,1,0.0269684646811701
1276,apul-mir-novel-23,FUN_025429,CDS,FUN_025429;2 19;656 678,-25.01,18,72.22%,83.33%,0.99289494504529,0.99289494504529,1,0.000718160683273466
1277,apul-mir-novel-23,FUN_025528,CDS,FUN_025528;2 12;691 712,-21.54,10,100.00%,100.00%,0.899618556850338,0.899618556850338,1,0.0375979625703813
1278,apul-mir-novel-23,FUN_025260,CDS,FUN_025260;2 19;17144 17166,-21.58,18,88.89%,88.89%,0.967735950815845,0.967735950815845,1,0.00692307639563247
1279,apul-mir-novel-23,FUN_025905,CDS,FUN_025905;2 20;1963 1984,-23.48,18,77.78%,83.33%,0.919842965882852,0.919842965882852,1,0.0269125269102543
1280,apul-mir-novel-23,FUN_025935,CDS,FUN_025935;2 21;3225 3248,-22.33,21,71.43%,71.43%,0.967235935400256,0.967235935400256,1,0.00708409787292724
1281,apul-mir-novel-23,FUN_025967,CDS,FUN_025967;2 19;2406 2428,-21.14,18,72.22%,77.78%,0.890077668078312,0.890077668078312,1,0.0430198835073941
1282,apul-mir-novel-23,FUN_025776,CDS,FUN_025776;2 21;438 456,-20.41,19,68.42%,73.68%,0.972923153674444,0.972923153674444,1,0.0053267115859322
1283,apul-mir-novel-23,FUN_027831,CDS,FUN_027831;2 21;4062 4085,-20.26,21,66.67%,66.67%,0.947271853405139,0.947271853405139,1,0.0144189142580504
1284,apul-mir-novel-23,FUN_027946,CDS,FUN_027946;2 21;3665 3685,-35.62,19,94.74%,94.74%,0.944005425755298,0.944005425755298,1,0.0157714294417179
1285,apul-mir-novel-23,FUN_028064,CDS,FUN_028064;2 20;16206 16227,-21.38,18,77.78%,88.89%,-0.912623517868196,0.912623517868196,-1,0.0305949826221222
1286,apul-mir-novel-23,FUN_028092,CDS,FUN_028092;2 21;2027 2049,-26.61,20,75.00%,85.00%,0.934332410767928,0.934332410767928,1,0.0200002643883333
1287,apul-mir-novel-23,FUN_028241,CDS,FUN_028241;2 17;4450 4472,-20.71,16,81.25%,81.25%,0.921247709005307,0.921247709005307,1,0.026213848255632
1288,apul-mir-novel-23,FUN_028309,CDS,FUN_028309;2 21;16048 16071,-21.01,21,66.67%,80.95%,0.924708079938328,0.924708079938328,1,0.0245182704045562
1289,apul-mir-novel-23,FUN_028354,CDS,FUN_028354;2 21;105163 105182,-22.36,19,68.42%,78.95%,-0.957833151263917,0.957833151263917,-1,0.010328195116301
1290,apul-mir-novel-23,FUN_029389,CDS,FUN_029389;2 21;3237 3257,-22.3,19,78.95%,78.95%,0.967176614634333,0.967176614634333,1,0.00710328178515735
1291,apul-mir-novel-23,FUN_030692,CDS,FUN_030692;2 18;44 66,-25.14,17,82.35%,94.12%,0.939227488834208,0.939227488834208,1,0.0178195018960415
1292,apul-mir-novel-23,FUN_029404,CDS,FUN_029404;2 20;2390 2412,-20.14,19,68.42%,68.42%,0.996822263360227,0.996822263360227,1,0.000214933242460557
1293,apul-mir-novel-23,FUN_031424,CDS,FUN_031424;2 16;84551 84573,-20.38,15,80.00%,86.67%,0.986134032860228,0.986134032860228,1,0.00195593201837712
1294,apul-mir-novel-23,FUN_031648,CDS,FUN_031648;2 21;12301 12321,-23.97,19,73.68%,78.95%,0.984625932237129,0.984625932237129,1,0.00228303712755078
1295,apul-mir-novel-23,FUN_029525,CDS,FUN_029525;2 19;4361 4383,-20.1,18,77.78%,88.89%,0.935537707882119,0.935537707882119,1,0.019455750084507
1296,apul-mir-novel-23,FUN_032378,CDS,FUN_032378;2 21;3060 3081,-21.04,19,68.42%,73.68%,-0.895323524630222,0.895323524630222,-1,0.0400099696424039
1297,apul-mir-novel-23,FUN_032383,CDS,FUN_032383;2 21;500 523,-21.35,21,76.19%,85.71%,0.960976006782135,0.960976006782135,1,0.009199681352605
1298,apul-mir-novel-23,FUN_032452,CDS,FUN_032452;2 21;17809 17832,-23.09,21,71.43%,80.95%,0.931945751786733,0.931945751786733,1,0.0210927407221895
1299,apul-mir-novel-23,FUN_032452,CDS,FUN_032452;2 21;2379 2402,-23.09,21,71.43%,80.95%,0.931945751786733,0.931945751786733,1,0.0210927407221895
1300,apul-mir-novel-23,FUN_032494,CDS,FUN_032494;2 19;10371 10392,-20.56,17,82.35%,88.24%,0.992144232128986,0.992144232128986,1,0.000834842214330311
1301,apul-mir-novel-23,FUN_032868,CDS,FUN_032868;2 19;104 124,-20.78,17,76.47%,76.47%,-0.94898587482277,0.94898587482277,-1,0.0137251804235475
1302,apul-mir-novel-23,FUN_033019,CDS,FUN_033019;2 21;701 725,-21.02,22,72.73%,77.27%,0.941663024628542,0.941663024628542,1,0.0167653444689629
1303,apul-mir-novel-23,FUN_030064,CDS,FUN_030064;2 21;10990 11015,-22.35,23,69.57%,73.91%,0.912025316316309,0.912025316316309,1,0.0309068554511072
1304,apul-mir-novel-23,FUN_033857,CDS,FUN_033857;2 15;592 613,-21.3,13,92.31%,92.31%,0.902530017547749,0.902530017547749,1,0.0359903890223809
1305,apul-mir-novel-23,FUN_033738,CDS,FUN_033738;2 18;5526 5548,-20.8,17,76.47%,76.47%,0.916980534557522,0.916980534557522,1,0.0283543894655402
1306,apul-mir-novel-23,FUN_035781,CDS,FUN_035781;2 21;1744 1767,-23.54,21,66.67%,85.71%,0.90402420593852,0.90402420593852,1,0.0351741263719071
1307,apul-mir-novel-23,FUN_035788,CDS,FUN_035788;2 21;1760 1783,-23.54,21,66.67%,85.71%,0.945174355620599,0.945174355620599,1,0.0152828840074941
1308,apul-mir-novel-23,FUN_035796,CDS,FUN_035796;2 19;1148 1168,-22.73,17,76.47%,88.24%,0.91928986132671,0.91928986132671,1,0.0271892449104351
1309,apul-mir-novel-23,FUN_034882,CDS,FUN_034882;2 19;1675 1696,-20.55,18,83.33%,88.89%,0.926843698890422,0.926843698890422,1,0.0234902417526131
1310,apul-mir-novel-23,FUN_034815,CDS,FUN_034815;2 20;13470 13491,-20.74,18,72.22%,72.22%,-0.936823253483575,0.936823253483575,-1,0.0188803825804764
1311,apul-mir-novel-23,FUN_037339,CDS,FUN_037339;2 19;8427 8449,-21.06,19,78.95%,78.95%,0.943261477243085,0.943261477243085,1,0.0160849529191881
1312,apul-mir-novel-23,FUN_039686,CDS,FUN_039686;2 20;1794 1816,-20.18,19,68.42%,68.42%,0.919289861326711,0.919289861326711,1,0.027189244910435
1313,apul-mir-novel-23,FUN_040854,CDS,FUN_040854;2 21;12287 12307,-25.07,19,68.42%,78.95%,0.904781953649715,0.904781953649715,1,0.034762469066932
1314,apul-mir-novel-23,FUN_040085,CDS,FUN_040085;2 19;6918 6941,-20.83,19,78.95%,78.95%,0.98136944557577,0.98136944557577,1,0.00304407342187285
1315,apul-mir-novel-23,FUN_040140,CDS,FUN_040140;2 18;8656 8678,-27.29,17,88.24%,94.12%,0.984660384895786,0.984660384895786,1,0.00227537895755517
1316,apul-mir-novel-23,FUN_040300,CDS,FUN_040300;2 21;648 673,-25.78,23,69.57%,73.91%,-0.914677323889639,0.914677323889639,-1,0.0295319951133696
1317,apul-mir-novel-23,FUN_042585,CDS,FUN_042585;2 21;2404 2425,-42.74,19,100.00%,100.00%,0.899050904699637,0.899050904699637,1,0.037913995859654
1318,apul-mir-novel-23,FUN_042618,CDS,FUN_042618;2 21;9942 9963,-22.11,19,73.68%,84.21%,0.903594474413081,0.903594474413081,1,0.0354082716545981
1319,apul-mir-novel-23,FUN_043639,CDS,FUN_043639;2 16;1047 1068,-20.15,14,78.57%,85.71%,0.905020098221486,0.905020098221486,1,0.0346334140483109
1320,apul-mir-novel-23,FUN_043550,CDS,FUN_043550;2 19;1506 1526,-20.2,17,76.47%,82.35%,0.92839080229686,0.92839080229686,1,0.0227544495588905
1321,apul-mir-novel-3,FUN_003721,CDS,FUN_003721;2 21;7359 7384,-20.84,23,69.57%,82.61%,0.887934557309041,0.887934557309041,1,0.044269334019011
1322,apul-mir-novel-3,FUN_004114,CDS,FUN_004114;2 18;19114 19135,-26.37,16,81.25%,100.00%,0.944477228636475,0.944477228636475,1,0.0155736406562326
1323,apul-mir-novel-3,FUN_004629,CDS,FUN_004629;2 21;5946 5967,-29.72,19,89.47%,100.00%,0.910605925941919,0.910605925941919,1,0.0316509026301393
1324,apul-mir-novel-3,FUN_009654,CDS,FUN_009654;2 21;12137 12160,-20.1,21,71.43%,85.71%,0.961206318350893,0.961206318350893,1,0.00911867879607803
1325,apul-mir-novel-3,FUN_016505,CDS,FUN_016505;2 21;1321 1342,-30.36,19,94.74%,94.74%,-0.949866082646804,0.949866082646804,-1,0.0133732871065791
1326,apul-mir-novel-3,FUN_016869,CDS,FUN_016869;2 18;253 278,-20.14,20,65.00%,80.00%,0.967367922251122,0.967367922251122,1,0.00704147553326475
1327,apul-mir-novel-3,FUN_017766,CDS,FUN_017766;2 21;18635 18657,-21.44,20,80.00%,85.00%,0.939989246790801,0.939989246790801,1,0.0174875525933559
1328,apul-mir-novel-3,FUN_019433,CDS,FUN_019433;2 21;3640 3661,-24.33,19,84.21%,89.47%,0.956564470351211,0.956564470351211,1,0.0107957189584986
1329,apul-mir-novel-3,FUN_024153,CDS,FUN_024153;2 21;41202 41223,-21.37,19,73.68%,89.47%,0.958239451338247,0.958239451338247,1,0.0101799078607074
1330,apul-mir-novel-3,FUN_025308,CDS,FUN_025308;2 21;800 820,-21.95,19,84.21%,89.47%,0.906417973663882,0.906417973663882,1,0.0338789840618683
1331,apul-mir-novel-3,FUN_028464,CDS,FUN_028464;2 21;2324 2348,-21.85,22,77.27%,86.36%,0.888805342942096,0.888805342942096,1,0.043760290204374
1332,apul-mir-novel-3,FUN_033857,CDS,FUN_033857;2 17;543 565,-21.7,16,81.25%,93.75%,0.914163474673925,0.914163474673925,1,0.0297968142853041
1333,apul-mir-novel-3,FUN_043277,CDS,FUN_043277;2 21;6224 6249,-21.99,23,82.61%,82.61%,-0.93675576990775,0.93675576990775,-1,0.0189104463881896
1334,apul-mir-novel-13,FUN_000230,CDS,FUN_000230;2 21;6706 6725,-21.59,19,78.95%,78.95%,0.954831367630956,0.954831367630956,1,0.0114452353741178
1335,apul-mir-novel-13,FUN_002516,CDS,FUN_002516;2 21;5340 5360,-20.59,19,68.42%,84.21%,-0.96170144018778,0.96170144018778,-1,0.00894533798970177
1336,apul-mir-novel-13,FUN_005150,CDS,FUN_005150;2 21;7071 7094,-21.18,21,71.43%,76.19%,-0.919739578599853,0.919739578599853,-1,0.0269641822298762
1337,apul-mir-novel-13,FUN_002566,CDS,FUN_002566;2 19;4708 4729,-21.34,17,82.35%,88.24%,-0.887722594397919,0.887722594397919,-1,0.0443935256614733
1338,apul-mir-novel-13,FUN_006841,CDS,FUN_006841;2 21;2019 2039,-22.98,19,78.95%,89.47%,0.908285448012581,0.908285448012581,1,0.0328794517537677
1339,apul-mir-novel-13,FUN_015867,CDS,FUN_015867;2 21;40858 40883,-20.05,24,66.67%,70.83%,-0.883197472804492,0.883197472804492,-1,0.0470709648637189
1340,apul-mir-novel-13,FUN_022444,CDS,FUN_022444;2 21;780 799,-26.64,19,78.95%,89.47%,0.936918120137274,0.936918120137274,1,0.0188381459236637
1341,apul-mir-novel-13,FUN_024519,CDS,FUN_024519;2 21;154574 154596,-20.9,20,70.00%,80.00%,0.900419840155212,0.900419840155212,1,0.0371532973192117
1342,apul-mir-novel-13,FUN_024519,CDS,FUN_024519;2 21;8096 8120,-20.5,22,72.73%,81.82%,0.900419840155212,0.900419840155212,1,0.0371532973192117
1343,apul-mir-novel-13,FUN_024519,CDS,FUN_024519;2 21;103675 103697,-25.95,20,85.00%,90.00%,0.900419840155212,0.900419840155212,1,0.0371532973192117
1344,apul-mir-novel-13,FUN_027805,CDS,FUN_027805;2 21;3317 3340,-20.11,22,81.82%,81.82%,-0.912699534761614,0.912699534761614,-1,0.0305554239147379
1345,apul-mir-novel-13,FUN_027749,CDS,FUN_027749;2 19;42058 42083,-21.59,21,66.67%,76.19%,0.952678204892021,0.952678204892021,1,0.0122692693516948
1346,apul-mir-novel-13,FUN_029568,CDS,FUN_029568;2 21;1721 1744,-21.54,21,76.19%,85.71%,0.915149670751748,0.915149670751748,1,0.0292892357902516
1347,apul-mir-novel-13,FUN_032995,CDS,FUN_032995;2 20;10273 10294,-20.83,18,72.22%,83.33%,0.93017505257473,0.93017505257473,1,0.0219153318350299
1348,apul-mir-novel-13,FUN_029710,CDS,FUN_029710;2 20;3383 3404,-23.15,18,77.78%,88.89%,-0.972278636193931,0.972278636193931,-1,0.00551749035738406
1349,apul-mir-novel-13,FUN_034718,CDS,FUN_034718;2 21;16838 16858,-22.78,19,73.68%,89.47%,0.954802815325779,0.954802815325779,1,0.0114560395451203
1350,apul-mir-novel-13,FUN_034477,CDS,FUN_034477;2 19;29519 29540,-20.44,17,88.24%,88.24%,0.915586901615608,0.915586901615608,1,0.0290650988123937
1351,apul-mir-novel-13,FUN_035359,CDS,FUN_035359;2 21;6570 6592,-20.68,20,75.00%,85.00%,0.950197872299795,0.950197872299795,1,0.0132414190229134
1352,apul-mir-novel-13,FUN_037310,CDS,FUN_037310;2 21;17547 17569,-25.95,20,85.00%,90.00%,-0.998549615381435,0.998549615381435,-1,6.62924590262892e-05
1353,apul-mir-novel-13,FUN_039693,CDS,FUN_039693;2 21;3912 3934,-25.95,20,85.00%,90.00%,0.964511160557384,0.964511160557384,1,0.00798263130143584
1354,apul-mir-9425,FUN_001418,CDS,FUN_001418;2 21;5640 5664,-23.59,21,76.19%,80.95%,0.912218880807179,0.912218880807179,1,0.0308058293870921
1355,apul-mir-9425,FUN_000995,CDS,FUN_000995;2 22;313 337,-20.69,22,72.73%,86.36%,-0.94422905019015,0.94422905019015,-1,0.0156775804837063
1356,apul-mir-9425,FUN_004940,CDS,FUN_004940;2 17;10109 10131,-21.83,15,93.33%,93.33%,0.916945289227743,0.916945289227743,1,0.0283722936526184
1357,apul-mir-9425,FUN_008221,CDS,FUN_008221;2 22;724 748,-21.54,22,68.18%,77.27%,0.946069868578621,0.946069868578621,1,0.0149120145142597
1358,apul-mir-9425,FUN_009057,CDS,FUN_009057;2 18;1179 1202,-23.4,17,88.24%,88.24%,-0.920065024408983,0.920065024408983,-1,0.0268016878651782
1359,apul-mir-9425,FUN_009135,CDS,FUN_009135;2 18;986 1010,-24.64,18,88.89%,88.89%,-0.884002701861581,0.884002701861581,-1,0.0465908999224497
1360,apul-mir-9425,FUN_009169,CDS,FUN_009169;2 18;1117 1140,-23.37,17,88.24%,88.24%,-0.900251334981373,0.900251334981373,-1,0.037246667575426
1361,apul-mir-9425,FUN_009201,CDS,FUN_009201;2 18;1126 1149,-21.64,17,88.24%,88.24%,-0.987142271108215,0.987142271108215,-1,0.00174679070848773
1362,apul-mir-9425,FUN_010664,CDS,FUN_010664;2 14;6458 6480,-20.45,12,91.67%,91.67%,0.963772998241781,0.963772998241781,1,0.00823205573891258
1363,apul-mir-9425,FUN_010751,CDS,FUN_010751;2 11;1447 1469,-20.53,9,100.00%,100.00%,0.909043956535019,0.909043956535019,1,0.032476220314244
1364,apul-mir-9425,FUN_010589,CDS,FUN_010589;2 18;17168 17194,-21.56,20,75.00%,75.00%,0.913360220510095,0.913360220510095,1,0.0302123002362822
1365,apul-mir-9425,FUN_013402,CDS,FUN_013402;2 22;14711 14736,-20.82,23,69.57%,73.91%,0.977163955438352,0.977163955438352,1,0.00412830650572251
1366,apul-mir-9425,FUN_015672,CDS,FUN_015672;2 21;16859 16880,-20.05,19,73.68%,78.95%,0.953483081192016,0.953483081192016,1,0.0119590463642952
1367,apul-mir-9425,FUN_022011,CDS,FUN_022011;2 22;1897 1919,-24.18,20,75.00%,85.00%,0.968884681958029,0.968884681958029,1,0.00655779453042216
1368,apul-mir-9425,FUN_022170,CDS,FUN_022170;2 22;79993 80013,-20.17,20,80.00%,85.00%,0.885430872986864,0.885430872986864,1,0.0457432907072421
1369,apul-mir-9425,FUN_022237,CDS,FUN_022237;2 10;50631 50653,-22.37,8,100.00%,100.00%,0.889907485301211,0.889907485301211,1,0.0431186857399814
1370,apul-mir-9425,FUN_023380,CDS,FUN_023380;2 11;11094 11116,-20.24,9,100.00%,100.00%,0.949479882099902,0.949479882099902,1,0.0135273167134437
1371,apul-mir-9425,FUN_023608,CDS,FUN_023608;2 22;27 49,-20.37,20,70.00%,70.00%,-0.928819381154122,0.928819381154122,-1,0.0225519631117054
1372,apul-mir-9425,FUN_024708,CDS,FUN_024708;2 22;9042 9068,-20.85,24,70.83%,70.83%,-0.883682685826259,0.883682685826259,-1,0.0467815019006558
1373,apul-mir-9425,FUN_026515,CDS,FUN_026515;2 13;127 149,-21.82,11,90.91%,90.91%,0.922328794422966,0.922328794422966,1,0.0256801964836245
1374,apul-mir-9425,FUN_028906,CDS,FUN_028906;2 17;29475 29497,-20.26,15,86.67%,86.67%,0.904804021783004,0.904804021783004,1,0.0347505034780564
1375,apul-mir-9425,FUN_028934,CDS,FUN_028934;2 22;1127 1150,-21.59,21,80.95%,80.95%,0.89302024455148,0.89302024455148,1,0.0413229695787663
1376,apul-mir-9425,FUN_031199,CDS,FUN_031199;2 22;27080 27102,-21.29,20,70.00%,70.00%,-0.891130323027351,0.891130323027351,-1,0.0424103512384703
1377,apul-mir-9425,FUN_029699,CDS,FUN_029699;2 22;4435 4460,-20.35,23,69.57%,78.26%,0.88180169662673,0.88180169662673,1,0.0479067840288416
1378,apul-mir-9425,FUN_029891,CDS,FUN_029891;2 21;59003 59024,-23.13,19,78.95%,78.95%,0.938846770330219,0.938846770330219,1,0.0179861650831173
1379,apul-mir-9425,FUN_034055,CDS,FUN_034055;2 12;3631 3653,-22.45,10,100.00%,100.00%,0.889105472146644,0.889105472146644,1,0.0435852741459025
1380,apul-mir-9425,FUN_034055,CDS,FUN_034055;2 22;12176 12196,-20.38,20,85.00%,85.00%,0.889105472146644,0.889105472146644,1,0.0435852741459025
1381,apul-mir-9425,FUN_034457,CDS,FUN_034457;2 18;8282 8305,-21.2,17,82.35%,82.35%,-0.989423313643363,0.989423313643363,-1,0.00130367124545165
1382,apul-mir-9425,FUN_036258,CDS,FUN_036258;2 22;7519 7541,-26.36,20,80.00%,85.00%,0.949121654925085,0.949121654925085,1,0.0136707032992982
1383,apul-mir-9425,FUN_035169,CDS,FUN_035169;2 22;21 44,-24.64,21,76.19%,76.19%,0.934227315208642,0.934227315208642,1,0.0200479737226954
1384,apul-mir-9425,FUN_037585,CDS,FUN_037585;2 22;3022 3047,-20.48,23,69.57%,73.91%,0.964739571306244,0.964739571306244,1,0.00790596362304615
1385,apul-mir-9425,FUN_040058,CDS,FUN_040058;2 22;18128 18157,-20.95,27,66.67%,70.37%,0.944088115671217,0.944088115671217,1,0.0157367055341636
1386,apul-mir-9425,FUN_039853,CDS,FUN_039853;2 22;2917 2941,-21.62,22,63.64%,68.18%,0.948922354747603,0.948922354747603,1,0.0137506899438298
1387,apul-mir-9425,FUN_041129,CDS,FUN_041129;2 22;121 143,-21.94,20,80.00%,80.00%,-0.895899205780826,0.895899205780826,-1,0.0396839128618739
1388,apul-mir-9425,FUN_041583,CDS,FUN_041583;2 22;2412 2431,-20.97,20,75.00%,80.00%,-0.963232026004174,0.963232026004174,-1,0.00841644315674582
1389,apul-mir-9425,FUN_041774,CDS,FUN_041774;2 22;362 383,-21.29,20,70.00%,70.00%,-0.981394424975205,0.981394424975205,-1,0.00303796479679922
1390,apul-mir-novel-21,FUN_000328,CDS,FUN_000328;2 21;9803 9824,-22.07,19,68.42%,94.74%,0.936845002475481,0.936845002475481,1,0.0188706967533775
1391,apul-mir-novel-21,FUN_001185,CDS,FUN_001185;2 18;2337 2356,-20.1,16,81.25%,87.50%,0.962191910607784,0.962191910607784,1,0.00877470536916211
1392,apul-mir-novel-21,FUN_002457,CDS,FUN_002457;2 18;323 343,-22.29,16,81.25%,87.50%,0.892665901696081,0.892665901696081,1,0.041526159037782
1393,apul-mir-novel-21,FUN_004403,CDS,FUN_004403;2 18;2867 2891,-21.69,19,78.95%,84.21%,0.975754645574323,0.975754645574323,1,0.00451534452134931
1394,apul-mir-novel-21,FUN_002494,CDS,FUN_002494;2 21;810 833,-21.5,21,71.43%,80.95%,0.992735685842481,0.992735685842481,1,0.00074242397924289
1395,apul-mir-novel-21,FUN_002499,CDS,FUN_002499;2 21;17374 17397,-20.35,21,66.67%,85.71%,0.985897288251309,0.985897288251309,1,0.00200616641784862
1396,apul-mir-novel-21,FUN_002508,CDS,FUN_002508;2 21;4732 4755,-21.5,21,71.43%,80.95%,0.975497863941796,0.975497863941796,1,0.0045870887693696
1397,apul-mir-novel-21,FUN_002519,CDS,FUN_002519;2 21;14545 14568,-20.27,21,66.67%,80.95%,0.988988512703457,0.988988512703457,1,0.00138479088202124
1398,apul-mir-novel-21,FUN_002523,CDS,FUN_002523;2 21;7806 7829,-21.5,21,71.43%,80.95%,0.988311053557309,0.988311053557309,1,0.00151437690410384
1399,apul-mir-novel-21,FUN_005182,CDS,FUN_005182;2 19;6825 6846,-20.02,17,76.47%,88.24%,0.958193946694482,0.958193946694482,1,0.0101964807252396
1400,apul-mir-novel-21,FUN_002625,CDS,FUN_002625;2 21;6288 6311,-21.5,21,71.43%,80.95%,-0.889813194819975,0.889813194819975,-1,0.0431734585079042
1401,apul-mir-novel-21,FUN_006610,CDS,FUN_006610;2 21;218 239,-23.39,19,78.95%,89.47%,0.878658915871646,0.878658915871646,1,0.0498056734410793
1402,apul-mir-novel-21,FUN_005814,CDS,FUN_005814;2 21;7134 7158,-20.82,22,77.27%,77.27%,0.924545179135036,0.924545179135036,1,0.0245972683024384
1403,apul-mir-novel-21,FUN_006190,CDS,FUN_006190;2 19;2404 2425,-21.21,18,83.33%,88.89%,0.977388854104582,0.977388854104582,1,0.00406760929145232
1404,apul-mir-novel-21,FUN_008139,CDS,FUN_008139;2 21;16332 16352,-21.16,19,68.42%,89.47%,-0.908058649354036,0.908058649354036,-1,0.0330003296192488
1405,apul-mir-novel-21,FUN_008170,CDS,FUN_008170;2 21;10176 10196,-21.16,19,68.42%,89.47%,0.977388854104582,0.977388854104582,1,0.00406760929145233
1406,apul-mir-novel-21,FUN_010716,CDS,FUN_010716;2 20;2173 2196,-20.18,20,65.00%,85.00%,0.936690458910539,0.936690458910539,1,0.0189395570945861
1407,apul-mir-novel-21,FUN_012751,CDS,FUN_012751;2 21;5197 5217,-23.18,19,89.47%,89.47%,0.938969993533514,0.938969993533514,1,0.0179321677822462
1408,apul-mir-novel-21,FUN_012010,CDS,FUN_012010;2 16;91 112,-21.04,14,85.71%,85.71%,0.909633359922327,0.909633359922327,1,0.0321639899826602
1409,apul-mir-novel-21,FUN_017848,CDS,FUN_017848;2 16;7708 7729,-21.65,14,71.43%,85.71%,0.959546676405936,0.959546676405936,1,0.00970760711074236
1410,apul-mir-novel-21,FUN_017878,CDS,FUN_017878;2 19;12784 12808,-22.85,20,85.00%,85.00%,0.925011801796268,0.925011801796268,1,0.0243712013094984
1411,apul-mir-novel-21,FUN_020855,CDS,FUN_020855;2 21;2179 2202,-24.52,21,66.67%,80.95%,0.980086631358351,0.980086631358351,1,0.0033631749082232
1412,apul-mir-novel-21,FUN_022527,CDS,FUN_022527;2 21;5410 5437,-20.51,25,64.00%,72.00%,0.911914697945463,0.911914697945463,1,0.0309646375402316
1413,apul-mir-novel-21,FUN_022527,CDS,FUN_022527;2 20;18201 18224,-20.19,20,75.00%,85.00%,0.911914697945463,0.911914697945463,1,0.0309646375402316
1414,apul-mir-novel-21,FUN_022286,CDS,FUN_022286;2 21;3657 3679,-20.41,20,80.00%,85.00%,0.886088340069862,0.886088340069862,1,0.0453547495997347
1415,apul-mir-novel-21,FUN_024589,CDS,FUN_024589;2 19;5916 5938,-20.98,18,77.78%,88.89%,0.921748838211435,0.921748838211435,1,0.0259660380223523
1416,apul-mir-novel-21,FUN_025714,CDS,FUN_025714;2 15;424 445,-21.83,13,92.31%,100.00%,-0.943411810049397,0.943411810049397,-1,0.01602143605963
1417,apul-mir-novel-21,FUN_026872,CDS,FUN_026872;2 19;2358 2379,-22.32,17,82.35%,88.24%,0.990100797194932,0.990100797194932,1,0.0011805605414698
1418,apul-mir-novel-21,FUN_026087,CDS,FUN_026087;2 21;6953 6979,-26.28,24,70.83%,79.17%,0.891283801918088,0.891283801918088,1,0.042321711461951
1419,apul-mir-novel-21,FUN_026088,CDS,FUN_026088;2 20;2273 2294,-21.02,18,72.22%,88.89%,-0.897802616183788,0.897802616183788,-1,0.0386119243238956
1420,apul-mir-novel-21,FUN_026225,CDS,FUN_026225;2 21;7188 7211,-24.86,21,80.95%,85.71%,0.988280924166358,0.988280924166358,1,0.00152022895807029
1421,apul-mir-novel-21,FUN_026252,CDS,FUN_026252;2 21;19349 19371,-28.59,20,90.00%,90.00%,0.977945850216586,0.977945850216586,1,0.00391856816128419
1422,apul-mir-novel-21,FUN_031424,CDS,FUN_031424;2 21;82391 82412,-21.61,19,68.42%,84.21%,0.904364208668104,0.904364208668104,1,0.0349892233693503
1423,apul-mir-novel-21,FUN_031874,CDS,FUN_031874;2 21;2317 2339,-25.04,20,70.00%,85.00%,0.970955160521248,0.970955160521248,1,0.00591610858241865
1424,apul-mir-novel-21,FUN_032626,CDS,FUN_032626;2 21;4489 4515,-21.92,24,66.67%,75.00%,0.894874135456613,0.894874135456613,1,0.0402650862488642
1425,apul-mir-novel-21,FUN_034162,CDS,FUN_034162;2 21;4308 4329,-22.5,19,73.68%,78.95%,-0.945252617613692,0.945252617613692,-1,0.0152503542009812
1426,apul-mir-novel-21,FUN_035861,CDS,FUN_035861;2 21;25598 25621,-21.26,21,76.19%,80.95%,0.931245031154813,0.931245031154813,1,0.0214170469404112
1427,apul-mir-novel-21,FUN_036317,CDS,FUN_036317;2 21;4786 4805,-20.17,19,73.68%,78.95%,0.98522442179899,0.98522442179899,1,0.00215122431104446
1428,apul-mir-novel-21,FUN_035095,CDS,FUN_035095;2 21;3003 3025,-23.27,20,80.00%,85.00%,0.920915878064665,0.920915878064665,1,0.0263783567931504
1429,apul-mir-novel-21,FUN_037778,CDS,FUN_037778;2 21;6976 6996,-20.12,20,75.00%,85.00%,0.936200140835708,0.936200140835708,1,0.0191585672172098
1430,apul-mir-novel-21,FUN_038918,CDS,FUN_038918;2 21;2324 2346,-22.03,20,70.00%,75.00%,0.887545968834482,0.887545968834482,1,0.0444970969813335
1431,apul-mir-novel-21,FUN_038294,CDS,FUN_038294;2 21;1526 1547,-20.31,19,68.42%,84.21%,0.898794864596422,0.898794864596422,1,0.0380568188637809
