"X.1","miRNA","lncRNA","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","X","PCC.cor","p_value","adjusted_p_value","species"
11191,"Cluster_5900","lncRNA_25383",162,-20.63,"2 21","2668 2692",22,"68.18%","86.36%",989874,0.656431812001253,0.228874188204525,0.999980945197546,"A. pulchra"
11192,"Cluster_5900","lncRNA_25384",162,-20.63,"2 21","2520 2544",22,"68.18%","86.36%",989913,0.643819081508078,0.241076026266659,0.999980945197546,"A. pulchra"
11193,"Cluster_5900","lncRNA_25385",162,-20.63,"2 21","2520 2544",22,"68.18%","86.36%",989952,0.643819081508078,0.241076026266659,0.999980945197546,"A. pulchra"
11194,"Cluster_5900","lncRNA_25386",162,-20.63,"2 21","1119 1143",22,"68.18%","86.36%",989991,0.753459623797451,0.141388696026028,0.999980945197546,"A. pulchra"
11195,"Cluster_5900","lncRNA_25419",155,-20.16,"2 16","8243 8264",14,"71.43%","92.86%",991278,0.279194857152273,0.64919191835182,0.999980945197546,"A. pulchra"
11196,"Cluster_5900","lncRNA_25424",155,-20.16,"2 16","565 586",14,"71.43%","92.86%",991473,-0.0544802800579022,0.93066788275135,0.999980945197546,"A. pulchra"
11197,"Cluster_5900","lncRNA_25425",155,-20.16,"2 16","9604 9625",14,"71.43%","92.86%",991512,0.144998428577736,0.816031239743874,0.999980945197546,"A. pulchra"
11198,"Cluster_5900","lncRNA_26118",158,-25.6,"2 21","366 395",27,"70.37%","70.37%",1018539,-0.468066975487047,0.426577742847967,0.999980945197546,"A. pulchra"
11199,"Cluster_5900","lncRNA_26193",176,-21.13,"2 21","556 577",19,"78.95%","89.47%",1021464,0.677786457350603,0.208620289285656,0.999980945197546,"A. pulchra"
11200,"Cluster_5900","lncRNA_26204",158,-22.07,"2 21","2995 3015",19,"73.68%","78.95%",1021893,-0.738634621248921,0.153957362844414,0.999980945197546,"A. pulchra"
11201,"Cluster_5900","lncRNA_26401",151,-20.51,"2 21","520 543",21,"61.90%","76.19%",1029576,-0.128749215069055,0.836525430734133,0.999980945197546,"A. pulchra"
11202,"Cluster_5900","lncRNA_2641",158,-23.84,"2 21","18 42",22,"68.18%","81.82%",102975,-0.461018696699221,0.434524778049925,0.999980945197546,"A. pulchra"
11203,"Cluster_5900","lncRNA_27383",143,-20.64,"2 16","530 548",14,"78.57%","78.57%",1067874,-0.691114456631312,0.196248668501233,0.999980945197546,"A. pulchra"
11204,"Cluster_5900","lncRNA_27392",154,-20.59,"2 21","20473 20493",19,"68.42%","78.95%",1068225,0.308116150121257,0.613993163740466,0.999980945197546,"A. pulchra"
11205,"Cluster_5900","lncRNA_27395",154,-20.59,"2 21","1693 1713",19,"68.42%","78.95%",1068342,0.134708370720227,0.8290041280832,0.999980945197546,"A. pulchra"
11206,"Cluster_5900","lncRNA_27411",160,-20.25,"2 19","3294 3318",20,"80.00%","80.00%",1068966,0.541149013980087,0.346274547092138,0.999980945197546,"A. pulchra"
11207,"Cluster_5900","lncRNA_27412",160,-20.25,"2 19","2335 2359",20,"80.00%","80.00%",1069005,0.519149971379865,0.370023460062939,0.999980945197546,"A. pulchra"
11208,"Cluster_5900","lncRNA_27451",165,-22.04,"2 18","5789 5810",16,"81.25%","87.50%",1070526,-0.829577513543828,0.0822618352059611,0.999980945197546,"A. pulchra"
11209,"Cluster_5900","lncRNA_27452",165,-22.04,"2 18","5730 5751",16,"81.25%","87.50%",1070565,-0.892693004393224,0.0415106064520921,0.972855157123468,"A. pulchra"
11210,"Cluster_5900","lncRNA_27549",171,-23.84,"2 20","6250 6271",18,"83.33%","83.33%",1074348,0.698375153203287,0.18959948177221,0.999980945197546,"A. pulchra"
11211,"Cluster_5900","lncRNA_27550",171,-23.84,"2 20","1764 1785",18,"83.33%","83.33%",1074387,0.814758458658541,0.093001530165369,0.999980945197546,"A. pulchra"
11212,"Cluster_5900","lncRNA_27551",171,-23.84,"2 20","1435 1456",18,"83.33%","83.33%",1074426,0.837068149077199,0.0769898347276113,0.996800363112545,"A. pulchra"
11213,"Cluster_5900","lncRNA_27782",158,-21.7,"2 16","60 82",15,"86.67%","86.67%",1083435,-0.131906898597873,0.832539235944024,0.999980945197546,"A. pulchra"
11214,"Cluster_5900","lncRNA_27885",158,-21.23,"2 16","304 326",15,"86.67%","86.67%",1087452,-0.147629534842547,0.812717264532382,0.999980945197546,"A. pulchra"
11215,"Cluster_5900","lncRNA_28088",163,-21.41,"2 21","660 682",20,"75.00%","80.00%",1095369,-0.402797654436248,0.501369052005239,0.999980945197546,"A. pulchra"
11216,"Cluster_5900","lncRNA_28430",162,-22.69,"2 21","115 135",19,"73.68%","84.21%",1108707,-0.298237538815403,0.625978958561686,0.999980945197546,"A. pulchra"
11217,"Cluster_5900","lncRNA_28938",163,-24.6,"2 20","41108 41129",18,"72.22%","83.33%",1128519,-0.248996930821231,0.686274400222449,0.999980945197546,"A. pulchra"
11218,"Cluster_5900","lncRNA_28983",165,-21.14,"2 19","286 309",19,"78.95%","84.21%",1130274,0.288336579400107,0.638030823704011,0.999980945197546,"A. pulchra"
11219,"Cluster_5900","lncRNA_28984",165,-21.14,"2 19","233 256",19,"78.95%","84.21%",1130313,0.72816102298055,0.163022569410731,0.999980945197546,"A. pulchra"
11220,"Cluster_5900","lncRNA_29087",165,-21.14,"2 19","1771 1794",19,"78.95%","84.21%",1134330,0.273833408947101,0.655752154353248,0.999980945197546,"A. pulchra"
11221,"Cluster_5900","lncRNA_29088",165,-21.14,"2 19","1755 1778",19,"78.95%","84.21%",1134369,0.273833408947101,0.655752154353248,0.999980945197546,"A. pulchra"
11222,"Cluster_5900","lncRNA_29102",159,-24.9,"2 21","4062 4084",20,"75.00%","75.00%",1134915,0.283101257373955,0.644418759197493,0.999980945197546,"A. pulchra"
11223,"Cluster_5900","lncRNA_29130",155,-21.79,"2 16","314 335",14,"78.57%","85.71%",1136007,-0.298349974629719,0.625842318218981,0.999980945197546,"A. pulchra"
11224,"Cluster_5900","lncRNA_29131",155,-21.79,"2 16","302 323",14,"78.57%","85.71%",1136046,-0.372374944243818,0.537074729173313,0.999980945197546,"A. pulchra"
11225,"Cluster_5900","lncRNA_29578",150,-22.89,"2 16","4572 4594",15,"73.33%","86.67%",1153479,-0.208189385992746,0.736852536471047,0.999980945197546,"A. pulchra"
11226,"Cluster_5900","lncRNA_29578",150,-22.89,"2 16","725 747",15,"73.33%","86.67%",1153479,-0.208189385992746,0.736852536471047,0.999980945197546,"A. pulchra"
11227,"Cluster_5900","lncRNA_29718",150,-22.89,"2 16","3983 4005",15,"73.33%","86.67%",1158939,-0.282364800359405,0.645318186497106,0.999980945197546,"A. pulchra"
11228,"Cluster_5900","lncRNA_29834",155,-20.97,"2 16","756 777",14,"78.57%","85.71%",1163463,-0.368830227158712,0.541266616899907,0.999980945197546,"A. pulchra"
11229,"Cluster_5900","lncRNA_30333",169,-21.49,"2 19","87 109",18,"83.33%","88.89%",1182924,-0.172563029151332,0.781381291467092,0.999980945197546,"A. pulchra"
11230,"Cluster_5900","lncRNA_30374",160,-21.4,"2 21","2079 2100",19,"63.16%","84.21%",1184523,0.214019691298517,0.729596469429187,0.999980945197546,"A. pulchra"
11231,"Cluster_5900","lncRNA_30392",162,-22.54,"2 21","9550 9574",22,"77.27%","77.27%",1185225,0.678791765572239,0.207679752992222,0.999980945197546,"A. pulchra"
11232,"Cluster_5900","lncRNA_30522",160,-21.4,"2 21","8698 8719",19,"63.16%","84.21%",1190295,0.48085537293381,0.41224463433901,0.999980945197546,"A. pulchra"
11233,"Cluster_5900","lncRNA_30526",163,-24.6,"2 20","390 411",18,"72.22%","83.33%",1190451,0.783769564153209,0.116706690954736,0.999980945197546,"A. pulchra"
11234,"Cluster_5900","lncRNA_30530",159,-21.28,"2 16","14012 14033",14,"85.71%","85.71%",1190607,0.106764529243666,0.8643218724613,0.999980945197546,"A. pulchra"
11235,"Cluster_5900","lncRNA_30530",165,-24.05,"2 18","1680 1701",16,"81.25%","87.50%",1190607,0.106764529243666,0.8643218724613,0.999980945197546,"A. pulchra"
11236,"Cluster_5900","lncRNA_30782",156,-20.62,"2 17","37 58",15,"73.33%","86.67%",1200435,0.359125771359758,0.552775118765375,0.999980945197546,"A. pulchra"
11237,"Cluster_5900","lncRNA_30943",157,-20.18,"2 19","202 225",19,"73.68%","78.95%",1206714,-0.762298011659373,0.134047171897848,0.999980945197546,"A. pulchra"
11238,"Cluster_5900","lncRNA_31386",150,-21.16,"2 16","1955 1980",18,"72.22%","77.78%",1223991,-0.780636710133573,0.119191846122809,0.999980945197546,"A. pulchra"
11239,"Cluster_5900","lncRNA_31387",150,-21.16,"2 16","12469 12494",18,"72.22%","77.78%",1224030,-0.821121484636057,0.0883406901205659,0.999980945197546,"A. pulchra"
11240,"Cluster_5900","lncRNA_31389",150,-21.16,"2 16","483 508",18,"72.22%","77.78%",1224108,-0.81714128922309,0.0912475594063183,0.999980945197546,"A. pulchra"
11241,"Cluster_5900","lncRNA_31390",150,-21.16,"2 16","12750 12775",18,"72.22%","77.78%",1224147,-0.762800168513603,0.133633546671804,0.999980945197546,"A. pulchra"
11242,"Cluster_5900","lncRNA_31390",150,-21.16,"2 16","26 51",18,"72.22%","77.78%",1224147,-0.762800168513603,0.133633546671804,0.999980945197546,"A. pulchra"
11243,"Cluster_5900","lncRNA_31391",150,-21.16,"2 16","1930 1955",18,"72.22%","77.78%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11244,"Cluster_5900","lncRNA_31391",150,-21.16,"2 16","32665 32690",18,"72.22%","77.78%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11245,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","12950 12971",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11246,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","13128 13149",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11247,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","13306 13327",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11248,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","22623 22644",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11249,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","22801 22822",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11250,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","22979 23000",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11251,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","23157 23178",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11252,"Cluster_5900","lncRNA_31391",152,-20.85,"2 17","23335 23356",15,"73.33%","80.00%",1224186,-0.793666046792886,0.108960629460167,0.999980945197546,"A. pulchra"
11253,"Cluster_5900","lncRNA_31392",150,-21.16,"2 16","1902 1927",18,"72.22%","77.78%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11254,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","12922 12943",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11255,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","13100 13121",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11256,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","13278 13299",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11257,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","22595 22616",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11258,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","22773 22794",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11259,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","22951 22972",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11260,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","23129 23150",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11261,"Cluster_5900","lncRNA_31392",152,-20.85,"2 17","23307 23328",15,"73.33%","80.00%",1224225,-0.786346719225723,0.114674162956817,0.999980945197546,"A. pulchra"
11262,"Cluster_5900","lncRNA_31393",150,-21.16,"2 16","30463 30488",18,"72.22%","77.78%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11263,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","10748 10769",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11264,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","10926 10947",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11265,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","11104 11125",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11266,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","20421 20442",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11267,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","20599 20620",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11268,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","20777 20798",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11269,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","20955 20976",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11270,"Cluster_5900","lncRNA_31393",152,-20.85,"2 17","21133 21154",15,"73.33%","80.00%",1224264,-0.839352994582531,0.0754033401577289,0.994405289709058,"A. pulchra"
11271,"Cluster_5900","lncRNA_31394",150,-21.16,"2 16","1955 1980",18,"72.22%","77.78%",1224303,-0.780646273596416,0.119184236015516,0.999980945197546,"A. pulchra"
11272,"Cluster_5900","lncRNA_31395",150,-21.16,"2 16","8434 8459",18,"72.22%","77.78%",1224342,-0.76756223662529,0.129729954757844,0.999980945197546,"A. pulchra"
11273,"Cluster_5900","lncRNA_31396",150,-21.16,"2 16","8142 8167",18,"72.22%","77.78%",1224381,-0.734331675376751,0.157663435120178,0.999980945197546,"A. pulchra"
11274,"Cluster_5900","lncRNA_31397",150,-21.16,"2 16","1935 1960",18,"72.22%","77.78%",1224420,-0.693598416438766,0.193966624014559,0.999980945197546,"A. pulchra"
11275,"Cluster_5900","lncRNA_31398",150,-21.16,"2 16","1935 1960",18,"72.22%","77.78%",1224459,-0.693598416438766,0.193966624014559,0.999980945197546,"A. pulchra"
11276,"Cluster_5900","lncRNA_31399",150,-21.16,"2 16","1933 1958",18,"72.22%","77.78%",1224498,-0.733280448126768,0.158572732572316,0.999980945197546,"A. pulchra"
11277,"Cluster_5900","lncRNA_31400",150,-21.16,"2 16","12750 12775",18,"72.22%","77.78%",1224537,-0.762800168513603,0.133633546671804,0.999980945197546,"A. pulchra"
11278,"Cluster_5900","lncRNA_31400",150,-21.16,"2 16","26 51",18,"72.22%","77.78%",1224537,-0.762800168513603,0.133633546671804,0.999980945197546,"A. pulchra"
11279,"Cluster_5900","lncRNA_3173",153,-20.72,"2 16","426 446",14,"78.57%","92.86%",123723,-0.53421580377121,0.353717517590513,0.999980945197546,"A. pulchra"
11280,"Cluster_5900","lncRNA_3815",156,-21.41,"2 18","4432 4454",17,"76.47%","82.35%",148761,0.140341599054227,0.821899839236012,0.999980945197546,"A. pulchra"
11281,"Cluster_5900","lncRNA_3815",156,-21.41,"2 18","581 603",17,"76.47%","82.35%",148761,0.140341599054227,0.821899839236012,0.999980945197546,"A. pulchra"
11282,"Cluster_5900","lncRNA_3840",159,-21.44,"2 21","6068 6090",20,"70.00%","80.00%",149736,0.807018727280388,0.0987682850540079,0.999980945197546,"A. pulchra"
11283,"Cluster_5900","lncRNA_3936",159,-21.28,"2 16","15293 15314",14,"85.71%","85.71%",153480,-0.43493621269391,0.464214019811739,0.999980945197546,"A. pulchra"
11284,"Cluster_5900","lncRNA_3936",159,-21.28,"2 16","6072 6093",14,"85.71%","85.71%",153480,-0.43493621269391,0.464214019811739,0.999980945197546,"A. pulchra"
11285,"Cluster_5900","lncRNA_3953",150,-20.91,"2 15","408 429",13,"69.23%","92.31%",154143,0.716810420676215,0.173014267521883,0.999980945197546,"A. pulchra"
11286,"Cluster_5900","lncRNA_3954",150,-20.91,"2 15","392 413",13,"69.23%","92.31%",154182,0.716810420676215,0.173014267521883,0.999980945197546,"A. pulchra"
11287,"Cluster_5900","lncRNA_4130",159,-21.44,"2 21","5844 5866",20,"70.00%","80.00%",161046,0.833076222723674,0.0797860011665788,0.999980945197546,"A. pulchra"
11288,"Cluster_5900","lncRNA_4201",148,-20.73,"2 18","22061 22084",18,"72.22%","72.22%",163815,0.682682420695029,0.204051011529311,0.999980945197546,"A. pulchra"
11289,"Cluster_5900","lncRNA_4202",148,-20.73,"2 18","22028 22051",18,"72.22%","72.22%",163854,0.682682420695029,0.204051011529311,0.999980945197546,"A. pulchra"
11290,"Cluster_5900","lncRNA_4205",148,-20.73,"2 18","21188 21211",18,"72.22%","72.22%",163971,0.690775421243489,0.19656072828659,0.999980945197546,"A. pulchra"
11291,"Cluster_5900","lncRNA_4247",159,-21.28,"2 16","6466 6487",14,"85.71%","85.71%",165609,-0.270371574054595,0.659993585142621,0.999980945197546,"A. pulchra"
11292,"Cluster_5900","lncRNA_4269",150,-20.91,"2 15","197 218",13,"69.23%","92.31%",166467,0.591009209421303,0.293953220153985,0.999980945197546,"A. pulchra"
11293,"Cluster_5900","lncRNA_480",158,-22.07,"2 21","3299 3319",19,"73.68%","78.95%",18696,0.512040750197872,0.377779253405124,0.999980945197546,"A. pulchra"
11294,"Cluster_5900","lncRNA_5168",180,-29.75,"2 21","320 341",19,"84.21%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11295,"Cluster_5900","lncRNA_5168",180,-29.75,"2 21","407 428",19,"84.21%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11296,"Cluster_5900","lncRNA_5168",180,-29.75,"2 21","668 689",19,"84.21%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11297,"Cluster_5900","lncRNA_5168",180,-29.75,"2 21","842 863",19,"84.21%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11298,"Cluster_5900","lncRNA_5168",180,-29.75,"2 21","929 950",19,"84.21%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11299,"Cluster_5900","lncRNA_5168",184,-26.18,"2 21","59 80",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11300,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","1016 1037",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11301,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","1103 1124",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11302,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","146 167",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11303,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","233 254",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11304,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","494 515",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11305,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","581 602",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11306,"Cluster_5900","lncRNA_5168",184,-29.25,"2 21","755 776",19,"89.47%","89.47%",201489,0.224286299387121,0.716842449914438,0.999980945197546,"A. pulchra"
11307,"Cluster_5900","lncRNA_5175",176,-20.76,"2 21","1422 1443",19,"84.21%","84.21%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11308,"Cluster_5900","lncRNA_5175",176,-24.44,"2 21","900 921",19,"78.95%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11309,"Cluster_5900","lncRNA_5175",176,-24.96,"2 21","1074 1095",19,"84.21%","84.21%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11310,"Cluster_5900","lncRNA_5175",176,-24.96,"2 21","1161 1182",19,"84.21%","84.21%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11311,"Cluster_5900","lncRNA_5175",176,-24.96,"2 21","987 1008",19,"84.21%","84.21%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11312,"Cluster_5900","lncRNA_5175",184,-25.58,"2 21","1506 1527",19,"89.47%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11313,"Cluster_5900","lncRNA_5175",184,-25.58,"2 21","1590 1611",19,"89.47%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11314,"Cluster_5900","lncRNA_5175",184,-29.25,"2 21","1248 1269",19,"89.47%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11315,"Cluster_5900","lncRNA_5175",184,-29.25,"2 21","1677 1698",19,"89.47%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11316,"Cluster_5900","lncRNA_5175",184,-29.25,"2 21","1764 1785",19,"89.47%","89.47%",201762,0.0970119449513896,0.87667457659602,0.999980945197546,"A. pulchra"
11317,"Cluster_5900","lncRNA_5176",176,-20.76,"2 21","528 549",19,"84.21%","84.21%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11318,"Cluster_5900","lncRNA_5176",176,-24.44,"2 21","6 27",19,"78.95%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11319,"Cluster_5900","lncRNA_5176",176,-24.96,"2 21","180 201",19,"84.21%","84.21%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11320,"Cluster_5900","lncRNA_5176",176,-24.96,"2 21","267 288",19,"84.21%","84.21%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11321,"Cluster_5900","lncRNA_5176",176,-24.96,"2 21","93 114",19,"84.21%","84.21%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11322,"Cluster_5900","lncRNA_5176",184,-25.58,"2 21","612 633",19,"89.47%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11323,"Cluster_5900","lncRNA_5176",184,-25.58,"2 21","696 717",19,"89.47%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11324,"Cluster_5900","lncRNA_5176",184,-29.25,"2 21","354 375",19,"89.47%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11325,"Cluster_5900","lncRNA_5176",184,-29.25,"2 21","783 804",19,"89.47%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11326,"Cluster_5900","lncRNA_5176",184,-29.25,"2 21","870 891",19,"89.47%","89.47%",201801,0.0918725812847484,0.883188962505014,0.999980945197546,"A. pulchra"
11327,"Cluster_5900","lncRNA_5602",160,-20.67,"2 20","2168 2187",18,"77.78%","83.33%",218415,0.0261305706699706,0.96673331070182,0.999980945197546,"A. pulchra"
11328,"Cluster_5900","lncRNA_5664",158,-22.07,"2 21","620 640",19,"73.68%","78.95%",220833,0.000580741620893173,0.999260576844568,0.999986903939882,"A. pulchra"
11329,"Cluster_5900","lncRNA_5883",151,-23.17,"2 21","168 191",21,"66.67%","71.43%",229374,0.85803708061752,0.062823926389226,0.974612901107703,"A. pulchra"
11330,"Cluster_5900","lncRNA_6068",154,-20.05,"2 21","6878 6898",19,"68.42%","78.95%",236589,0.817459153779928,0.0910143561785122,0.999980945197546,"A. pulchra"
11331,"Cluster_5900","lncRNA_6146",158,-20.16,"2 15","1522 1543",13,"84.62%","92.31%",239631,-0.571721237607737,0.313934120903359,0.999980945197546,"A. pulchra"
11332,"Cluster_5900","lncRNA_6226",159,-21.69,"2 21","47 70",21,"66.67%","80.95%",242751,-0.13633902379528,0.826947071254169,0.999980945197546,"A. pulchra"
11333,"Cluster_5900","lncRNA_6298",159,-21.71,"2 16","1776 1797",14,"85.71%","85.71%",245559,0.0880963862582844,0.887977455195045,0.999980945197546,"A. pulchra"
11334,"Cluster_5900","lncRNA_631",159,-21.69,"2 21","508 531",21,"66.67%","80.95%",24585,0.00215562342779361,0.997255377133758,0.999980945197546,"A. pulchra"
11335,"Cluster_5900","lncRNA_6553",166,-20.21,"2 20","245 267",19,"78.95%","84.21%",255504,-0.448008495302522,0.44927980918183,0.999980945197546,"A. pulchra"
11336,"Cluster_5900","lncRNA_6893",157,-21.55,"2 19","196 220",20,"70.00%","80.00%",268764,0.252490924941491,0.681967831577448,0.999980945197546,"A. pulchra"
11337,"Cluster_5900","lncRNA_6992",156,-20.31,"2 21","37338 37359",19,"63.16%","78.95%",272625,-0.101816528242761,0.870587501831081,0.999980945197546,"A. pulchra"
11338,"Cluster_5900","lncRNA_7020",163,-22.33,"2 21","10997 11020",21,"71.43%","80.95%",273717,0.0712158478800815,0.909401870562023,0.999980945197546,"A. pulchra"
11339,"Cluster_5900","lncRNA_7021",163,-22.33,"2 21","10991 11014",21,"71.43%","80.95%",273756,0.0712158478800815,0.909401870562023,0.999980945197546,"A. pulchra"
11340,"Cluster_5900","lncRNA_7024",168,-22.49,"2 21","198 219",19,"68.42%","89.47%",273873,-0.292014768790989,0.633549113425189,0.999980945197546,"A. pulchra"
11341,"Cluster_5900","lncRNA_7026",175,-22.47,"2 21","9945 9968",21,"80.95%","85.71%",273951,-0.170194529858563,0.784352341544235,0.999980945197546,"A. pulchra"
11342,"Cluster_5900","lncRNA_7027",175,-22.47,"2 21","9944 9967",21,"80.95%","85.71%",273990,0.166590931906264,0.788875062182052,0.999980945197546,"A. pulchra"
11343,"Cluster_5900","lncRNA_7028",175,-22.47,"2 21","7589 7612",21,"80.95%","85.71%",274029,-0.136212211315061,0.827107027627397,0.999980945197546,"A. pulchra"
11344,"Cluster_5900","lncRNA_7045",143,-20.58,"2 17","11262 11284",16,"68.75%","75.00%",274692,0.0466317674034424,0.940648114853739,0.999980945197546,"A. pulchra"
11345,"Cluster_5900","lncRNA_7046",143,-20.58,"2 17","1478 1500",16,"68.75%","75.00%",274731,0.661323656261887,0.224188821237276,0.999980945197546,"A. pulchra"
11346,"Cluster_5900","lncRNA_7082",166,-21.09,"2 21","523 543",19,"78.95%","84.21%",276135,-0.588554470076673,0.296477232372315,0.999980945197546,"A. pulchra"
11347,"Cluster_5900","lncRNA_7473",153,-20.22,"2 15","730 752",14,"78.57%","92.86%",291384,-0.406349738674585,0.497233063506702,0.999980945197546,"A. pulchra"
