"","miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","V1","V3","Protein.names","Organism","Gene.Ontology..biological.process.","Gene.Ontology.IDs"
"17366","Cluster_15928","FUN_022644",-0.883709519693995,0.0467655101523172,0.96546924320845,161,-21.23,"2 21","11197 11216",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"17376","Cluster_15928","FUN_022239",0.911168421687656,0.0313553622723766,0.928011721416688,153,-21.71,"2 21","3810 3834",22,"68.18%","81.82%","CDS",NA,NA,NA,NA,NA,NA
"17382","Cluster_15928","FUN_022498",-0.914545387849728,0.0295999176544841,0.922979388371587,163,-21.14,"2 17","25643 25665",16,"81.25%","93.75%","CDS",NA,NA,NA,NA,NA,NA
"17384","Cluster_15928","FUN_022800",-0.896655724864461,0.039256726635576,0.96546924320845,159,-20.94,"2 17","11670 11692",16,"75.00%","93.75%","CDS","ptg000017l:103302-117046","Q80ZA4","Fibrocystin-L (Polycystic kidney and hepatic disease 1-like protein 1) (PKHD1-like protein 1) (Protein D86)","Mus musculus (Mouse)","sensory perception of sound [GO:0007605]","GO:0007605; GO:0016020; GO:0032426; GO:0120234"
"17391","Cluster_15928","FUN_023801",-0.959396925331973,0.00976133851143033,0.717681557663573,170,-21.48,"2 20","83587 83609",19,"78.95%","89.47%","CDS","ptg000017l:11486899-11668400","Q96DM1","PiggyBac transposable element-derived protein 4","Homo sapiens (Human)","",""
"17407","Cluster_15928","FUN_022837",0.88404656923285,0.0465647916648025,0.96546924320845,151,-20.04,"2 19","3166 3193",23,"73.91%","73.91%","CDS",NA,NA,NA,NA,NA,NA
"17411","Cluster_15928","FUN_023285",-0.914924728028778,0.029404763203463,0.922979388371587,150,-20.67,"2 21","1391 1414",21,"66.67%","76.19%","CDS","ptg000017l:5917067-5928887","A0A2B4SJA1",NA,NA,NA,NA
"17416","Cluster_15928","FUN_022856",0.917535452460868,0.028072977903627,0.917689307048004,161,-20.02,"2 20","4668 4691",20,"70.00%","90.00%","CDS",NA,NA,NA,NA,NA,NA
"17425","Cluster_15928","FUN_024932",0.979428049877591,0.00353103772653738,0.545343267336266,153,-20.11,"2 20","387 412",22,"68.18%","77.27%","CDS",NA,NA,NA,NA,NA,NA
"17457","Cluster_15928","FUN_024614",-0.881038647717705,0.0483656761365184,0.96546924320845,162,-20.65,"2 21","29104 29127",21,"71.43%","85.71%","CDS","ptg000018l:8997982-9038349","B3EWZ9","Hephaestin-like protein (EC 1.-.-.-)","Acropora millepora (Staghorn coral) (Heteropora millepora)","copper ion transport [GO:0006825]","GO:0005507; GO:0005576; GO:0006825; GO:0016020; GO:0016491"
"17473","Cluster_15928","FUN_026673",0.97094359265703,0.00591963293024397,0.635135638047325,151,-20.4,"2 21","6884 6906",20,"60.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"17500","Cluster_15928","FUN_027984",-0.912680206273256,0.0305654807793489,0.922979388371587,165,-25.07,"2 20","13348 13373",22,"77.27%","81.82%","CDS",NA,NA,NA,NA,NA,NA
"17501","Cluster_15928","FUN_027984",-0.912680206273256,0.0305654807793489,0.922979388371587,171,-22.8,"2 20","55829 55850",18,"77.78%","88.89%","CDS",NA,NA,NA,NA,NA,NA
"17513","Cluster_15928","FUN_028180",-0.891629842244459,0.042122076655814,0.96546924320845,166,-23.5,"2 20","38852 38874",19,"78.95%","84.21%","CDS","ptg000021l:16533082-16587466","O73853","Steroid 17-alpha-hydroxylase/17,20 lyase (EC 1.14.14.19) (EC 1.14.14.32) (17-alpha-hydroxyprogesterone aldolase) (CYPXVII) (Cytochrome P450 17A1) (Cytochrome P450-C17) (Cytochrome P450c17)","Ictalurus punctatus (Channel catfish) (Silurus punctatus)","steroid biosynthetic process [GO:0006694]","GO:0004508; GO:0005506; GO:0006694; GO:0016020; GO:0020037; GO:0047442"
"17527","Cluster_15928","FUN_027723",0.910371360289112,0.0317744079896566,0.930896449408497,153,-20.11,"2 20","387 412",22,"68.18%","77.27%","CDS",NA,NA,NA,NA,NA,NA
"17553","Cluster_15928","FUN_030198",-0.95443569771743,0.0115952532251544,0.757284546693136,165,-23.21,"2 19","2331 2354",19,"78.95%","84.21%","CDS","ptg000023l:10269056-10296412","Q9ERH8","Solute carrier family 28 member 3 (Concentrative Na(+)-nucleoside cotransporter 3) (CNT 3) (mCNT3)","Mus musculus (Mouse)","nucleoside transmembrane transport [GO:1901642]; purine nucleoside transmembrane transport [GO:0015860]; pyrimidine nucleoside transport [GO:0015864]; pyrimidine-containing compound transmembrane transport [GO:0072531]; retina homeostasis [GO:0001895]; uridine transport [GO:0015862]","GO:0001895; GO:0005337; GO:0005415; GO:0005886; GO:0015213; GO:0015293; GO:0015389; GO:0015390; GO:0015860; GO:0015862; GO:0015864; GO:0031526; GO:0072531; GO:1901642"
"17575","Cluster_15928","FUN_031741",-0.885911489515006,0.045459159085183,0.96546924320845,156,-21.14,"2 18","6290 6314",19,"73.68%","78.95%","CDS",NA,NA,NA,NA,NA,NA
"17585","Cluster_15928","FUN_032046",-0.891315195011202,0.0423035880419945,0.96546924320845,158,-25.16,"2 21","15095 15118",21,"71.43%","80.95%","CDS",NA,NA,NA,NA,NA,NA
"17614","Cluster_15928","FUN_030046",0.950706036754304,0.0130402807142729,0.766084851142397,159,-20.44,"2 20","1933 1954",18,"72.22%","77.78%","CDS","ptg000023l:8772421-8784902","Q1JPX3","Phenylalanine--tRNA ligase alpha subunit (EC 6.1.1.20) (Phenylalanyl-tRNA synthetase alpha subunit) (PheRS)","Danio rerio (Zebrafish) (Brachydanio rerio)","anatomical structure development [GO:0048856]; phenylalanyl-tRNA aminoacylation [GO:0006432]; protein heterotetramerization [GO:0051290]","GO:0000049; GO:0000287; GO:0004826; GO:0005524; GO:0005737; GO:0006432; GO:0009328; GO:0048856; GO:0051290"
"17632","Cluster_15928","FUN_034359",-0.948277987642847,0.014010337916193,0.784736907640049,165,-23.48,"2 19","9291 9313",18,"77.78%","88.89%","CDS",NA,NA,NA,NA,NA,NA
"17635","Cluster_15928","FUN_034438",0.885308991607349,0.0458154338465696,0.96546924320845,168,-21.94,"2 21","1946 1967",19,"68.42%","89.47%","CDS",NA,NA,NA,NA,NA,NA
"17677","Cluster_15928","FUN_035409",0.983379695203908,0.00256570458040879,0.545343267336266,153,-20.02,"2 20","284 312",25,"68.00%","72.00%","CDS","ptg000025l:7142562-7145354","A2RT91","Ankyrin and armadillo repeat-containing protein","Mus musculus (Mouse)","","GO:0016020"
"17740","Cluster_15928","FUN_037952",-0.941417983482848,0.0168704558662631,0.840916683664362,148,-20.62,"2 19","18053 18077",20,"65.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"17752","Cluster_15928","FUN_039860",-0.882875161054899,0.047263558123157,0.96546924320845,165,-20.98,"2 21","8418 8439",20,"75.00%","90.00%","CDS",NA,NA,NA,NA,NA,NA
"17786","Cluster_15928","FUN_041521",-0.954524254284394,0.0115616216098535,0.756417382372095,163,-23.8,"2 21","19714 19736",20,"75.00%","80.00%","CDS","ptg000035l:4693003-4731602","Q7SIB2","Collagen alpha-1(IV) chain [Cleaved into: Arresten]","Bos taurus (Bovine)","basement membrane organization [GO:0071711]; brain development [GO:0007420]; branching involved in blood vessel morphogenesis [GO:0001569]; cellular response to amino acid stimulus [GO:0071230]; collagen-activated tyrosine kinase receptor signaling pathway [GO:0038063]; extracellular matrix organization [GO:0030198]; neuromuscular junction development [GO:0007528]; renal tubule morphogenesis [GO:0061333]; retinal blood vessel morphogenesis [GO:0061304]","GO:0001569; GO:0005201; GO:0005587; GO:0005604; GO:0005615; GO:0007420; GO:0007528; GO:0030020; GO:0030198; GO:0031012; GO:0038063; GO:0048407; GO:0061304; GO:0061333; GO:0071230; GO:0071711"
"17800","Cluster_15928","FUN_041999",-0.888376844199742,0.0440105485213028,0.96546924320845,167,-21.78,"2 20","27832 27853",18,"72.22%","88.89%","CDS","ptg000035l:9683070-9718447","O14715","RANBP2-like and GRIP domain-containing protein 8 (Ran-binding protein 2-like 3) (RanBP2-like 3) (RanBP2L3)","Homo sapiens (Human)","NLS-bearing protein import into nucleus [GO:0006607]","GO:0005643; GO:0005737; GO:0006607; GO:0031267"
"17809","Cluster_15928","FUN_042624",-0.886507321735603,0.0451076940715685,0.96546924320845,175,-27.77,"2 21","22283 22306",21,"76.19%","90.48%","CDS",NA,NA,NA,NA,NA,NA
"17816","Cluster_15928","FUN_043653",0.903965726579685,0.0352059604750749,0.956152004505484,164,-22.54,"2 17","85 106",15,"80.00%","93.33%","CDS",NA,NA,NA,NA,NA,NA
"17839","Cluster_15928","FUN_042846",0.980644811899506,0.00322303518544466,0.545343267336266,157,-20.03,"2 20","9162 9185",20,"75.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"17871","Cluster_16409","FUN_001282",0.925889497459024,0.0239478104070718,0.911947326397717,154,-21.27,"2 20","7706 7733",24,"62.50%","75.00%","CDS",NA,NA,NA,NA,NA,NA
"17876","Cluster_16409","FUN_001459",0.899006211587515,0.0379389140065401,0.96546924320845,146,-20.93,"2 21","12716 12732",19,"68.42%","73.68%","CDS","ntLink_6:12586278-12604578","Q5D1E7","Endoribonuclease ZC3H12A (EC 3.1.-.-) (Monocyte chemotactic protein-induced protein 1) (MCP-induced protein 1) (MCPIP-1) (Regnase-1) (Reg1) (Zinc finger CCCH domain-containing protein 12A)","Mus musculus (Mouse)","3'-UTR-mediated mRNA destabilization [GO:0061158]; angiogenesis [GO:0001525]; apoptotic process [GO:0006915]; cell differentiation [GO:0030154]; cellular response to chemokine [GO:1990869]; cellular response to DNA damage stimulus [GO:0006974]; cellular response to glucose starvation [GO:0042149]; cellular response to interleukin-1 [GO:0071347]; cellular response to ionomycin [GO:1904637]; cellular response to lipopolysaccharide [GO:0071222]; cellular response to oxidative stress [GO:0034599]; cellular response to sodium arsenite [GO:1903936]; cellular response to tumor necrosis factor [GO:0071356]; cellular response to virus [GO:0098586]; immune response-activating signaling pathway [GO:0002757]; inflammatory response [GO:0006954]; miRNA catabolic process [GO:0010587]; negative regulation by host of viral genome replication [GO:0044828]; negative regulation of cardiac muscle contraction [GO:0055118]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of gene expression [GO:0010629]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of interleukin-1 beta production [GO:0032691]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of muscle cell apoptotic process [GO:0010656]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of nitric oxide biosynthetic process [GO:0045019]; negative regulation of protein phosphorylation [GO:0001933]; negative regulation of T-helper 17 cell differentiation [GO:2000320]; negative regulation of tumor necrosis factor production [GO:0032720]; negative regulation of type II interferon production [GO:0032689]; nervous system development [GO:0007399]; nuclear-transcribed mRNA catabolic process, endonucleolytic cleavage-dependent decay [GO:0000294]; positive regulation of angiogenesis [GO:0045766]; positive regulation of autophagy [GO:0010508]; positive regulation of cell death [GO:0010942]; positive regulation of defense response to virus by host [GO:0002230]; positive regulation of endothelial cell migration [GO:0010595]; positive regulation of execution phase of apoptosis [GO:1900119]; positive regulation of fat cell differentiation [GO:0045600]; positive regulation of gene expression [GO:0010628]; positive regulation of lipid storage [GO:0010884]; positive regulation of miRNA catabolic process [GO:2000627]; positive regulation of mRNA catabolic process [GO:0061014]; positive regulation of p38MAPK cascade [GO:1900745]; positive regulation of protein deubiquitination [GO:1903003]; positive regulation of protein import into nucleus [GO:0042307]; positive regulation of reactive oxygen species metabolic process [GO:2000379]; positive regulation of transcription by RNA polymerase II [GO:0045944]; protein complex oligomerization [GO:0051259]; protein deubiquitination [GO:0016579]; regulation of gene expression [GO:0010468]; RNA phosphodiester bond hydrolysis [GO:0090501]; RNA phosphodiester bond hydrolysis, endonucleolytic [GO:0090502]; T cell receptor signaling pathway [GO:0050852]","GO:0000294; GO:0000932; GO:0001525; GO:0001933; GO:0002230; GO:0002757; GO:0003677; GO:0003682; GO:0003723; GO:0003729; GO:0003730; GO:0004518; GO:0004521; GO:0004532; GO:0004540; GO:0004843; GO:0005634; GO:0005654; GO:0005737; GO:0005791; GO:0005856; GO:0006915; GO:0006954; GO:0006974; GO:0007399; GO:0010468; GO:0010508; GO:0010587; GO:0010595; GO:0010628; GO:0010629; GO:0010656; GO:0010884; GO:0010942; GO:0016579; GO:0030154; GO:0030867; GO:0032088; GO:0032689; GO:0032691; GO:0032715; GO:0032720; GO:0032991; GO:0034599; GO:0035198; GO:0035613; GO:0035925; GO:0036464; GO:0042149; GO:0042307; GO:0042406; GO:0043022; GO:0043124; GO:0044828; GO:0045019; GO:0045600; GO:0045766; GO:0045944; GO:0046872; GO:0050852; GO:0051259; GO:0055118; GO:0061014; GO:0061158; GO:0071222; GO:0071347; GO:0071356; GO:0090501; GO:0090502; GO:0098586; GO:1900016; GO:1900119; GO:1900745; GO:1901223; GO:1903003; GO:1903936; GO:1904637; GO:1990869; GO:2000320; GO:2000379; GO:2000627"
"17912","Cluster_16409","FUN_000222",0.960345544562864,0.00942261832686226,0.717681557663573,162,-20.52,"2 21","1808 1828",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"17918","Cluster_16409","FUN_000984",0.924886327453627,0.0244319242382303,0.911947326397717,146,-20.93,"2 21","27526 27542",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"17947","Cluster_16409","FUN_003806",0.912436100242777,0.0306925837127653,0.922979388371587,159,-20.99,"2 21","1644 1666",20,"70.00%","80.00%","CDS","ntLink_8:15611524-15613517","O70165","Ficolin-1 (Collagen/fibrinogen domain-containing protein 1) (Ficolin-A) (Ficolin-alpha) (M-ficolin)","Mus musculus (Mouse)","cell surface pattern recognition receptor signaling pathway [GO:0002752]; complement activation, lectin pathway [GO:0001867]; G protein-coupled receptor signaling pathway [GO:0007186]; positive regulation of interleukin-8 production [GO:0032757]","GO:0001867; GO:0002752; GO:0003823; GO:0005102; GO:0005581; GO:0005615; GO:0007186; GO:0030246; GO:0031232; GO:0032757; GO:0038187; GO:0046872; GO:0062023; GO:0097367"
"17950","Cluster_16409","FUN_003881",0.962354593007619,0.00871834743955929,0.702767616782337,163,-22.18,"2 16","933 954",14,"85.71%","92.86%","CDS",NA,NA,NA,NA,NA,NA
"17952","Cluster_16409","FUN_004005",-0.897961046087348,0.0385231201542481,0.96546924320845,146,-20.93,"2 21","7525 7541",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"18004","Cluster_16409","FUN_002529",0.935097343622383,0.0196541271153022,0.868240483708665,157,-21.1,"2 21","45334 45353",19,"73.68%","78.95%","CDS",NA,NA,NA,NA,NA,NA
"18030","Cluster_16409","FUN_002379",0.914996322869014,0.0293679772483618,0.922979388371587,146,-20.94,"2 21","10281 10297",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"18137","Cluster_16409","FUN_010016",0.994178239701792,0.000532765042239193,0.49757830061317,160,-20.98,"2 18","2163 2185",17,"82.35%","82.35%","CDS",NA,NA,NA,NA,NA,NA
"18157","Cluster_16409","FUN_010832",0.878638595341363,0.049818026942435,0.96546924320845,159,-25.12,"2 21","2102 2125",21,"61.90%","85.71%","CDS","ptg000007l:3362088-3366359","Q13118","Krueppel-like factor 10 (EGR-alpha) (Transforming growth factor-beta-inducible early growth response protein 1) (TGFB-inducible early growth response protein 1) (TIEG-1)","Homo sapiens (Human)","bone mineralization [GO:0030282]; cell-cell signaling [GO:0007267]; cellular response to starvation [GO:0009267]; circadian rhythm [GO:0007623]; negative regulation of cell population proliferation [GO:0008285]; negative regulation of DNA-templated transcription [GO:0045892]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of osteoclast differentiation [GO:0045672]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of circadian rhythm [GO:0042752]; regulation of transcription by RNA polymerase II [GO:0006357]; somatic stem cell population maintenance [GO:0035019]","GO:0000122; GO:0000785; GO:0000978; GO:0000981; GO:0001046; GO:0001228; GO:0003700; GO:0005634; GO:0006357; GO:0007267; GO:0007623; GO:0008285; GO:0009267; GO:0030282; GO:0035019; GO:0042752; GO:0045672; GO:0045892; GO:0045944; GO:0046872; GO:1990837"
"18175","Cluster_16409","FUN_011255",-0.936181916440651,0.0191667232359122,0.861768820867929,162,-20.53,"2 21","5369 5389",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"18184","Cluster_16409","FUN_012774",0.904687845519594,0.0348135103334749,0.953511203196825,168,-20.62,"2 21","19740 19761",19,"68.42%","89.47%","CDS",NA,NA,NA,NA,NA,NA
"18213","Cluster_16409","FUN_014266",0.912436100242777,0.0306925837127652,0.922979388371587,149,-20.06,"2 20","922 942",18,"66.67%","77.78%","CDS",NA,NA,NA,NA,NA,NA
"18232","Cluster_16409","FUN_012126",0.880023513651586,0.0489783098278129,0.96546924320845,146,-20.93,"2 21","9358 9374",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"18425","Cluster_16409","FUN_022390",-0.894394994611713,0.0405376606201293,0.96546924320845,172,-20.02,"2 21","3627 3648",19,"78.95%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"18449","Cluster_16409","FUN_023158",0.899341108466048,0.0377523230877011,0.96546924320845,150,-20.09,"2 21","3423 3448",23,"65.22%","73.91%","CDS","ptg000017l:4312720-4327582","O97578","Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain 1 (Dipeptidyl peptidase I heavy chain 1); Dipeptidyl peptidase 1 heavy chain 2 (Dipeptidyl peptidase I heavy chain 2); Dipeptidyl peptidase 1 heavy chain 3 (Dipeptidyl peptidase I heavy chain 3); Dipeptidyl peptidase 1 heavy chain 4 (Dipeptidyl peptidase I heavy chain 4); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]","Canis lupus familiaris (Dog) (Canis familiaris)","proteolysis involved in protein catabolic process [GO:0051603]","GO:0004197; GO:0005615; GO:0005764; GO:0008239; GO:0051603"
"18450","Cluster_16409","FUN_023158",0.899341108466048,0.0377523230877011,0.96546924320845,154,-20.62,"2 21","3687 3713",24,"66.67%","75.00%","CDS","ptg000017l:4312720-4327582","O97578","Dipeptidyl peptidase 1 (EC 3.4.14.1) (Cathepsin C) (Cathepsin J) (Dipeptidyl peptidase I) (DPP-I) (DPPI) (Dipeptidyl transferase) [Cleaved into: Dipeptidyl peptidase 1 exclusion domain chain (Dipeptidyl peptidase I exclusion domain chain); Dipeptidyl peptidase 1 heavy chain 1 (Dipeptidyl peptidase I heavy chain 1); Dipeptidyl peptidase 1 heavy chain 2 (Dipeptidyl peptidase I heavy chain 2); Dipeptidyl peptidase 1 heavy chain 3 (Dipeptidyl peptidase I heavy chain 3); Dipeptidyl peptidase 1 heavy chain 4 (Dipeptidyl peptidase I heavy chain 4); Dipeptidyl peptidase 1 light chain (Dipeptidyl peptidase I light chain)]","Canis lupus familiaris (Dog) (Canis familiaris)","proteolysis involved in protein catabolic process [GO:0051603]","GO:0004197; GO:0005615; GO:0005764; GO:0008239; GO:0051603"
"18523","Cluster_16409","FUN_025673",0.900555948752065,0.0370779329310631,0.96546924320845,163,-20.05,"2 20","17734 17755",18,"72.22%","83.33%","CDS","ptg000019l:5520581-5561182","C3YWU0","Alpha-L-fucosidase (EC 3.2.1.51) (Alpha-L-fucoside fucohydrolase)","Branchiostoma floridae (Florida lancelet) (Amphioxus)","fucose metabolic process [GO:0006004]; glycoside catabolic process [GO:0016139]","GO:0004560; GO:0005576; GO:0005764; GO:0006004; GO:0016139"
"18572","Cluster_16409","FUN_027835",0.97304636462472,0.00529049348987972,0.608342299863651,167,-21.06,"2 20","1565 1586",18,"72.22%","88.89%","CDS",NA,NA,NA,NA,NA,NA
"18576","Cluster_16409","FUN_028022",0.904417074255168,0.034960501586265,0.954586355476751,154,-21.27,"2 20","3870 3897",24,"62.50%","75.00%","CDS","ptg000021l:14984084-14990512","A1L1W9","Monocarboxylate transporter 10 (MCT 10) (Solute carrier family 16 member 10)","Danio rerio (Zebrafish) (Brachydanio rerio)","aromatic amino acid transport [GO:0015801]; thyroid hormone transport [GO:0070327]","GO:0005302; GO:0015173; GO:0015192; GO:0015196; GO:0015349; GO:0015801; GO:0016020; GO:0016323; GO:0070327"
"18635","Cluster_16409","FUN_031322",0.937431005685436,0.0186103308809203,0.85267300787631,158,-20.11,"2 21","57709 57733",22,"72.73%","77.27%","CDS","ptg000023l:19492047-19585304","Q7RTR2","NLR family CARD domain-containing protein 3 (CARD15-like protein) (Caterpiller protein 16.2) (CLR16.2) (NACHT, LRR and CARD domains-containing protein 3) (Nucleotide-binding oligomerization domain protein 3)","Homo sapiens (Human)","I-kappaB kinase/NF-kappaB signaling [GO:0007249]; intracellular signal transduction [GO:0035556]; negative regulation of cytokine production involved in inflammatory response [GO:1900016]; negative regulation of epithelial cell proliferation [GO:0050680]; negative regulation of fibroblast proliferation [GO:0048147]; negative regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043124]; negative regulation of inflammatory response [GO:0050728]; negative regulation of innate immune response [GO:0045824]; negative regulation of interferon-alpha production [GO:0032687]; negative regulation of interferon-beta production [GO:0032688]; negative regulation of interleukin-6 production [GO:0032715]; negative regulation of NF-kappaB transcription factor activity [GO:0032088]; negative regulation of NIK/NF-kappaB signaling [GO:1901223]; negative regulation of NLRP3 inflammasome complex assembly [GO:1900226]; negative regulation of phosphatidylinositol 3-kinase signaling [GO:0014067]; negative regulation of tumor necrosis factor production [GO:0032720]; T cell activation [GO:0042110]","GO:0005524; GO:0005737; GO:0005829; GO:0007249; GO:0014067; GO:0032088; GO:0032687; GO:0032688; GO:0032715; GO:0032720; GO:0034451; GO:0035556; GO:0036312; GO:0042110; GO:0043124; GO:0043231; GO:0045824; GO:0048147; GO:0048471; GO:0050680; GO:0050728; GO:1900016; GO:1900226; GO:1901223"
"18649","Cluster_16409","FUN_031653",0.91537013847182,0.0291761485960586,0.922979388371587,171,-22.47,"2 20","7452 7473",18,"77.78%","88.89%","CDS",NA,NA,NA,NA,NA,NA
"18720","Cluster_16409","FUN_029339",0.923271160227114,0.0252179169400392,0.914225011702335,146,-20.93,"2 21","9059 9075",19,"68.42%","73.68%","CDS","ptg000023l:757033-769220","Q24488","Tyrosine-protein kinase transmembrane receptor Ror (dRor) (EC 2.7.10.1)","Drosophila melanogaster (Fruit fly)","central nervous system development [GO:0007417]; positive regulation of kinase activity [GO:0033674]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein phosphorylation [GO:0006468]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","GO:0004713; GO:0004714; GO:0005524; GO:0005886; GO:0006468; GO:0007169; GO:0007417; GO:0010976; GO:0014068; GO:0016020; GO:0017147; GO:0033674; GO:0043235"
"18721","Cluster_16409","FUN_029339",0.923271160227114,0.0252179169400392,0.914225011702335,161,-21.48,"2 18","7699 7720",16,"81.25%","81.25%","CDS","ptg000023l:757033-769220","Q24488","Tyrosine-protein kinase transmembrane receptor Ror (dRor) (EC 2.7.10.1)","Drosophila melanogaster (Fruit fly)","central nervous system development [GO:0007417]; positive regulation of kinase activity [GO:0033674]; positive regulation of neuron projection development [GO:0010976]; positive regulation of phosphatidylinositol 3-kinase signaling [GO:0014068]; protein phosphorylation [GO:0006468]; transmembrane receptor protein tyrosine kinase signaling pathway [GO:0007169]","GO:0004713; GO:0004714; GO:0005524; GO:0005886; GO:0006468; GO:0007169; GO:0007417; GO:0010976; GO:0014068; GO:0016020; GO:0017147; GO:0033674; GO:0043235"
"18748","Cluster_16409","FUN_034212",-0.922236355170213,0.0257256884128018,0.914225011702335,146,-20.93,"2 21","45240 45256",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"18755","Cluster_16409","FUN_034301",0.936916088539382,0.0188390501126225,0.856404570918745,154,-21.27,"2 20","6546 6573",24,"62.50%","75.00%","CDS",NA,NA,NA,NA,NA,NA
"18756","Cluster_16409","FUN_034301",0.936916088539382,0.0188390501126225,0.856404570918745,170,-21.19,"2 20","25284 25307",20,"80.00%","85.00%","CDS",NA,NA,NA,NA,NA,NA
"18782","Cluster_16409","FUN_036077",0.998102190299007,9.92177058799661e-05,0.393371538720933,160,-22.52,"2 21","70 91",19,"68.42%","78.95%","CDS",NA,NA,NA,NA,NA,NA
"18797","Cluster_16409","FUN_035117",0.940885083378232,0.0170997816177815,0.844451277680768,162,-20.48,"2 21","35215 35235",19,"73.68%","84.21%","CDS",NA,NA,NA,NA,NA,NA
"18820","Cluster_16409","FUN_035477",0.889884616364129,0.0431319681384548,0.96546924320845,146,-20.93,"2 21","6718 6734",19,"68.42%","73.68%","CDS",NA,NA,NA,NA,NA,NA
"18846","Cluster_16409","FUN_036755",0.98861259282856,0.00145622310428253,0.545343267336266,154,-21.27,"2 20","4066 4093",24,"62.50%","75.00%","CDS",NA,NA,NA,NA,NA,NA
"18872","Cluster_16409","FUN_038755",0.904388784270976,0.0349758705482314,0.954686102467086,146,-20.93,"2 21","2998 3014",19,"68.42%","73.68%","CDS","ptg000027l:10948215-10962667","Q29L80","PITH domain-containing protein GA19395","Drosophila pseudoobscura pseudoobscura (Fruit fly)","",""
"18988","Cluster_16409","FUN_042257",0.964858981273194,0.00786597968795079,0.68025071015809,155,-24.3,"2 21","1001 1028",25,"60.00%","76.00%","CDS",NA,NA,NA,NA,NA,NA
"19033","Cluster_16409","FUN_044018",0.897743889968188,0.0386448584817927,0.96546924320845,159,-20.17,"2 21","437 459",20,"70.00%","80.00%","CDS",NA,NA,NA,NA,NA,NA
"19050","Cluster_17776","FUN_001453",0.899219937783548,0.0378198005829804,0.96546924320845,168,-27.89,"2 21","472 493",19,"73.68%","84.21%","CDS","ntLink_6:12545729-12550169","Q9UBR2","Cathepsin Z (EC 3.4.18.1) (Cathepsin P) (Cathepsin X)","Homo sapiens (Human)","angiotensin maturation [GO:0002003]; epithelial tube branching involved in lung morphogenesis [GO:0060441]; negative regulation of plasminogen activation [GO:0010757]; negative regulation of protein binding [GO:0032091]; proteolysis [GO:0006508]; proteolysis involved in protein catabolic process [GO:0051603]; regulation of neuron death [GO:1901214]","GO:0002003; GO:0004180; GO:0004197; GO:0005576; GO:0005615; GO:0005764; GO:0005783; GO:0005788; GO:0005886; GO:0005938; GO:0006508; GO:0008234; GO:0010757; GO:0030134; GO:0031410; GO:0032091; GO:0033116; GO:0035580; GO:0043231; GO:0051603; GO:0060441; GO:0062023; GO:0070062; GO:1901214; GO:1904813"
"19091","Cluster_17776","FUN_001035",-0.964653276295055,0.00793490057997276,0.681594235929287,143,-21.03,"2 21","4808 4832",22,"54.55%","72.73%","CDS",NA,NA,NA,NA,NA,NA
"19128","Cluster_17776","FUN_004362",0.921996075828722,0.0258440579227321,0.914225011702335,145,-22.92,"2 10","1329 1350",8,"100.00%","100.00%","CDS",NA,NA,NA,NA,NA,NA
