transcript_id,RNA-POC-47,RNA-POC-48,RNA-POC-50,RNA-POC-53,RNA-POC-57
Pocillopora_meandrina_HIv1___TS.g4027.t1,0,0,0,11,0
Pocillopora_meandrina_HIv1___RNAseq.g17379.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g28310.t1,922,930,1251,1014,84
Pocillopora_meandrina_HIv1___RNAseq.g20117.t1,155,372,80,127,103
Pocillopora_meandrina_HIv1___RNAseq.g26031.t1,134,260,254,343,128
Pocillopora_meandrina_HIv1___RNAseq.g11083.t1,122,86,171,75,201
Pocillopora_meandrina_HIv1___RNAseq.g27000.t1,0,0,1,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17960.t1,577,325,1357,476,318
Pocillopora_meandrina_HIv1___RNAseq.g19424.t1,1201,355,627,503,599
Pocillopora_meandrina_HIv1___RNAseq.g25431.t1,73,23,69,147,21
Pocillopora_meandrina_HIv1___RNAseq.g24286.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g1194.t1,1122,2273,2522,2636,1819
Pocillopora_meandrina_HIv1___RNAseq.g2003.t1,35,53,89,41,41
Pocillopora_meandrina_HIv1___RNAseq.g17962.t1,1052,947,1827,1138,339
Pocillopora_meandrina_HIv1___RNAseq.g23055.t1,464,325,537,271,203
Pocillopora_meandrina_HIv1___TS.g736.t1,0,21,50,19,0
Pocillopora_meandrina_HIv1___RNAseq.g24444.t1,121,65,73,68,147
Pocillopora_meandrina_HIv1___RNAseq.g8073.t1,37,10,173,0,6
Pocillopora_meandrina_HIv1___RNAseq.g29465.t1,102,412,187,255,131
Pocillopora_meandrina_HIv1___RNAseq.g15846.t1,0,28,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6346.t1,7,3,0,0,28
Pocillopora_meandrina_HIv1___RNAseq.g4911.t2,354,608,1067,470,600
Pocillopora_meandrina_HIv1___RNAseq.g11903.t1,317,276,140,336,134
Pocillopora_meandrina_HIv1___RNAseq.g17837.t1,730,1275,3060,2149,398
Pocillopora_meandrina_HIv1___RNAseq.g23822.t1,521,397,660,393,247
Pocillopora_meandrina_HIv1___TS.g753.t1,49,87,128,47,24
Pocillopora_meandrina_HIv1___RNAseq.g9063.t2,5613,1645,5393,4950,2289
Pocillopora_meandrina_HIv1___RNAseq.g1747.t1,726,978,1781,1116,588
Pocillopora_meandrina_HIv1___RNAseq.g20115.t1,49,80,69,11,16
Pocillopora_meandrina_HIv1___RNAseq.g26374.t1,2,15,0,1,5
Pocillopora_meandrina_HIv1___RNAseq.17849_t,226,68,238,313,336
Pocillopora_meandrina_HIv1___TS.g24995.t1,0,370,137,438,150
Pocillopora_meandrina_HIv1___RNAseq.g18648.t1,526,1258,451,988,247
Pocillopora_meandrina_HIv1___RNAseq.g11062.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5129.t1,5819,9724,7576,11330,7279
Pocillopora_meandrina_HIv1___TS.g16676.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4306.t1,95,281,252,161,446
Pocillopora_meandrina_HIv1___RNAseq.g23192.t2,41,391,13,279,62
Pocillopora_meandrina_HIv1___RNAseq.g20296.t1,2400,1534,1415,1566,495
Pocillopora_meandrina_HIv1___RNAseq.g16711.t1a,118,247,259,78,215
Pocillopora_meandrina_HIv1___RNAseq.g7246.t1,1746,685,2402,1111,948
Pocillopora_meandrina_HIv1___RNAseq.g15425.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14810.t1,73,96,42,137,35
Pocillopora_meandrina_HIv1___RNAseq.g28477.t1,1470,1217,1720,1351,831
Pocillopora_meandrina_HIv1___TS.g11776.t1,42,24,85,69,52
Pocillopora_meandrina_HIv1___RNAseq.g528.t1,427,600,671,1066,475
Pocillopora_meandrina_HIv1___RNAseq.g27606.t1,137,86,219,130,45
Pocillopora_meandrina_HIv1___RNAseq.g29219.t1,3011,969,3330,1167,440
Pocillopora_meandrina_HIv1___TS.g5887.t1,0,0,0,12,0
Pocillopora_meandrina_HIv1___RNAseq.g24347.t1,0,0,13,0,27
Pocillopora_meandrina_HIv1___RNAseq.g29467.t1,21,155,11,79,26
Pocillopora_meandrina_HIv1___RNAseq.g12478.t1,220,62,119,115,64
Pocillopora_meandrina_HIv1___RNAseq.g14812.t1,238,1665,600,1041,547
Pocillopora_meandrina_HIv1___RNAseq.g29681.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6021.t1,107,45,117,148,67
Pocillopora_meandrina_HIv1___RNAseq.g25133.t1,919,4605,3877,39376,1539
Pocillopora_meandrina_HIv1___RNAseq.g23820.t1,5779,3917,6588,5000,1596
Pocillopora_meandrina_HIv1___RNAseq.g13488.t1,0,4,0,0,0
Pocillopora_meandrina_HIv1___TS.g16391.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17521.t1,60,54,61,72,129
Pocillopora_meandrina_HIv1___TS.g26354.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19435.t1,13,315,60,136,152
Pocillopora_meandrina_HIv1___RNAseq.g23383.t1,229,269,296,248,119
Pocillopora_meandrina_HIv1___RNAseq.g18687.t1,60,88,110,124,67
Pocillopora_meandrina_HIv1___RNAseq.g13320.t1,247,84,242,133,42
Pocillopora_meandrina_HIv1___RNAseq.g26639.t1,14803,8040,21976,9668,9723
Pocillopora_meandrina_HIv1___RNAseq.g4304.t1,41,170,117,114,233
Pocillopora_meandrina_HIv1___RNAseq.g9458.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g8564.t1,247,414,158,360,104
Pocillopora_meandrina_HIv1___TS.g23127.t1,396,240,969,293,261
Pocillopora_meandrina_HIv1___RNAseq.g15204.t1,57,47,80,46,15
Pocillopora_meandrina_HIv1___RNAseq.g15249.t1,72,322,237,235,228
Pocillopora_meandrina_HIv1___RNAseq.g9971.t1,0,49,0,0,0
Pocillopora_meandrina_HIv1___TS.g29040.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20096.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19691.t1,19,21,33,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24481.t1,0,5,0,0,25
Pocillopora_meandrina_HIv1___RNAseq.g26649.t1,9869,5076,6953,7538,2814
Pocillopora_meandrina_HIv1___TS.g4675.t1,117,69,84,150,100
Pocillopora_meandrina_HIv1___TS.g22249.t1,12152,54302,20797,21194,13419
Pocillopora_meandrina_HIv1___RNAseq.g19202.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5929.t1,1718,1756,2253,1838,779
Pocillopora_meandrina_HIv1___RNAseq.g8136.t2,211,244,206,332,178
Pocillopora_meandrina_HIv1___RNAseq.g25131.t1,0,40,0,30,3
Pocillopora_meandrina_HIv1___RNAseq.g6023.t1,1028,1124,959,1048,1173
Pocillopora_meandrina_HIv1___TS.g13955.t1,17,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g27635.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g108.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g27701.t1,148,37,51,2,60
Pocillopora_meandrina_HIv1___RNAseq.g19693.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g27549.t1,3171,1292,4305,2312,450
Pocillopora_meandrina_HIv1___RNAseq.g12527.t1,107,91,56,58,121
Pocillopora_meandrina_HIv1___RNAseq.g29778.t1,11,32,57,17,24
Pocillopora_meandrina_HIv1___RNAseq.g10312.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29020.t1,867,597,1119,932,579
Pocillopora_meandrina_HIv1___RNAseq.g23443.t3,1754,702,1554,1001,648
Pocillopora_meandrina_HIv1___TS.g27637.t1,1193,294,910,654,444
Pocillopora_meandrina_HIv1___RNAseq.g2268.t1,10351,10704,13349,11578,5497
Pocillopora_meandrina_HIv1___RNAseq.g28444.t1,137,60,45,66,2
Pocillopora_meandrina_HIv1___TS.g13094.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24915.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g5097.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3223.t1,0,0,0,16,0
Pocillopora_meandrina_HIv1___RNAseq.g12525.t1,1762,1124,903,956,1211
Pocillopora_meandrina_HIv1___RNAseq.g10310.t1,173,72,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7176.t1,175,223,75,632,55
Pocillopora_meandrina_HIv1___RNAseq.g3790.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g386.t2,904,2705,1060,2254,347
Pocillopora_meandrina_HIv1___RNAseq.g17695.t1,29,153,160,309,124
Pocillopora_meandrina_HIv1___RNAseq.g21293.t1,253,88,135,59,89
Pocillopora_meandrina_HIv1___RNAseq.g23032.t1,180,235,210,120,13
Pocillopora_meandrina_HIv1___RNAseq.g539.t1,9051,11361,15924,17815,10875
Pocillopora_meandrina_HIv1___RNAseq.g19505.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10817.t1,250,96,211,118,46
Pocillopora_meandrina_HIv1___RNAseq.g30355.t1,22,18,18,15,72
Pocillopora_meandrina_HIv1___RNAseq.g1439.t1,257,219,619,266,148
Pocillopora_meandrina_HIv1___RNAseq.g4036.t1,931,265,905,394,154
Pocillopora_meandrina_HIv1___RNAseq.g27506.t1,3062,868,2440,2320,752
Pocillopora_meandrina_HIv1___RNAseq.g6121.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13886.t1,857,394,329,525,80
Pocillopora_meandrina_HIv1___RNAseq.g19507.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9094.t1,0,7,46,10,3
Pocillopora_meandrina_HIv1___RNAseq.g12602.t1,0,8,0,31,0
Pocillopora_meandrina_HIv1___RNAseq.g18991.t1,0,0,13,48,26
Pocillopora_meandrina_HIv1___RNAseq.g1828.t1,24,10,48,33,3
Pocillopora_meandrina_HIv1___RNAseq.g8814.t1,892,1129,1155,1702,738
Pocillopora_meandrina_HIv1___RNAseq.g16336.t1,0,9,2,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30112.t1,90,178,535,495,455
Pocillopora_meandrina_HIv1___RNAseq.g3981.t1,1438,2731,3039,4055,565
Pocillopora_meandrina_HIv1___RNAseq.g28250.t1,2,9,2,0,8
Pocillopora_meandrina_HIv1___RNAseq.g29312.t1,123,343,269,243,232
Pocillopora_meandrina_HIv1___RNAseq.g8512.t1,1563,1508,1821,2555,1878
Pocillopora_meandrina_HIv1___RNAseq.g20066.t1,134,335,59,397,154
Pocillopora_meandrina_HIv1___RNAseq.g20214.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g6059.t1,2305,1987,3227,3114,969
Pocillopora_meandrina_HIv1___RNAseq.g24462.t1,319,775,579,525,633
Pocillopora_meandrina_HIv1___RNAseq.g14468.t1,448,289,296,189,258
Pocillopora_meandrina_HIv1___RNAseq.g30357.t1,152,344,337,104,394
Pocillopora_meandrina_HIv1___TS.g16348.t1,5,2,0,2,0
Pocillopora_meandrina_HIv1___RNAseq.g28825.t1,1646,1714,2725,2732,816
Pocillopora_meandrina_HIv1___RNAseq.g29410.t1,0,0,3,18,2
Pocillopora_meandrina_HIv1___TS.g26564.t1,262,458,863,745,718
Pocillopora_meandrina_HIv1___RNAseq.g20216.t1,154,1365,193,774,2521
Pocillopora_meandrina_HIv1___RNAseq.g10403.t1,0,0,0,11,0
Pocillopora_meandrina_HIv1___RNAseq.g16692.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g12563.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16474.t1,61,177,150,89,256
Pocillopora_meandrina_HIv1___RNAseq.g18780.t1,390,671,505,231,266
Pocillopora_meandrina_HIv1___RNAseq.g9864.t1,0,0,0,11,0
Pocillopora_meandrina_HIv1___RNAseq.g12508.t1,32,10,36,0,0
Pocillopora_meandrina_HIv1___RNAseq.g24345.t1,45,0,187,11,53
Pocillopora_meandrina_HIv1___RNAseq.g12600.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g29412.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17763.t1,494,1820,801,1962,2444
Pocillopora_meandrina_HIv1___RNAseq.g18010.t1,220,245,342,220,79
Pocillopora_meandrina_HIv1___RNAseq.g16334.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14312.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30110.t1,0,209,0,26,7
Pocillopora_meandrina_HIv1___TS.g28477.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2212.t1a,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1296.t1,23,6,22,65,14
Pocillopora_meandrina_HIv1___RNAseq.g23027.t1,1163,1072,3219,993,1094
Pocillopora_meandrina_HIv1___RNAseq.g20094.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g20610.t1,0,123,78,101,148
Pocillopora_meandrina_HIv1___RNAseq.g23532.t1,157,50,168,63,0
Pocillopora_meandrina_HIv1___TS.g23398.t1,0,3,9,6,6
Pocillopora_meandrina_HIv1___RNAseq.g7838.t1,312,184,132,241,222
Pocillopora_meandrina_HIv1___TS.g4468.t1,1882,943,2244,1509,1107
Pocillopora_meandrina_HIv1___RNAseq.g2953.t1,0,19,0,0,0
Pocillopora_meandrina_HIv1___TS.g856.t1,0,473,41,0,13
Pocillopora_meandrina_HIv1___RNAseq.g16476.t1,267,487,335,341,389
Pocillopora_meandrina_HIv1___RNAseq.g19002.t1,0,0,0,25,4
Pocillopora_meandrina_HIv1___RNAseq.g3901.t1,327,284,332,445,200
Pocillopora_meandrina_HIv1___RNAseq.g2424.t1,100,140,192,157,125
Pocillopora_meandrina_HIv1___RNAseq.g22035.t1,15,6,11,55,3
Pocillopora_meandrina_HIv1___RNAseq.g18012.t1,1025,1906,1782,1331,1024
Pocillopora_meandrina_HIv1___RNAseq.g30298.t1,91,125,157,0,164
Pocillopora_meandrina_HIv1___TS.g21347.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20588.t1,0,20,225,122,56
Pocillopora_meandrina_HIv1___RNAseq.g18274.t2,0,244,0,119,0
Pocillopora_meandrina_HIv1___RNAseq.5765_t,290,623,530,1090,189
Pocillopora_meandrina_HIv1___RNAseq.g17657.t1,2,0,5,3,3
Pocillopora_meandrina_HIv1___RNAseq.g10162.t1,363,492,487,646,544
Pocillopora_meandrina_HIv1___RNAseq.g20285.t1,1847,1055,2576,2363,217
Pocillopora_meandrina_HIv1___RNAseq.g7694.t2,426,549,568,542,128
Pocillopora_meandrina_HIv1___RNAseq.g14051.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g21278.t1,136,80,135,56,108
Pocillopora_meandrina_HIv1___TS.g28624.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2072.t1,0,78,60,52,0
Pocillopora_meandrina_HIv1___RNAseq.g23698.t1,0,0,39,15,0
Pocillopora_meandrina_HIv1___TS.g28102.t1,542,392,969,985,214
Pocillopora_meandrina_HIv1___TS.g8749.t1,0,11,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.17404_t,3721,1986,4469,3196,3040
Pocillopora_meandrina_HIv1___RNAseq.g12340.t1,1684,1009,1856,1400,386
Pocillopora_meandrina_HIv1___RNAseq.g25972.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g9685.t1,47,200,23,74,26
Pocillopora_meandrina_HIv1___RNAseq.g15886.t1,2611,986,3088,2070,756
Pocillopora_meandrina_HIv1___RNAseq.g3903.t1,1480,952,1603,1398,280
Pocillopora_meandrina_HIv1___TS.g24525.t2,136,273,126,161,272
Pocillopora_meandrina_HIv1___RNAseq.g13811.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g23835.t1,17,0,9,14,9
Pocillopora_meandrina_HIv1___RNAseq.g18438.t1,40,46,63,76,75
Pocillopora_meandrina_HIv1___RNAseq.g20646.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7696.t1,243,119,236,228,124
Pocillopora_meandrina_HIv1___RNAseq.g21434.t1,0,0,0,1,18
Pocillopora_meandrina_HIv1___RNAseq.g14053.t1,20,31,0,111,25
Pocillopora_meandrina_HIv1___RNAseq.g7470.t1,0,37,0,52,0
Pocillopora_meandrina_HIv1___RNAseq.g5627.t1,65,34,0,0,20
Pocillopora_meandrina_HIv1___RNAseq.g30315.t1,108,44,49,208,68
Pocillopora_meandrina_HIv1___TS.g12486.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g2070.t1,0,0,45,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14319.t1,15,0,20,13,0
Pocillopora_meandrina_HIv1___TS.g13538.t1,54,119,88,143,188
Pocillopora_meandrina_HIv1___TS.g6268.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g16463.t1,0,63,133,34,9
Pocillopora_meandrina_HIv1___RNAseq.g17779.t1,465,151,811,384,108
Pocillopora_meandrina_HIv1___RNAseq.g16488.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g19017.t1,277,1813,2904,262,1940
Pocillopora_meandrina_HIv1___RNAseq.g9399.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g7889.t1,932,1422,1290,1428,299
Pocillopora_meandrina_HIv1___RNAseq.g10083.t1,234,31,471,171,67
Pocillopora_meandrina_HIv1___RNAseq.g16.t1,114,144,89,133,46
Pocillopora_meandrina_HIv1___RNAseq.g3014.t1,238,792,125,391,99
Pocillopora_meandrina_HIv1___RNAseq.g10419.t1,1384,841,1449,1042,1020
Pocillopora_meandrina_HIv1___RNAseq.3753_t,367,1286,796,585,734
Pocillopora_meandrina_HIv1___RNAseq.g22640.t1,562,702,892,577,487
Pocillopora_meandrina_HIv1___TS.g19363.t1,1584,1006,1664,2491,880
Pocillopora_meandrina_HIv1___RNAseq.g15124.t1,6322,3176,9507,3906,2178
Pocillopora_meandrina_HIv1___TS.g8213.t1,3146,962,7887,1691,1022
Pocillopora_meandrina_HIv1___RNAseq.g29868.t1,93,20,28,17,51
Pocillopora_meandrina_HIv1___RNAseq.g26845.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17234.t1,2913,1553,1703,1352,688
Pocillopora_meandrina_HIv1___RNAseq.g13808.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g3841.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g14.t1,747,267,599,465,128
Pocillopora_meandrina_HIv1___RNAseq.g29072.t1,0,0,0,133,0
Pocillopora_meandrina_HIv1___RNAseq.g9984.t1,75,58,18,57,36
Pocillopora_meandrina_HIv1___RNAseq.g18659.t1,64,94,175,76,41
Pocillopora_meandrina_HIv1___RNAseq.g20552.t1,74,93,56,4,22
Pocillopora_meandrina_HIv1___RNAseq.g13004.t1,1,2,0,3,0
Pocillopora_meandrina_HIv1___RNAseq.g18782.t1,159,320,382,323,80
Pocillopora_meandrina_HIv1___TS.g18673.t1,2,0,0,2,0
Pocillopora_meandrina_HIv1___RNAseq.g3843.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g17761.t1,2664,2985,5216,5547,1537
Pocillopora_meandrina_HIv1___RNAseq.g15238.t2,10973,3525,20788,10674,15272
Pocillopora_meandrina_HIv1___RNAseq.g13216.t1,53,78,122,49,73
Pocillopora_meandrina_HIv1___RNAseq.g27541.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1027.t1,194,336,420,563,82
Pocillopora_meandrina_HIv1___RNAseq.g2433.t1,0,0,0,87,19
Pocillopora_meandrina_HIv1___RNAseq.g22267.t1,145,118,267,53,21
Pocillopora_meandrina_HIv1___RNAseq.g25888.t1,279,293,509,266,51
Pocillopora_meandrina_HIv1___RNAseq.g13526.t1,1707,396,1207,986,588
Pocillopora_meandrina_HIv1___TS.g13201.t2,598,1671,1098,1194,816
Pocillopora_meandrina_HIv1___RNAseq.g23431.t1,111,82,112,47,34
Pocillopora_meandrina_HIv1___RNAseq.g21893.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15657.t1,19,39,0,69,54
Pocillopora_meandrina_HIv1___TS.g23464.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13214.t1,391,151,675,431,69
Pocillopora_meandrina_HIv1___RNAseq.g27543.t1,1892,1126,2290,1768,926
Pocillopora_meandrina_HIv1___RNAseq.g1103.t2,4167,3559,4370,4162,2409
Pocillopora_meandrina_HIv1___RNAseq.g27172.t1,0,52,89,0,36
Pocillopora_meandrina_HIv1___RNAseq.g29070.t1,797,392,555,583,411
Pocillopora_meandrina_HIv1___RNAseq.g28667.t1,556,46,49,135,149
Pocillopora_meandrina_HIv1___RNAseq.g23450.t1,487,661,811,816,235
Pocillopora_meandrina_HIv1___RNAseq.g7040.t1,66,172,52,87,118
Pocillopora_meandrina_HIv1___TS.g5805.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g13884.t1,49,57,36,55,33
Pocillopora_meandrina_HIv1___TS.g623.t1,2855,6383,7388,3358,4280
Pocillopora_meandrina_HIv1___RNAseq.g4486.t1,8897,2595,5864,8662,3619
Pocillopora_meandrina_HIv1___RNAseq.g18041.t1,7372,4139,6730,7166,3035
Pocillopora_meandrina_HIv1___TS.g16967.t1,1430,1362,2905,1910,870
Pocillopora_meandrina_HIv1___TS.g19778.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g25562.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g10563.t1c,831,779,2269,2376,1027
Pocillopora_meandrina_HIv1___RNAseq.g17655.t1,0,0,0,13,0
Pocillopora_meandrina_HIv1___RNAseq.g4633.t1,200,182,388,329,163
Pocillopora_meandrina_HIv1___RNAseq.g22265.t1,325,305,507,575,237
Pocillopora_meandrina_HIv1___RNAseq.g11471.t1,0,2,0,0,13
Pocillopora_meandrina_HIv1___TS.g12806.t2,5398,4531,6063,7259,1789
Pocillopora_meandrina_HIv1___RNAseq.g935.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20949.t2,1524,2406,1239,2558,1415
Pocillopora_meandrina_HIv1___RNAseq.g28604.t1b,0,5,10,54,0
Pocillopora_meandrina_HIv1___RNAseq.g1101.t1,121,493,305,342,37
Pocillopora_meandrina_HIv1___RNAseq.g28258.t1,106,167,288,184,24
Pocillopora_meandrina_HIv1___RNAseq.g21916.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g23770.t1,485,310,883,466,212
Pocillopora_meandrina_HIv1___RNAseq.g27035.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g29554.t1,1058,657,1058,1561,225
Pocillopora_meandrina_HIv1___RNAseq.g24829.t1,111,50,64,39,44
Pocillopora_meandrina_HIv1___RNAseq.g27153.t1,0,282,97,57,0
Pocillopora_meandrina_HIv1___TS.g6252.t1,2,11,0,0,7
Pocillopora_meandrina_HIv1___RNAseq.g12608.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4802.t1,365,537,686,423,263
Pocillopora_meandrina_HIv1___RNAseq.g28486.t1,545,423,823,432,390
Pocillopora_meandrina_HIv1___RNAseq.g14460.t1,821,261,7,311,694
Pocillopora_meandrina_HIv1___TS.g4405.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20939.t1,3,55,64,46,37
Pocillopora_meandrina_HIv1___TS.g24915.t1,1057,996,1817,1006,2001
Pocillopora_meandrina_HIv1___RNAseq.g1525.t1,2,2,9,0,0
Pocillopora_meandrina_HIv1___RNAseq.g22417.t1,609,718,625,2326,402
Pocillopora_meandrina_HIv1___RNAseq.g20644.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g1351.t1,108,189,390,233,95
Pocillopora_meandrina_HIv1___TS.g25572.t1,33,49,40,40,1
Pocillopora_meandrina_HIv1___RNAseq.g4497.t1,736,299,701,681,715
Pocillopora_meandrina_HIv1___RNAseq.g3288.t1,28,0,0,24,8
Pocillopora_meandrina_HIv1___RNAseq.g2549.t1,1130,1447,1557,2063,573
Pocillopora_meandrina_HIv1___RNAseq.g14462.t1,0,0,13,0,0
Pocillopora_meandrina_HIv1___RNAseq.g20807.t1,60,7,11,11,19
Pocillopora_meandrina_HIv1___TS.g19506.t1,0,0,0,11,0
Pocillopora_meandrina_HIv1___RNAseq.g5625.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g30317.t1,0,37,27,9,0
Pocillopora_meandrina_HIv1___RNAseq.g5668.t1,325,14,236,57,0
Pocillopora_meandrina_HIv1___RNAseq.g16823.t1b,220,1003,145,93,283
Pocillopora_meandrina_HIv1___RNAseq.g6855.t1,1834,1346,1845,1378,585
Pocillopora_meandrina_HIv1___TS.g13639.t1b,49,40,95,62,2
Pocillopora_meandrina_HIv1___RNAseq.g14251.t1,9,53,97,19,15
Pocillopora_meandrina_HIv1___TS.g14925.t1,602,651,588,470,171
Pocillopora_meandrina_HIv1___TS.g26536.t1,73,104,60,33,43
Pocillopora_meandrina_HIv1___RNAseq.g23449.t1,1993,805,4280,1722,449
Pocillopora_meandrina_HIv1___RNAseq.g25483.t1,119,254,380,322,125
Pocillopora_meandrina_HIv1___RNAseq.g22590.t1,447,362,565,457,470
Pocillopora_meandrina_HIv1___RNAseq.g25019.t1,114,152,49,0,435
Pocillopora_meandrina_HIv1___RNAseq.g18902.t1,35,10,31,16,0
Pocillopora_meandrina_HIv1___TS.g13654.t2,254,187,385,250,260
Pocillopora_meandrina_HIv1___RNAseq.g14587.t1,12,18,4,4,17
Pocillopora_meandrina_HIv1___TS.g16282.t1,681,881,438,599,153
Pocillopora_meandrina_HIv1___RNAseq.g19699.t1,0,19,72,52,16
Pocillopora_meandrina_HIv1___RNAseq.g662.t1,289,468,169,459,87
Pocillopora_meandrina_HIv1___RNAseq.g16014.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g1527.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g4686.t1,0,0,0,7,6
Pocillopora_meandrina_HIv1___RNAseq.g8612.t1a,277,348,227,327,121
Pocillopora_meandrina_HIv1___RNAseq.g8612.t1b,84,83,48,143,88
Pocillopora_meandrina_HIv1___RNAseq.g23038.t1,0,0,3,0,0
Pocillopora_meandrina_HIv1___TS.g24314.t1,4,1351,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g15024.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___TS.g24753.t1,0,0,0,0,19
Pocillopora_meandrina_HIv1___TS.g18020.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g5974.t1,0,0,0,0,0
Pocillopora_meandrina_HIv1___RNAseq.g660.t1,9073,6923,8510,8986,6178
Pocillopora_meandrina_HIv1___RNAseq.g13536.t1,358,279,416,202,132
Pocillopora_meandrina_HIv1___RNAseq.g17098.t1,169,412,176,321,40
Pocillopora_meandrina_HIv1___RNAseq.g8734.t1,476,420,401,542,404
Pocillopora_meandrina_HIv1___RNAseq.g26616.t1,51102,36759,105229,101756,26835
Pocillopora_meandrina_HIv1___RNAseq.g25481.t1,1474,2304,2163,2824,374
Pocillopora_meandrina_HIv1___RNAseq.g21473.t1,595,656,533,1557,390
