Coords	Name	MIRNA	sRNA-POC-47-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-48-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-50-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-53-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed	sRNA-POC-57-S1-TP2-fastp-adapters-polyG-31bp-merged_condensed
Pocillopora_meandrina_HIv1___Sc0000013:7354773-7355198	Cluster_3880	N	16	16	24	86	38
Pocillopora_meandrina_HIv1___Sc0000013:7362821-7363225	Cluster_3881	N	12	7	17	20	15
Pocillopora_meandrina_HIv1___Sc0000013:7379717-7380725	Cluster_3882	N	605	226	419	276	314
Pocillopora_meandrina_HIv1___Sc0000013:7384433-7384855	Cluster_3883	N	40	6	42	1	0
Pocillopora_meandrina_HIv1___Sc0000013:7386579-7387011	Cluster_3884	N	43	38	131	88	18
Pocillopora_meandrina_HIv1___Sc0000013:7398727-7400680	Cluster_3885	N	1299	531	1160	1531	449
Pocillopora_meandrina_HIv1___Sc0000013:7400687-7401114	Cluster_3886	N	137	38	59	106	10
Pocillopora_meandrina_HIv1___Sc0000013:7401232-7401658	Cluster_3887	N	35	15	50	64	7
Pocillopora_meandrina_HIv1___Sc0000013:7401674-7402105	Cluster_3888	N	99	19	93	293	27
Pocillopora_meandrina_HIv1___Sc0000013:7402391-7403566	Cluster_3889	N	215	72	171	467	46
Pocillopora_meandrina_HIv1___Sc0000013:7406044-7406903	Cluster_3890	N	97	12	43	1274	187
Pocillopora_meandrina_HIv1___Sc0000013:7421857-7422707	Cluster_3891	N	279	281	441	304	6
Pocillopora_meandrina_HIv1___Sc0000013:7423263-7425037	Cluster_3892	N	855	274	765	587	32
Pocillopora_meandrina_HIv1___Sc0000013:7430118-7430544	Cluster_3893	N	55	36	18	12	8
Pocillopora_meandrina_HIv1___Sc0000013:7431062-7432829	Cluster_3894	N	6203	3862	3851	7507	1439
Pocillopora_meandrina_HIv1___Sc0000013:7433202-7433630	Cluster_3895	N	190	105	4	5	44
Pocillopora_meandrina_HIv1___Sc0000013:7433650-7434110	Cluster_3896	N	370	55	12	5	17
Pocillopora_meandrina_HIv1___Sc0000013:7434281-7435148	Cluster_3897	N	355	309	69	62	46
Pocillopora_meandrina_HIv1___Sc0000013:7436254-7437576	Cluster_3898	N	73	49	597	891	19
Pocillopora_meandrina_HIv1___Sc0000013:7437859-7438608	Cluster_3899	N	26	20	427	359	7
Pocillopora_meandrina_HIv1___Sc0000013:7441299-7442030	Cluster_3900	N	166	47	100	71	53
Pocillopora_meandrina_HIv1___Sc0000013:7444686-7445113	Cluster_3901	N	77	4	4	2	3
Pocillopora_meandrina_HIv1___Sc0000013:7453585-7454507	Cluster_3902	N	923	570	1777	1273	937
Pocillopora_meandrina_HIv1___Sc0000013:7507701-7508575	Cluster_3903	N	135	296	299	20	11
Pocillopora_meandrina_HIv1___Sc0000013:7511230-7511659	Cluster_3904	N	0	0	0	121	1
Pocillopora_meandrina_HIv1___Sc0000013:7522996-7523424	Cluster_3905	N	79	7	31	62	20
Pocillopora_meandrina_HIv1___Sc0000013:7527065-7527803	Cluster_3906	N	151	11	250	55	11
Pocillopora_meandrina_HIv1___Sc0000013:7528337-7530311	Cluster_3907	N	2779	907	2015	873	328
Pocillopora_meandrina_HIv1___Sc0000013:7530319-7530731	Cluster_3908	N	133	17	20	29	15
Pocillopora_meandrina_HIv1___Sc0000013:7533026-7533812	Cluster_3909	N	29	253	29	430	6
Pocillopora_meandrina_HIv1___Sc0000013:7535004-7535413	Cluster_3910	N	24	26	112	14	18
Pocillopora_meandrina_HIv1___Sc0000013:7535593-7536021	Cluster_3911	N	4	2	327	4	24
Pocillopora_meandrina_HIv1___Sc0000013:7541850-7543172	Cluster_3912	N	69	49	596	880	21
Pocillopora_meandrina_HIv1___Sc0000013:7543455-7544204	Cluster_3913	N	27	22	441	359	4
Pocillopora_meandrina_HIv1___Sc0000013:7546244-7547421	Cluster_3914	N	1160	2688	2620	5405	782
Pocillopora_meandrina_HIv1___Sc0000013:7551768-7552195	Cluster_3915	N	1	1	3	214	1
Pocillopora_meandrina_HIv1___Sc0000013:7559048-7559574	Cluster_3916	N	105	15	45	163	30
Pocillopora_meandrina_HIv1___Sc0000013:7559613-7560998	Cluster_3917	N	2011	787	928	4996	466
Pocillopora_meandrina_HIv1___Sc0000013:7561746-7562427	Cluster_3918	N	940	0	87	478	4
Pocillopora_meandrina_HIv1___Sc0000013:7585879-7586309	Cluster_3919	N	42	250	126	804	126
Pocillopora_meandrina_HIv1___Sc0000013:7589860-7590544	Cluster_3920	N	168	8	138	334	29
Pocillopora_meandrina_HIv1___Sc0000013:7605446-7606438	Cluster_3921	N	411	2	15	458	45
Pocillopora_meandrina_HIv1___Sc0000013:7606713-7608656	Cluster_3922	N	1976	547	889	732	321
Pocillopora_meandrina_HIv1___Sc0000013:7611221-7612445	Cluster_3923	N	20	310	638	648	323
Pocillopora_meandrina_HIv1___Sc0000013:7615407-7616153	Cluster_3924	N	82	664	63	72	30
Pocillopora_meandrina_HIv1___Sc0000013:7616597-7617436	Cluster_3925	N	192	165	49	64	7
Pocillopora_meandrina_HIv1___Sc0000013:7617489-7618190	Cluster_3926	N	222	98	103	198	12
Pocillopora_meandrina_HIv1___Sc0000013:7622380-7623211	Cluster_3927	N	289	51	657	232	4
Pocillopora_meandrina_HIv1___Sc0000013:7624500-7624996	Cluster_3928	N	195	20	523	247	1
Pocillopora_meandrina_HIv1___Sc0000013:7636106-7636536	Cluster_3929	N	185	18	36	179	59
Pocillopora_meandrina_HIv1___Sc0000013:7637219-7638133	Cluster_3930	N	370	42	54	769	121
Pocillopora_meandrina_HIv1___Sc0000013:7639344-7639773	Cluster_3931	N	80	1	33	71	0
Pocillopora_meandrina_HIv1___Sc0000013:7644064-7644890	Cluster_3932	N	8	136	11	126	8
Pocillopora_meandrina_HIv1___Sc0000013:7647432-7648695	Cluster_3933	N	1141	1015	7300	2759	88
Pocillopora_meandrina_HIv1___Sc0000013:7757601-7758021	Cluster_3934	N	12	60	47	22	15
Pocillopora_meandrina_HIv1___Sc0000013:7936754-7937170	Cluster_3935	N	33	16	8	3	15
Pocillopora_meandrina_HIv1___Sc0000013:8128876-8129305	Cluster_3936	N	0	0	2	2	327
Pocillopora_meandrina_HIv1___Sc0000013:8130059-8130655	Cluster_3937	N	1151	531	1640	1428	926
Pocillopora_meandrina_HIv1___Sc0000013:8200834-8201251	Cluster_3938	N	29	31	56	75	349
Pocillopora_meandrina_HIv1___Sc0000013:8279316-8279798	Cluster_3939	N	419	773	135	620	1174
Pocillopora_meandrina_HIv1___Sc0000013:8350706-8351129	Cluster_3940	N	139	89	22	42	93
Pocillopora_meandrina_HIv1___Sc0000013:8717884-8718310	Cluster_3941	N	53	1	7	45	1
Pocillopora_meandrina_HIv1___Sc0000013:8718535-8719582	Cluster_3942	N	247	173	208	419	56
Pocillopora_meandrina_HIv1___Sc0000013:8784469-8784954	Cluster_3943	N	139	37	94	118	5
Pocillopora_meandrina_HIv1___Sc0000013:8948806-8949223	Cluster_3944	N	35	21	28	51	23
Pocillopora_meandrina_HIv1___Sc0000013:9076620-9078398	Cluster_3945	N	800	534	884	712	330
Pocillopora_meandrina_HIv1___Sc0000013:9180154-9180831	Cluster_3946	N	2238	706	2192	2488	618
Pocillopora_meandrina_HIv1___Sc0000013:9180948-9181394	Cluster_3947	N	114	54	104	96	28
Pocillopora_meandrina_HIv1___Sc0000013:9289978-9290404	Cluster_3948	N	2	0	0	175	1
Pocillopora_meandrina_HIv1___Sc0000013:9301023-9301652	Cluster_3949	N	2025	35	622	498	477
Pocillopora_meandrina_HIv1___Sc0000013:9512978-9513626	Cluster_3950	N	23	313	6	113	54
Pocillopora_meandrina_HIv1___Sc0000013:9653262-9653875	Cluster_3951	N	228	245	571	462	92
Pocillopora_meandrina_HIv1___Sc0000013:9815081-9815510	Cluster_3952	N	11	5	60	94	7
Pocillopora_meandrina_HIv1___Sc0000014:12879-13299	Cluster_3953	N	6	59	24	0	0
Pocillopora_meandrina_HIv1___Sc0000014:45179-45605	Cluster_3954	N	30	28	57	65	79
Pocillopora_meandrina_HIv1___Sc0000014:84566-84988	Cluster_3955	N	1	0	0	397	4
Pocillopora_meandrina_HIv1___Sc0000014:96277-96699	Cluster_3956	N	11	22	4	364	43
Pocillopora_meandrina_HIv1___Sc0000014:137727-138140	Cluster_3957	N	4	0	0	1	100
Pocillopora_meandrina_HIv1___Sc0000014:428538-428967	Cluster_3958	N	0	5	113	5	3
Pocillopora_meandrina_HIv1___Sc0000014:465769-467126	Cluster_3959	N	190	81	165	1269	156
Pocillopora_meandrina_HIv1___Sc0000014:467823-468252	Cluster_3960	N	59	8	211	30	54
Pocillopora_meandrina_HIv1___Sc0000014:489097-489920	Cluster_3961	N	5	7	222	14	108
Pocillopora_meandrina_HIv1___Sc0000014:489970-490592	Cluster_3962	N	1	3	578	5	197
Pocillopora_meandrina_HIv1___Sc0000014:512220-512756	Cluster_3963	N	251	298	283	719	1120
Pocillopora_meandrina_HIv1___Sc0000014:516209-516686	Cluster_3964	N	13	76	27	31	119
Pocillopora_meandrina_HIv1___Sc0000014:660805-661232	Cluster_3965	N	0	0	0	75	0
Pocillopora_meandrina_HIv1___Sc0000014:700715-701118	Cluster_3966	N	6	15	18	32	61
Pocillopora_meandrina_HIv1___Sc0000014:701482-702103	Cluster_3967	N	373	877	367	788	1841
Pocillopora_meandrina_HIv1___Sc0000014:764543-764990	Cluster_3968	N	480	535	421	334	383
Pocillopora_meandrina_HIv1___Sc0000014:805530-805955	Cluster_3969	N	63	14	45	20	47
Pocillopora_meandrina_HIv1___Sc0000014:806678-807157	Cluster_3970	N	73	0	190	3	1
Pocillopora_meandrina_HIv1___Sc0000014:838169-838597	Cluster_3971	N	64	13	39	39	7
Pocillopora_meandrina_HIv1___Sc0000014:881327-881750	Cluster_3972	N	1	3	103	7	191
Pocillopora_meandrina_HIv1___Sc0000014:1099106-1100428	Cluster_3973	N	82	44	617	880	21
Pocillopora_meandrina_HIv1___Sc0000014:1100711-1101460	Cluster_3974	N	22	20	439	361	6
Pocillopora_meandrina_HIv1___Sc0000014:1121523-1122116	Cluster_3975	N	41	6	123	30	0
Pocillopora_meandrina_HIv1___Sc0000014:1134417-1135055	Cluster_3976	N	233	258	41	17	7
Pocillopora_meandrina_HIv1___Sc0000014:1307068-1307496	Cluster_3977	N	12	1	5	196	3
Pocillopora_meandrina_HIv1___Sc0000014:1451321-1451767	Cluster_3978	N	285	65	1	142	4
Pocillopora_meandrina_HIv1___Sc0000014:1452037-1452460	Cluster_3979	N	0	130	0	0	3
Pocillopora_meandrina_HIv1___Sc0000014:1658721-1659133	Cluster_3980	N	150	1	0	3	18
Pocillopora_meandrina_HIv1___Sc0000014:1698695-1699129	Cluster_3981	N	144	389	3	3	0
Pocillopora_meandrina_HIv1___Sc0000014:1701276-1701705	Cluster_3982	N	31	11	179	12	4
Pocillopora_meandrina_HIv1___Sc0000014:1705301-1705720	Cluster_3983	N	54	14	29	16	6
Pocillopora_meandrina_HIv1___Sc0000014:1708938-1710452	Cluster_3984	N	194	55	994	1761	348
Pocillopora_meandrina_HIv1___Sc0000014:1715489-1716088	Cluster_3985	N	217	41	275	96	40
Pocillopora_meandrina_HIv1___Sc0000014:1718239-1718664	Cluster_3986	N	43	7	37	17	3
Pocillopora_meandrina_HIv1___Sc0000014:1719216-1719928	Cluster_3987	N	260	31	272	433	184
Pocillopora_meandrina_HIv1___Sc0000014:1720058-1720588	Cluster_3988	N	186	46	114	84	33
Pocillopora_meandrina_HIv1___Sc0000014:1721685-1722209	Cluster_3989	N	130	34	74	90	22
Pocillopora_meandrina_HIv1___Sc0000014:1725116-1725544	Cluster_3990	N	94	23	42	26	9
Pocillopora_meandrina_HIv1___Sc0000014:1726851-1727274	Cluster_3991	N	44	12	12	52	6
Pocillopora_meandrina_HIv1___Sc0000014:1730237-1730740	Cluster_3992	N	353	292	183	1227	83
Pocillopora_meandrina_HIv1___Sc0000014:1736983-1737940	Cluster_3993	N	39	15	106	1602	12
Pocillopora_meandrina_HIv1___Sc0000014:1740024-1742285	Cluster_3994	N	2366	78	1921	2002	54
Pocillopora_meandrina_HIv1___Sc0000014:1750909-1751877	Cluster_3995	N	7	120	118	399	147
Pocillopora_meandrina_HIv1___Sc0000014:1751983-1752677	Cluster_3996	N	3	121	9	1624	361
Pocillopora_meandrina_HIv1___Sc0000014:1753796-1754299	Cluster_3997	N	2	0	250	1385	8
Pocillopora_meandrina_HIv1___Sc0000014:1761367-1762938	Cluster_3998	N	594	323	801	639	28
Pocillopora_meandrina_HIv1___Sc0000014:1763494-1764344	Cluster_3999	N	395	356	556	418	14
Pocillopora_meandrina_HIv1___Sc0000014:1766207-1766925	Cluster_4000	N	180	33	320	429	142
Pocillopora_meandrina_HIv1___Sc0000014:1770787-1771217	Cluster_4001	N	22	1	583	1	0
Pocillopora_meandrina_HIv1___Sc0000014:1775329-1775777	Cluster_4002	N	655	390	8	3	0
Pocillopora_meandrina_HIv1___Sc0000014:1778202-1778631	Cluster_4003	N	50	4	206	23	49
Pocillopora_meandrina_HIv1___Sc0000014:1779599-1780028	Cluster_4004	N	81	10	6	41	6
Pocillopora_meandrina_HIv1___Sc0000014:1780550-1780998	Cluster_4005	N	143	67	146	131	40
Pocillopora_meandrina_HIv1___Sc0000014:1781168-1781905	Cluster_4006	N	216	103	410	75	67
Pocillopora_meandrina_HIv1___Sc0000014:1786390-1786933	Cluster_4007	N	43	147	8	25	45
Pocillopora_meandrina_HIv1___Sc0000014:1788267-1788697	Cluster_4008	N	2	0	0	219	118
Pocillopora_meandrina_HIv1___Sc0000014:1791429-1791857	Cluster_4009	N	33	9	11	56	6
Pocillopora_meandrina_HIv1___Sc0000014:1792562-1793420	Cluster_4010	N	225	37	87	150	31
Pocillopora_meandrina_HIv1___Sc0000014:1795665-1796092	Cluster_4011	N	26	20	101	33	14
Pocillopora_meandrina_HIv1___Sc0000014:1796852-1797273	Cluster_4012	N	74	14	68	26	18
Pocillopora_meandrina_HIv1___Sc0000014:1798773-1799503	Cluster_4013	N	79	525	39	34	15
Pocillopora_meandrina_HIv1___Sc0000014:1799524-1799972	Cluster_4014	N	14	1208	1	8	20
Pocillopora_meandrina_HIv1___Sc0000014:1800622-1801044	Cluster_4015	N	126	61	185	12	25
Pocillopora_meandrina_HIv1___Sc0000014:1814534-1816184	Cluster_4016	N	909	378	859	939	193
Pocillopora_meandrina_HIv1___Sc0000014:1816807-1817310	Cluster_4017	N	153	11	37	60	11
Pocillopora_meandrina_HIv1___Sc0000014:1818058-1818483	Cluster_4018	N	86	5	26	29	8
Pocillopora_meandrina_HIv1___Sc0000014:1819512-1820200	Cluster_4019	N	174	7	13	68	5
Pocillopora_meandrina_HIv1___Sc0000014:1823340-1825380	Cluster_4020	N	1923	1402	1623	1902	12
Pocillopora_meandrina_HIv1___Sc0000014:1835686-1836563	Cluster_4021	N	1225	4	9	78	13
Pocillopora_meandrina_HIv1___Sc0000014:1839328-1839752	Cluster_4022	N	3	8	1	46	38
Pocillopora_meandrina_HIv1___Sc0000014:1849056-1849484	Cluster_4023	N	81	0	50	0	0
Pocillopora_meandrina_HIv1___Sc0000014:1849835-1850267	Cluster_4024	N	88	2	210	6	9
Pocillopora_meandrina_HIv1___Sc0000014:1858886-1859307	Cluster_4025	N	6	0	2	141	0
Pocillopora_meandrina_HIv1___Sc0000014:1859321-1859749	Cluster_4026	N	6	2	1	160	2
Pocillopora_meandrina_HIv1___Sc0000014:1872858-1873287	Cluster_4027	N	93	2	69	39	21
Pocillopora_meandrina_HIv1___Sc0000014:1893198-1893619	Cluster_4028	N	110	13	32	26	12
Pocillopora_meandrina_HIv1___Sc0000014:1980438-1980859	Cluster_4029	N	33	9	43	16	2
Pocillopora_meandrina_HIv1___Sc0000014:1981954-1982358	Cluster_4030	N	40	8	1	40	6
Pocillopora_meandrina_HIv1___Sc0000014:1983712-1984120	Cluster_4031	N	53	16	15	21	8
Pocillopora_meandrina_HIv1___Sc0000014:2079375-2079803	Cluster_4032	N	3	30	324	23	2
Pocillopora_meandrina_HIv1___Sc0000014:2079918-2080342	Cluster_4033	N	44	6	50	76	2
Pocillopora_meandrina_HIv1___Sc0000014:2108222-2108651	Cluster_4034	N	6	42	55	81	29
Pocillopora_meandrina_HIv1___Sc0000014:2117320-2117735	Cluster_4035	N	16	26	88	18	2
Pocillopora_meandrina_HIv1___Sc0000014:2121053-2121458	Cluster_4036	N	2	6	4	62	18
Pocillopora_meandrina_HIv1___Sc0000014:2179594-2180003	Cluster_4037	N	0	14	43	46	1
Pocillopora_meandrina_HIv1___Sc0000014:2259035-2259455	Cluster_4038	N	0	1	184	0	0
Pocillopora_meandrina_HIv1___Sc0000014:2366038-2366132	Cluster_4039	Y	349	178	288	458	120
Pocillopora_meandrina_HIv1___Sc0000014:2594743-2594833	Cluster_4040	Y	118	39	47	50	75
Pocillopora_meandrina_HIv1___Sc0000014:2614195-2614653	Cluster_4041	N	47	56	29	73	97
Pocillopora_meandrina_HIv1___Sc0000014:2712648-2713129	Cluster_4042	N	1003	697	1124	1088	364
Pocillopora_meandrina_HIv1___Sc0000014:2718186-2718609	Cluster_4043	N	44	50	27	55	73
Pocillopora_meandrina_HIv1___Sc0000014:2765844-2766270	Cluster_4044	N	128	1	4	3	4
Pocillopora_meandrina_HIv1___Sc0000014:3098235-3098724	Cluster_4045	N	34	77	85	203	237
Pocillopora_meandrina_HIv1___Sc0000014:3098874-3099419	Cluster_4046	N	32	77	42	245	157
Pocillopora_meandrina_HIv1___Sc0000014:3282438-3282855	Cluster_4047	N	2	0	28	47	0
Pocillopora_meandrina_HIv1___Sc0000014:3337470-3337899	Cluster_4048	N	3	40	5	6	131
Pocillopora_meandrina_HIv1___Sc0000014:3441053-3441973	Cluster_4049	N	0	111	0	805	0
Pocillopora_meandrina_HIv1___Sc0000014:3513949-3514371	Cluster_4050	N	11	46	13	62	123
Pocillopora_meandrina_HIv1___Sc0000014:3554588-3555007	Cluster_4051	N	59	0	44	36	36
Pocillopora_meandrina_HIv1___Sc0000014:3717108-3717575	Cluster_4052	N	157	103	87	45	106
Pocillopora_meandrina_HIv1___Sc0000014:3744761-3745190	Cluster_4053	N	10	32	95	0	6
Pocillopora_meandrina_HIv1___Sc0000014:3844744-3845165	Cluster_4054	N	12	20	0	104	0
Pocillopora_meandrina_HIv1___Sc0000014:3912992-3913410	Cluster_4055	N	28	5	28	12	7
Pocillopora_meandrina_HIv1___Sc0000014:4130670-4131078	Cluster_4056	N	73	1	0	0	7
Pocillopora_meandrina_HIv1___Sc0000014:4138770-4139175	Cluster_4057	N	8	64	12	33	115
Pocillopora_meandrina_HIv1___Sc0000014:4288485-4288910	Cluster_4058	N	1	0	1	173	0
Pocillopora_meandrina_HIv1___Sc0000014:4558169-4560080	Cluster_4059	N	1157	318	432	884	170
Pocillopora_meandrina_HIv1___Sc0000014:4560279-4560706	Cluster_4060	N	90	17	19	13	9
Pocillopora_meandrina_HIv1___Sc0000014:4560790-4561559	Cluster_4061	N	202	107	82	83	38
Pocillopora_meandrina_HIv1___Sc0000014:4561591-4562660	Cluster_4062	N	254	59	122	137	23
Pocillopora_meandrina_HIv1___Sc0000014:4664447-4664868	Cluster_4063	N	28	8	43	19	3
Pocillopora_meandrina_HIv1___Sc0000014:4665960-4666369	Cluster_4064	N	31	15	11	43	8
Pocillopora_meandrina_HIv1___Sc0000014:4684319-4684737	Cluster_4065	N	12	32	15	35	56
Pocillopora_meandrina_HIv1___Sc0000014:4686843-4687245	Cluster_4066	N	3	10	7	33	50
Pocillopora_meandrina_HIv1___Sc0000014:4812850-4813466	Cluster_4067	N	213	175	115	52	20
Pocillopora_meandrina_HIv1___Sc0000014:4814569-4814996	Cluster_4068	N	93	1	3	0	109
Pocillopora_meandrina_HIv1___Sc0000014:4815922-4816551	Cluster_4069	N	151	344	274	2394	170
Pocillopora_meandrina_HIv1___Sc0000014:4993242-4993667	Cluster_4070	N	3	9	1	54	34
Pocillopora_meandrina_HIv1___Sc0000014:5048490-5048913	Cluster_4071	N	87	136	168	121	23
Pocillopora_meandrina_HIv1___Sc0000014:5075505-5075932	Cluster_4072	N	75	87	66	72	102
Pocillopora_meandrina_HIv1___Sc0000014:5082612-5083021	Cluster_4073	N	4	14	8	26	50
Pocillopora_meandrina_HIv1___Sc0000014:5335148-5335674	Cluster_4074	N	54	113	55	204	419
Pocillopora_meandrina_HIv1___Sc0000014:5357270-5357697	Cluster_4075	N	36	80	3	53	50
Pocillopora_meandrina_HIv1___Sc0000014:5520891-5521316	Cluster_4076	N	78	204	149	79	55
Pocillopora_meandrina_HIv1___Sc0000014:5733165-5733582	Cluster_4077	N	47	27	17	22	12
Pocillopora_meandrina_HIv1___Sc0000014:5977390-5977816	Cluster_4078	N	100	27	0	4	5
Pocillopora_meandrina_HIv1___Sc0000014:5985949-5987920	Cluster_4079	N	2134	662	1570	572	169
Pocillopora_meandrina_HIv1___Sc0000014:6119360-6119814	Cluster_4080	N	82	20	27	15	23
Pocillopora_meandrina_HIv1___Sc0000014:6393303-6393732	Cluster_4081	N	43	30	41	98	24
Pocillopora_meandrina_HIv1___Sc0000014:6491369-6491793	Cluster_4082	N	11	28	36	18	97
Pocillopora_meandrina_HIv1___Sc0000014:6570607-6571537	Cluster_4083	N	194	150	337	163	64
Pocillopora_meandrina_HIv1___Sc0000014:6659357-6659784	Cluster_4084	N	29	2	110	5	12
Pocillopora_meandrina_HIv1___Sc0000014:6660034-6660525	Cluster_4085	N	77	555	180	1238	68
Pocillopora_meandrina_HIv1___Sc0000014:6909064-6910206	Cluster_4086	N	4398	2537	4390	3186	1074
Pocillopora_meandrina_HIv1___Sc0000014:7024208-7024737	Cluster_4087	N	969	372	6	1129	0
Pocillopora_meandrina_HIv1___Sc0000014:7025301-7026004	Cluster_4088	N	116	57	52	47	11
Pocillopora_meandrina_HIv1___Sc0000014:7027231-7027663	Cluster_4089	N	106	39	14	86	7
Pocillopora_meandrina_HIv1___Sc0000014:7060991-7061421	Cluster_4090	N	108	66	227	520	92
Pocillopora_meandrina_HIv1___Sc0000014:7087511-7087936	Cluster_4091	N	28	24	13	29	21
Pocillopora_meandrina_HIv1___Sc0000014:7166952-7167381	Cluster_4092	N	4458	1516	4096	6451	1058
Pocillopora_meandrina_HIv1___Sc0000014:7171665-7172105	Cluster_4093	N	11	6	1121	3	1
Pocillopora_meandrina_HIv1___Sc0000014:7209425-7209861	Cluster_4094	N	1733	421	976	3748	412
Pocillopora_meandrina_HIv1___Sc0000014:7239259-7239676	Cluster_4095	N	1	5	61	13	1
Pocillopora_meandrina_HIv1___Sc0000014:7247919-7248428	Cluster_4096	N	12	2	75	179	1
Pocillopora_meandrina_HIv1___Sc0000014:7249050-7249473	Cluster_4097	N	100	5	31	16	3
Pocillopora_meandrina_HIv1___Sc0000014:7351086-7351515	Cluster_4098	N	50	48	26	1	3
Pocillopora_meandrina_HIv1___Sc0000014:7526838-7527264	Cluster_4099	N	32	71	2	31	26
Pocillopora_meandrina_HIv1___Sc0000014:7560462-7560889	Cluster_4100	N	26	11	2	67	2
Pocillopora_meandrina_HIv1___Sc0000014:7822908-7823325	Cluster_4101	N	8	63	23	104	353
Pocillopora_meandrina_HIv1___Sc0000014:8090277-8090759	Cluster_4102	N	299	392	439	614	826
Pocillopora_meandrina_HIv1___Sc0000014:8094498-8094978	Cluster_4103	N	50	61	99	91	225
Pocillopora_meandrina_HIv1___Sc0000014:8096152-8096633	Cluster_4104	N	35	98	73	45	89
Pocillopora_meandrina_HIv1___Sc0000014:8097363-8097787	Cluster_4105	N	31	38	18	88	48
Pocillopora_meandrina_HIv1___Sc0000014:8099444-8099927	Cluster_4106	N	46	62	38	109	211
Pocillopora_meandrina_HIv1___Sc0000014:8244722-8247613	Cluster_4107	N	11265	3338	7962	6337	3142
Pocillopora_meandrina_HIv1___Sc0000014:8314929-8315357	Cluster_4108	N	75	26	3	0	4
Pocillopora_meandrina_HIv1___Sc0000014:8548731-8549218	Cluster_4109	N	202	877	175	3250	1301
Pocillopora_meandrina_HIv1___Sc0000014:8675063-8675487	Cluster_4110	N	128	3	5	0	1
Pocillopora_meandrina_HIv1___Sc0000014:8695815-8696220	Cluster_4111	N	6	18	12	25	57
Pocillopora_meandrina_HIv1___Sc0000014:9034685-9035113	Cluster_4112	N	769	453	994	301	53
Pocillopora_meandrina_HIv1___Sc0000014:9077979-9078682	Cluster_4113	N	96	5	19	111	313
Pocillopora_meandrina_HIv1___Sc0000014:9158628-9159057	Cluster_4114	N	146	63	317	239	63
Pocillopora_meandrina_HIv1___Sc0000014:9192245-9192674	Cluster_4115	N	424	34	1650	1298	19
Pocillopora_meandrina_HIv1___Sc0000014:9355807-9356269	Cluster_4116	N	10	36	15	62	92
Pocillopora_meandrina_HIv1___Sc0000014:9356493-9356904	Cluster_4117	N	10	29	12	30	65
Pocillopora_meandrina_HIv1___Sc0000014:9365459-9365552	Cluster_4118	Y	5137	1747	2060	1396	755
Pocillopora_meandrina_HIv1___Sc0000014:9519073-9519488	Cluster_4119	N	36	13	68	9	1
Pocillopora_meandrina_HIv1___Sc0000015:37645-38073	Cluster_4120	N	0	1	7	126	0
Pocillopora_meandrina_HIv1___Sc0000015:84063-84975	Cluster_4121	N	1934	364	186	699	153
Pocillopora_meandrina_HIv1___Sc0000015:85347-85924	Cluster_4122	N	1004	428	269	1632	206
Pocillopora_meandrina_HIv1___Sc0000015:86507-86955	Cluster_4123	N	139	411	87	672	34
Pocillopora_meandrina_HIv1___Sc0000015:87437-88212	Cluster_4124	N	2496	334	755	3630	143
Pocillopora_meandrina_HIv1___Sc0000015:122288-123222	Cluster_4125	N	148	41	157	57	29
Pocillopora_meandrina_HIv1___Sc0000015:309011-309465	Cluster_4126	N	86	136	198	227	597
Pocillopora_meandrina_HIv1___Sc0000015:376420-377589	Cluster_4127	N	289	290	411	110	129
Pocillopora_meandrina_HIv1___Sc0000015:377611-378021	Cluster_4128	N	19	1	35	77	3
Pocillopora_meandrina_HIv1___Sc0000015:424996-425424	Cluster_4129	N	50	0	1	32	6
Pocillopora_meandrina_HIv1___Sc0000015:473953-474380	Cluster_4130	N	348	120	54	65	22
Pocillopora_meandrina_HIv1___Sc0000015:503926-504356	Cluster_4131	N	4	0	44	277	0
Pocillopora_meandrina_HIv1___Sc0000015:963175-963592	Cluster_4132	N	0	12	0	609	1279
Pocillopora_meandrina_HIv1___Sc0000015:1021790-1022211	Cluster_4133	N	32	3	54	0	4
Pocillopora_meandrina_HIv1___Sc0000015:1067869-1068297	Cluster_4134	N	85	19	9	27	13
Pocillopora_meandrina_HIv1___Sc0000015:1164772-1165200	Cluster_4135	N	31	23	85	51	35
Pocillopora_meandrina_HIv1___Sc0000015:1253254-1253683	Cluster_4136	N	196	46	397	87	13
Pocillopora_meandrina_HIv1___Sc0000015:1520535-1520962	Cluster_4137	N	2	2	150	12	1
Pocillopora_meandrina_HIv1___Sc0000015:1564041-1564464	Cluster_4138	N	68	11	19	3	30
Pocillopora_meandrina_HIv1___Sc0000015:1699627-1700330	Cluster_4139	N	103	68	54	68	11
Pocillopora_meandrina_HIv1___Sc0000015:1701560-1701989	Cluster_4140	N	91	41	28	66	8
Pocillopora_meandrina_HIv1___Sc0000015:1754938-1755365	Cluster_4141	N	102	49	42	9	2
Pocillopora_meandrina_HIv1___Sc0000015:1761143-1761570	Cluster_4142	N	24	16	136	29	14
Pocillopora_meandrina_HIv1___Sc0000015:1783784-1784599	Cluster_4143	N	112	17	130	149	69
