# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "42" "-a" "../output/17-Ptuh-lncRNA/Ptuh-lncRNA.gtf" "-o" "../output/18-Ptuh-lncRNA-matrix/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam" "../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../data/18-Ptuh-lncRNA-matrix/RNA-POC-47.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-48.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-50.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-53.sorted.bam	../data/18-Ptuh-lncRNA-matrix/RNA-POC-57.sorted.bam
lncRNA_6597	Pocillopora_meandrina_HIv1___Sc0000009	4420376	4422619	+	2244	38	103	41	100	3
lncRNA_6598	Pocillopora_meandrina_HIv1___Sc0000009	4423433	4424079	+	647	13	19	19	29	2
lncRNA_6599	Pocillopora_meandrina_HIv1___Sc0000009	4426071	4433350	+	7280	136	33	149	179	38
lncRNA_6600	Pocillopora_meandrina_HIv1___Sc0000009	4436614	4438008	+	1395	15	17	149	33	30
lncRNA_6601	Pocillopora_meandrina_HIv1___Sc0000009	4437282	4442892	+	5611	2	2	20	32	0
lncRNA_6602	Pocillopora_meandrina_HIv1___Sc0000009	4437285	4438008	+	724	0	0	0	0	0
lncRNA_6603	Pocillopora_meandrina_HIv1___Sc0000009	4441753	4444649	+	2897	4	3	18	55	0
lncRNA_6604	Pocillopora_meandrina_HIv1___Sc0000009	4438075	4440207	+	2133	0	0	0	0	0
lncRNA_6605	Pocillopora_meandrina_HIv1___Sc0000009	4536023	4551525	+	15503	84	278	98	74	1
lncRNA_6606	Pocillopora_meandrina_HIv1___Sc0000009	4618668	4619144	+	477	107	299	255	396	82
lncRNA_6607	Pocillopora_meandrina_HIv1___Sc0000009	4733661	4737083	+	3423	239	113	144	269	261
lncRNA_6608	Pocillopora_meandrina_HIv1___Sc0000009	4734670	4737083	+	2414	0	0	0	0	0
lncRNA_6609	Pocillopora_meandrina_HIv1___Sc0000009	4750173	4750553	+	381	0	2	1	6	0
lncRNA_6610	Pocillopora_meandrina_HIv1___Sc0000009	4765387	4768796	+	3410	26	46	229	68	25
lncRNA_6611	Pocillopora_meandrina_HIv1___Sc0000009	4811401	4842283	+	30883	94	162	953	92	0
lncRNA_6612	Pocillopora_meandrina_HIv1___Sc0000009	4812498	4828456	+	15959	0	0	0	0	0
lncRNA_6613	Pocillopora_meandrina_HIv1___Sc0000009	4816055	4817757	+	1703	0	0	0	0	0
lncRNA_6614	Pocillopora_meandrina_HIv1___Sc0000009	5003680	5004425	+	746	43	30	32	195	4
lncRNA_6615	Pocillopora_meandrina_HIv1___Sc0000009	5069792	5070367	+	576	15	373	301	67	19
lncRNA_6616	Pocillopora_meandrina_HIv1___Sc0000009	5152282	5155947	+	3666	0	0	0	0	0
lncRNA_6617	Pocillopora_meandrina_HIv1___Sc0000009	5155596	5189715	+	34120	499	364	676	2976	71
lncRNA_6618	Pocillopora_meandrina_HIv1___Sc0000009	5157041	5160067	+	3027	0	0	0	0	0
lncRNA_6619	Pocillopora_meandrina_HIv1___Sc0000009	5184378	5187854	+	3477	0	0	0	0	0
lncRNA_6620	Pocillopora_meandrina_HIv1___Sc0000009	5184674	5187854	+	3181	0	0	0	0	0
lncRNA_6621	Pocillopora_meandrina_HIv1___Sc0000009	5189716	5195146	+	5431	1022	711	1117	3664	124
lncRNA_6622	Pocillopora_meandrina_HIv1___Sc0000009	5424029	5426033	+	2005	153	320	300	1212	53
lncRNA_6623	Pocillopora_meandrina_HIv1___Sc0000009	5559645	5563195	+	3551	0	0	0	0	0
lncRNA_6624	Pocillopora_meandrina_HIv1___Sc0000009	5559645	5563195	+	3551	0	0	0	0	0
lncRNA_6625	Pocillopora_meandrina_HIv1___Sc0000009	5742320	5753330	+	11011	0	0	0	0	0
lncRNA_6626	Pocillopora_meandrina_HIv1___Sc0000009	5742329	5744677	+	2349	0	0	0	0	0
lncRNA_6627	Pocillopora_meandrina_HIv1___Sc0000009	5742944	5751259	+	8316	0	0	0	0	0
lncRNA_6628	Pocillopora_meandrina_HIv1___Sc0000009	5744772	5746674	+	1903	0	0	0	0	0
lncRNA_6629	Pocillopora_meandrina_HIv1___Sc0000009	5807694	5853217	+	45524	0	0	0	0	0
lncRNA_6630	Pocillopora_meandrina_HIv1___Sc0000009	5808342	5854359	+	46018	147	485	260	43	49
lncRNA_6631	Pocillopora_meandrina_HIv1___Sc0000009	5808353	5851688	+	43336	0	0	0	0	0
lncRNA_6632	Pocillopora_meandrina_HIv1___Sc0000009	5847793	5848398	+	606	0	0	0	0	0
lncRNA_6633	Pocillopora_meandrina_HIv1___Sc0000009	4943736	4948260	+	4525	55	107	63	62	29
lncRNA_6634	Pocillopora_meandrina_HIv1___Sc0000009	4968315	4969311	+	997	0	0	0	0	0
lncRNA_6635	Pocillopora_meandrina_HIv1___Sc0000009	4968315	4973574	+	5260	0	0	7	0	0
lncRNA_6636	Pocillopora_meandrina_HIv1___Sc0000009	4969341	4973574	+	4234	0	0	0	0	0
lncRNA_6637	Pocillopora_meandrina_HIv1___Sc0000009	4969626	4973574	+	3949	0	0	0	0	0
lncRNA_6638	Pocillopora_meandrina_HIv1___Sc0000009	4969626	4973574	+	3949	0	0	0	0	0
lncRNA_6639	Pocillopora_meandrina_HIv1___Sc0000009	5004956	5006572	+	1617	198	112	242	85	51
lncRNA_6640	Pocillopora_meandrina_HIv1___Sc0000009	5042241	5043745	+	1505	200	117	193	198	54
lncRNA_6641	Pocillopora_meandrina_HIv1___Sc0000009	5052519	5053158	+	640	55	67	235	149	20
lncRNA_6642	Pocillopora_meandrina_HIv1___Sc0000009	5071701	5072875	+	1175	40	53	105	219	7
lncRNA_6643	Pocillopora_meandrina_HIv1___Sc0000009	5073794	5076792	+	2999	390	103	383	371	40
lncRNA_6644	Pocillopora_meandrina_HIv1___Sc0000009	5080567	5081521	+	955	81	44	73	88	16
lncRNA_6645	Pocillopora_meandrina_HIv1___Sc0000009	5084207	5085302	+	1096	0	8	32	12	0
lncRNA_6646	Pocillopora_meandrina_HIv1___Sc0000009	5092444	5094461	+	2018	19	31	65	49	15
lncRNA_6647	Pocillopora_meandrina_HIv1___Sc0000009	5095426	5096395	+	970	15	0	53	24	0
lncRNA_6648	Pocillopora_meandrina_HIv1___Sc0000009	5251730	5252395	+	666	89	7	45	135	5
lncRNA_6649	Pocillopora_meandrina_HIv1___Sc0000009	5267232	5270236	+	3005	0	0	0	0	0
lncRNA_6650	Pocillopora_meandrina_HIv1___Sc0000009	5267255	5270236	+	2982	0	0	0	0	0
lncRNA_6651	Pocillopora_meandrina_HIv1___Sc0000009	5273889	5274840	+	952	22	9	2	0	7
lncRNA_6652	Pocillopora_meandrina_HIv1___Sc0000009	5304942	5307870	+	2929	88	222	199	314	24
lncRNA_6653	Pocillopora_meandrina_HIv1___Sc0000009	5419288	5420213	+	926	190	97	81	201	71
lncRNA_6654	Pocillopora_meandrina_HIv1___Sc0000009	5523741	5569083	+	45343	1092	1192	2157	1499	487
lncRNA_6655	Pocillopora_meandrina_HIv1___Sc0000009	5566521	5567801	+	1281	0	0	0	0	0
lncRNA_6656	Pocillopora_meandrina_HIv1___Sc0000009	5537079	5538014	+	936	0	0	0	0	0
lncRNA_6657	Pocillopora_meandrina_HIv1___Sc0000009	5537079	5538942	+	1864	0	0	0	0	0
lncRNA_6658	Pocillopora_meandrina_HIv1___Sc0000009	5604488	5607560	+	3073	0	0	0	0	0
lncRNA_6659	Pocillopora_meandrina_HIv1___Sc0000009	5604488	5607560	+	3073	0	0	0	0	0
lncRNA_6660	Pocillopora_meandrina_HIv1___Sc0000009	5623744	5624403	+	660	44	17	59	6	6
lncRNA_6661	Pocillopora_meandrina_HIv1___Sc0000009	5686890	5689484	+	2595	80	487	621	231	24
lncRNA_6662	Pocillopora_meandrina_HIv1___Sc0000009	5695716	5696422	+	707	11	22	48	3	4
lncRNA_6663	Pocillopora_meandrina_HIv1___Sc0000009	5766574	5767501	+	928	0	0	0	0	0
lncRNA_6664	Pocillopora_meandrina_HIv1___Sc0000009	5812697	5814019	+	1323	0	0	0	0	0
lncRNA_6665	Pocillopora_meandrina_HIv1___Sc0000009	5814579	5816609	+	2031	0	0	0	0	0
lncRNA_6666	Pocillopora_meandrina_HIv1___Sc0000009	5814579	5816609	+	2031	0	0	0	0	0
lncRNA_6667	Pocillopora_meandrina_HIv1___Sc0000009	5816673	5818197	+	1525	0	0	0	0	0
lncRNA_6668	Pocillopora_meandrina_HIv1___Sc0000009	5816673	5818197	+	1525	0	0	0	0	0
lncRNA_6669	Pocillopora_meandrina_HIv1___Sc0000009	5832030	5832595	+	566	0	0	0	0	0
lncRNA_6670	Pocillopora_meandrina_HIv1___Sc0000009	5854447	5856455	+	2009	26	35	193	42	23
lncRNA_6671	Pocillopora_meandrina_HIv1___Sc0000009	5870602	5874308	+	3707	4	119	41	112	67
lncRNA_6672	Pocillopora_meandrina_HIv1___Sc0000009	5891234	5891491	+	258	0	9	28	10	0
lncRNA_6673	Pocillopora_meandrina_HIv1___Sc0000009	6058870	6062812	+	3943	16	458	51	13	60
lncRNA_6674	Pocillopora_meandrina_HIv1___Sc0000009	6078726	6080939	+	2214	39	44	34	35	15
lncRNA_6675	Pocillopora_meandrina_HIv1___Sc0000009	6119029	6120164	+	1136	0	4	18	1	12
lncRNA_6676	Pocillopora_meandrina_HIv1___Sc0000009	6189498	6190404	+	907	0	18	48	10	6
lncRNA_6677	Pocillopora_meandrina_HIv1___Sc0000009	6291926	6292297	+	372	0	9	68	20	3
lncRNA_6678	Pocillopora_meandrina_HIv1___Sc0000009	6352698	6353232	+	535	85	0	11	0	0
lncRNA_6679	Pocillopora_meandrina_HIv1___Sc0000009	6367861	6376905	+	9045	0	0	0	0	0
lncRNA_6680	Pocillopora_meandrina_HIv1___Sc0000009	6367861	6376905	+	9045	0	0	0	0	0
lncRNA_6681	Pocillopora_meandrina_HIv1___Sc0000009	6367947	6374103	+	6157	0	0	0	0	0
lncRNA_6682	Pocillopora_meandrina_HIv1___Sc0000009	6430256	6431733	+	1478	0	0	0	0	0
lncRNA_6683	Pocillopora_meandrina_HIv1___Sc0000009	6430257	6431733	+	1477	0	0	0	0	0
lncRNA_6684	Pocillopora_meandrina_HIv1___Sc0000009	6431892	6433496	+	1605	26	64	62	169	7
lncRNA_6685	Pocillopora_meandrina_HIv1___Sc0000009	6557323	6557923	+	601	0	0	0	0	0
lncRNA_6686	Pocillopora_meandrina_HIv1___Sc0000009	6712289	6715969	+	3681	63	73	25	66	2
lncRNA_6687	Pocillopora_meandrina_HIv1___Sc0000009	6792590	6793714	+	1125	0	0	0	0	0
lncRNA_6688	Pocillopora_meandrina_HIv1___Sc0000009	6792614	6795950	+	3337	32	1	160	7	11
lncRNA_6689	Pocillopora_meandrina_HIv1___Sc0000009	6808570	6854401	+	45832	131	541	145	25	75
lncRNA_6690	Pocillopora_meandrina_HIv1___Sc0000009	6921341	6922769	+	1429	0	0	0	0	0
lncRNA_6691	Pocillopora_meandrina_HIv1___Sc0000009	6921341	6922769	+	1429	0	0	0	0	0
lncRNA_6692	Pocillopora_meandrina_HIv1___Sc0000009	6927549	6927901	+	353	6	0	40	3	0
lncRNA_6693	Pocillopora_meandrina_HIv1___Sc0000009	7166683	7168417	+	1735	124	50	118	106	69
lncRNA_6694	Pocillopora_meandrina_HIv1___Sc0000009	7213677	7213931	+	255	0	0	0	33	8
lncRNA_6695	Pocillopora_meandrina_HIv1___Sc0000009	7429443	7430299	+	857	135	103	221	111	181
lncRNA_6696	Pocillopora_meandrina_HIv1___Sc0000009	7456396	7456857	+	462	0	0	0	0	0
lncRNA_6697	Pocillopora_meandrina_HIv1___Sc0000009	7456398	7456857	+	460	0	0	0	0	0
lncRNA_6698	Pocillopora_meandrina_HIv1___Sc0000009	7464382	7464605	+	224	31	20	8	13	3
lncRNA_6699	Pocillopora_meandrina_HIv1___Sc0000009	7677030	7680514	+	3485	88	111	57	6	62
lncRNA_6700	Pocillopora_meandrina_HIv1___Sc0000009	7707397	7708137	+	741	26	8	10	12	10
lncRNA_6701	Pocillopora_meandrina_HIv1___Sc0000009	8091414	8092009	+	596	42	40	124	38	152
lncRNA_6702	Pocillopora_meandrina_HIv1___Sc0000009	8386810	8391116	+	4307	359	374	794	339	617
lncRNA_6703	Pocillopora_meandrina_HIv1___Sc0000009	8540066	8554377	+	14312	0	0	0	0	0
lncRNA_6704	Pocillopora_meandrina_HIv1___Sc0000009	8747720	8748217	+	498	17	9	24	3	7
lncRNA_6705	Pocillopora_meandrina_HIv1___Sc0000009	8771933	8772311	+	379	1	0	1	0	0
lncRNA_6706	Pocillopora_meandrina_HIv1___Sc0000009	8779727	8784404	+	4678	26	2	53	86	37
lncRNA_6707	Pocillopora_meandrina_HIv1___Sc0000009	9103912	9107825	+	3914	64	0	163	67	24
lncRNA_6708	Pocillopora_meandrina_HIv1___Sc0000009	9116655	9121356	+	4702	349	122	154	114	337
lncRNA_6709	Pocillopora_meandrina_HIv1___Sc0000009	9141772	9142879	+	1108	0	0	0	0	0
lncRNA_6710	Pocillopora_meandrina_HIv1___Sc0000009	9151414	9151847	+	434	13	0	2	5	0
lncRNA_6711	Pocillopora_meandrina_HIv1___Sc0000009	9159652	9161256	+	1605	0	0	0	0	0
lncRNA_6712	Pocillopora_meandrina_HIv1___Sc0000009	9159652	9161256	+	1605	0	0	0	0	0
lncRNA_6713	Pocillopora_meandrina_HIv1___Sc0000009	9174187	9174661	+	475	0	0	0	4	36
lncRNA_6714	Pocillopora_meandrina_HIv1___Sc0000009	9417570	9419124	+	1555	22	0	118	46	40
lncRNA_6715	Pocillopora_meandrina_HIv1___Sc0000009	9419128	9421386	+	2259	20	0	78	13	8
lncRNA_6716	Pocillopora_meandrina_HIv1___Sc0000009	9427787	9429239	+	1453	89	9	48	12	99
lncRNA_6717	Pocillopora_meandrina_HIv1___Sc0000009	9430426	9431165	+	740	18	4	69	53	28
lncRNA_6718	Pocillopora_meandrina_HIv1___Sc0000009	9433834	9436256	+	2423	0	0	0	0	0
lncRNA_6719	Pocillopora_meandrina_HIv1___Sc0000009	9434624	9436256	+	1633	0	0	0	0	0
lncRNA_6720	Pocillopora_meandrina_HIv1___Sc0000009	9449268	9450158	+	891	0	0	0	0	0
lncRNA_6721	Pocillopora_meandrina_HIv1___Sc0000009	9449268	9451379	+	2112	7	2	11	29	15
lncRNA_6722	Pocillopora_meandrina_HIv1___Sc0000009	9449719	9450158	+	440	0	0	0	0	0
lncRNA_6723	Pocillopora_meandrina_HIv1___Sc0000009	9458206	9460264	+	2059	2	0	0	0	10
lncRNA_6724	Pocillopora_meandrina_HIv1___Sc0000009	9458557	9460264	+	1708	0	0	0	0	0
lncRNA_6725	Pocillopora_meandrina_HIv1___Sc0000009	9461272	9462086	+	815	8	0	126	11	60
lncRNA_6726	Pocillopora_meandrina_HIv1___Sc0000009	9706535	9707234	+	700	8	0	12	9	15
lncRNA_6727	Pocillopora_meandrina_HIv1___Sc0000009	9827035	9827632	+	598	1	0	6	9	20
lncRNA_6728	Pocillopora_meandrina_HIv1___Sc0000009	9928308	9930385	+	2078	44	40	160	120	167
lncRNA_6729	Pocillopora_meandrina_HIv1___Sc0000009	9939315	9939994	+	680	0	0	0	0	0
lncRNA_6730	Pocillopora_meandrina_HIv1___Sc0000009	9960941	9962270	+	1330	0	0	0	134	0
lncRNA_6731	Pocillopora_meandrina_HIv1___Sc0000009	9982984	9984404	+	1421	4	8	74	60	11
lncRNA_6732	Pocillopora_meandrina_HIv1___Sc0000009	10254349	10255083	+	735	47	26	121	6	4
lncRNA_6733	Pocillopora_meandrina_HIv1___Sc0000009	10283166	10283841	+	676	0	8	31	3	1
lncRNA_6734	Pocillopora_meandrina_HIv1___Sc0000009	10289688	10291291	+	1604	10	23	21	76	3
lncRNA_6735	Pocillopora_meandrina_HIv1___Sc0000009	10407980	10408211	+	232	0	30	0	6	0
lncRNA_6736	Pocillopora_meandrina_HIv1___Sc0000009	10431760	10433452	+	1693	0	0	103	5	0
lncRNA_6737	Pocillopora_meandrina_HIv1___Sc0000009	10441804	10445803	+	4000	299	363	547	227	401
lncRNA_6738	Pocillopora_meandrina_HIv1___Sc0000009	10490224	10492960	+	2737	0	0	23	0	0
lncRNA_6739	Pocillopora_meandrina_HIv1___Sc0000009	10490700	10492960	+	2261	0	0	0	0	0
lncRNA_6740	Pocillopora_meandrina_HIv1___Sc0000009	10674395	10676445	+	2051	40	0	0	0	0
lncRNA_6741	Pocillopora_meandrina_HIv1___Sc0000009	10691329	10692597	+	1269	11	3	25	21	34
lncRNA_6742	Pocillopora_meandrina_HIv1___Sc0000009	10943609	10945939	+	2331	0	11	27	0	2
lncRNA_6743	Pocillopora_meandrina_HIv1___Sc0000009	10943927	10945171	+	1245	0	0	0	0	0
lncRNA_6744	Pocillopora_meandrina_HIv1___Sc0000009	10946677	10947032	+	356	0	20	0	0	3
lncRNA_6745	Pocillopora_meandrina_HIv1___Sc0000009	10965478	10966026	+	549	3	20	183	51	36
lncRNA_6746	Pocillopora_meandrina_HIv1___Sc0000009	11347405	11349595	+	2191	114	10	201	132	72
lncRNA_6747	Pocillopora_meandrina_HIv1___Sc0000009	11348726	11349976	+	1251	4	0	0	0	0
lncRNA_6748	Pocillopora_meandrina_HIv1___Sc0000009	11351404	11351717	+	314	0	13	15	19	3
lncRNA_6749	Pocillopora_meandrina_HIv1___Sc0000009	11386058	11387145	+	1088	55	68	357	108	144
lncRNA_6750	Pocillopora_meandrina_HIv1___Sc0000009	11394733	11397560	+	2828	20	9	157	51	16
lncRNA_6751	Pocillopora_meandrina_HIv1___Sc0000009	11396830	11398193	+	1364	0	0	8	0	0
lncRNA_6752	Pocillopora_meandrina_HIv1___Sc0000009	11413106	11414994	+	1889	0	0	0	0	0
lncRNA_6753	Pocillopora_meandrina_HIv1___Sc0000009	11413106	11415159	+	2054	0	0	0	0	0
lncRNA_6754	Pocillopora_meandrina_HIv1___Sc0000009	11413430	11415159	+	1730	0	0	0	0	0
lncRNA_6755	Pocillopora_meandrina_HIv1___Sc0000009	11422098	11422892	+	795	0	8	94	50	16
lncRNA_6756	Pocillopora_meandrina_HIv1___Sc0000009	11424066	11432958	+	8893	18	0	38	18	25
lncRNA_6757	Pocillopora_meandrina_HIv1___Sc0000009	11428531	11430204	+	1674	0	0	0	0	0
lncRNA_6758	Pocillopora_meandrina_HIv1___Sc0000009	11490662	11492525	+	1864	190	42	211	109	33
lncRNA_6759	Pocillopora_meandrina_HIv1___Sc0000009	378782	379110	+	329	0	0	3	6	14
lncRNA_6760	Pocillopora_meandrina_HIv1___Sc0000009	392203	392446	+	244	24	29	0	5	5
lncRNA_6761	Pocillopora_meandrina_HIv1___Sc0000009	393062	393264	+	203	0	4	0	13	26
lncRNA_6762	Pocillopora_meandrina_HIv1___Sc0000009	416263	416823	+	561	26	33	8	80	6
lncRNA_6763	Pocillopora_meandrina_HIv1___Sc0000009	451030	451391	+	362	4	28	43	4	4
lncRNA_6764	Pocillopora_meandrina_HIv1___Sc0000009	609750	610024	+	275	16	5	37	25	24
lncRNA_6765	Pocillopora_meandrina_HIv1___Sc0000009	702809	703015	+	207	0	18	0	0	0
lncRNA_6766	Pocillopora_meandrina_HIv1___Sc0000009	710294	710910	+	617	0	20	47	5	61
lncRNA_6767	Pocillopora_meandrina_HIv1___Sc0000009	711164	711640	+	477	5	0	46	4	2
lncRNA_6768	Pocillopora_meandrina_HIv1___Sc0000009	712160	713247	+	1088	55	21	148	46	73
lncRNA_6769	Pocillopora_meandrina_HIv1___Sc0000009	736792	737025	+	234	0	0	21	8	0
lncRNA_6770	Pocillopora_meandrina_HIv1___Sc0000009	904854	905401	+	548	44	0	28	0	0
lncRNA_6771	Pocillopora_meandrina_HIv1___Sc0000009	918692	919325	+	634	6	0	0	23	0
lncRNA_6772	Pocillopora_meandrina_HIv1___Sc0000009	954585	954870	+	286	0	10	5	5	0
lncRNA_6773	Pocillopora_meandrina_HIv1___Sc0000009	962530	962949	+	420	14	51	39	26	0
lncRNA_6774	Pocillopora_meandrina_HIv1___Sc0000009	964405	964792	+	388	0	1	22	12	0
lncRNA_6775	Pocillopora_meandrina_HIv1___Sc0000009	968391	968691	+	301	0	0	0	3	0
lncRNA_6776	Pocillopora_meandrina_HIv1___Sc0000009	989904	990320	+	417	0	10	1	26	0
lncRNA_6777	Pocillopora_meandrina_HIv1___Sc0000009	1027730	1027951	+	222	6	9	37	18	5
lncRNA_6778	Pocillopora_meandrina_HIv1___Sc0000009	1028387	1028882	+	496	3	2	33	12	26
lncRNA_6779	Pocillopora_meandrina_HIv1___Sc0000009	1081647	1082123	+	477	0	18	41	84	0
lncRNA_6780	Pocillopora_meandrina_HIv1___Sc0000009	1183844	1184254	+	411	74	71	10	80	0
lncRNA_6781	Pocillopora_meandrina_HIv1___Sc0000009	1220984	1221204	+	221	0	0	13	5	0
lncRNA_6782	Pocillopora_meandrina_HIv1___Sc0000009	1253047	1253331	+	285	0	26	9	2	0
lncRNA_6783	Pocillopora_meandrina_HIv1___Sc0000009	1255665	1255947	+	283	0	1	26	0	0
lncRNA_6784	Pocillopora_meandrina_HIv1___Sc0000009	1291737	1291944	+	208	0	30	3	12	0
lncRNA_6785	Pocillopora_meandrina_HIv1___Sc0000009	1306228	1306694	+	467	0	34	40	33	2
lncRNA_6786	Pocillopora_meandrina_HIv1___Sc0000009	1313611	1313925	+	315	0	6	25	13	2
lncRNA_6787	Pocillopora_meandrina_HIv1___Sc0000009	1330339	1330584	+	246	0	8	9	29	0
lncRNA_6788	Pocillopora_meandrina_HIv1___Sc0000009	1641249	1641494	+	246	0	0	0	0	0
lncRNA_6789	Pocillopora_meandrina_HIv1___Sc0000009	1684130	1684807	+	678	0	0	0	0	0
lncRNA_6790	Pocillopora_meandrina_HIv1___Sc0000009	1746337	1746562	+	226	0	0	4	0	0
lncRNA_6791	Pocillopora_meandrina_HIv1___Sc0000009	1758368	1758675	+	308	0	9	25	34	0
lncRNA_6792	Pocillopora_meandrina_HIv1___Sc0000009	1769665	1770060	+	396	2	29	21	49	4
lncRNA_6793	Pocillopora_meandrina_HIv1___Sc0000009	1796141	1796373	+	233	26	0	0	0	0
lncRNA_6794	Pocillopora_meandrina_HIv1___Sc0000009	1798607	1799335	+	729	0	184	4	7	0
lncRNA_6795	Pocillopora_meandrina_HIv1___Sc0000009	2595581	2595872	+	292	0	2	1	0	22
lncRNA_6796	Pocillopora_meandrina_HIv1___Sc0000009	2601252	2602897	+	1646	17	44	31	23	118
lncRNA_6797	Pocillopora_meandrina_HIv1___Sc0000009	2641431	2641774	+	344	0	15	26	7	0
lncRNA_6798	Pocillopora_meandrina_HIv1___Sc0000009	2981093	2981294	+	202	0	2	1	11	0
lncRNA_6799	Pocillopora_meandrina_HIv1___Sc0000009	2985280	2985541	+	262	0	0	2	0	0
lncRNA_6800	Pocillopora_meandrina_HIv1___Sc0000009	3250807	3251099	+	293	0	27	52	10	0
lncRNA_6801	Pocillopora_meandrina_HIv1___Sc0000009	3290619	3290866	+	248	0	0	29	0	0
lncRNA_6802	Pocillopora_meandrina_HIv1___Sc0000009	3380775	3381137	+	363	0	45	3	4	21
lncRNA_6803	Pocillopora_meandrina_HIv1___Sc0000009	3586661	3587085	+	425	0	2	135	0	0
lncRNA_6804	Pocillopora_meandrina_HIv1___Sc0000009	3588534	3588885	+	352	2	44	4	0	0
lncRNA_6805	Pocillopora_meandrina_HIv1___Sc0000009	3799206	3799430	+	225	0	0	11	2	0
lncRNA_6806	Pocillopora_meandrina_HIv1___Sc0000009	3839049	3839263	+	215	13	6	0	0	2
lncRNA_6807	Pocillopora_meandrina_HIv1___Sc0000009	3895117	3895349	+	233	0	20	2	0	0
lncRNA_6808	Pocillopora_meandrina_HIv1___Sc0000009	4081786	4082344	+	559	0	3	38	20	0
lncRNA_6809	Pocillopora_meandrina_HIv1___Sc0000009	4089095	4090041	+	947	80	0	19	52	113
lncRNA_6810	Pocillopora_meandrina_HIv1___Sc0000009	4102792	4103324	+	533	0	0	29	15	0
lncRNA_6811	Pocillopora_meandrina_HIv1___Sc0000009	4128971	4129427	+	457	0	3	33	44	0
lncRNA_6812	Pocillopora_meandrina_HIv1___Sc0000009	4176455	4177184	+	730	0	14	101	46	0
lncRNA_6813	Pocillopora_meandrina_HIv1___Sc0000009	4179907	4180312	+	406	0	0	4	38	0
lncRNA_6814	Pocillopora_meandrina_HIv1___Sc0000009	4235882	4236247	+	366	18	41	72	8	101
lncRNA_6815	Pocillopora_meandrina_HIv1___Sc0000009	4240257	4240486	+	230	0	16	13	25	1
lncRNA_6816	Pocillopora_meandrina_HIv1___Sc0000009	4253702	4254086	+	385	2	65	2	16	0
lncRNA_6817	Pocillopora_meandrina_HIv1___Sc0000009	4258728	4258956	+	229	0	16	3	14	0
lncRNA_6818	Pocillopora_meandrina_HIv1___Sc0000009	4267024	4267365	+	342	1	7	0	19	0
lncRNA_6819	Pocillopora_meandrina_HIv1___Sc0000009	4297686	4298182	+	497	4	20	25	27	39
lncRNA_6820	Pocillopora_meandrina_HIv1___Sc0000009	4417490	4418660	+	1171	35	87	93	100	180
lncRNA_6821	Pocillopora_meandrina_HIv1___Sc0000009	4419608	4420002	+	395	0	28	7	80	0
lncRNA_6822	Pocillopora_meandrina_HIv1___Sc0000009	4517180	4519338	+	2159	17	0	1	8	14
lncRNA_6823	Pocillopora_meandrina_HIv1___Sc0000009	4594798	4595134	+	337	4	1	0	31	0
lncRNA_6824	Pocillopora_meandrina_HIv1___Sc0000009	4596588	4596801	+	214	8	17	25	5	0
lncRNA_6825	Pocillopora_meandrina_HIv1___Sc0000009	4624722	4625193	+	472	0	42	25	24	6
lncRNA_6826	Pocillopora_meandrina_HIv1___Sc0000009	4726673	4727070	+	398	0	8	0	40	0
lncRNA_6827	Pocillopora_meandrina_HIv1___Sc0000009	4859770	4860011	+	242	20	0	5	0	1
lncRNA_6828	Pocillopora_meandrina_HIv1___Sc0000009	4865540	4866126	+	587	0	2	35	28	17
lncRNA_6829	Pocillopora_meandrina_HIv1___Sc0000009	4890122	4890334	+	213	2	9	19	11	0
lncRNA_6830	Pocillopora_meandrina_HIv1___Sc0000009	4907525	4907801	+	277	0	0	20	13	0
lncRNA_6831	Pocillopora_meandrina_HIv1___Sc0000009	4917052	4917254	+	203	0	11	43	8	0
lncRNA_6832	Pocillopora_meandrina_HIv1___Sc0000009	4918856	4919141	+	286	0	28	56	0	0
lncRNA_6833	Pocillopora_meandrina_HIv1___Sc0000009	5858822	5859045	+	224	2	10	9	2	18
lncRNA_6834	Pocillopora_meandrina_HIv1___Sc0000009	5875986	5876240	+	255	10	17	0	0	0
lncRNA_6835	Pocillopora_meandrina_HIv1___Sc0000009	5883033	5883318	+	286	0	0	32	1	0
lncRNA_6836	Pocillopora_meandrina_HIv1___Sc0000009	5886117	5886320	+	204	0	0	25	0	0
lncRNA_6837	Pocillopora_meandrina_HIv1___Sc0000009	5938138	5938393	+	256	24	316	77	136	90
lncRNA_6838	Pocillopora_meandrina_HIv1___Sc0000009	5947939	5948512	+	574	3	8	57	8	8
