"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region","given_miRNA_name"
"Cluster_3367","FUN_038231",0.421092085629291,0.480144519374692,0.998649612991003,155,-21.04,"2 22","999 1021",20,"60.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038257",-0.718114844588031,0.171857328858874,0.998649612991003,155,-22.58,"2 20","2505 2528",18,"61.11%","83.33%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038267",0.55824394211534,0.328092510272169,0.998649612991003,151,-22.96,"2 22","5942 5970",25,"60.00%","76.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038271",0.585328950268006,0.299802262254126,0.998649612991003,153,-23.15,"2 23","8507 8533",24,"62.50%","70.83%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038277",0.230192981799743,0.709518588082344,0.998649612991003,166,-21.56,"2 23","16530 16551",21,"80.95%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038290",0.163413121482043,0.792865715143859,0.998649612991003,157,-20.2,"2 22","5935 5958",20,"65.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038292",-0.15070036935208,0.808851100961831,0.998649612991003,165,-22.22,"2 22","1239 1262",20,"65.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038300",0.144193095111064,0.817045846194439,0.998649612991003,158,-27.58,"2 23","20339 20362",21,"61.90%","76.19%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_037924",0.50890639829772,0.381210897058824,0.998649612991003,150,-21.9,"2 21","3898 3920",19,"63.16%","78.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_037924",0.50890639829772,0.381210897058824,0.998649612991003,171,-22.93,"2 16","6992 7015",14,"92.86%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038352",0.256639153337893,0.676860149093148,0.998649612991003,160,-23.93,"2 22","1669 1694",22,"63.64%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_037931",-0.794722073222639,0.108143579866797,0.998649612991003,160,-23.64,"2 23","1370 1395",23,"60.87%","86.96%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_037938",0.246444755707093,0.689422646394923,0.998649612991003,177,-24.94,"2 18","796 819",16,"93.75%","93.75%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038412",0.739695358682869,0.153047719284677,0.998649612991003,162,-21.19,"2 21","1447 1472",21,"71.43%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038430",0.552682699022744,0.33398046572048,0.998649612991003,163,-21.01,"2 21","5377 5405",24,"70.83%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038449",0.565939944842218,0.319988167429371,0.998649612991003,161,-20.44,"2 20","6846 6868",18,"72.22%","88.89%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038449",0.565939944842218,0.319988167429371,0.998649612991003,167,-24.14,"2 21","4964 4988",20,"70.00%","90.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038478",-0.800465446419379,0.10373264777876,0.998649612991003,152,-20.34,"2 22","3367 3392",22,"59.09%","77.27%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038493",-0.774144856351515,0.124391051931891,0.998649612991003,161,-20.11,"2 23","933 957",22,"63.64%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038503",-0.362035303294103,0.54931980017133,0.998649612991003,170,-25.71,"2 23","2468 2489",21,"80.95%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038512",0.171903739531676,0.782208180714515,0.998649612991003,155,-21.57,"2 22","6041 6063",20,"65.00%","80.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_038662",-0.531928168848524,0.356181870439988,0.998649612991003,162,-25.11,"2 23","11327 11350",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039278",0.17607330151991,0.776980305827516,0.998649612991003,156,-21.58,"2 22","301 325",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039281",0.494092153911635,0.397529312859794,0.998649612991003,167,-23.14,"2 16","3879 3902",14,"85.71%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039326",0.57676529636336,0.308676298468677,0.998649612991003,172,-22.79,"2 21","2738 2761",19,"73.68%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039420",0.437908376581774,0.460809149311998,0.998649612991003,157,-24.46,"2 23","4818 4842",22,"63.64%","77.27%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039331",0.043256071804766,0.9449418387846,0.998649612991003,153,-21.04,"2 23","2924 2948",22,"63.64%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039526",NA,NA,NA,153,-20.34,"2 14","152 175",12,"75.00%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039581",NA,NA,NA,157,-20.92,"2 14","152 175",12,"83.33%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039622",-0.536359981636608,0.35141152626172,0.998649612991003,165,-21.71,"2 18","2082 2105",16,"75.00%","93.75%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039630",NA,NA,NA,157,-20.92,"2 14","188 211",12,"83.33%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039441",NA,NA,NA,158,-20.39,"2 23","1245 1268",21,"66.67%","71.43%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039678",NA,NA,NA,168,-24.68,"2 23","429 451",21,"71.43%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039680",0.248864302288622,0.686437952376515,0.998649612991003,155,-20.65,"2 17","4273 4297",16,"81.25%","81.25%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039699",-0.0821846214015849,0.895477205696275,0.998649612991003,169,-23.65,"2 23","29638 29662",22,"68.18%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039753",0.680475250212468,0.206107400520181,0.998649612991003,164,-20.62,"2 21","1788 1811",19,"68.42%","84.21%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039457",NA,NA,NA,157,-21.42,"2 15","505 529",14,"85.71%","92.86%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039755",NA,NA,NA,158,-21.7,"2 23","1577 1599",22,"68.18%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039496",NA,NA,NA,143,-22.65,"2 14","6430 6452",12,"75.00%","91.67%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039509",NA,NA,NA,156,-23.42,"2 22","4729 4755",23,"60.87%","78.26%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040536",0.227420359903995,0.712955148824822,0.998649612991003,162,-25.11,"2 23","18635 18658",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040544",-0.142871822462803,0.818710723498291,0.998649612991003,149,-21.08,"2 23","2085 2109",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040598",0.248864302288622,0.686437952376515,0.998649612991003,151,-22.05,"2 23","170 194",23,"60.87%","78.26%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040612",-0.459339436252244,0.436423039443532,0.998649612991003,172,-25.68,"2 23","5906 5928",21,"71.43%","90.48%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040630",NA,NA,NA,171,-21.7,"2 18","168 190",16,"93.75%","93.75%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039872",0.460873143862869,0.434689239467555,0.998649612991003,159,-24.59,"2 21","437 461",20,"65.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040651",NA,NA,NA,164,-21.56,"2 23","113 135",21,"66.67%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039875",0.246273801818643,0.689633602892018,0.998649612991003,162,-20.44,"2 21","2659 2681",19,"73.68%","84.21%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040682",0.630747149015063,0.25390189896548,0.998649612991003,152,-20.05,"2 22","20063 20087",21,"61.90%","76.19%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040682",0.630747149015063,0.25390189896548,0.998649612991003,161,-20.04,"2 16","16485 16507",14,"92.86%","92.86%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039879",-0.370382052141913,0.539430684720449,0.998649612991003,158,-21.82,"2 19","1991 2014",17,"64.71%","88.24%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040782",0.470148788159547,0.424236849536241,0.998649612991003,165,-21.43,"2 14","42393 42416",12,"100.00%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040782",0.470148788159547,0.424236849536241,0.998649612991003,172,-27.86,"2 23","82591 82613",21,"76.19%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040847",0.435939897134458,0.463063602759013,0.998649612991003,155,-21.64,"2 22","828 850",20,"60.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039886",-0.174089709236739,0.779466883150673,0.998649612991003,171,-21.39,"2 21","165 190",21,"80.95%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040866",-0.452029596503358,0.444707713185922,0.998649612991003,163,-22.64,"2 22","474 496",20,"70.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040884",0.0868605923015076,0.889544884819528,0.998649612991003,159,-20.08,"2 22","3379 3401",20,"70.00%","80.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040885",-0.29696986786289,0.627519873861619,0.998649612991003,176,-28.44,"2 23","15338 15364",24,"75.00%","87.50%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040888",0.693369910571729,0.194176240048305,0.998649612991003,161,-20.66,"2 23","846 870",22,"72.73%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040910",0.419338670824216,0.482170359445835,0.998649612991003,147,-20.44,"2 18","2906 2928",16,"68.75%","81.25%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039894",0.625406400879139,0.259193351423706,0.998649612991003,157,-20.76,"2 23","1316 1340",22,"68.18%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040917",0.467675755134133,0.427017977139787,0.998649612991003,162,-20.12,"2 19","5 28",17,"70.59%","88.24%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039930",0.27261532352672,0.657244056992409,0.998649612991003,166,-22.62,"2 22","34636 34665",26,"76.92%","76.92%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039976",0.682954720857275,0.203797714242481,0.998649612991003,163,-22.1,"2 22","74840 74865",22,"72.73%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040050",-0.766624656843484,0.130495796212161,0.998649612991003,153,-22.46,"2 15","45415 45439",14,"78.57%","92.86%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039811",0.144660347304182,0.816457159711505,0.998649612991003,171,-26.26,"2 23","2513 2536",22,"77.27%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039816",0.542178208414179,0.345173021759916,0.998649612991003,162,-20.22,"2 20","38349 38373",19,"73.68%","84.21%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040150",0.853841034729342,0.0655864173899344,0.981219256085965,156,-20.36,"2 23","7301 7323",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039820",0.343943022921158,0.570872348851652,0.998649612991003,155,-21.14,"2 23","32178 32206",26,"69.23%","73.08%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039820",0.343943022921158,0.570872348851652,0.998649612991003,157,-20.14,"2 18","1548 1571",16,"75.00%","81.25%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040172",0.651550556180076,0.233575840937074,0.998649612991003,172,-24.83,"2 21","6387 6410",19,"68.42%","94.74%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040191",0.0786750214965919,0.899931287851209,0.998649612991003,169,-28.09,"2 23","72 97",23,"69.57%","82.61%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040195",-0.0159402970037626,0.97970504303713,0.998649612991003,153,-20.65,"2 23","140 165",23,"65.22%","69.57%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040217",0.397718332006579,0.507295595873223,0.998649612991003,156,-20.81,"2 22","7258 7287",26,"65.38%","69.23%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040222",0.327188113008345,0.590968108913178,0.998649612991003,150,-20.99,"2 15","13808 13831",13,"76.92%","84.62%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040252",-0.233091212058756,0.705928815974177,0.998649612991003,176,-23.18,"2 21","1854 1877",19,"78.95%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040257",-0.339937647843758,0.575664739112197,0.998649612991003,168,-21.73,"2 21","1854 1877",19,"73.68%","84.21%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039778",-0.518556015428485,0.370669949018319,0.998649612991003,159,-26.24,"2 23","1475 1498",22,"63.64%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040283",0.41278581493268,0.489757254027665,0.998649612991003,149,-21.61,"2 23","94800 94825",23,"65.22%","65.22%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040283",0.41278581493268,0.489757254027665,0.998649612991003,162,-21.68,"2 22","5645 5668",21,"71.43%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040283",0.41278581493268,0.489757254027665,0.998649612991003,167,-29.63,"2 23","81763 81786",22,"72.73%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040299",0.654946097832515,0.230302457545896,0.998649612991003,157,-23.98,"2 23","20511 20535",22,"63.64%","77.27%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039833",0.265117674477952,0.666438816028075,0.998649612991003,176,-24.92,"2 23","187 209",21,"80.95%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040329",0.548630877099792,0.338286790606855,0.998649612991003,168,-22.18,"2 22","24613 24640",24,"75.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040335",-0.183191362558638,0.768064749481688,0.998649612991003,154,-20.61,"2 16","375 399",15,"80.00%","86.67%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040351",0.0856907404776198,0.891028832437283,0.998649612991003,149,-20.84,"2 22","3072 3095",20,"65.00%","65.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040366",-0.923781985370459,0.0249684651998219,0.913661377305483,175,-25.9,"2 20","1001 1024",18,"77.78%","94.44%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040371",-0.495485183795347,0.39598797825119,0.998649612991003,149,-20.38,"2 23","694 718",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040381",0.223636110123442,0.717649267669106,0.998649612991003,167,-25.28,"2 23","2618 2641",22,"72.73%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040408",0.633223899467508,0.251458003284031,0.998649612991003,147,-20.63,"2 23","1241 1258",21,"66.67%","71.43%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040424",0.509346065489443,0.38072908033751,0.998649612991003,148,-21.1,"2 22","16100 16125",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040427",0.34139953516729,0.573914745073689,0.998649612991003,152,-21.92,"2 16","7432 7453",14,"85.71%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040464",-0.0136755237021532,0.982588325181354,0.998649612991003,158,-24.55,"2 20","2585 2611",21,"71.43%","76.19%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039853",0.0166006010915128,0.978864429065257,0.998649612991003,189,-27.91,"2 22","7057 7080",20,"85.00%","95.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040495",0.840982894351804,0.0742778773854524,0.994266793560238,151,-21.74,"2 22","1162 1184",20,"65.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040501",NA,NA,NA,159,-22.1,"2 22","3071 3097",23,"69.57%","78.26%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_039855",0.483133954309289,0.409702696422534,0.998649612991003,159,-24.66,"2 23","4852 4875",22,"68.18%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040524",-0.304892836352217,0.617899681046584,0.998649612991003,163,-22.98,"2 22","1679 1705",23,"65.22%","86.96%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040534",0.38323772837579,0.524268972567194,0.998649612991003,149,-21.08,"2 23","1288 1312",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040534",0.38323772837579,0.524268972567194,0.998649612991003,149,-21.08,"2 23","68689 68713",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040946",0.581225304910446,0.304046320914351,0.998649612991003,164,-22.12,"2 23","11641 11666",23,"69.57%","82.61%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040949",-0.367338046693226,0.543033132379443,0.998649612991003,166,-23.02,"2 23","37688 37709",21,"76.19%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040949",-0.367338046693226,0.543033132379443,0.998649612991003,174,-20.47,"2 20","4905 4929",19,"84.21%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040950",0.190888872532767,0.758436962265541,0.998649612991003,151,-21.28,"2 23","38465 38488",22,"63.64%","77.27%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040923",0.772312447722999,0.125870530001003,0.998649612991003,171,-23.57,"2 23","7688 7711",22,"77.27%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040960",0.34305405248835,0.571935350320759,0.998649612991003,170,-21.08,"2 21","15628 15650",19,"78.95%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040926",-0.0159402970037626,0.97970504303713,0.998649612991003,156,-22.52,"2 22","769 793",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040967",0.0124789104008402,0.98411177018379,0.998766031352979,171,-25.43,"2 22","164 186",20,"75.00%","90.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040973",0.494507615950735,0.397069472729827,0.998649612991003,148,-22.22,"2 18","13468 13495",20,"65.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040981",-0.0159402970037626,0.97970504303713,0.998649612991003,167,-20.25,"2 21","936 960",20,"75.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040981",-0.0159402970037626,0.97970504303713,0.998649612991003,177,-25.96,"2 23","822 846",22,"77.27%","86.36%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_040988",-0.763732863773121,0.132866293623325,0.998649612991003,157,-24.07,"2 22","37775 37796",20,"65.00%","90.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041028",NA,NA,NA,153,-25.3,"2 23","676 701",23,"65.22%","69.57%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041169",NA,NA,NA,168,-20.33,"2 23","3660 3682",21,"76.19%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041053",NA,NA,NA,140,-20.47,"2 9","2479 2502",7,"100.00%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041059",NA,NA,NA,162,-21.58,"2 20","337 361",19,"68.42%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041061",NA,NA,NA,153,-24.33,"2 23","991 1015",22,"54.55%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041065",0.0187480813968438,0.976130599844743,0.998649612991003,166,-21.17,"2 20","170 194",19,"78.95%","84.21%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041079",NA,NA,NA,160,-22.51,"2 23","155 182",25,"68.00%","76.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041386",0.673234261180687,0.212893986955583,0.998649612991003,150,-22.89,"2 20","46051 46075",19,"68.42%","73.68%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041408",0.455279040811763,0.441020627398364,0.998649612991003,176,-22.31,"2 21","12767 12790",19,"78.95%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041409",0.30473621067203,0.618089612907935,0.998649612991003,162,-20.87,"2 15","6739 6762",13,"92.31%","92.31%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041421",0.026410659854201,0.966376813158823,0.998649612991003,156,-22.67,"2 22","3669 3693",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041430",0.337913602181017,0.578089303479533,0.998649612991003,154,-24.95,"2 17","4963 4985",15,"73.33%","93.33%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041486",0.454821052365168,0.441539883861105,0.998649612991003,144,-24.53,"2 23","54172 54202",28,"57.14%","67.86%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041519",0.799710412129608,0.104309338658478,0.998649612991003,157,-24.14,"2 23","15196 15222",24,"62.50%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041539",0.0252296333549328,0.967880041376802,0.998649612991003,174,-21.73,"2 21","4149 4171",19,"78.95%","94.74%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041567",0.29238339811226,0.633100243749241,0.998649612991003,155,-21.74,"2 22","276 298",20,"65.00%","80.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041611",0.374974021012316,0.53400520520282,0.998649612991003,155,-20.65,"2 18","7493 7515",16,"68.75%","93.75%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041741",0.264148524148855,0.667628784781849,0.998649612991003,152,-20.61,"2 22","19121 19146",22,"54.55%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041744",0.623055730454208,0.261531574468139,0.998649612991003,156,-21.77,"2 22","7581 7607",23,"65.22%","73.91%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041777",0.134306860863004,0.829510700642446,0.998649612991003,159,-24.63,"2 22","6347 6369",20,"65.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041779",0.101555968697862,0.870917536902249,0.998649612991003,172,-25.43,"2 23","16283 16311",26,"76.92%","76.92%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041811",0.787848471395265,0.113494731998055,0.998649612991003,178,-27.01,"2 23","4958 4981",21,"76.19%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041813",-0.0513917101548736,0.934594856804252,0.998649612991003,151,-21.79,"2 20","4736 4759",18,"61.11%","77.78%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041247",0.8507939936701,0.0676155404822742,0.982602467414463,146,-22.75,"2 15","4617 4640",13,"69.23%","84.62%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041247",0.8507939936701,0.0676155404822742,0.982602467414463,158,-28.89,"2 23","2711 2734",21,"57.14%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041835",0.12986966901752,0.835110801907819,0.998649612991003,148,-20.98,"2 22","4574 4599",22,"59.09%","72.73%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041841",0.677876290561783,0.208536195709739,0.998649612991003,156,-21.9,"2 22","2261 2289",25,"60.00%","76.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041845",0.591650069786328,0.293295198538269,0.998649612991003,162,-21.8,"2 17","354 376",15,"86.67%","93.33%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041877",0.183697903773098,0.767430745928297,0.998649612991003,150,-22.89,"2 22","1634 1655",20,"60.00%","80.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041913",0.537486805678222,0.350201154705576,0.998649612991003,161,-20.38,"2 22","295 316",20,"75.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041928",0.912641339926547,0.0305857066620999,0.922979388371587,166,-20.3,"2 23","7325 7348",21,"66.67%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041938",-0.211669129819404,0.732520719175995,0.998649612991003,170,-24.95,"2 23","798 821",21,"71.43%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041947",-0.191448128571227,0.757738027854555,0.998649612991003,157,-22.87,"2 19","4607 4631",18,"66.67%","88.89%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041254",0.538612182130846,0.348993366522561,0.998649612991003,148,-22.22,"2 18","13180 13207",20,"65.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_041981",-0.966023366054642,0.007479603068442,0.677079544727381,154,-22.12,"2 23","19876 19899",21,"57.14%","76.19%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042004",0.891053147230769,0.042454945395074,0.96546924320845,164,-27.23,"2 23","1011 1033",21,"66.67%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042018",0.304856269094208,0.617944023374499,0.998649612991003,168,-21.09,"2 21","10430 10453",19,"68.42%","89.47%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042141",NA,NA,NA,155,-21.85,"2 22","355 377",20,"60.00%","85.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042066",NA,NA,NA,155,-21.27,"2 17","3460 3485",17,"76.47%","82.35%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042067",0.284015492188432,0.643302497369637,0.998649612991003,141,-21.69,"2 10","2108 2131",8,"87.50%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042318",-0.128661142838914,0.836636635125433,0.998649612991003,154,-25.92,"2 23","10101 10124",21,"61.90%","71.43%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042322",-0.322590673228558,0.596504196686453,0.998649612991003,175,-25.12,"2 22","16645 16667",20,"80.00%","90.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042086",0.832997584008051,0.0798413925712823,0.998649612991003,141,-21.69,"2 10","2108 2131",8,"87.50%","100.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042379",0.57676529636336,0.308676298468677,0.998649612991003,146,-20.16,"2 15","1 24",13,"76.92%","76.92%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042387",-0.0159402970037626,0.97970504303713,0.998649612991003,155,-21.8,"2 21","619 644",21,"61.90%","80.95%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042477",0.299400679246786,0.624565667500359,0.998649612991003,148,-22.22,"2 18","70 97",20,"65.00%","75.00%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042111",-0.326619820995478,0.591651925963452,0.998649612991003,165,-22.46,"2 23","2860 2884",22,"68.18%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042118",0.12222206980973,0.8447703432586,0.998649612991003,165,-22.67,"2 23","20328 20352",22,"68.18%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042598",0.620438509104233,0.264141528949328,0.998649612991003,144,-21.57,"2 13","1806 1829",11,"81.82%","81.82%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042612",0.483562727039408,0.409224773612471,0.998649612991003,164,-20.38,"2 22","6141 6165",21,"66.67%","85.71%","CDS","apul-mir-novel-29"
"Cluster_3367","FUN_042624",0.560082706592644,0.326151531619968,0.998649612991003,144,-21.62,"2 23","24200 24227",25,"56.00%","72.00%","CDS","apul-mir-novel-29"
