"miRNA","mRNA","PCC.cor","p_value","adjusted_p_value","score","energy","query_start_end","subject_start_end","total_bp_shared","query_similar","subject_similar","region"
"Cluster_5981","FUN_022664",0.934912852771139,0.0197374310696097,0.868390424516277,157,-20.81,"2 22","10335 10357",20,"60.00%","80.00%","CDS"
"Cluster_5981","FUN_022050",0.879424024628455,0.049341244239933,0.96546924320845,170,-23.35,"2 22","4744 4766",21,"80.95%","85.71%","CDS"
"Cluster_5981","FUN_022258",0.895067577720333,0.0401552065029005,0.96546924320845,161,-21.92,"2 22","3580 3602",20,"60.00%","85.00%","CDS"
"Cluster_5981","FUN_022499",0.946828122020349,0.014600320202365,0.79724861515255,166,-21.27,"2 22","150 170",20,"75.00%","85.00%","CDS"
"Cluster_5981","FUN_023024",0.956074352702125,0.0109781396037145,0.74275580846583,151,-26.73,"2 22","5376 5397",20,"65.00%","75.00%","CDS"
"Cluster_5981","FUN_022839",0.981579459967742,0.00299284177166417,0.545343267336266,150,-20.21,"2 21","8063 8084",19,"68.42%","73.68%","CDS"
"Cluster_5981","FUN_024708",-0.879877880829694,0.0490663989793278,0.96546924320845,142,-21.37,"2 21","10481 10509",25,"60.00%","68.00%","CDS"
"Cluster_5981","FUN_024769",0.955549922452847,0.0111744359659583,0.747577521623926,150,-20.33,"2 21","25850 25874",21,"66.67%","76.19%","CDS"
"Cluster_5981","FUN_024769",0.955549922452847,0.0111744359659583,0.747577521623926,167,-29.03,"2 22","53888 53909",20,"75.00%","85.00%","CDS"
"Cluster_5981","FUN_024153",0.950161742423658,0.0132557579487246,0.770785411735043,155,-22.81,"2 22","14978 15002",22,"68.18%","77.27%","CDS"
"Cluster_5981","FUN_024228",-0.884493473202008,0.046299075019681,0.96546924320845,146,-20.71,"2 21","8241 8262",19,"63.16%","73.68%","CDS"
"Cluster_5981","FUN_023956",0.923033662974029,0.0253341663176304,0.914225011702335,146,-20.82,"2 22","3415 3437",21,"61.90%","76.19%","CDS"
"Cluster_5981","FUN_025224",0.891164498036544,0.0423906087982425,0.96546924320845,155,-21.21,"2 17","7063 7088",18,"72.22%","83.33%","CDS"
"Cluster_5981","FUN_025656",0.887733020649688,0.0443874142135558,0.96546924320845,167,-21.74,"2 22","1218 1239",20,"80.00%","80.00%","CDS"
"Cluster_5981","FUN_025292",0.910297766174104,0.0318131891191133,0.93104669783006,160,-26.57,"2 22","3140 3163",21,"71.43%","76.19%","CDS"
"Cluster_5981","FUN_026571",0.965113242711184,0.00778106354057356,0.677079544727381,155,-21.79,"2 12","14 36",10,"100.00%","100.00%","CDS"
"Cluster_5981","FUN_026627",0.991290689257751,0.000974409169974284,0.545343267336266,160,-20.82,"2 19","518 539",17,"76.47%","88.24%","CDS"
"Cluster_5981","FUN_026079",0.928412387338556,0.022744237497299,0.904172175158257,171,-29.37,"2 21","2551 2574",20,"80.00%","85.00%","CDS"
"Cluster_5981","FUN_026377",0.955658839443434,0.0111335742799617,0.746681162071692,167,-22.81,"2 21","189 214",22,"72.73%","81.82%","CDS"
"Cluster_5981","FUN_027788",0.965113242711184,0.00778106354057353,0.677079544727381,157,-24.04,"2 22","32784 32806",20,"70.00%","70.00%","CDS"
"Cluster_5981","FUN_027817",0.953921231122844,0.0117912656641819,0.762215955070665,153,-21.73,"2 19","2630 2658",23,"65.22%","73.91%","CDS"
"Cluster_5981","FUN_027960",0.884927834636633,0.0460412777960341,0.96546924320845,153,-20.43,"2 22","73025 73047",20,"55.00%","80.00%","CDS"
"Cluster_5981","FUN_027960",0.884927834636633,0.0460412777960341,0.96546924320845,160,-20.82,"2 17","89065 89087",15,"80.00%","86.67%","CDS"
"Cluster_5981","FUN_028279",0.929859950783501,0.0220627789356135,0.896690416188182,160,-25.06,"2 22","1524 1547",21,"71.43%","76.19%","CDS"
"Cluster_5981","FUN_028690",0.967784561504768,0.00690748719782929,0.67315967836301,166,-20.59,"2 21","2356 2377",19,"73.68%","89.47%","CDS"
"Cluster_5981","FUN_028794",0.937933916745922,0.0183878219524308,0.849525199409499,163,-21.13,"2 21","9567 9590",20,"65.00%","90.00%","CDS"
"Cluster_5981","FUN_030196",0.879201630100335,0.04947609838321,0.96546924320845,165,-20.83,"2 22","8826 8848",20,"70.00%","80.00%","CDS"
"Cluster_5981","FUN_030667",0.898329591949991,0.0383167927955714,0.96546924320845,149,-20.56,"2 22","3716 3735",20,"65.00%","75.00%","CDS"
"Cluster_5981","FUN_031417",0.965113242711184,0.00778106354057356,0.677079544727381,145,-20.17,"2 22","113 135",20,"60.00%","65.00%","CDS"
"Cluster_5981","FUN_031424",0.886871063013224,0.0448935586550803,0.96546924320845,145,-20.17,"2 22","130528 130550",20,"60.00%","65.00%","CDS"
"Cluster_5981","FUN_031424",0.886871063013224,0.0448935586550803,0.96546924320845,158,-20.81,"2 22","33081 33101",20,"70.00%","80.00%","CDS"
"Cluster_5981","FUN_031424",0.886871063013224,0.0448935586550803,0.96546924320845,158,-22.38,"2 22","96132 96152",20,"70.00%","80.00%","CDS"
"Cluster_5981","FUN_031449",0.93273552001588,0.0207291482219227,0.880592982674383,145,-20.17,"2 22","113 135",20,"60.00%","65.00%","CDS"
"Cluster_5981","FUN_032097",0.902600547600874,0.0359517246490309,0.960159483398741,156,-21.17,"2 22","961 986",23,"56.52%","82.61%","CDS"
"Cluster_5981","FUN_032958",0.951909521949308,0.0125679560266562,0.766084851142397,161,-20.74,"2 22","9674 9696",20,"70.00%","75.00%","CDS"
"Cluster_5981","FUN_033183",-0.985327667581106,0.00212874904155623,0.545343267336266,156,-20.68,"2 22","1088 1107",20,"75.00%","80.00%","CDS"
"Cluster_5981","FUN_029674",0.918563685563707,0.027553931172872,0.914225011702335,160,-21.4,"2 22","1516 1542",24,"66.67%","75.00%","CDS"
"Cluster_5981","FUN_033672",0.995013138363149,0.000422425088713486,0.44033483794371,154,-20.28,"2 22","2286 2316",28,"67.86%","71.43%","CDS"
"Cluster_5981","FUN_033678",0.965113242711184,0.00778106354057353,0.677079544727381,154,-26.45,"2 22","5220 5245",23,"65.22%","82.61%","CDS"
"Cluster_5981","FUN_034202",0.878426156837362,0.0499472330215725,0.96546924320845,170,-27.75,"2 15","5678 5700",13,"100.00%","100.00%","CDS"
"Cluster_5981","FUN_034294",0.950105339127745,0.0132781529471988,0.771597215577669,172,-22.45,"2 21","1166 1188",19,"78.95%","84.21%","CDS"
"Cluster_5981","FUN_035796",0.965113242711184,0.00778106354057356,0.677079544727381,161,-27.13,"2 22","2970 2993",23,"73.91%","78.26%","CDS"
"Cluster_5981","FUN_036038",0.984665689137368,0.0022742006830269,0.545343267336266,165,-27.96,"2 20","6062 6086",20,"80.00%","85.00%","CDS"
"Cluster_5981","FUN_036150",0.926560248037755,0.023625867213043,0.911947326397717,156,-26.74,"2 21","15169 15192",21,"76.19%","80.95%","CDS"
"Cluster_5981","FUN_035079",0.980615340927995,0.00323038489537354,0.545343267336266,161,-20.7,"2 20","7244 7269",21,"71.43%","85.71%","CDS"
"Cluster_5981","FUN_035079",0.980615340927995,0.00323038489537354,0.545343267336266,161,-20.7,"2 20","910 935",21,"71.43%","85.71%","CDS"
"Cluster_5981","FUN_035095",0.963035739399869,0.00848367721206561,0.696502663660963,174,-27.2,"2 21","8751 8772",19,"78.95%","94.74%","CDS"
"Cluster_5981","FUN_035105",0.958247490369085,0.0101769809508124,0.721727091045872,164,-27.46,"2 22","8494 8517",21,"66.67%","85.71%","CDS"
"Cluster_5981","FUN_035473",0.915974102653467,0.0288670712117512,0.922979388371587,169,-25.31,"2 19","3204 3227",18,"83.33%","88.89%","CDS"
"Cluster_5981","FUN_037485",0.908289896761208,0.0328770821061636,0.939828402269144,159,-21.41,"2 16","6962 6984",14,"78.57%","92.86%","CDS"
"Cluster_5981","FUN_037707",0.9565920588698,0.0107854803556257,0.736711567227045,145,-20.29,"2 20","408 429",18,"61.11%","77.78%","CDS"
"Cluster_5981","FUN_037741",0.974358027911622,0.00491002256339777,0.589138013376866,166,-21.23,"2 21","16906 16927",19,"73.68%","89.47%","CDS"
"Cluster_5981","FUN_037813",0.925711575804424,0.0240334441512434,0.911947326397717,151,-21.36,"2 21","4831 4856",22,"63.64%","72.73%","CDS"
"Cluster_5981","FUN_036882",0.95460885008334,0.0115295240529403,0.75572727949048,164,-22.08,"2 22","1428 1451",21,"76.19%","76.19%","CDS"
"Cluster_5981","FUN_037112",0.965113242711184,0.00778106354057353,0.677079544727381,157,-20.81,"2 22","1436 1458",20,"60.00%","80.00%","CDS"
"Cluster_5981","FUN_037145",0.97202250554418,0.00559391782324971,0.619082270459024,171,-22.02,"2 22","8239 8263",22,"77.27%","86.36%","CDS"
"Cluster_5981","FUN_037335",0.887410844034941,0.0445763843686113,0.96546924320845,153,-22.09,"2 19","18837 18862",20,"65.00%","80.00%","CDS"
"Cluster_5981","FUN_038797",0.922390991480992,0.0256496021942987,0.914225011702335,151,-21.28,"2 22","1184 1208",22,"68.18%","72.73%","CDS"
"Cluster_5981","FUN_038088",0.948635703744417,0.0138660003857955,0.782187785026157,159,-27.5,"2 21","422 450",25,"64.00%","76.00%","CDS"
"Cluster_5981","FUN_039995",0.953094620177457,0.0121084464142997,0.766084851142397,160,-21.57,"2 21","31 53",19,"68.42%","78.95%","CDS"
"Cluster_5981","FUN_040039",0.973226279932002,0.00523775358950771,0.606419950758444,153,-22.54,"2 22","8791 8811",20,"70.00%","80.00%","CDS"
"Cluster_5981","FUN_040039",0.973226279932002,0.00523775358950771,0.606419950758444,159,-20.25,"2 22","7411 7432",20,"65.00%","85.00%","CDS"
"Cluster_5981","FUN_040276",0.902825128306674,0.0358286986427454,0.959484710333367,170,-21.36,"2 22","767 787",20,"75.00%","90.00%","CDS"
"Cluster_5981","FUN_040956",0.928943936512667,0.0224932255220679,0.901498317564651,149,-25.36,"2 21","7927 7952",22,"72.73%","72.73%","CDS"
"Cluster_5981","FUN_041499",0.902838861624635,0.035821179861327,0.959484710333367,170,-24.78,"2 20","3287 3310",19,"73.68%","94.74%","CDS"
"Cluster_5981","FUN_042928",0.926232015220647,0.0237832347474868,0.911947326397717,148,-20.08,"2 22","216 241",23,"60.87%","69.57%","CDS"
"Cluster_5981","FUN_043133",0.940321498564396,0.0173434047606185,0.847898695599974,162,-22.12,"2 19","6878 6900",17,"64.71%","94.12%","CDS"
"Cluster_5981","FUN_043337",0.97058247487493,0.00603000054050594,0.640323652828966,153,-20.43,"2 18","1153 1175",16,"75.00%","75.00%","CDS"
"Cluster_5981","FUN_043338",0.990358932606363,0.00113472984898743,0.545343267336266,153,-20.43,"2 18","1157 1179",16,"75.00%","75.00%","CDS"
"Cluster_10051","FUN_002872",0.978580789954302,0.00375092828341026,0.545343267336266,158,-24.78,"2 16","784 806",15,"80.00%","93.33%","5UTR"
"Cluster_10051","FUN_005888",0.975440230656255,0.00460324260998972,0.573023665500183,170,-22.02,"2 19","878 899",17,"82.35%","88.24%","5UTR"
"Cluster_10051","FUN_013794",0.903585602802314,0.035413110706321,0.956725250647607,164,-21.3,"2 17","33 54",15,"86.67%","86.67%","5UTR"
"Cluster_10051","FUN_012231",0.978580789954302,0.00375092828341026,0.545343267336266,167,-22.01,"2 16","569 590",14,"92.86%","92.86%","5UTR"
"Cluster_10051","FUN_014646",0.899802336682014,0.037495826415247,0.96546924320845,159,-21.97,"2 20","216 237",18,"66.67%","83.33%","5UTR"
"Cluster_10051","FUN_017308",0.978580789954302,0.00375092828341026,0.545343267336266,151,-22.16,"2 20","659 678",18,"66.67%","88.89%","5UTR"
"Cluster_10051","FUN_017738",0.978580789954302,0.00375092828341026,0.545343267336266,146,-20.02,"2 16","854 878",17,"70.59%","76.47%","5UTR"
"Cluster_10051","FUN_019112",0.979114430567039,0.0036119195946308,0.545343267336266,170,-25.68,"2 19","519 540",17,"82.35%","88.24%","5UTR"
"Cluster_10051","FUN_019740",0.978580789954302,0.00375092828341026,0.545343267336266,171,-20.94,"2 21","67 89",20,"80.00%","85.00%","5UTR"
"Cluster_10051","FUN_030640",0.978580789954303,0.00375092828341024,0.545343267336266,162,-22.68,"2 21","302 322",19,"73.68%","84.21%","5UTR"
"Cluster_10051","FUN_029532",0.968136791844896,0.00679487480367087,0.667454393045194,159,-21.06,"2 21","946 968",20,"70.00%","80.00%","5UTR"
"Cluster_10051","FUN_033563",0.978580789954302,0.00375092828341026,0.545343267336266,159,-22.99,"2 17","689 711",16,"75.00%","93.75%","5UTR"
"Cluster_10051","FUN_036244",0.980509833063189,0.00325674264532644,0.545343267336266,157,-21.17,"2 20","771 794",20,"70.00%","85.00%","5UTR"
"Cluster_10057","FUN_024362",0.983704319957624,0.00249102547745375,0.545343267336266,164,-20.73,"2 20","575 596",19,"78.95%","89.47%","5UTR"
"Cluster_10057","FUN_035417",0.884722085197537,0.046163335012198,0.96546924320845,156,-21.19,"2 13","268 289",11,"90.91%","100.00%","5UTR"
"Cluster_10093","FUN_006456",0.928447011696591,0.0227278595234464,0.904021035431481,154,-21.36,"2 21","528 548",19,"68.42%","78.95%","5UTR"
"Cluster_10093","FUN_010707",0.892751132168712,0.041477256713115,0.96546924320845,149,-20.51,"2 14","382 403",12,"75.00%","91.67%","5UTR"
"Cluster_10093","FUN_015320",0.990124283214322,0.00117636584354297,0.545343267336266,147,-21.87,"2 21","100 119",20,"70.00%","75.00%","5UTR"
"Cluster_10093","FUN_032116",-0.962500896072895,0.00866776567874218,0.701026172436446,154,-20.8,"2 20","730 752",19,"68.42%","78.95%","5UTR"
"Cluster_10093","FUN_032874",0.901129420235437,0.0367609344026072,0.96546924320845,163,-21.75,"2 21","526 548",20,"70.00%","85.00%","5UTR"
"Cluster_10093","FUN_037990",0.991800922004026,0.000890115863624296,0.545343267336266,166,-23.49,"2 20","274 296",19,"78.95%","84.21%","5UTR"
"Cluster_10093","FUN_041598",0.915451449572149,0.0291344762077156,0.922979388371587,169,-23.93,"2 21","774 795",20,"85.00%","85.00%","5UTR"
"Cluster_10207","FUN_030159",0.893413587826374,0.0410977878251093,0.96546924320845,142,-20.36,"2 16","656 677",15,"66.67%","80.00%","5UTR"
"Cluster_10207","FUN_034021",0.918193043423924,0.0277406699850505,0.914900007935317,161,-20.26,"2 20","235 254",18,"77.78%","83.33%","5UTR"
"Cluster_10207","FUN_042591",-0.954152437823369,0.0117030426780483,0.759916928545811,171,-24.34,"2 20","737 757",18,"77.78%","88.89%","5UTR"
"Cluster_10228","FUN_002026",-0.885378883105539,0.0457740597738842,0.96546924320845,147,-27.62,"2 12","237 259",10,"80.00%","100.00%","5UTR"
"Cluster_10228","FUN_002026",-0.885378883105539,0.0457740597738842,0.96546924320845,152,-25.82,"2 22","526 552",24,"58.33%","75.00%","5UTR"
"Cluster_10228","FUN_018169",-0.889514169260039,0.0433473065865901,0.96546924320845,165,-26.02,"2 19","207 231",19,"73.68%","89.47%","5UTR"
"Cluster_10228","FUN_030683",-0.988202091483297,0.00153557606807972,0.545343267336266,170,-21.83,"2 21","551 572",19,"78.95%","89.47%","5UTR"
"Cluster_10228","FUN_029474",-0.950645048666533,0.013064367497557,0.766084851142397,174,-20.91,"2 19","48 70",17,"82.35%","94.12%","5UTR"
"Cluster_10228","FUN_031815",-0.977450830640782,0.00405093488772304,0.545343267336266,161,-21.27,"2 20","92 117",21,"71.43%","85.71%","5UTR"
"Cluster_10228","FUN_037980",0.968508361637883,0.00667674134013123,0.662789650416528,169,-20.11,"2 20","113 134",18,"83.33%","88.89%","5UTR"
"Cluster_14402","FUN_009122",-0.954974369367124,0.0113911738316824,0.752792235435323,161,-21.64,"2 20","654 674",18,"72.22%","88.89%","5UTR"
"Cluster_14402","FUN_017789",0.903122184764586,0.0356661773416147,0.958195435059598,165,-22.69,"2 19","50 73",19,"78.95%","84.21%","5UTR"
"Cluster_14402","FUN_019383",0.901807784146309,0.0363870782623584,0.963832259583182,159,-20.5,"2 18","912 936",19,"78.95%","84.21%","5UTR"
"Cluster_14402","FUN_023189",0.879463808327435,0.0493171327232855,0.96546924320845,149,-20.65,"2 18","626 647",16,"62.50%","81.25%","5UTR"
"Cluster_14402","FUN_043171",0.921522408136099,0.0260779145687828,0.914225011702335,151,-24.46,"2 12","896 917",10,"90.00%","100.00%","5UTR"
"Cluster_14768","FUN_000986",-0.929121789411926,0.022409439901032,0.900427216179216,152,-21.26,"2 20","351 371",19,"68.42%","84.21%","5UTR"
"Cluster_14768","FUN_022517",-0.941148030239523,0.0169865004558739,0.842953187657651,155,-23.31,"2 19","169 187",17,"76.47%","82.35%","5UTR"
"Cluster_14768","FUN_035716",-0.917663035444005,0.0280084054360998,0.916806405952893,165,-24.68,"2 19","223 246",20,"80.00%","80.00%","5UTR"
"Cluster_14768","FUN_035415",-0.929909044385258,0.0220397852973099,0.896261693530006,152,-21.38,"2 19","157 176",17,"70.59%","82.35%","5UTR"
"Cluster_14768","FUN_043121",-0.917000522106645,0.0283442376557766,0.920013072186525,150,-20.88,"2 20","823 844",19,"63.16%","78.95%","5UTR"
"Cluster_14768","FUN_043121",-0.917000522106645,0.0283442376557766,0.920013072186525,164,-22.66,"2 19","745 764",17,"82.35%","88.24%","5UTR"
"Cluster_15316","FUN_005028",0.985695516985737,0.00204931187222586,0.545343267336266,168,-20.03,"2 20","546 565",18,"83.33%","88.89%","5UTR"
"Cluster_15316","FUN_008279",0.883606398047991,0.0468269753542899,0.96546924320845,175,-27.31,"2 16","359 380",14,"100.00%","100.00%","5UTR"
"Cluster_15340","FUN_011865",0.921275501945091,0.0262000846844241,0.914225011702335,151,-21.37,"2 21","135 153",19,"73.68%","78.95%","5UTR"
"Cluster_15340","FUN_022511",0.922178612085259,0.0257541185620995,0.914225011702335,148,-21.32,"2 21","583 604",19,"57.89%","73.68%","5UTR"
"Cluster_15340","FUN_023433",0.879773204652041,0.049129745509065,0.96546924320845,160,-23.1,"2 21","854 875",19,"63.16%","84.21%","5UTR"
"Cluster_15340","FUN_024224",0.913473818189628,0.0301534293393269,0.922979388371587,154,-25.27,"2 21","136 160",22,"68.18%","77.27%","5UTR"
"Cluster_15340","FUN_026100",0.925788346856845,0.0239964821141433,0.911947326397717,161,-24.63,"2 14","173 194",12,"91.67%","100.00%","5UTR"
"Cluster_15340","FUN_028293",0.954222431382237,0.011676377554649,0.759172107640437,157,-21.26,"2 19","473 495",18,"72.22%","83.33%","5UTR"
"Cluster_15340","FUN_032410",-0.905311242381801,0.0344758463038359,0.952057835755528,147,-20.78,"2 21","27 49",20,"65.00%","70.00%","5UTR"
"Cluster_15340","FUN_037471",0.897063379058159,0.0390271466367842,0.96546924320845,146,-22.08,"2 21","489 516",25,"64.00%","68.00%","5UTR"
"Cluster_15340","FUN_038750",-0.898668651050657,0.038127285659156,0.96546924320845,150,-21.94,"2 21","433 453",19,"57.89%","84.21%","5UTR"
"Cluster_15340","FUN_043835",0.880811917824429,0.0485022961850197,0.96546924320845,158,-23.64,"2 21","486 506",19,"68.42%","84.21%","5UTR"
"Cluster_15775","FUN_001878",0.893752155972552,0.0409042775240543,0.96546924320845,158,-20.08,"2 21","402 423",19,"73.68%","78.95%","5UTR"
"Cluster_15775","FUN_002331",0.919819996720493,0.026924000221094,0.914225011702335,166,-22.31,"2 19","412 434",17,"76.47%","88.24%","5UTR"
"Cluster_15775","FUN_016314",-0.886110970114772,0.0453413947079984,0.96546924320845,173,-21.22,"2 22","164 186",20,"70.00%","90.00%","5UTR"
"Cluster_15775","FUN_022839",0.972583450066019,0.00542698894448382,0.612000171402776,162,-20.28,"2 22","581 603",21,"76.19%","80.95%","5UTR"
"Cluster_15775","FUN_025088",0.912942715207845,0.0304289847724394,0.922979388371587,160,-20.37,"2 22","501 527",24,"66.67%","75.00%","5UTR"
"Cluster_15775","FUN_027835",0.904511108509073,0.0349094315800937,0.954386929517051,173,-21.77,"2 21","338 358",19,"84.21%","89.47%","5UTR"
"Cluster_15851","FUN_034871",0.996195843521753,0.000281496787393539,0.393371538720933,172,-20.38,"2 19","102 122",17,"88.24%","94.12%","5UTR"
"Cluster_15851","FUN_037391",-0.988727398207883,0.00143428150455372,0.545343267336266,168,-22.69,"2 17","190 211",15,"86.67%","93.33%","5UTR"
"Cluster_15928","FUN_006629",-0.878630142921865,0.0498231657239395,0.96546924320845,158,-21.18,"2 21","793 813",19,"73.68%","78.95%","5UTR"
"Cluster_15928","FUN_008372",0.944128917597335,0.0157195807995206,0.821036963071237,152,-20.06,"2 21","102 121",19,"73.68%","78.95%","5UTR"
"Cluster_15928","FUN_008411",-0.900690623244978,0.0370034107087467,0.96546924320845,170,-23.47,"2 19","206 227",17,"76.47%","94.12%","5UTR"
"Cluster_15928","FUN_041920",0.888825447744244,0.0437485594212139,0.96546924320845,165,-20.27,"2 20","757 777",18,"77.78%","88.89%","5UTR"
"Cluster_15928","FUN_043408",0.977425520099707,0.00405774179929633,0.545343267336266,159,-21.71,"2 21","121 145",22,"68.18%","77.27%","5UTR"
"Cluster_16409","FUN_013124",0.912436100242777,0.0306925837127653,0.922979388371587,160,-20.82,"2 19","951 971",17,"76.47%","88.24%","5UTR"
"Cluster_16409","FUN_018444",0.935763093978555,0.0193544701143097,0.863699988344656,153,-20.31,"2 15","594 618",16,"81.25%","81.25%","5UTR"
"Cluster_16409","FUN_027930",0.98912080775762,0.00135993718260344,0.545343267336266,145,-20.26,"2 10","547 568",8,"100.00%","100.00%","5UTR"
"Cluster_16409","FUN_033863",0.967584162713844,0.00697182839234275,0.676513092945617,152,-21.91,"2 21","329 353",23,"73.91%","73.91%","5UTR"
"Cluster_16409","FUN_035116",0.902719398436538,0.0358866010081216,0.959768963525579,146,-20.93,"2 21","364 380",19,"68.42%","73.68%","5UTR"
"Cluster_17776","FUN_000184",0.897253176149742,0.0389204044470113,0.96546924320845,148,-20.03,"2 18","31 54",18,"66.67%","77.78%","5UTR"
"Cluster_17776","FUN_023553",0.957269444465421,0.010535090758066,0.73083869091251,154,-26.81,"2 20","509 534",22,"63.64%","77.27%","5UTR"
"Cluster_17776","FUN_035317",-0.957294860643612,0.0105257334320294,0.73061254835487,149,-20.77,"2 18","605 626",16,"68.75%","75.00%","5UTR"
"Cluster_17776","FUN_035440",0.892683445141408,0.041516091712506,0.96546924320845,157,-22.84,"2 16","207 227",14,"85.71%","92.86%","5UTR"
"Cluster_17791","FUN_030872",-0.944219184802847,0.0156817168657736,0.820295977817067,176,-21.22,"2 17","153 175",15,"93.33%","100.00%","5UTR"
"Cluster_1832","FUN_016068",0.96485020628797,0.00786891568763237,0.680396051502148,154,-20.04,"2 15","481 501",13,"84.62%","84.62%","5UTR"
"Cluster_1832","FUN_016821",0.981910124932261,0.0029127636202486,0.545343267336266,168,-20.54,"2 18","735 756",17,"88.24%","88.24%","5UTR"
"Cluster_1832","FUN_033585",-0.88453486910942,0.0462744865456844,0.96546924320845,152,-20.08,"2 20","208 226",18,"66.67%","83.33%","5UTR"
"Cluster_1862","FUN_001233",0.898295476774277,0.0383358770544879,0.96546924320845,169,-22.42,"2 23","920 946",24,"70.83%","79.17%","5UTR"
"Cluster_1862","FUN_014227",0.995693532787135,0.000339027428145737,0.393371538720933,164,-22.03,"2 22","178 204",23,"69.57%","78.26%","5UTR"
"Cluster_1862","FUN_012126",0.878814678046624,0.0497110127650945,0.96546924320845,173,-22.66,"2 23","938 962",22,"68.18%","90.91%","5UTR"
"Cluster_1862","FUN_012173",-0.910012880439029,0.0319634553139649,0.932393772247041,164,-20.3,"2 17","346 369",15,"86.67%","86.67%","5UTR"
"Cluster_1862","FUN_016167",0.96750605897572,0.00699695792002868,0.677079544727381,163,-20.83,"2 22","560 587",24,"70.83%","79.17%","5UTR"
"Cluster_1862","FUN_016637",0.995693532787135,0.00033902742814575,0.393371538720933,169,-22.03,"2 23","851 876",23,"69.57%","82.61%","5UTR"
"Cluster_1862","FUN_018043",0.936136322157182,0.0191871331167439,0.861950469888775,165,-20.11,"2 23","927 952",23,"65.22%","82.61%","5UTR"
"Cluster_1862","FUN_022581",0.92395971583007,0.0248818617082108,0.912822926973849,167,-24.32,"2 23","855 876",21,"71.43%","85.71%","5UTR"
"Cluster_1862","FUN_022391",0.922380187264625,0.0256549158672964,0.914225011702335,167,-20.65,"2 23","645 666",21,"71.43%","85.71%","5UTR"
"Cluster_1862","FUN_022937",0.951076112208233,0.0128944339306306,0.766084851142397,155,-21.89,"2 23","608 629",21,"66.67%","76.19%","5UTR"
"Cluster_1862","FUN_026040",0.952093638093998,0.0124962004805119,0.766084851142397,161,-20.47,"2 23","9 37",26,"65.38%","73.08%","5UTR"
"Cluster_1862","FUN_026315",0.98245002974185,0.00278356807242566,0.545343267336266,181,-23.66,"2 22","446 469",20,"80.00%","90.00%","5UTR"
"Cluster_1862","FUN_030737",0.995693532787135,0.000339027428145737,0.393371538720933,172,-20.6,"2 23","639 661",21,"76.19%","85.71%","5UTR"
"Cluster_1862","FUN_029348",0.950505266748552,0.0131196280301583,0.76745570621638,164,-20.17,"2 22","130 157",24,"66.67%","79.17%","5UTR"
"Cluster_1862","FUN_043836",0.995693532787135,0.000339027428145737,0.393371538720933,160,-22.83,"2 23","412 439",25,"68.00%","76.00%","5UTR"
"Cluster_18711","FUN_005826",-0.88452963751877,0.0462775937943219,0.96546924320845,168,-23.35,"2 18","762 784",17,"82.35%","94.12%","5UTR"
"Cluster_18711","FUN_019230",-0.908117042394474,0.0329691940464037,0.940690786563937,177,-26.05,"2 20","540 560",18,"88.89%","94.44%","5UTR"
"Cluster_18728","FUN_007701",-0.897784854730202,0.0386218841529867,0.96546924320845,145,-28.19,"2 21","62 83",20,"60.00%","80.00%","5UTR"
"Cluster_18728","FUN_010741",-0.928749846346032,0.0225847757505085,0.902515817096797,150,-20.1,"2 11","293 314",9,"100.00%","100.00%","5UTR"
"Cluster_18728","FUN_017021",-0.958719638413883,0.0100055624471572,0.717681557663573,143,-20.62,"2 16","232 253",14,"71.43%","71.43%","5UTR"
"Cluster_18728","FUN_016425",-0.967850986195505,0.00688620384128789,0.671934042973242,164,-25.36,"2 21","921 942",19,"73.68%","78.95%","5UTR"
"Cluster_18728","FUN_017885",-0.934884936175764,0.0197500463204307,0.868390424516277,159,-23.35,"2 16","333 354",14,"78.57%","92.86%","5UTR"
"Cluster_18728","FUN_029615",-0.88370295079068,0.0467694247559159,0.96546924320845,157,-25.45,"2 16","320 340",14,"85.71%","92.86%","5UTR"
"Cluster_18728","FUN_033011",-0.911518208949021,0.0311720299140362,0.926756751493261,144,-24.47,"2 13","741 762",11,"81.82%","81.82%","5UTR"
"Cluster_18728","FUN_034722",0.974490273161988,0.00487218481034386,0.587382771629292,143,-22.65,"2 12","390 411",10,"80.00%","90.00%","5UTR"
"Cluster_18728","FUN_040391",-0.958719638413883,0.0100055624471572,0.717681557663573,146,-22.44,"2 16","76 99",16,"75.00%","75.00%","5UTR"
"Cluster_18772","FUN_023579",-0.881853466248801,0.0478757003016259,0.96546924320845,162,-22.93,"2 20","641 669",24,"70.83%","75.00%","5UTR"
"Cluster_19193","FUN_010170",0.919289861326711,0.027189244910435,0.914225011702335,159,-24.74,"2 21","373 395",20,"75.00%","75.00%","5UTR"
"Cluster_19193","FUN_011318",0.919289861326711,0.027189244910435,0.914225011702335,165,-25.47,"2 20","85 105",18,"77.78%","88.89%","5UTR"
"Cluster_19193","FUN_023321",0.891865806026842,0.041986118463237,0.96546924320845,163,-20.64,"2 21","916 940",22,"72.73%","77.27%","5UTR"
"Cluster_19193","FUN_034909",-0.948321220714399,0.0139928675900693,0.784428480424554,157,-24.46,"2 20","321 344",20,"75.00%","80.00%","5UTR"
"Cluster_19193","FUN_040174",0.919289861326711,0.027189244910435,0.914225011702335,147,-21.11,"2 18","450 470",16,"68.75%","81.25%","5UTR"
