# Program:featureCounts v2.0.5; Command:"/home/shared/subread-2.0.5-Linux-x86_64/bin/featureCounts" "-T" "24" "-M" "-O" "--fraction" "-a" "../output/01.6-Ptuh-lncRNA-pipeline/Ptuh_lncRNA_for_fc.gtf" "-o" "/home/shared/8TB_HDD_02/zbengt/github/deep-dive-expression/M-multi-species/output/01.6-lncRNA-pipeline/Ptuh-lncRNA-counts.txt" "-t" "lncRNA" "-g" "gene_id" "-p" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam" "../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-47-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-48-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-50-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-53-S1-TP2.sorted.bam	../output/01.6-Ptuh-lncRNA-pipeline/RNA-POC-57-S1-TP2.sorted.bam
lncRNA_6971	Pocillopora_meandrina_HIv1___Sc0000009	10569372	10569637	+	266	9	5.50	2.50	0	31.17
lncRNA_6972	Pocillopora_meandrina_HIv1___Sc0000009	10575344	10576338	+	995	421.67	10	1	66	119.92
lncRNA_6973	Pocillopora_meandrina_HIv1___Sc0000009	10693847	10694143	+	297	18	27	8.70	28.08	1
lncRNA_6974	Pocillopora_meandrina_HIv1___Sc0000009	10695674	10696346	+	673	57.33	52.59	79.79	110.07	12.70
lncRNA_6975	Pocillopora_meandrina_HIv1___Sc0000009	10716752	10717776	+	1025	19.41	39.21	34.31	131.46	36.38
lncRNA_6976	Pocillopora_meandrina_HIv1___Sc0000009	10852546	10852858	+	313	0	0	31	11	0
lncRNA_6977	Pocillopora_meandrina_HIv1___Sc0000009	10858960	10859242	+	283	0	0	2	23.83	0
lncRNA_6978	Pocillopora_meandrina_HIv1___Sc0000009	10878773	10878989	+	217	0	5	0	0	13
lncRNA_6979	Pocillopora_meandrina_HIv1___Sc0000009	10902726	10903415	+	690	9.50	13.50	0	11.67	39
lncRNA_6980	Pocillopora_meandrina_HIv1___Sc0000009	10920887	10921544	+	658	15.08	24.09	21.11	48.91	96.31
lncRNA_6981	Pocillopora_meandrina_HIv1___Sc0000009	10961813	10962134	+	322	0	0	0	0	17
lncRNA_6982	Pocillopora_meandrina_HIv1___Sc0000009	10963329	10965106	+	1778	168.13	61.77	95.18	29.31	110.50
lncRNA_6983	Pocillopora_meandrina_HIv1___Sc0000009	10983231	10983722	+	492	0	0	13	36.25	0
lncRNA_6984	Pocillopora_meandrina_HIv1___Sc0000009	11017829	11019719	+	1891	34.75	0	17.00	274.58	246.33
lncRNA_6985	Pocillopora_meandrina_HIv1___Sc0000009	11131404	11131613	+	210	15.02	1.80	22.80	11.49	30.12
lncRNA_6986	Pocillopora_meandrina_HIv1___Sc0000009	11174510	11174885	+	376	119	0	9	2	10.50
lncRNA_6987	Pocillopora_meandrina_HIv1___Sc0000009	11180981	11181277	+	297	2	3	6.83	21.50	0.50
lncRNA_6988	Pocillopora_meandrina_HIv1___Sc0000009	11228163	11228402	+	240	0	4.33	2.77	22.50	0
lncRNA_6989	Pocillopora_meandrina_HIv1___Sc0000009	11291608	11292187	+	580	0.75	12.00	46.73	20.94	0
lncRNA_6990	Pocillopora_meandrina_HIv1___Sc0000009	11295177	11295908	+	732	47.33	112.87	143.69	131.83	76.09
lncRNA_6991	Pocillopora_meandrina_HIv1___Sc0000009	11331536	11332219	+	684	6	5	14.83	35.50	52
lncRNA_6992	Pocillopora_meandrina_HIv1___Sc0000009	11346501	11346992	+	492	2.75	19	5.50	10.83	32.50
lncRNA_6993	Pocillopora_meandrina_HIv1___Sc0000009	11446587	11446852	+	266	0	0	0	21	0
lncRNA_6994	Pocillopora_meandrina_HIv1___Sc0000009	11586544	11586752	+	209	9.12	1.90	21.82	6.57	11.52
lncRNA_6995	Pocillopora_meandrina_HIv1___Sc0000009	11655562	11656025	+	464	0	11.33	51.33	20.75	0
lncRNA_6996	Pocillopora_meandrina_HIv1___Sc0000009	11664059	11664572	+	514	1.50	4.16	3.85	35.88	3.60
lncRNA_6997	Pocillopora_meandrina_HIv1___Sc0000009	11681727	11682051	+	325	8	0	3	0	27
lncRNA_6998	Pocillopora_meandrina_HIv1___Sc0000009	11722676	11722967	+	292	1	8	25.50	16	0
lncRNA_6999	Pocillopora_meandrina_HIv1___Sc0000009	11736573	11736830	+	258	10	10	23.50	0	27.75
lncRNA_7000	Pocillopora_meandrina_HIv1___Sc0000009	11777693	11777947	+	255	1.43	0.50	7.00	3.78	77.01
lncRNA_7001	Pocillopora_meandrina_HIv1___Sc0000009	11781751	11781952	+	202	0	16	0	0	0
lncRNA_7002	Pocillopora_meandrina_HIv1___Sc0000009	11793727	11794095	+	369	31	23	32.67	5.50	11.67
lncRNA_7003	Pocillopora_meandrina_HIv1___Sc0000009	11908867	11909158	+	292	5.10	28	26.30	17.30	31.70
lncRNA_7004	Pocillopora_meandrina_HIv1___Sc0000009	11911671	11912003	+	333	0	8	0	24.50	0
lncRNA_7005	Pocillopora_meandrina_HIv1___Sc0000009	11915314	11915640	+	327	12.87	28.99	26.71	19.31	8.36
lncRNA_7006	Pocillopora_meandrina_HIv1___Sc0000009	11919629	11919995	+	367	0	15.50	8	64	0
lncRNA_7007	Pocillopora_meandrina_HIv1___Sc0000009	11929302	11929659	+	358	0	1	5	33	0
lncRNA_7008	Pocillopora_meandrina_HIv1___Sc0000010	11876	13765	+	1890	235	264	226	377	401
lncRNA_7009	Pocillopora_meandrina_HIv1___Sc0000010	204186	205104	+	919	486.50	251.00	267.50	396.00	293.50
lncRNA_7010	Pocillopora_meandrina_HIv1___Sc0000010	204186	205104	+	919	486.50	251.00	267.50	396.00	293.50
lncRNA_7011	Pocillopora_meandrina_HIv1___Sc0000010	239791	241251	+	1461	558	1472	2273	1361	722
lncRNA_7012	Pocillopora_meandrina_HIv1___Sc0000010	271009	278823	+	7815	67	32	42	168	44
lncRNA_7013	Pocillopora_meandrina_HIv1___Sc0000010	482795	483026	+	232	43	11	9	17	17
lncRNA_7014	Pocillopora_meandrina_HIv1___Sc0000010	971902	974493	+	2592	807	1371	922	932	937
lncRNA_7015	Pocillopora_meandrina_HIv1___Sc0000010	1172266	1173831	+	1566	27650	46023	36047	54544	29225
lncRNA_7016	Pocillopora_meandrina_HIv1___Sc0000010	1849854	1850774	+	921	258.33	327.08	621.12	223.57	197.17
lncRNA_7017	Pocillopora_meandrina_HIv1___Sc0000010	2344948	2345392	+	445	9	0	2	6	37
lncRNA_7018	Pocillopora_meandrina_HIv1___Sc0000010	2497095	2501158	+	4064	80.33	315.33	146.05	105.50	34.50
lncRNA_7019	Pocillopora_meandrina_HIv1___Sc0000010	2507871	2508286	+	416	5.72	2.40	29.90	0.10	1.00
lncRNA_7020	Pocillopora_meandrina_HIv1___Sc0000010	2790623	2790906	+	284	0	0	7	45	0
lncRNA_7021	Pocillopora_meandrina_HIv1___Sc0000010	2905466	2927182	+	21717	338.50	101.92	596.67	233	81.25
lncRNA_7022	Pocillopora_meandrina_HIv1___Sc0000010	2915903	2927182	+	11280	267.33	86.58	456.33	182.50	73.25
lncRNA_7023	Pocillopora_meandrina_HIv1___Sc0000010	3008447	3009296	+	850	5	13.08	45.69	58.08	25.33
lncRNA_7024	Pocillopora_meandrina_HIv1___Sc0000010	3165513	3172378	+	6866	288.00	112	248.00	95.00	45.00
lncRNA_7025	Pocillopora_meandrina_HIv1___Sc0000010	3176899	3179366	+	2468	82.33	3.00	42.67	130.66	2.00
lncRNA_7026	Pocillopora_meandrina_HIv1___Sc0000010	3176899	3180648	+	3750	212.33	56.00	120.67	185.66	22.00
lncRNA_7027	Pocillopora_meandrina_HIv1___Sc0000010	3176917	3179366	+	2450	82.33	3.00	42.67	130.66	2.00
lncRNA_7028	Pocillopora_meandrina_HIv1___Sc0000010	3237395	3237924	+	530	0	20.50	5.50	0	13.25
lncRNA_7029	Pocillopora_meandrina_HIv1___Sc0000010	3305624	3306103	+	480	0	4	0	34	0
lncRNA_7030	Pocillopora_meandrina_HIv1___Sc0000010	3554715	3555772	+	1058	31	19	70	33	10
lncRNA_7031	Pocillopora_meandrina_HIv1___Sc0000010	3589271	3591172	+	1902	94	32.50	124.50	55.50	75.50
lncRNA_7032	Pocillopora_meandrina_HIv1___Sc0000010	3589275	3593093	+	3819	398	218.50	760.50	246	244.50
lncRNA_7033	Pocillopora_meandrina_HIv1___Sc0000010	3610536	3612500	+	1965	51.50	156.50	25	199.33	59
lncRNA_7034	Pocillopora_meandrina_HIv1___Sc0000010	3610563	3612500	+	1938	51.50	156.50	25	199.33	59
lncRNA_7035	Pocillopora_meandrina_HIv1___Sc0000010	3635398	3636896	+	1499	3902	312	16.10	4665.60	2598
lncRNA_7036	Pocillopora_meandrina_HIv1___Sc0000010	3701919	3703434	+	1516	491	34	50	313.50	310.75
lncRNA_7037	Pocillopora_meandrina_HIv1___Sc0000010	3705149	3706177	+	1029	210	12	67	387	1010
lncRNA_7038	Pocillopora_meandrina_HIv1___Sc0000010	3753395	3755869	+	2475	2	408	0	1089	3
lncRNA_7039	Pocillopora_meandrina_HIv1___Sc0000010	3794242	3794940	+	699	0	8.50	0.50	189.17	2
lncRNA_7040	Pocillopora_meandrina_HIv1___Sc0000010	3896074	3899796	+	3723	35.50	15.50	52	77.33	0
lncRNA_7041	Pocillopora_meandrina_HIv1___Sc0000010	3909568	3913227	+	3660	228.50	78	129.83	112.50	325.08
lncRNA_7042	Pocillopora_meandrina_HIv1___Sc0000010	3910015	3913227	+	3213	166.50	7	103.50	96.50	257.58
lncRNA_7043	Pocillopora_meandrina_HIv1___Sc0000010	4018090	4021124	+	3035	15.00	45.50	603	350.00	344.17
lncRNA_7044	Pocillopora_meandrina_HIv1___Sc0000010	4037827	4039848	+	2022	11	24.50	10.00	28	30
lncRNA_7045	Pocillopora_meandrina_HIv1___Sc0000010	4070826	4072167	+	1342	0	113	0	24	21
lncRNA_7046	Pocillopora_meandrina_HIv1___Sc0000010	4129851	4130708	+	858	30.79	52.10	13.73	7.52	10.19
lncRNA_7047	Pocillopora_meandrina_HIv1___Sc0000010	4130936	4133306	+	2371	29.88	5.27	18.17	1.10	2.81
lncRNA_7048	Pocillopora_meandrina_HIv1___Sc0000010	4185924	4188541	+	2618	42.30	293.00	18.33	176.85	152.17
lncRNA_7049	Pocillopora_meandrina_HIv1___Sc0000010	4204201	4206148	+	1948	67.25	10.00	16.00	72.50	5
lncRNA_7050	Pocillopora_meandrina_HIv1___Sc0000010	4282015	4282516	+	502	66.50	0.50	25.13	3.50	6.17
lncRNA_7051	Pocillopora_meandrina_HIv1___Sc0000010	4393572	4396661	+	3090	67.71	499	50.33	239.25	110.50
lncRNA_7052	Pocillopora_meandrina_HIv1___Sc0000010	4346748	4347852	+	1105	105.67	19.50	59.07	3.50	6.17
lncRNA_7053	Pocillopora_meandrina_HIv1___Sc0000010	4411490	4413773	+	2284	13.50	26.00	20.00	200.00	9.50
lncRNA_7054	Pocillopora_meandrina_HIv1___Sc0000010	4441072	4442408	+	1337	43	45	19	2	43
lncRNA_7055	Pocillopora_meandrina_HIv1___Sc0000010	4493331	4496236	+	2906	84.27	180.62	219.33	268.35	293.97
lncRNA_7056	Pocillopora_meandrina_HIv1___Sc0000010	4496503	4498177	+	1675	155	303	418	346	42
lncRNA_7057	Pocillopora_meandrina_HIv1___Sc0000010	4539566	4541042	+	1477	204.99	38.11	199.75	78.85	30.66
lncRNA_7058	Pocillopora_meandrina_HIv1___Sc0000010	4546294	4552532	+	6239	135.67	39	88.70	210.50	115.50
lncRNA_7059	Pocillopora_meandrina_HIv1___Sc0000010	4598542	4598925	+	384	8	16	42	17	25
lncRNA_7060	Pocillopora_meandrina_HIv1___Sc0000010	4627711	4629334	+	1624	261.21	47.04	188.34	69.69	48.40
lncRNA_7061	Pocillopora_meandrina_HIv1___Sc0000010	4634438	4640743	+	6306	124.17	21.50	31.45	188.30	104
lncRNA_7062	Pocillopora_meandrina_HIv1___Sc0000010	4639397	4640743	+	1347	90.17	21.50	31.25	46.30	73.50
lncRNA_7063	Pocillopora_meandrina_HIv1___Sc0000010	4989267	4993470	+	4204	7421	6760	8391.17	6173.50	4241.50
lncRNA_7064	Pocillopora_meandrina_HIv1___Sc0000010	4989951	4993470	+	3520	3772	3980	4895.50	4081.50	1503.50
lncRNA_7065	Pocillopora_meandrina_HIv1___Sc0000010	5103060	5107296	+	4237	218	209	205	304	181
lncRNA_7066	Pocillopora_meandrina_HIv1___Sc0000010	5276521	5276933	+	413	44.63	22.63	3.33	12.48	16.20
lncRNA_7067	Pocillopora_meandrina_HIv1___Sc0000010	5464857	5465554	+	698	24.17	42.50	31.83	98.00	38.17
lncRNA_7068	Pocillopora_meandrina_HIv1___Sc0000010	5467621	5469216	+	1596	0	117	1	109	195
lncRNA_7069	Pocillopora_meandrina_HIv1___Sc0000010	5755707	5756922	+	1216	54.47	28.08	50.68	64.64	64.11
lncRNA_7070	Pocillopora_meandrina_HIv1___Sc0000010	5756123	5756922	+	800	47.88	27.08	50.68	64.64	63.77
lncRNA_7071	Pocillopora_meandrina_HIv1___Sc0000010	5809365	5809689	+	325	8.75	7	29	3	20.25
lncRNA_7072	Pocillopora_meandrina_HIv1___Sc0000010	5810133	5811231	+	1099	62.50	29.50	16.17	1.75	88.25
lncRNA_7073	Pocillopora_meandrina_HIv1___Sc0000010	5818910	5822270	+	3361	107.14	105.40	156.48	77.22	12.57
lncRNA_7074	Pocillopora_meandrina_HIv1___Sc0000010	5821703	5823111	+	1409	117.28	31.65	181.76	103.31	117.15
lncRNA_7075	Pocillopora_meandrina_HIv1___Sc0000010	5824122	5824613	+	492	22.47	5.42	14.47	12.82	35.30
lncRNA_7076	Pocillopora_meandrina_HIv1___Sc0000010	5824122	5824613	+	492	22.47	5.42	14.47	12.82	35.30
lncRNA_7077	Pocillopora_meandrina_HIv1___Sc0000010	5824172	5824613	+	442	22.47	5.42	14.47	12.82	35.30
lncRNA_7078	Pocillopora_meandrina_HIv1___Sc0000010	5824266	5824613	+	348	22.44	5.42	14.47	12.82	35.15
lncRNA_7079	Pocillopora_meandrina_HIv1___Sc0000010	5845069	5848212	+	3144	47.32	18.08	174.93	16.33	32.33
lncRNA_7080	Pocillopora_meandrina_HIv1___Sc0000010	5873184	5873423	+	240	26	24.50	43.50	23.33	31.00
lncRNA_7081	Pocillopora_meandrina_HIv1___Sc0000010	5899943	5901200	+	1258	54.76	0	34.56	2.01	16.48
lncRNA_7082	Pocillopora_meandrina_HIv1___Sc0000010	5940185	5940392	+	208	0	7	7.83	9	17.08
lncRNA_7083	Pocillopora_meandrina_HIv1___Sc0000010	5988419	5989112	+	694	10.63	14.78	19.85	4.62	6.29
lncRNA_7084	Pocillopora_meandrina_HIv1___Sc0000010	5988419	5990638	+	2220	51.59	52.55	56.86	45.45	21.20
lncRNA_7085	Pocillopora_meandrina_HIv1___Sc0000010	6011378	6011669	+	292	0	23	0	1	0
lncRNA_7086	Pocillopora_meandrina_HIv1___Sc0000010	6044065	6044756	+	692	23.00	8.25	48.17	28.20	70.00
lncRNA_7087	Pocillopora_meandrina_HIv1___Sc0000010	6046019	6046228	+	210	40.53	59	195.95	50.03	205.40
lncRNA_7088	Pocillopora_meandrina_HIv1___Sc0000010	6054953	6055252	+	300	8.79	2.70	23.20	15.44	0
lncRNA_7089	Pocillopora_meandrina_HIv1___Sc0000010	6099094	6099508	+	415	33.33	108.87	144.42	22.25	69.67
lncRNA_7090	Pocillopora_meandrina_HIv1___Sc0000010	6105597	6106259	+	663	0	24.06	24.75	196.40	7.83
lncRNA_7091	Pocillopora_meandrina_HIv1___Sc0000010	6105605	6106259	+	655	0	24.06	24.75	196.40	7.83
lncRNA_7092	Pocillopora_meandrina_HIv1___Sc0000010	6106604	6170472	+	63869	799.81	466.84	1695.42	774.19	838.37
lncRNA_7093	Pocillopora_meandrina_HIv1___Sc0000010	6167208	6170472	+	3265	65.84	20.21	70.43	15.96	19.02
lncRNA_7094	Pocillopora_meandrina_HIv1___Sc0000010	6167212	6170472	+	3261	65.84	20.21	70.43	15.96	19.02
lncRNA_7095	Pocillopora_meandrina_HIv1___Sc0000010	6111974	6113271	+	1298	19.49	2.80	2.00	11.25	13.60
lncRNA_7096	Pocillopora_meandrina_HIv1___Sc0000010	6126161	6126696	+	536	10.36	1.50	11.36	0.83	9.57
lncRNA_7097	Pocillopora_meandrina_HIv1___Sc0000010	6270608	6324917	+	54310	283.83	140.85	464.32	248.92	228.44
lncRNA_7098	Pocillopora_meandrina_HIv1___Sc0000010	6278919	6279267	+	349	18.46	22.88	25.78	5.83	7.57
lncRNA_7099	Pocillopora_meandrina_HIv1___Sc0000010	6306444	6306750	+	307	50.66	0.29	0.14	1.86	0
lncRNA_7100	Pocillopora_meandrina_HIv1___Sc0000010	6306444	6306750	+	307	50.66	0.29	0.14	1.86	0
lncRNA_7101	Pocillopora_meandrina_HIv1___Sc0000010	6306444	6306750	+	307	50.66	0.29	0.14	1.86	0
lncRNA_7102	Pocillopora_meandrina_HIv1___Sc0000010	6321745	6322607	+	863	0	3.27	3.13	0.80	13.37
lncRNA_7103	Pocillopora_meandrina_HIv1___Sc0000010	6331952	6335032	+	3081	105.25	123.62	137.51	106.40	87.97
lncRNA_7104	Pocillopora_meandrina_HIv1___Sc0000010	6350629	6353068	+	2440	111.83	31.40	199.36	32.35	38.12
lncRNA_7105	Pocillopora_meandrina_HIv1___Sc0000010	6350652	6354208	+	3557	146.07	42.10	236.22	36.04	55.94
lncRNA_7106	Pocillopora_meandrina_HIv1___Sc0000010	6445246	6446215	+	970	5.63	4.03	62.55	10.31	82.71
lncRNA_7107	Pocillopora_meandrina_HIv1___Sc0000010	6447808	6451596	+	3789	86.95	24.71	75.58	36.88	30.84
lncRNA_7108	Pocillopora_meandrina_HIv1___Sc0000010	6447829	6451596	+	3768	86.95	24.71	75.58	36.88	30.84
lncRNA_7109	Pocillopora_meandrina_HIv1___Sc0000010	6447848	6451596	+	3749	86.95	24.71	75.58	36.88	30.84
lncRNA_7110	Pocillopora_meandrina_HIv1___Sc0000010	6499011	6499880	+	870	54.35	4	24.77	1.20	15.33
lncRNA_7111	Pocillopora_meandrina_HIv1___Sc0000010	6540812	6600556	+	59745	316.44	148.96	599.16	343.16	351.55
lncRNA_7112	Pocillopora_meandrina_HIv1___Sc0000010	6595603	6667061	+	71459	309.19	139.38	582.47	305.02	356.96
lncRNA_7113	Pocillopora_meandrina_HIv1___Sc0000010	6602744	6617274	+	14531	18.01	17.58	33.90	26.82	43.11
lncRNA_7114	Pocillopora_meandrina_HIv1___Sc0000010	6602795	6617274	+	14480	16.71	17.58	33.90	26.82	43.11
lncRNA_7115	Pocillopora_meandrina_HIv1___Sc0000010	6671467	6674735	+	3269	75.92	54.73	106.05	50.17	74.20
lncRNA_7116	Pocillopora_meandrina_HIv1___Sc0000010	6696298	6699426	+	3129	20.87	47.68	62.50	21.77	30.77
lncRNA_7117	Pocillopora_meandrina_HIv1___Sc0000010	6729285	6730749	+	1465	9	5.12	34.05	0	25.83
lncRNA_7118	Pocillopora_meandrina_HIv1___Sc0000010	6729298	6730467	+	1170	9	4.12	28.55	0	10.83
lncRNA_7119	Pocillopora_meandrina_HIv1___Sc0000010	6750745	6751867	+	1123	45.42	35.80	48.52	37.67	35.02
lncRNA_7120	Pocillopora_meandrina_HIv1___Sc0000010	6770299	6771423	+	1125	99.50	142.00	239.78	143.56	49.58
lncRNA_7121	Pocillopora_meandrina_HIv1___Sc0000010	6936161	6937642	+	1482	21	29	20	53	11
lncRNA_7122	Pocillopora_meandrina_HIv1___Sc0000010	6997121	7010504	+	13384	11849	7272	12675	11571	6591
lncRNA_7123	Pocillopora_meandrina_HIv1___Sc0000010	7023306	7023765	+	460	13.83	31.37	86.10	66.17	2
lncRNA_7124	Pocillopora_meandrina_HIv1___Sc0000010	7024370	7025013	+	644	209.83	74	330.00	85.54	90.00
lncRNA_7125	Pocillopora_meandrina_HIv1___Sc0000010	7028331	7029525	+	1195	24.59	51.07	65.35	30.39	10.94
lncRNA_7126	Pocillopora_meandrina_HIv1___Sc0000010	7032282	7034658	+	2377	140.08	233.75	266.94	251.08	180.66
lncRNA_7127	Pocillopora_meandrina_HIv1___Sc0000010	7091653	7092659	+	1007	5.50	27	52.42	26.25	53
lncRNA_7128	Pocillopora_meandrina_HIv1___Sc0000010	7091653	7094195	+	2543	309.50	167.67	266.17	237.81	390.42
lncRNA_7129	Pocillopora_meandrina_HIv1___Sc0000010	7094482	7096082	+	1601	56.00	39.83	109.42	83.25	116.80
lncRNA_7130	Pocillopora_meandrina_HIv1___Sc0000010	7094621	7096082	+	1462	56.00	39.83	109.42	83.25	116.80
lncRNA_7131	Pocillopora_meandrina_HIv1___Sc0000010	7148738	7149997	+	1260	123.93	30.94	20.00	38.17	1
lncRNA_7132	Pocillopora_meandrina_HIv1___Sc0000010	7268292	7271065	+	2774	248.06	141.50	221.29	138.59	332.56
lncRNA_7133	Pocillopora_meandrina_HIv1___Sc0000010	7207641	7209987	+	2347	196.68	122.33	868.34	163.28	161.20
lncRNA_7134	Pocillopora_meandrina_HIv1___Sc0000010	7224803	7225908	+	1106	8.80	2.56	47.57	27.75	36
lncRNA_7135	Pocillopora_meandrina_HIv1___Sc0000010	7225358	7225908	+	551	8.80	2.56	41.57	12.75	36
lncRNA_7136	Pocillopora_meandrina_HIv1___Sc0000010	7229118	7230057	+	940	7.83	5	164.44	39.78	35.44
lncRNA_7137	Pocillopora_meandrina_HIv1___Sc0000010	7267091	7268148	+	1058	53.73	64.63	62.83	106.00	90.87
lncRNA_7138	Pocillopora_meandrina_HIv1___Sc0000010	7282821	7283978	+	1158	79.55	45.70	58.72	35.83	14.50
lncRNA_7139	Pocillopora_meandrina_HIv1___Sc0000010	7284120	7285582	+	1463	36.24	29.47	20.83	73.30	1
lncRNA_7140	Pocillopora_meandrina_HIv1___Sc0000010	7288644	7289393	+	750	90.84	141.90	47.70	70.72	41.54
lncRNA_7141	Pocillopora_meandrina_HIv1___Sc0000010	7315542	7319983	+	4442	0	1	40.50	35.00	23.00
lncRNA_7142	Pocillopora_meandrina_HIv1___Sc0000010	7320314	7321849	+	1536	6	0	210.33	149.50	45.17
lncRNA_7143	Pocillopora_meandrina_HIv1___Sc0000010	7502122	7503617	+	1496	0	0	2.50	0	67.50
lncRNA_7144	Pocillopora_meandrina_HIv1___Sc0000010	7445966	7448013	+	2048	71.90	81.30	351.52	64.82	171.64
lncRNA_7145	Pocillopora_meandrina_HIv1___Sc0000010	7445966	7448013	+	2048	71.90	81.30	351.52	64.82	171.64
lncRNA_7146	Pocillopora_meandrina_HIv1___Sc0000010	7391507	7392388	+	882	39.55	48	185.98	29	12.78
lncRNA_7147	Pocillopora_meandrina_HIv1___Sc0000010	7470639	7471881	+	1243	147.25	59.54	340.44	231.52	321.40
lncRNA_7148	Pocillopora_meandrina_HIv1___Sc0000010	7626368	7630717	+	4350	310.39	442.80	464.63	417.76	384.64
lncRNA_7149	Pocillopora_meandrina_HIv1___Sc0000010	7626570	7628029	+	1460	76.58	66.90	202.17	59.74	74.50
lncRNA_7150	Pocillopora_meandrina_HIv1___Sc0000010	7772234	7777163	+	4930	202.98	267.40	477.98	159.94	424.42
lncRNA_7151	Pocillopora_meandrina_HIv1___Sc0000010	7772234	7777163	+	4930	202.98	267.40	477.98	159.94	424.42
lncRNA_7152	Pocillopora_meandrina_HIv1___Sc0000010	7773719	7777163	+	3445	133.90	229.55	172.53	117.52	214.00
lncRNA_7153	Pocillopora_meandrina_HIv1___Sc0000010	7439429	7444920	+	5492	27.79	7.79	270.78	197.80	180.08
lncRNA_7154	Pocillopora_meandrina_HIv1___Sc0000010	7439430	7444553	+	5124	27.79	7.79	269.78	193.80	180.08
lncRNA_7155	Pocillopora_meandrina_HIv1___Sc0000010	7468984	7469423	+	440	33	24	10.33	17.83	57
lncRNA_7156	Pocillopora_meandrina_HIv1___Sc0000010	7541862	7542258	+	397	46.25	13.78	36.86	5	42.33
lncRNA_7157	Pocillopora_meandrina_HIv1___Sc0000010	7557172	7557840	+	669	35.90	58.73	37.30	27.41	3.44
lncRNA_7158	Pocillopora_meandrina_HIv1___Sc0000010	7558152	7559412	+	1261	49.24	73.31	43.93	170.92	3.17
lncRNA_7159	Pocillopora_meandrina_HIv1___Sc0000010	7559645	7560168	+	524	23.50	59.83	17.50	77.53	0
lncRNA_7160	Pocillopora_meandrina_HIv1___Sc0000010	7562021	7563523	+	1503	26.18	113.17	111.02	43.47	41.12
lncRNA_7161	Pocillopora_meandrina_HIv1___Sc0000010	7595832	7597021	+	1190	8.00	9	108.50	55.50	2.67
lncRNA_7162	Pocillopora_meandrina_HIv1___Sc0000010	7607563	7607772	+	210	37.50	0	13.40	5.50	8.47
lncRNA_7163	Pocillopora_meandrina_HIv1___Sc0000010	7609839	7610625	+	787	164.00	95.20	247.25	214.43	152.87
lncRNA_7164	Pocillopora_meandrina_HIv1___Sc0000010	7624722	7625959	+	1238	18	73.90	111.50	36.75	4.67
lncRNA_7165	Pocillopora_meandrina_HIv1___Sc0000010	7663553	7665596	+	2044	139.00	12	336.32	45.33	11.83
lncRNA_7166	Pocillopora_meandrina_HIv1___Sc0000010	7700176	7700968	+	793	39.71	20.50	99.50	17.25	6
lncRNA_7167	Pocillopora_meandrina_HIv1___Sc0000010	7700348	7702569	+	2222	22.50	46.67	197.58	88.12	7.33
lncRNA_7168	Pocillopora_meandrina_HIv1___Sc0000010	7722628	7724381	+	1754	69.67	22.50	212.50	3.50	20.95
lncRNA_7169	Pocillopora_meandrina_HIv1___Sc0000010	7762872	7763362	+	491	45.90	38.60	15.22	66.56	35.13
lncRNA_7170	Pocillopora_meandrina_HIv1___Sc0000010	7769032	7770811	+	1780	54.25	101.18	69.34	110.68	11.99
lncRNA_7171	Pocillopora_meandrina_HIv1___Sc0000010	7769042	7770811	+	1770	54.25	101.18	69.34	110.68	11.99
lncRNA_7172	Pocillopora_meandrina_HIv1___Sc0000010	7769042	7770811	+	1770	54.25	101.18	69.34	110.68	11.99
lncRNA_7173	Pocillopora_meandrina_HIv1___Sc0000010	7900755	7901798	+	1044	67	0	28	11	23
lncRNA_7174	Pocillopora_meandrina_HIv1___Sc0000010	7959394	7960524	+	1131	10	23	24	0	34
lncRNA_7175	Pocillopora_meandrina_HIv1___Sc0000010	7974540	7975542	+	1003	741	242	472	286	321
lncRNA_7176	Pocillopora_meandrina_HIv1___Sc0000010	7987501	7987727	+	227	0	0	0	0	14
lncRNA_7177	Pocillopora_meandrina_HIv1___Sc0000010	8008539	8014109	+	5571	62.30	26.51	56.33	64.04	51.55
lncRNA_7178	Pocillopora_meandrina_HIv1___Sc0000010	8010601	8014109	+	3509	43.94	21.09	39.25	33.64	46.72
lncRNA_7179	Pocillopora_meandrina_HIv1___Sc0000010	8009381	8011801	+	2421	28.02	10.56	21.93	11.74	14.24
lncRNA_7180	Pocillopora_meandrina_HIv1___Sc0000010	8558516	8563397	+	4882	437	545	684	1079	763
lncRNA_7181	Pocillopora_meandrina_HIv1___Sc0000010	8934833	8936014	+	1182	61.52	44.66	11.57	34.34	66.54
